名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
预见小公子,金牌会员,运行速度不快，毕竟三百多的手机。打开某个应用要等一会儿，浏览新闻时比打开应用要快很多。另外玩儿个小游戏比如贪吃蛇只能说不卡，真的是只能说不卡了。。。。王者荣耀没试过，给老人用的，没那么多要求。画面品质饱和度真的不错！有两种模式，一个正常模式，另外是老人机模式，真心不错！外观柔和圆润，这个需要点赞！手机后壳硬塑料的很轻，需要买个保护壳，不然老怕摔坏了，这个没赠送挺不对的！音量大小不能跟几十块钱的那种大喇叭手机比，只能说凑合。总体来说挺适合老人用的。用段时间，后续会追评。快递不用说了，只要不出什么意外，京东绝对快速准时！,2018-03-08 19:41:52,0,1,5
京***少,PLUS会员,第二个360手机了，性价比高，379特价入手，有独立的TF卡槽，不占用SIM卡位置，就是OTG优盘不能用已申请售后,2017-11-29 12:39:06,14,9,5
j***k,PLUS会员,用了几天，说一下感觉吧，这手机很便宜，一分钱一分货，展讯的4核国产货好像四个A7架构，具体记不清了，比较落后，应该是中芯国际代工的28nm的制程，从实际体验来看比高通骁龙210好点，比410差一些，将就这价钱不超过4百好行，超过没性价比。基本操作不卡啊。但是那这个360浏览器啊划屏明显的不跟手啊，掉帧，这个配置游戏什么别想了，*，微信还行没有明显的卡顿。用来当老人机海凑合，建议年轻人绕道，至少上个红米4x以上的配置才够用。优点也有做工挺好的，一点都不像个这个价位的样子，后壳塑料可换电池都是现在手机基本看不到的配置，我买来给家人当老人机的。,2017-11-16 22:11:28,34,12,5
1***g,金牌会员,买给我母上大人用的，她那诺基亚老人机键盘上不知谁是谁了！！这款360手机配置对她老人家来说，够她学了，在我这年轻人手上的话，是真心不咋滴，一天一充是基本，反应小迟钝，小慢。中心按键不灵敏，按不到位，启动不了。让我母上大人慢慢摸索吧！,2017-11-18 14:53:49,28,13,5
l***5,金牌会员,运行速度快，快递快，客服态度好！下次还买！,2017-11-05 16:38:52,10,7,5
浮***梦,金牌会员,这个价格还可以了，买来主要用微信软件的，几百块钱也便宜，外观也还好看，前置指纹，京东速度快，上午买下午到，不错,2017-11-13 19:39:21,15,16,5
A***y,PLUS会员,以前基本没有认真评价过，不知道浪费了多少积分，听说他们评价超过100个字可以送积分，这个福利真心不错，很赞很好，所以，以后都会妥妥的每条都评价一下：发货速度很快，东西包装得也很好，一点都没有损坏，价格比实体店的实惠很多，物美价廉，很好的卖家…东西很好，良心商家，值得依赖，谢谢商家，真的很方便实惠，下次还会再来光顾的…,2018-01-08 17:40:22,0,0,5
c***n,钻石会员,价格很便宜，手机很轻，操作挺流畅的，性价比高，希望耐用点。,2017-12-07 18:41:48,5,1,5
j***2,PLUS会员,用了半个月了还不错，就是有点卡度这个价位了很不错了，看你怎么用了电话可以的，我还是喜欢这个哦习惯好评！,2018-01-30 12:19:25,0,0,5
a***5,PLUS会员,给家里的老人买的，关怀模式的确比较好用，字体够大够清晰，配上5寸屏幕很搭。很流畅，微信等基本APP毫无压力。,2018-01-09 09:49:19,0,0,5
