名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
m***8,铜牌会员,"原先的手机让我干弯了，成反曲面屏了，屏幕居然没碎。不过还是换一个吧！
这手机挺好的，给个及格，价钱在那呢！性价比高，够用但别抱太多期望。
试用两天还可以，发现几个小问题分享一下：
1.连无线看视频，同时用蓝牙耳机，网络会受影响，总是卡顿，不连蓝牙没问题。（只是看了六部电影体验结果，不过电池很给力）。不用蓝牙时平均每个电影出现两到三次卡屏，时间很短可以接受？
2.自动转屏只能转270度，就是小红圈在上端时，自动转屏无反，应目前只测试了图片查看，和自带浏览器（自带浏览器体验有点差）。我又用了第三方浏览器，体验能好点。
3.想问下锁屏软件能关了吗？还有好多自带软件无法删除
4.屏幕有种说不出的感觉，个人认为没有我现在这个360N4S的好。
5.游戏只体验了王者农药，还是比较流畅，只是偶尔按键好像有点漂。
总结下性价比逆天，日常使用，偶尔玩玩的，还是比较推荐的！第一次写了这么长评价，如有不足欢迎大家指正！

补充快递包装太简陋，给个泡沫，气泡啥的行不？",2018-01-28 12:34:06,54,29,5
w***m,银牌会员,"第一次在jd买手机，早就听闻360手机的大名，手机非常不错，给家里长辈买的，比想象中的漂亮，物流也是相当快
骁龙630的加持使手机快得很持久
一般使用没毛病
具体优点如下:
1.性价比高
2.颜值高，手感好
3.运行速度流程
4.屏幕不错，屏幕大
5.电池大，续航长
还送了价值198元的手机卡，但是没有手机壳，总的来说是一次很愉快的购物
要下手的小伙伴赶快了
希望360手机越做越好",2018-02-09 14:30:03,13,2,5
炮***啊,PLUS会员,#快也可以很持久#今天终于收到了，999的骁龙630处理器，4000大电池，哈哈用过当年的n4s骁龙版的老用户都知道，360续航都是很强大的，这次也不例外。而且os3.0感觉比2.0更顺滑了，手机做工也没啥问题，千元机这样已经很超值了！！！大家买买买,2017-12-15 11:56:19,95,57,5
小***车,PLUS会员,手机感觉很轻便，不觉得单手操作有困难。电池很耐用，打王者3个小时用了30%电量。屏幕一般般，但性价比超好。,2018-03-07 03:10:30,0,0,5
简***h,银牌会员,"手持n4s来评n6lite。总体：目前性价比最高的一款手机。
外观来说，延续了n4s的金属感，中规中矩，对大多数人来说都能接受。性能，用安兔兔跑了8万多分，630其实和625差不多，没一些人想象中差别那么大。实际用起来，日常使用完全可以。我买给妈妈用，给她调好，很流畅，就是希望她不要再乱点乱按……屏幕的话，别人说的拖影，确实是有，但是千元机这样很正常吧，又不影响聊天或看视频。最大的惊喜是，360的3.0很大程度上可以自定义桌面，我设置成大图标大字体，看上去不错。续航，对得起4000毫安，让人满意。拍照，日常足够。
不喜欢的地方，目前来说，一是没有红外遥控，二是没有快冲，三是3.0的冷冻箱居然没有“临时解冻”。
总结来说，给妈妈用，还是比较让人满意的。",2018-02-09 20:26:54,18,5,5
8***天,钻石会员,手机太漂亮了，4000毫安的电池就是耐用，虽然不带快充，不过充满电只要一个多小时，原来买的红米5plus，同样大电池，充电太慢了，给退了，630神U就是流畅，玩游戏两个小时了都不怎么发热而且，以后就买360了,2017-12-15 14:42:47,96,58,5
j***斌,PLUS会员,360手机。感覺很好，流暢度杠杠的。,2018-03-06 20:31:11,0,0,5
c***2,PLUS会员,"360手机N6 Lite搭载高通骁龙630处理器，由4颗主频为 2.2GHz的A53核心+4颗1.8GHz A53核心构成，并集成Adreno 508图形芯片。标配4GB LPDDR4X运行内存，储存配置为32GB，支持最大128GB的MicroSD卡扩展。本人是360的粉丝，因为性价比高。最低价位我还是没买着，最低价位是一月18那天749,本人成交价779.",2018-01-27 10:16:22,32,12,5
l***3,PLUS会员,这一个手机，我一共买了三台，这样的话，给父母给长辈，一台给自己，刚好是太划算了，这个手机电池容量非常之大，非常实惠，关键是还用高通骁龙630的处理器这个处理器性能也很强劲，内存也很大，运行起来非常流畅，推荐给大家购买。这个手机应该是360的良心之作，配置非常非常良心，系统也不错，推荐大家购买，希望360公司，能继续推出一些高性价比的作品，让用户能够得到切实的实惠,2017-12-16 11:59:57,115,92,5
小***华,金牌会员,特意用了一个来礼拜，才来评价，用的很好，速度很快，很好用，很实惠，739元成交,2018-02-10 20:29:54,3,6,5
柒***鹏,金牌会员,给爸妈一人买一个799，这个配置不错了。后续看有没有毛病吧,2018-03-08 16:58:51,0,0,5
威***人,PLUS会员,360新机 N6 Lite ，千元以内性价比最高，没有之一！CPU采用 高通骁龙新一代 神U 630，性能与省电兼顾，4020毫安大电池，DDR4X 4G运存+32G存储，1080P屏幕，整机轻薄美观。京东售价999元（某O或某V同等配置至少1699元左右）其中璀璨金颜色特别适合女性，喜欢性价比的朋友可以出手了,2017-12-18 09:47:41,20,1,5
挚***诚,铜牌会员,外观漂亮，操作流畅，色彩艳丽，非常具有性价比.........???,2018-03-08 09:04:00,0,0,5
小***g,PLUS会员,360手机二百优穗卷：【 asd.在线/35 】复￥制括号内内容。到浏￥览器中￥打开领取，手机还是挺给力的，金属外壳，骁龙630，而且就是取消了前置闪光灯，给跑分80000+这个价钱能跑到8万多已经算很好了，不愧是性价比之王。360忠粉从N4到N6希望360越做越好，这次更是吧耳机孔和充电口放在了一边，大赞，方便了很多，期待下次一个系列,2018-02-10 19:07:01,73,1,5
l***8,PLUS会员,隔天到速度还是挺快的，现在国产手机还可以，电池耐用。价格不贵，经济实惠。嗯，还是第一次用360手机，希望它的质量能长久耐用。,2018-03-08 17:47:43,0,0,5
我***n,金牌会员,千元机，799元入手，拍照就不能太强求了，5.5英寸大屏配上4020毫安电池，比我的爱疯八大很多，中度使用一天足够，至于重量，感觉略轻，可能跟塑料外壳有关吧，颜值呢，还不错，比较圆润，4G运存加骁龙630处理器加360系统优化，一般应用足够应付，总体说来是一台性价比极高的手机????,2018-02-28 17:48:20,3,2,5
Z***4,金牌会员,第一次用360手机很好的正品东东，价格很实惠的物流超快，赠送的礼物?:很好,2018-03-08 21:11:24,0,0,5
动***网,金牌会员,774入手，活动价799再加上京享大礼包里面的500-25。手机是2018.01生产的。上午11点过下单，下午4点不到就收到了。京东的送货速度一如既往的快。用了几天，电池大，玩了4个小时王者给有70%的电，630处理器配上DDR4X 4G的内存运行，团战不卡。上分更容易了。不能卸载的有360卫士，应用商店和浏览器3个。360的卫士不错，可以切断软件的唤醒和应用自启。之前的魅族唤醒不能切断，容易卡。希望360好好加油?，继续给大家带来最具性价比的手机。,2018-03-08 20:39:36,1,0,5
