名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***g,PLUS会员,360手机二百优穗卷：【 ynh.在线/63 】复￥制括号内内容。到浏￥览器中￥打开领取，下午4点秒的首发，居然抢到一台（某米上N次首发抢不到的表示痛哭流涕），第二天早上9点多就到货了（京东的快递确实牛B），今天六月买的360N5S双6的机子，三星、小米、乐视、华为一路走过来，各种发烫、卡得动不了、掉电快，360可以说是用过安卓最好的系统，用了半年一直很流畅，自家的手机管家各种功能不用说，微信多开、上下分屏、截屏编辑、自动抢红包、冷冻室等等系统自带功能很实用，不愧是做软件出身的，还有指纹解锁不得不说一下，虽然是各手机标配了，不过是用得最好快最好用的，包括苹果7正面按一下解锁没背面触摸好用，正好这次老婆要换手机，强烈推荐了360（也是为了自己的口袋考虑，性价比确实高），本来还是买台N5S的，正好看到有新品发布，等了两天就抢到了，拿到手机确实惊艳，屏大、屏占比高显得很高大上，女生单手拿着也不会吃力，看视频玩游戏应该很爽，看了一下OPPO、VIVO的全面屏4G64G的三千左右（拍照像素高那么一点但对我来说没什么感觉），这台内存6G比他们还大2G（这个对装大几十个APP的用户来说真心重要），用,2018-02-19 20:43:39,134,31,5
j***a,PLUS会员,下午4点秒的首发，居然抢到一台（某米上N次首发抢不到的表示痛哭流涕），第二天早上9点多就到货了（京东的快递确实牛B），今天六月买的360N5S双6的机子，三星、小米、乐视、华为一路走过来，各种发烫、卡得动不了、掉电快，360可以说是用过安卓最好的系统，用了半年一直很流畅，自家的手机管家各种功能不用说，微信多开、上下分屏、截屏编辑、自动抢红包、冷冻室等等系统自带功能很实用，不愧是做软件出身的，还有指纹解锁不得不说一下，虽然是各手机标配了，不过是用得最好快最好用的，包括苹果7正面按一下解锁没背面触摸好用，正好这次老婆要换手机，强烈推荐了360（也是为了自己的口袋考虑，性价比确实高），本来还是买台N5S的，正好看到有新品发布，等了两天就抢到了，拿到手机确实惊艳，屏大、屏占比高显得很高大上，女生单手拿着也不会吃力，看视频玩游戏应该很爽，看了一下OPPO、VIVO的全面屏4G64G的三千左右（拍照像素高那么一点但对我来说没什么感觉），这台内存6G比他们还大2G（这个对装大几十个APP的用户来说真心重要），用券减了几十，一千八多一点，很划算了，还没有细用，不说了，赶着前多少名评论送3000京豆了,2017-11-29 11:08:04,206,153,5
减***弟,银牌会员,力挺这款手机，配置很高，玩游戏很实用，里面的有些使用我说不出来，但是我有些东西，是以前没遇到过的，360手机用良心说话，用品质给消费者或游戏党一些更高的体验，发货也很快，今天收到货后就迫不及待的打开了，比同款其他牌子手机实用，，360手机我这是买的第二部，n5s也不多，全面屏，大容量，这些都不说了，这款手机设计也比n5s新颖，后壳也特别漂亮，给人感觉很舒适，手感也不多，自认为比r11好很多，有同感的顶一下，,2017-11-29 11:01:56,105,26,5
j***4,PLUS会员,"不是拖，360n4s 联发科版本过来的，电池不怎么行了换个n6pro,n6pro包装的越发简单，手机外观还算漂亮，新机器没装软件挺流畅的，最怕手机屏幕大了拿着不方便，到手后握感上佳，5.99寸屏幕5.5寸感觉，给5分吧，继续试机",2017-11-29 08:29:55,201,158,5
W***n,银牌会员,应该算是最早拿到手机的一批了。。。先说优点，机身拿在手里挺合手，双面玻璃比较上档次，只不过回头戴上套手感都一样。系统的话比较流畅，内存6g占用1点几g，还不错。具体的使用中在回复吧。缺点就是拍照一般，广告的话就看你的接受程度了，我觉得还可以，能关闭的尽量关闭。其他的以后用用再说。,2017-11-29 10:26:43,72,48,5
淡***罗,银牌会员,新入手，感觉很快很流畅，没有卡顿，运存也很大，足够用的了目测外表没有什么问题，内部的话使用一段时间看看怎么样,2017-11-29 13:53:48,33,5,5
j***8,钻石会员,"上半年买的N5,一直用的不错，正好老婆要换手机，赶上N6pro上市，果断出手，全面屏，660,大容量…太好了，走过路过不要错过，性价比超高，顶！",2017-12-06 23:15:22,30,14,5
superjd508,PLUS会员,收到手机 眼前一亮 被外观惊艳到了 手感也是相当的爽 打开手机系统很快 玩了一个多小时王者荣耀 都不带掉电的 大容量电池真的NB 大屏大电池拿在手里 卻只有5.5的大小 第一次使用360的手机 太多地方被震撼到了 居然可以这么棒 真的是物美价廉 国产良心商家 为360手机点赞 还在犹豫的朋友赶紧下手吧 选择360Npro你不会后悔～～～,2017-12-17 11:04:18,89,55,5
j***6,PLUS会员,我现在是用360n4s拍的照片。360n4s用了一年多，感觉电池特别耐用，只是用久了有点卡顿了，也许我下载的软件和垃圾存得多的原因吧。现在是全面屏的时代了，所以货比三家后，觉得还是N6pro比较合适我。6+64.饶龙660.配置不低。价格应该是最低的660手机了。外观也符合我的审美观，果断下手买了一台。手机出厂自带贴膜了，这一点比较值得表扬。系统流畅，电池也耐用。特意玩了一天多才来评价的，值得推荐。,2018-01-07 13:05:12,16,0,5
月月鸟飞小白,银牌会员,"7号10点抢，下午3点到，很快。接近2000价位，4000电池，660处理器。就不要自行车了。按键有松动，尚可接受。屏幕，ok吧，用了2天适应了，开始会眼疼。续航，不玩游戏，重度实用一天基本没问题（都是wifi连接）。系统，没啥特色，很一般般，该不联网的断了，该锁屏后断网了断了，这样就省电省流量咯。最大字体还是有点小，眼花的父母估计有点难受。说个最不能忍的吧，系统居然没有手势操作，双击唤醒，长按锁屏之类的，本来电源键就松动，实在不方便，希望后续系统更新可以改善。这个价位，不想要全面屏的就小米note3,喜欢商务大气的就坚果pro2,时尚圆润超长待机的那就果断N6pro吧。",2017-12-13 23:16:12,45,24,5
