名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***g,PLUS会员,360手机二百优穗倦：[  ynh.在线/46  ]复￥置括号内内容。到刘￥览器中￥打开领取！这是我的第二台360手机N6 从360手机N4用到现在 电池续航不行 退伍给爸爸用了 所以买了360手机n65000毫安大电池 续航更久 果然不是吹牛逼的 背面金属 散热很好 不像N4联发科塑料机身发热的厉害 散热还慢 装饰金丝点缀得极好 上下俩段塑料还是看得出来 正面玻璃黑色一体 看不出黑边 虚拟按键和上划手势很有趣 新一代交互方式 充电口没有采用type-c接口 有点遗憾 不符合互联网品牌跟进潮流时代 整体设计中规中矩 圆润有型 琉璃蓝很好看 正面的话筒孔凹进去太深 容易积攒灰尘 18:9全面屏果然很牛逼 视觉效应很好 360 os 3.0采用安卓7.0 期待明年的360 os4.0基于安卓8.0系统 1399元 6+64 价格很良心 360手机现在越来越好看了 一如既往支持360 永不止步 祝360手机大卖 狗年会更旺 火火火,2018-03-05 19:25:07,4,3,5
j***n,金牌会员,手机真的很不错，骁龙630相对于625有提升，电池5000毫安，拿到手的时候有八十多电，完了一段时间还有75，特意试了下王者荣耀，还行吧，跟高端机比流畅度肯定是不如的，但是要求也别太高，我反正就是为了大电池，高性价比买的，买来做备用机，偶尔玩玩游戏还是可以，音质可以，拍照也还行，屏幕看起来可以，没有别人说的不好，支持360支持京东！,2017-12-15 08:54:07,139,63,5
阿***河,金牌会员,360手机第一次使用很惊艳。全面屏外观很大气，手感很好。四个g内存速度很快。5000毫安电池，使用两天没什么问题。这些都是值得表扬的地方，但是，屏幕的色彩感觉差了很多，还是两年前的水平了。相机也是一般般。这个价位就没什么惊喜。总之这个360手机性价比还是可以的。希望越做越好。特别是屏幕的色彩，这个是最基本的，要做好。,2018-02-24 14:01:03,4,0,5
小***g,PLUS会员,信赖京东，今天下单，下午就到货了！物流大哥太给力了，手机一拿到就开始试用，感觉还好！先用着先，到时候看看可以的话再买多一个给我太太！,2017-12-14 15:10:00,379,45,5
l***7,铜牌会员,360n6手机特意用一一段时间，感觉挺好的，手机很漂亮，玩游戏也还可以，特别是电池很棒，能用一天重度使用，好评,2018-02-07 14:03:28,9,1,5
t***3,银牌会员,很好的手机。360N5手机，双十二下单，第二天就收到了。一直在试用把玩。这手机做工精美，外表光滑，5030毫安的电池特别耐用，玩起来就跟iphone一样。说实话，这手机可比360N5强多了。刚收到就自动更新了系统。骁龙630比骁龙625性能更强，更省电。我本来定了魅蓝NOTE6，可是魅蓝NOTE6的电池实在太小，只好退了魅蓝选360N6了。安卓7.1的系统，够用了。美中不足的就是有时候偶尔会感到屏幕失灵，我也不知道别人有没有这种情况。还有就是最好能加个红外线功能，因为小米手机都有的。,2017-12-20 16:13:52,50,29,5
帅***2,银牌会员,"09月买的360vissa,用得很好，双十二凌晨果断买，n6，用了近一个月。机身修长，边框材质像白玉般柔润养眼，弧面屏幕黑得发亮，不粘指纹，手感好，操作很顺溜，反应快，显示清晰，电耐用，听喜马拉雅可以用4天，从10%到充满两个小时多点，总之，360vissa和n6很满意。弧面屏膜不太好买，买了一个全屏黑色膜，四角翘起，贴不紧随意挪动，中间有水雾，扔了，重新买了个透明的非全屏的，还没试，不过裸机实在太漂亮了，如果追求外观还是裸机好。我希望360手机 支持指纹微信支付",2018-02-19 11:29:49,9,13,5
1***楠,PLUS会员,外观中规中矩，全面屏和红米5plus差不多，电量大，续航久，这是我选择的主要原因。系统流畅，功能完备，很好！(除了相机差强人意),2018-03-08 21:05:37,0,0,5
j***0,银牌会员,手机很好，很满意，这一下子买了2台，现在用的也是360 n4s，可以说是360手机的粉丝！希望360手机越做越好！！,2018-02-01 17:58:43,1,3,5
j***b,PLUS会员,第一次购买360手机，第一眼看到非常惊喜产品外观做工配置运行速度待机时长都超出预期非常不错。屏幕虽然是GFF贴合工艺但显示效果还算不错。系统UI方面还是感觉三星的好。从总体看这款手机值五星。,2018-01-03 00:23:17,91,49,5
