名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
我***屋,金牌会员,总体来说确实不错，现在这个价格还是可以入手的，比我手上的米5要快，而且不怎么重载，备用机足矣，这几天比较忙，没怎么试用，下了几个软件感觉比较流畅，还没升11，据说升完会慢，备用机就不打算升了。,2017-10-03 16:25:12,680,561,5
幸***单,PLUS会员,零晨买晚上到，没有及时送货自己下班后去取的，京东昆山的快递有点慢了。手机没问题回来就可以激活了。正品好用！相信京东的服务和价值取向。,2017-11-10 06:03:37,59,25,5
j***7,银牌会员,收到货，挺满意的，这个可以买到这个手机算不错了，之前用的是5s，用6有些不习惯，打王者的时候老是会按到那个电源键（在最激烈的时候），好无语！6要比5s好很多，从速度、拍照各方面，不过也发现一个小问题，在屏幕的右下方，按下去有轻微的响声，不过还是可以接受的,2017-11-14 00:52:50,157,63,5
j***1,PLUS会员,真不错，系统流畅，反应灵敏，解锁快，两千多比安卓系统的要好，感觉挺实惠的。实在受不了安卓的卡顿了,2017-09-28 08:45:13,597,365,5
w***9,钻石会员,神速哦，昨晚下的单今早下班前拿到。给京东大大??????,2017-11-07 12:02:37,60,38,5
因***差,钻石会员,我是一个冲动消费者。刚出6的时候就买一个五千多。  终于到了17年六月掉水里牺牲。  我就买了个魅族一千块。 没用两个月就卡的要死。    我就想着再买个手机。看了三星S7  又怕卡。 因为安卓的系统都这样嘛。（其实是我不会刷机什么的） 看了七的黑色想等突破四千好家伙又等了几个月还是没。  没办法了  魅族卡的我都没玩微信的欲望了     心里想7就多了个IP67防水 和3Dtouch ID而且维修费肯定贼鸡儿贵。而且真的很贵。够用就可以了。 花那么多钱干嘛索性就再买个六吧）自己安慰自己）。想买个黑色的又没货。只好玫瑰金了升级了ios11完美结合。真的这款产品性价比非常高呢。我故意用了半个月再来评价的  没什么大问题。目前就发现面对手机正面 隔段时间用手按压homo键右边。就是屏幕的右下角会有屏幕与边框密封不均匀的声音。 就是按屏幕右下角有点松动其他都还可以。   但是不影响使用    包装就不评价。 因为现在都在向环保方向发展嘛！后期有什么问题我也回来评价的。谢谢,2017-10-07 19:02:59,484,123,5
完***1,金牌会员,"第一次认真写评论给大家做个参考！
第一部苹果手机是iPhone4时隔四年再次回到iOS阵营，体验还是蛮好的。生产日期是2017年系统是10.3.1，之前有评论说N开头是官换机不知道那人说的是真的假的，我这个序列号是F开头。
不足1：手机的左右下角按起来确实吱吱响像是组装的时候没贴合好不过用了一天再去按却不响了，懒得麻烦再去退就这样了
不足2：再有就是指纹解锁速度不算很快，SE应该要快很多毕竟配置比6要好，如果喜欢小屏这个价位建议买SE。
现在配置好点国产安卓也要2千多这个价格买个过气的老旗舰iPhone还是蛮划算的。手机运行流畅是关键，上一部三星note3用了刚好一年已经开始卡了，内存还是3G的尤其来电的时候铃声响了好几秒了，屏幕才亮起来真的无法忍受，希望Android在未来版本上能做好优化克服这个短板。
总体建议值得购买，当然能加钱的话还是6s更好。
PS:附上爷爷和孙子的合照，哈哈~~",2017-06-07 10:35:25,1846,319,5
j***懂,银牌会员,早就想换手机，突然看到双十一京东上有优惠，就买了，挺好用的，比安卓系统快，外观比较大气，很好看，推荐大家购买！,2017-11-16 18:04:30,103,26,5
哈***酷,钻石会员,"买来用了将近半个月了，觉得买的非常划算，用起来也很顺手，当时还犹豫了很久很久毕竟自己人生自己的钱买的第一部苹果手机，2017年出来的这款苹果6对我来说是很开心的事，不想买二手机，又买不起8或者是ten，然后3000～5000价位也太贵，2299这款机子对我来说金钱上属于偏高刚刚合适。然后狠下决心买了！！并且一次性付清！！！
然后说说机子性能，我自己用的时候没有卡顿现象就是输入法感觉有时候不好输入，总是按错！！！右下角手机没有任何响动就是我按了这个手机壳之后按起来嘎嘣脆，手机本身非常牢固！！！
然后待电的话普通就一天，有时候玩得多了就是多半天，但是续航长短不重要，重要的是喜欢啊！
喜欢苹果手机然后喜欢app store 的应用，然后苹果手机可以让我进步，这就够了。现在有ipod ipad iphone6 全都是京东买的，全部都用的非常好！
如果有谁还在像买之前的我一样犹豫，我只想说，不买你会后悔的，因为不想落后于别人就在接受信息方面多下功夫！信息时代！手机一定要快！！！",2018-01-12 20:55:26,10,6,5
j***待,金牌会员,一直在东哥家买东西，就是觉的有保障。苹果6金色32G，直接入手，用后再评……,2017-11-14 15:48:57,43,11,5
