名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
紫***雨,PLUS会员,手机买回来感觉很不错。比我之前用的三星，感觉好多了。从买回来到现在还没有发现什么问题。快递员服务态度很好手机的质量也不错是正版，但是就是没有送过手机壳或者是。屏保什么的如果要是有一些正品的话，那就更好了。日是不是自营的东西赠品都很少,2018-02-02 12:56:35,13,11,5
j***9,银牌会员,京东物流就是快，真的很紧张的心情收到货，查了下是正品，打开后很开心，就是激活开机时不知怎么操作有点慢，苹果系统还要慢慢熟悉才行，具体过段时间再评！,2018-01-16 21:45:08,6,12,5
听***2,银牌会员,买之前看大家评价很差，我都害怕了，不敢买，但是去sn逛了一圈，甚至去官网逛了一圈发现评论都是有好有坏，最后觉得京东送货真的很快就买了。总之我拿到感觉还挺好的，自己也是第一次用苹果，感觉很流畅，拿到的时候系统就是11.1.2，没遇到卡顿的情况。128g的，用起来真的很放心，像素也清晰。查了序列号也是第一次激活。没什么大问题，用用再来追加评价吧！,2018-01-22 19:27:47,36,8,5
小***1,银牌会员,物流挺快，一天的时间就到了，反应也还行，毕竟苹果手机的系统摆在那，查了下序列号是正品，唯一不足的是版本怎么更新到最新的，信号那里跟安卓机的一样，还是比较喜欢原来的小圆点图标，希望后面可以改回来。,2018-01-04 09:19:43,31,10,5
j***x,银牌会员,今天早上7点左右下的单，下午16:10分送到的，半点下班，赶到下班前送到的，同事很热心的帮忙激活，京东送货就是靠谱，苹果手机一直都在用，手感也好，很满意！等用过几天会再来评价的。,2017-12-21 22:25:48,32,17,5
A***米,银牌会员,用了两天啦，纪念一下，正在习惯，确实不卡，希望电池耐用，还没买手机壳呢，今天第一次试戴耳机，感觉有些送，之前手机的耳机都有橡皮塞，不会掉。,2017-12-19 19:55:52,38,11,5
噙***你,PLUS会员,物流速度没话说，包装一如既往不太好。暂时没发现大问题，安兔兔检测是正品。买6sp主要是拍照视频，比我之前的荣耀八好太多了。,2018-02-25 19:19:55,3,3,5
l***8,钻石会员,刚买几天怎么一半都黑了,2017-09-24 16:52:39,166,38,5
秋天的蚂蚱1987,钻石会员,我的也是京东买的，128g非常好用一点也不卡.老婆去年买的华为p9高配4000块经常卡死无故发热根本没法用。所以就给老婆买个果机毕竟强大的系统摆在那。爱不爱国心里有数我之前也是用的华为实在太让我郁闷了。绝对没黑国产实话实说。快递小哥服务态度超级棒赞一个,2017-05-13 18:47:39,302,145,5
浮***熙,银牌会员,在网上查过了，是正品，京东还是一如既往的快，昨晚下的单子，今天下午一点多就到了，第一次用苹果，系统有点不习惯,2017-10-02 17:40:55,6,9,5
j***0,金牌会员,价格浮动太大，刚买一周跌100,2018-02-16 13:15:03,24,9,3
欣***妈,银牌会员,"还可以，第一次购买，还行
就是包裹简单，一个纸壳，万一摔了怎么办，还不能当场验货
总体还好吧，能用就行，不得不说苹果客服真是可以，我好些年没用过苹果
因为appstore地址给我讲解40多分钟，这个真的是可以?
给客服一个赞",2018-01-08 18:33:17,15,2,5
屌***切,PLUS会员,32g的自己用，128g的给老婆用了,2017-10-10 22:53:58,25,1,5
回***0,银牌会员,不好意思，评价晚了。很好，买的是128g的性价比也挺高的，需要的尽快下单吧，第一天付款第二天就到，京东的物流没法说，太棒了,2017-09-21 08:47:54,5,1,5
耶***i,银牌会员,拿到手的时候是iOS11的系统，有点不太喜欢。嗯，另外信号显示是真的很丑，要是能降到iOS10.3就好了。运行速度还可以吧，新手机没发现有卡顿，用几天看看。,2018-01-29 09:46:57,8,1,5
j***e,PLUS会员,一 包装很好 二 手机正品 三 颜色确实和宣传图片有些淡 四 还是喜欢有单独耳机孔的 五 2017年生产的 六 中文版 国行 七 电池可以用一天八小时,2017-06-12 21:54:09,22,1,5
蒙***茶,PLUS会员,很好的，我们家三四个手机了，一直都在京东商城买的，都很好用没出现什么问题，都没有别人说的那些毛病，东西好就是好，希望这次买的苹果6plus也是棒棒的。我们家里的家用电器大部分也是在京东买的，快递也很给力！一直都很信赖京东商城！,2016-09-22 16:47:08,371,90,5
挣***多,PLUS会员,给老婆买的，还没用，不知道老婆喜欢不喜欢，,2017-12-27 12:59:31,15,2,5
j***s,PLUS会员,刚收到货，给老婆买的，看着还不错先给五星，用后再来评价。,2018-02-07 20:49:09,6,2,5
杨***6,金牌会员,超级快，一夜就到了。真给力，这是在京东上第三个手机了。,2018-01-11 14:22:37,5,2,5
曙***7,钻石会员,其实下单的时候还是很忐忑的，毕竟是4000多块钱的东西感觉在网上购买还是不是很放心，昨天晚上11:00下的单今天上午10:00左右就到了，京东的速度简直是神，手机拿到后先在网上查了一下序列号手机是未激活，然后再上卡激活，查保修期和电话技术支持这些都是对的，应该是正品。今天用了一天感觉还可以就是系统的操作还不是很熟悉，希望在以后的使用当中不会出现什么问题！,2017-06-14 21:22:54,15,9,5
w***9,PLUS会员,第二次购买啦一如既往的信赖，以后买东西都在京东啦，发货速度杠杠的,2017-11-07 22:50:37,1,0,5
j***年,银牌会员,手机十一买的，很好用，128G的花了4800。以后肯定还会掉，不过早买早享受了。国行没毛病，信赖京东自营。我在师大盛乐等你,2017-10-17 00:00:17,8,4,5
j***a,金牌会员,刚到手，第一次京东购物，快递不错很快，用了几年的5S，已经跟不上节奏了。买之前看了很多评论，见仁见智吧应该说，手机不错，查了下应该是国行正品。缺点有两个，因为是5上的iCloud搬过来的 10个软件一下更新有点烫 在接受的底线上，耳麦插孔边有点小瑕疵 总体来说还行，用段时间再追加吧；自营相对来说还是比较放心，个人意见，仅供各位参考。,2017-06-15 17:09:48,7,5,5
精***狼,PLUS会员,这是在京东自营店购买的第二部iphone 6s plus了，产品质量完美有保证，京东特别值得信赖。,2016-01-31 12:51:33,10,1,5
都和我抢昵称对不对,银牌会员,拍照很不错，挺清楚的，电池如果不玩游戏，可以待机一天都没关系。配货速度特别快啊，是正品，用了两个月才评价的，查了序列号，保修期一年的，很放心。想买的小伙伴可以下单了。而且后来申请的保价分分钟到账。只要不自己升级系统，一点也不卡，很流畅。京东自营的很放心。就是包装有点简陋，只有一个盒子，其余的保护没有。快递特别快，头天下单第二天就到了。各位想买的小伙伴可以买了。,2018-03-08 16:00:02,1,1,5
9***m,金牌会员,物流挺快的，服务人员态度也不错，手机正在熟悉中，目前感觉不错，稍后会有追加评价,2018-03-07 20:20:01,0,0,5
纪***心,PLUS会员,是新机，买了用了还行。不过要看以后怎么样。还不错,2018-03-09 14:53:49,0,0,5
可***芫,银牌会员,卡屏 反应慢,2018-03-08 08:37:30,0,0,5
九***撒,银牌会员,手机很好，查了一下还是刚出来的新机，系统是iOS11的，一点都不卡，头一次在网上购买手机，真的很意外，很开心。,2017-11-26 12:37:24,4,2,5
