名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
黎***洪,钻石会员,说实话，我是冲动性消费着，手里有一台oppo r9s和美图m6s.我不是什么手机的粉！r9s刚上市的时候我刚好需要买手机于是在专卖店买的，用了多半年了也就看看视频，玩玩小游戏，软件也是平常的软件，前段时间手机偶然间在未使用时候发烫的厉害把我吓着了??倒是没有遇到卡顿之类的！对于女孩子爱自拍，oppo手机也还可以，倒是心中被美图手机那段时间给种了草，一心想要美图，我对象说我疯了??最终无奈之下还是在京东买了美图m6s薄荷绿，小清新的手机爱不释手，但是对于美图，没有说的那么不堪，我下载的东西也多，除了拍照片和视频会发烫的厉害，平时使用中不发烫，而且也不卡顿，个人觉得还行，我没用美图手机玩过游戏！接下来进入正题，我15年的时候买了苹果6，刚用了一个月不到被偷了，心痛的感觉啊发誓以后不用苹果手机，所以对于苹果系统也很陌生！但是对于7我一直想买，出于价格问题可望而不可及?618的确也还划算，我用了白条分期支付！本来以为昨天早上下单，下午就会收到心爱的机子，结果可能太繁忙，今天下午终于收到机子，下楼拿的那一刻的,2017-10-29 17:33:13,727,302,5
男***哥,PLUS会员,第一天下单，第二天中午就送到了，是抢得白条12期免息卷购买的，当时购买价格4299+1个，碎屏险199手机是官方正品，包装完好，全新，未拆封，未激活，亮黑色特别好，手机配件，包装保修卡，全部齐全，配送员的态度也相当好，已经使用一段时间，手机没有任何问题，京东的售后也是非常好吃，商品全国联保以下是我拍的几张图片，亮黑色，非常好，第一次使用苹果手机，对商品的一个使用的话是从零开始的，嗯苹果系统的话也非常好用，主要是对京东放心，京东是做3c数码起家的，相信京东，支持京东,2018-01-12 22:42:27,9,10,5
j***天,PLUS会员,这款手机不错，虽然是双网通，但其他性能与全网通无异，其价格也比较公道，刚刚在官网查询了序列号是正品，已经在京东自营买了几部手机了，质量没得说，京东值得信赖！,2018-03-08 18:31:36,0,3,5
j***j,银牌会员,手机还不错，用着还挺流畅，快递服务也很好，我用了几天才来评价感觉比我之前那个华为啤酒好多了。,2018-03-01 11:42:10,5,3,5
j***t,银牌会员,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢卖家，说实在，这是我第一次京东买东西而且是让我满意的一次购物。无论是卖家的态度还是对物品，我都非常满意的。卖家态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向卖家表示由衷的敬意，这样的卖家可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦卖家给个优惠哦！,2018-03-04 19:02:15,2,3,5
V***E,PLUS会员,苹果手机就是一如既往的好用，手机特别薄。手感很好！用了很多品牌的手机，还是苹果手机好用！而且查询了，是正品！昨天下的单，今天就到了！,2018-01-31 17:28:16,19,7,5
张子婧2252,PLUS会员,苹果手机五百优慧卷：【 ynh.在线/57 】复￥制括号内内容。到浏￥览器中￥打开领取，说实话，我是冲动性消费着，手里有一台oppo r9s和美图m6s.我不是什么手机的粉！r9s刚上市的时候我刚好需要买手机于是在专卖店买的，用了多半年了也就看看视频，玩玩小游戏，软件也是平常的软件，前段时间手机偶然间在未使用时候发烫的厉害把我吓着了??倒是没有遇到卡顿之类的！对于女孩子爱自拍，oppo手机也还可以，倒是心中被美图手机那段时间给种了草，一心想要美图，我对象说我疯了??最终无奈之下还是在京东买了美图m6s薄荷绿，小清新的手机爱不释手，但是对于美图，没有说的那么不堪，我下载的东西也多，除了拍照片和视频会发烫的厉害，平时使用中不发烫，而且也不卡顿，个人觉得还行，我没用美图手机玩过游戏！接下来进入正题，我15年的时候买了苹果6，刚用了一个月不到被偷了，心痛的感觉啊发誓以后不用苹果手机，所以对于苹果系统也很陌生！但是对于7我一直想买，出于价格问题可望而不可及?618的确也还划算，我用了白条分期支付！本来以为昨天早上下单，下午就会收到心爱的机子，结果可能太繁忙，今天下午终于收到机子,2018-02-09 21:43:44,5,0,5
是你刘姐姐,PLUS会员,说实话，我是冲动性消费着，手里有一台oppo r9s和美图m6s.我不是什么手机的粉！r9s刚上市的时候我刚好需要买手机于是在专卖店买的，用了多半年了也就看看视频，玩玩小游戏，软件也是平常的软件，前段时间手机偶然间在未使用时候发烫的厉害把我吓着了??倒是没有遇到卡顿之类的！对于女孩子爱自拍，oppo手机也还可以，倒是心中被美图手机那段时间给种了草，一心想要美图，我对象说我疯了??最终无奈之下还是在京东买了美图m6s薄荷绿，小清新的手机爱不释手，但是对于美图，没有说的那么不堪，我下载的东西也多，除了拍照片和视频会发烫的厉害，平时使用中不发烫，而且也不卡顿，个人觉得还行，我没用美图手机玩过游戏！接下来进入正题，我15年的时候买了苹果6，刚用了一个月不到被偷了，心痛的感觉啊发誓以后不用苹果手机，所以对于苹果系统也很陌生！但是对于7我一直想买，出于价格问题可望而不可及?618的确也还划算，我用了白条分期支付！本来以为昨天早上下单，下午就会收到心爱的机子，结果可能太繁忙，今天下午终于收到机子，下楼拿的那一刻的确好失望，因为太太太简陋的包装了?发票有，但是打开盒子那瞬间，我认为我在做梦,2017-06-19 22:17:29,1515,714,5
x***6,PLUS会员,打包箱有点压了，东西没问题，价格便宜，性价比比较高，推荐购买。,2018-01-24 17:18:31,7,2,5
咚***况,PLUS会员,第一次在京东上买手机，特意用了两天再来评价，手机是正品，系统是11.1.2，新系统很流畅，电池还是比较耐用的，相信京东，京东赞一个！,2018-01-21 15:34:23,44,20,5
j***6,银牌会员,正品，相信京东，非常满意,2018-03-02 18:59:22,0,0,5
小***y,金牌会员,很不幸，中奖了，但只出现过一次无服务，希望不要再有这种情况，再出现就考虑拿去维修了。毕竟这毛病也是苹果自己承认了。,2018-02-03 20:02:53,29,6,4
乔***众,钻石会员,验证过了是原装正品，手机比我的6好用多了，京东的商品值得信赖,2018-02-23 12:42:25,2,1,5
王***j,金牌会员,东西很好 反应挺快的,2018-02-21 23:24:36,3,1,5
j***1,金牌会员,完美无缺，以后苹果se二代发售再买一台?，不小心进入盲人模式让我怀疑了一次人生，?客服人不错耐心的教我搞了半天，还好我聪明头,2018-03-09 10:44:38,0,0,5
j***d,银牌会员,产品使用还不错，信号也很好，是正品。京东自营值得信赖。,2018-03-06 18:05:44,1,2,5
j***o,PLUS会员,正品不用怀疑，用券用豆不到3800，还是蛮不错的,2018-01-19 18:16:49,24,18,5
w***z,PLUS会员,黑色很酷，很喜欢。,2018-02-04 22:16:54,8,2,5
曾***好,钻石会员,给我妹妹买的，之前用的三星A7，现在手机太卡了，就帮他换了一个！我老妈出了2800，我又出了1700，就买了，手机还是很好看，我也用的苹果5s银色手机，还不错现在还在用，用了快3年了，就是电池有点不耐用，毕竟用了这么久了，对吧！反正对银色的手机情有独钟，喜欢这个颜色，于是就买了，手机整体还不错，漂亮，时尚，简单，值得入手！最后再来一张我跟我妹妹的合照哈！,2017-05-06 23:22:26,2024,684,5
有***心,银牌会员,不错，苹果一直都很好用,2017-02-07 00:15:42,90,28,5
j***z,金牌会员,包装很好，没有一点损坏，查了是真的，送货很快，半天就到了,2018-03-01 18:50:33,1,2,5
马***叔,银牌会员,已经激活，手机没有损伤，全新。外壳完好，包装完好。反应速度不错。就是比预定的时间迟到了一个小时。总体不错。,2018-03-02 12:44:52,0,0,5
j***b,银牌会员,买回来一晚上也没激活，无法进行下一步，而且保修也过期！客服说不能退，我刚拿到手机才十分钟，真无语，求助,2018-03-08 02:14:45,0,1,5
t***1,PLUS会员,已经是第三次在京东买iPhone手机了。前两次手机都很满意，这次也很满意。因为相信京东，所以买了又买。手机全新未激活。用优惠券，价格比其他电商更便宜。我的iMac，等都是在京东买的。这次特地用了七天，再来评价。发货更是神速，晚上拍，第二天早上就送到了。,2017-04-07 14:47:25,285,85,5
淘***贝,银牌会员,裸机手感特好，使用了一个月，在扣q里面有三四次卡顿，就是打字时候会特别卡，运行大型游戏切屏后再结束后台 会假死一下，再按home就好了，电流底噪是通病，不提了，不影响使用。前面是遇到的缺点，下面说说优点续航挺好，外放音质好，比之前的惊艳了不少 ，用小7换下了战了三年的小5s，不错,2017-02-09 10:51:44,115,51,5
Tangsen2016,钻石会员,"还不错，手机用了几天正常，11-8号买就划算，满5000优惠300，可惜急着提前买了。继续用着咯！
发布到社区还要50个字？手机中规中举，home按键和手机款式很喜欢，大家说屏幕比6s偏黄，其实也不明显，我仔细体会了，调节到米黄色跟舒适眼睛(所谓的黄昏效果，色调像书本的感觉) 照片里我的膜没买好！",2016-11-10 19:28:57,84,15,5
零***薇,金牌会员,"还不错，入手的很沉稳的黑色。系统蛮顺的，就是刚拿到手两天会经常出现wifi自动断，很不稳定的现象。现在还OK,用了一段时间再来评价。",2018-03-02 09:47:19,0,0,5
花***r,银牌会员,刚开始用啥也不会，创个id都用了好长时间，把home键弄出来又用了好长时间，好可怕?那个信号显示竖条的却不是小圈圈一度怀疑是假的?结果一查才知道是系统原因，总体来说是很不错的，物流超级快，下午下的单两天就到了用惯了安卓系统手机，现在还在摸索中?,2018-02-07 10:16:49,10,18,5
黄小磊89,金牌会员,还可以，看图，就是包装太随便了，电子产品只在京东买，！,2018-03-05 13:51:41,0,1,4
钢***8,钻石会员,说实话，我是冲动性消费着，手里有一台oppo r9s和美图m6s.我不是什么手机的粉！r9s刚上市的时候我刚好需要买手机于是在专卖店买的，用了多半年了也就看看视频，玩玩小游戏，软件也是平常的软件，前段时间手机偶然间在未使用时候发烫的厉害把我吓着了??倒是没有遇到卡顿之类的！对于女孩子爱自拍，oppo手机也还可以，倒是心中被美图手机那段时间给种了草，一心想要美图，我对象说我疯了??最终无奈之下还是在京东买了美图m6s薄荷绿，小清新的手机爱不释手，但是对于美图，没有说的那么不堪，我下载的东西也多，除了拍照片和视频会发烫的厉害，平时使用中不发烫，而且也不卡顿，个人觉得还行，我没用美图手机玩过游戏！接下来进入正题，我15年的时候买了苹果6，刚用了一个月不到被偷了，心痛的感觉啊发誓以后不用苹果手机，所以对于苹果系统也很陌生！但是对于7我一直想买，出于价格问题可望而不可及?618的确也还划算，我用了白条分期支付！本来以为昨天早上下单，下午就会收到心爱的机子，结果可能太繁忙，今天下午终于收到机子，下楼拿的那一刻的,2018-03-07 14:19:21,0,0,5
高***床,钻石会员,非常棒，和预想的一样，感谢京东商城的工作人员！感谢生产商！,2017-10-27 19:59:44,5,6,5
g***1,钻石会员,还可以吧，性价比高，反正当备用机开个热点用，足够了。,2018-03-04 18:46:36,0,1,5
A***0,金牌会员,双11买的，没想到第二天就到了，物流太快了，小说一下手机的质感。磨砂质感的黑色很漂亮，黑色天线的处理很得理，如果不仔细看根本看不出来，128g的内存可以当个硬盘用了，很划算！系统还是那么流畅，稳定！在这里赞一下惊动的物流！！,2016-11-22 12:09:59,35,12,5
