名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
徽***客,钻石会员,特地用了一个礼拜来评价，机子是正版国行未激活的，京东快递非常快，晚上11点前下单第二天上午9点左右收到货，一直相信京东，本人在京东已经买了二部iPhone手机了，以后还会来京东买东西！,2017-10-06 13:16:20,59,29,5
遇***安,PLUS会员,现在iphone8的尴尬，造成了iphone7的难求一机，何况还是低价，真是操碎了心，京东自营店一直没货，尴尬死了，等了几天才有货提醒，我就立马打开京东立马抢了一台，果断付款了，话说这还是16年的机唉，现在的苹果越做越没创意，买苹果可能就是为了系统而去的吧，好了，话说这京东快递快得流弊，这值得称赞的，原封不动的到我手上，很好，开箱试用，一切正常使用，很好，希望耐用哈，撑个两三年嗯，应该没问题。,2017-10-30 08:58:20,24,9,5
小***妆,PLUS会员,京东速度确实快，6月18号0点下单的，第二天就到了。特意提前2天买的保险箱都还没到，为京东物流点赞。没有保险箱只能请了2天家在家看着手机，老板差点把我辞了，和他说了是，在家是为了照看我的苹果手机他才知道误会我的，并且为了表达歉意要给我加工资。当时每天只睡2个小时，睡觉的2个小时还是请我的朋友帮我看的。现在想想当时的日子是又幸福又辛苦还有点小刺激。后来保险箱到了就赶紧收进去，这才终于可以安心上班了，毕竟是分了24期买的，工作还是重要的，不然分期都还不起。每天早上上班拿出去看一下天气晚上下班看一下有没有人打电话给我，然后就赶紧锁起来，毕竟果7太亮眼了，被别人发现就不好了。这里真的要夸一下续航，买了这么久了都没有充过一次电，我每天可是玩2分钟啊！这样续航居然还是这么吊，真的惊呆了。还有一个值得称赞的就是快递小哥了，从显示派送之后，我打了20多个电话给他让他尽快给我派送，他一直就是很和和气气的答应我，没有一点不耐烦的。而且我看他的物流踪迹，真的是优先给我派送的，中间绕过很多地方第一个跑到我这里，感谢小哥。上几张爱机的照片，因为在保险箱里，不敢拿出来太久拍照，不过相信你们可以从保险箱看见手机吧,2017-07-08 17:48:15,198,78,5
非***阮,金牌会员,"反应很快。非常棒！
先用用看，回头来追评。",2017-11-02 19:54:13,22,5,5
jd614619,PLUS会员,"黑色比想象中的要漂亮，系统预装ios11,",2017-12-19 11:42:27,27,11,5
卖***乄,金牌会员,"iPhone7 Plus用了十多天了，死机没大家说的那么厉害，基本两三天一次吧，拔电池就能解决。买时老板还多送了一块备用电池。屏幕分辨率确实很高，比我的MP4清楚多了。至于拍照，老板送我的1G TF卡容量有点小，放了点凤凰传奇的音乐,装了点Java游戏就满了,不敢录像，外放确实不错，回头率比以前的七彩跑马灯高多了。缺点也有,有时sim卡2的短信电话会漏,这点希望苹果公司改进,毕竟苹果是家有实力的大公司……",2017-11-09 22:04:39,176,50,5
诗***马,PLUS会员,苹果手机五百优穗卷：【 ynh.在线/7p 】复￥制括号内内容。到浏￥览器中￥打开领取，京东物流又快服务又好，邮费险服务比*好太多，0.5元就能享受上门取件免运费，*运费险我就没收到过退的运费，而且价格参差不齐*苹果7plus也比专卖店便宜，但是要7天之后才发货，还要抢，果断选择又快又放心有保障的京东。下面说说手机，iOS 系统用这就是比安卓强。图便宜用安卓行，花3000以上买安卓就真的没必要了，就我个人体验5000＋安卓跟2000多的没什么本质区别。苹果7plus 我认为是目前最好用的手机。系统流畅度，拍照，细节功能，都很好。主要是系统，就算用下去两年依旧顺滑。但是安卓就做不到了，要不断地删东西，清内存甚至做系统。苹果7plus推荐购买128G，体验会更好，我下载的歌全是无损品质，每首20兆以上，照片APP也都不少，现在还有100G余量。苹果7/7plus暖屏很多，这是代工厂的原因，我买的第一部是暖，第二部还是。所以冷暖屏就看你运气了。理论上亚洲人眼睛看白色的色温看暖屏更舒服，冷屏适合欧洲人，只不过之前我们用的手机好像没我暖屏，从这代苹果开始才有，所以可能开始不太适应。但是暖屏更护眼,2018-02-20 21:39:51,1,2,5
冰***光,钻石会员,我不是果粉，因为工作需要才换的苹果，等了好久没有抢到免息券，后来在京东金融app白条里摇一摇兑换的免息券，开始也很担心质量问题，下单第二天收到货，马上在官网查了序列号，显示未激活，心放下一大半，外观没有问题，然后进行了激活了，查看保修期整整一年，完美新机，其他的电流声，漏光的问题，没有出现，就是第一次通话有回音，之后的通话就没有回音了，用了几天，第一个不同就是快，指纹识别做的非常精准，关于电量，如果一直玩的话，一天肯定撑不下来的，线下装的壳和屏保，手机没有问题，大家可以放心购买，要免息的可以去京东金融APP里摇一摇活动邀兑换币，然后兑换免息券，现在应该还赶得上6月20号活动结束，买手机一直在京东，大家不用打理那些黑京东的，不激活前现查序列号，连包装都不用拆的，查出来如果有问题直接退货，就可以了，没有什么好担心的，最后赞下快递，京东快递服务真好，双手递交给我的，就一点足以说明服务质量，赞！！！！,2017-06-07 12:43:16,101,67,5
香***川,PLUS会员,哈哈哈哈，抢购没抢到，抢购结束的时候看库存只有一台，马上下手，没想到啊，到手！！！速度很快昨天买的今天就到，最重要的是价格和抢购的价格一样，苹果还是一如既往的流弊，运行速度相当快，现在已经断货了，我真是幸运，感谢京东，感谢配送的京东小哥，服务态度超棒，哈哈哈哈哈哈,2017-04-11 15:17:08,88,51,5
譚***R,金牌会员,很好 很完美！全新 原装！好评,2017-10-02 22:41:05,3,2,5
煤***渣,钻石会员,给老婆买的！京东配送非常效率！黑色很漂亮、比手里银色好看！,2018-01-24 14:52:46,9,0,5
龍迷丶磊子,钻石会员,正品国行，未激活新机，之前买的细细算算在京东买了好多手机了。,2017-12-31 18:09:16,10,8,5
明***8,钻石会员,非常完美 买了好几个了 从苹果4就开始一直用的苹果,2017-10-24 17:05:33,3,1,5
雁***虞,钻石会员,还可以吧，感觉没什么问题，就这样用吧。,2018-02-23 13:40:40,3,4,5
j***1,钻石会员,入手第二台，之前买的亮黑背面老是留指纹，这台是磨砂黑好多了,2018-01-17 14:12:48,6,0,5
王***威,金牌会员,"目前感觉,等用过一段时间，看看怎么样？很期待以后",2018-01-02 00:09:22,9,0,5
j***x,金牌会员,快递打太快了哦 上午10点多买的,2017-12-01 17:19:40,10,2,5
J***堂,银牌会员,在京东自营买东西信得过，值得拥有。,2017-12-23 14:28:00,9,3,5
M***9,金牌会员,很好，很喜欢！就是充电有电流！,2018-03-08 13:02:37,0,0,5
D***2,钻石会员,之前用的华为的M9Por，还不错，个人觉得性价比比较高的，也是工作需要，才买一个，图片是已经贴膜，保护套，用了一天，感觉一般，充电还发热，没有想象中那么好。,2017-06-28 14:13:23,2,0,5
路***垚,PLUS会员,终于等到妳、还好我没放弃,2016-11-18 20:45:18,7,8,5
SinceJuly123,金牌会员,很好，很强大，速度很快，系统特别流畅，送货速度很快，非常值得购买的一款手机。,2017-09-19 20:57:03,4,0,5
遇***安,PLUS会员,手机特意用了一个星期来评论，首先外观很好，是正品，查询当天激活，这一个星期的体验不是很好ios11确实卡，手机运行速度太慢，经常app闪退，尤其是微信，如果对操作系统要求高的话，就别买这款了，送到你手里操作系统就是ios11，手机体验极差，但是手机质量不错，苹果值得信赖！,2018-03-07 08:10:53,4,1,5
J***n,PLUS会员,"买手机还是要买苹果，稳定性好，系统好，软件相对安全更不容易作弊。
产品迭代也很好，只是目前进入了一个相对稳定器非常不愿意换手机，对8的期待也不高。",2017-08-01 10:51:49,2,0,5
l***客,PLUS会员,很不错，发货特快，是真的放心用。,2017-05-15 15:58:21,1,0,5
花***q,金牌会员,之前用苹果，后来换成了华为，现在又用回了苹果，不是华为不好，而是觉得还是苹果更方便一些，另外也买的大内存的。总体来说给打90分，因为感觉系统流畅性有点不如以前，其他都很好。正好手机降价了400，马上下单了，京东物流也超级快，第一天晚上下单，第二天上午就到手了。包装有点单薄，手机是贵重易碎物品，还是希望京东能将包裹以后做的厚一点。,2018-03-05 00:30:44,0,1,5
挖***人,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management",2018-03-08 16:27:14,0,0,5
j***c,金牌会员,此用户未及时评价，系统默认好评。,2018-03-06 17:18:54,0,0,5
赤***p,PLUS会员,外观真的惊艳，眼前一亮，细纹解锁甩苹果几条街，超级灵敏。系统很流畅，一些功能很好，很方便，一步 大爆炸 胶囊 鹤立鸡群，甩其他几条街 。很人性化，注重细节，让人操作时候不时会感觉很贴心。说说手机割手 好吧 我不知道你们的手有多细腻 能把手割成啥样，老罗也不是做不出来圆形边角 但是 追求完美的工业设计 特立独行的风格，我感觉很好 仁者见仁吧 一般手机都会保护套 因为防滑 免摔 即使那什么我不喜欢戴套 但是 手机 我都是喜欢戴套的 因为自己爱玩 容易摔。系统方面我觉得很人性化，老罗之前说他做的是全球第二好用手机，我觉得完全是有道理的，我之前买的坚果一代，高配的，一发布抢到了，系统真心好用，用到现在还不卡，可能也和个人的使用情况不一样，除了手机电池不耐用之外，系统很流畅！只是不太明白为什么很多人都没有选择锤子？难道是知名度不够吗？还是接受不了这样的情怀呢啊，我觉得老罗应该多发布一些平民手机，千元机，让更多的知道锤子，知道这个手机系统，群众才是王道啊！希望锤子越来越好，我拿到手，第一时间将开箱图分享给大家，希望大家也能支持老罗，支持锤子，讲真，中国真的需要老罗这样的工匠精神做手机！,2018-03-07 14:49:51,0,0,5
觉***空,PLUS会员,手机收到后背面logo里面有个白点，因为激活不能退，凑合用。后来发现屏幕有问题才给退了，退的时候快递员发现了后面的白点，还搞得很严重的似的去打电话问了下能不能退，这是我才发现我可能做了接盘侠。还好发现了屏幕问题才给退了，京东售后服务虽好，但是接盘问题很严重啊，也不知道谁做我的第三手，我这换新也不知道换的是第几手？,2017-05-28 22:50:50,343,74,1
s***s,PLUS会员,非常的奈斯，买到手机当天去贴了膜和壳子，刚到手，以前一直用安卓，第一次体验苹果，还有点不习惯，慢慢适应，不过苹果的的确确比安卓手机流畅，没有出现卡顿现象。,2018-03-02 23:50:51,2,0,5
lJmzkyLsRSXC,银牌会员,这就是在京东上买的苹果机，不到一个月就出现这种问题，客服服务还差。建议大家不要在京东上买苹果，还是去实体店比较好。,2017-10-19 17:40:15,38,12,1
j***o,PLUS会员,帮朋友买的，说没送透气膜！,2018-03-09 10:12:06,1,0,5
小***亭,PLUS会员,外观设计漂亮，感觉比8要好，价格降了，值得购买。金属的后盖放心，手感很棒，还能防水。京东送货快，服务态度好。给五星好评。,2018-03-08 10:06:30,0,0,5
华***愁,金牌会员,好评，正品行货，开机激活时出了点小问题，客服耐心帮忙解答，现在已经解决，买这些贵重的东西还是相信京东的，完全不用担心售后问题,2018-03-07 21:02:48,1,0,5
