名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
s***9,PLUS会员,"第二个iphone了，从5到8iphone一路走来变化甚大，之前没用苹果机觉得国产机也不错，当你用了之后就会爱上他的系统，其它的系统都不足为谈，网上都说iphone只是在卖系统，可就是这样依然有不少人为之动然，都说7plus性价比超高，那也不无道理，众所周知8plus的只是外观改变和多了无线充电，不得不说8plus拿到手上的份量足矣，系统真的好，运行速度超快那是没得说，个别软件有点闪退还是要说一下，还有前后屏幕因为是玻璃材质所以必须十分小心，外观设计风格独特魅力十足确实让人心动震撼，下定决心血本入手一台并且第一次到京东买手机，都说京东买电器不错，想着手机应该也有保障吧
激活并验证了，而且是新发售的新机觉得应该是正品，快递小哥很准时送达，当天付款第二天就能送达，因为城市不在北上广所以隔天送达也能理解，包装用的红色盒子很高大上啊，唯一遗憾的是没有打白条免单，不过能在发售的第一天抢到实乃欣慰，64G还是觉得不够用，索性256G一步到位，用上两三年没毛病，三年以后的iphone会是啥样期待中！希望苹果越做越",2017-10-29 17:37:19,854,807,5
D***-,PLUS会员,"第二个iphone了，从5到8iphone一路走来变化甚大，之前没用苹果机觉得国产机也不错，当你用了之后就会爱上他的系统，其它的系统都不足为谈，网上都说iphone只是在卖系统，可就是这样依然有不少人为之动然，都说7plus性价比超高，那也不无道理，众所周知8plus的只是外观改变和多了无线充电，不得不说8plus拿到手上的份量足矣，系统真的好，运行速度超快那是没得说，个别软件有点闪退还是要说一下，还有前后屏幕因为是玻璃材质所以必须十分小心，外观设计风格独特魅力十足确实让人心动震撼，下定决心血本入手一台并且第一次到京东买手机，都说京东买电器不错，想着手机应该也有保障吧
激活并验证了，而且是新发售的新机觉得应该是正品，快递小哥很准时送达，当天付款第二天就能送达，因为城市不在北上广所以隔天送达也能理解，包装用的红色盒子很高大上啊，唯一遗憾的是没有打白条免单，不过能在发售的第一天抢到实乃欣慰，64G还是觉得不够用，索性256G一步到位，用上两三年没毛病，三年以后的iphone会是啥样期待中！希望苹果",2017-11-24 14:30:06,860,498,5
令***龙,金牌会员,物流速度很快，一大早就收到了，试用了一下午，说说感觉吧，我是把我的5S换了，5用了3年了，手机很流畅就是电池待机不行，一天充好几回。关注8很久了，由于价格太高一直没下手，刚好前几天华为美十也上了，去看过，确实不错，有想入手的冲动，可是这两天关注8的时候看到京东优惠蛮大的，就果断入手了。屏幕确实大，像我这样的大手单手操作都感觉有些难，机子很流畅，用惯了苹果所以感觉很不错，就是希望待机能好一点。不过今天我设置的时候有几次卡顿，直接卡退出了，不知道是怎么回事。等用段时间再来评论用后效果。,2017-10-28 19:32:45,426,132,5
艾***g,PLUS会员,说实话 8p我买了两次 第一次是金色的 后来想想还是黑色好看些 金色是2号买的 当时是5788 还送京豆 后来又送40000京豆呢 真的优惠很大 可是我退了 要不然可以申请保价的 再后来我又看到金色降了1300 也就是5388就可以买了(⊙o⊙)哇这么厉害 但是也没办法呀 已经退了 我就期待黑色也降价啊 降价啊 可是就是不降呢 就期待双十一那天能讲很多 零点一过 价格还是5788 送半年碎屏险 当时犹豫好久没买 这优惠幅度好小呀 没买 但是一会就没货了 想买买不成了 好急人 就等 等到了两点突然变为5888了 啊啊啊 好后悔啊 我又等了 终于知道不会降了 我把他买下了 又亏了??? 真的 我以后肯定是 该出手时就出手 风风火火闯九州！！！,2017-11-12 23:52:51,169,113,5
一***s,PLUS会员,"自5c以来再一次回归iphone,note5光荣退役，这次能让我如此铁了心的回归iphone并不是在于iphone本身，而是airpods，不得不说airpods配合iphone真的太好用了，除第一次适配花些时间外，之后都是秒连，且十分稳定，体会过以往蓝牙的人都应该懂这种秒连的便捷。至于iphone本身，对我而言它比安卓好的地方就只剩下ios的优化了，其他的地方只能说中规中矩。",2017-11-08 22:10:06,34,11,5
雲***露,PLUS会员,第一次买iPhone手机，双十一打折力度挺大的，终于抢到一台。看着还不错。暂时还没发现什么问题 11月9号苹果品牌日抢了几次，终于抢到了。京东物流就是给力，上午下单下班前就收到了 赞一个。,2017-11-13 12:52:12,467,228,5
c***1,钻石会员,"东西已经收到，京东快递送货一流，服务态度也很好，手
机用起来很快，做工问题还是可以，音质各方面都还可以！第一次在网上买苹果手机，希望售后能跟上！",2017-11-13 14:30:34,33,11,5
j***3,银牌会员,目前用起来是不错，就是屏幕的显示比我苹果5黄，其他还不错，挺顺畅，昨天买了无线充，到货后试试，不知道会不会影响电池寿命？？？,2017-11-18 14:58:18,78,37,5
j***實,PLUS会员,感觉吧，挺好用的，对比了一下10.33的iPhone7p128g，感觉差不太多，我想说两句，为了体验iOS11，更新完了以后，7p用电，真的快，对比起来8p，感觉用的真的快，更新了11.01以后，好多了。其次，8p比7p感觉要厚，要重，可能是玻璃背面的原因吧，不过8p运行的很快，很流畅，拍照更加清晰，不过自拍最好用美颜。要不是怕不习惯，就加钱等iPhoneX了，不等了，直接上8p，我也用过很多手机，感觉这个8p，还是可以领先一个月的，毕竟还有iPhonex，安卓的话，本来考虑了三星s8，因为s8真的好看，双卡双待，很多安卓的功能都不错，就是怕用的久了，卡。要是苹果有双卡就行了，那就美滋滋了，上手体验，可以玩游戏，不怎么发热的，续航真的稳，充电慢是比安卓慢，勇敢的人可以直接换充电头，买也行，用别的手机的快充头也行，或者直接插在插板的US2口上也行，我感觉这不是问题，信号和无线网依旧不如安卓，老问题，习惯就好，缝隙问题是有的，7p都看不出来有，所以不敢放水里试。想起来说的的就那么多了，才起来，脑子还没有醒，就这样吧！,2017-09-28 08:42:38,2271,1351,5
西***子,银牌会员,纠结了很久，7p还是8p，最终还是选择了优惠比较大的后者。256的内存于我来讲有点大了，64的应该刚刚好。现在该存的都存了，下了好几个比较大型的游戏，还剩30多个g。之前一直用的金色系，白色的面板看久了有些腻，这次换了黑色的实在惊艳。周围的朋友并不推荐我买8p，我还是坚持自己的观点，玻璃背板很漂亮，性价比挺高，没拆就查了下序列号，未激活的，应该没问题。就是京东包装越来越简陋了，一打开盒子还磕了一角，好在机子本身没事。暂且好评，配送的工作人员也很好，后期使用情况如何会再来追评的。,2017-11-05 22:45:56,168,77,5
