名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
阳***h,金牌会员,"给亲爱的老公大人买的? 老公用了说不错呢，双十一当天晚上抢到的[胜利]为了买苹果X我也是狠了心做好了勒紧裤腰带的准备[捂脸]现在心还是隐痛隐痛滴[心碎]开始的前几天一直没有货十六号配送的，原本以为起码要等十多天的[坏笑][坏笑]机子刚拿到手内心还是有点小激动的！！！机子整体没有毛病，唯一不足的就是 人脸解锁没有指纹的快，有点小沮丧。。。应该时间用长了就习惯了吧? 主要是它的芯片是智能的。这点还是非常棒的。
        其实买很多产品都会出现瑕疵品，就像中奖一样，看你运气好不好了。我在这里呢跟大家分享下自己的一些小经验哟：大家怎么看自己的手机是否有问题，而且还支持退货！
        首先 不要激活，检查外观，看看手机是否有小裂痕之类的，然后检查摄像头是否有灰尘。如果外观没有任何问题的话，然后开机检查屏幕 是否有 红线等情况。记住哟先不要激活，因为激活之后很难退货或者换新了? 因为X开机是白色的 所以很好分辨，如果没有问题那就可以激活了，到这个步骤的话没有出现问题~那恭喜你，没有中奖！希望这些技巧 能帮到大家，如果对大家有用的话 就给我点个赞吧 。
     机子不错",2017-11-22 19:47:01,1773,654,5
小***7,金牌会员,这次买有点周折，从11月3号京东开始预订就一直在抢，可悲可悲，催的是河南一直没货，然后只有发到我同事的发小的北京的家里，然后又花了65块钱顺丰寄回到河南南阳，希望强哥以后给河南也重视一点，毕竟我们是人口第一的是，谢谢强哥，就是这个丧门星的OLED屏稍微有点发红，有图为证，大家可以看一看，ok，京东万岁，京东万岁！,2017-11-19 14:16:00,525,351,5
院***树,钻石会员,2018.2.9 11点多下单，第二天下午一点多就收到了，一直没有舍得打开，应为我一直用安卓机，这次赶上24期免息活动，所以下定决心整一部，其实从出4就一直想买，可是我是贫民，所以一直拖到现在，感谢京东，感谢京东白条给我的高额度，谢谢你们对于我的信任。今天刚开封，苹果手机不知道为什么，我拿在手里总是爱不释手，看到身边的人用，我几乎都会和他们说给我看看，我就过个手瘾，这次一样我爱惜的用，能挺4-5年我就知足了，应为现在还有人在用6。玩了半天了，很难整明白，也不知道都关什么没有用的应用可以让它耗电慢，反应灵敏，没有任何卡顿现象，也没有出现任何毛病，会追加评价，使用心得，在此感谢京东……买东西，就选京东自营……（自营比商家贵500多）,2018-02-11 10:14:05,7,12,5
龙***0,PLUS会员,目前见过最好的手机，用了一会不敢用了，因为越用越爽，喜欢上就麻烦了，因为是送给老婆的?,2018-01-04 20:32:02,442,140,5
相***立,PLUS会员,"手机是1.18下的单，第二天收到的货，收到以后打开包装未激活情况下仔仔细细检查了一遍外观，发现后摄像头里边有一粒小灰尘，电源键旁边有一道小划痕，联系了京东客服本来打算换货的，但是给出的时间是要等机子收回去检测以后，确定是问题了再换，要花上一星期以上，时间有点久。不是很影响，不是处女座，就激活了使用。
用了半个月了，说一下使用感受，不是果粉，上个手机是华为用了两年半，实在卡的不行了就换了，体验体验苹果系统，客观的评价一下。
1.面部解锁，识别率很高，晚上一样，侧面一样，精准度高，不过我在使用的时候发现闭眼情况下解不了锁,
2.重量上相较与之间用过的手机要重一点，不过对于健身的人来说，刚刚好,
3.关于刘海，使用过程中不会过多的去关注刘海的位置,
4.屏幕，使用的是OLED屏幕，色彩还原度好，屏幕细腻,
说了这么多好像都不是问题，但是使用过程中确实没有遇到什么问题，没有所说的屏幕失灵问题（南京最近零下十几度），买的是深空灰的，掉漆问题没发现，买了保护套。用的来说，体验效果不错，做工很喜欢！就先写这么多吧，不黑不捧，自己体会！",2018-02-02 19:49:03,11,2,5
天***9,金牌会员,等了十多天终于到了。  挺给力的。棒极了,2017-11-18 12:15:15,50,23,5
深***吊,PLUS会员,苹果X真不错。喇叭很给力，我都当扩音器用。还有就是手电筒，我下矿现在都不带头灯了，苹果X一拿出来，整个矿都亮了。信号超级给力，记得有一次当时我们矿透水塌了，地下6000多米，500多名工友手机没信号，我拿出我的苹果X打通了求救电话，而且苹果X电池特别耐用，当搜救队找到我们时，由于塌方，他们用绳索吊上去200多人，可是由于二次塌方，电全部断了，如果不快点儿救人，我们就全完了，我拆下我苹果X电池搭通了升降机，当时整个矿全部亮了，全部通电了，升降机轰隆隆的，以前一次拉10个人就不行了，用了苹果X电池一次拉50多人，5分钟就救出所人有人可是还有人受伤了，没有救援设施，唯一的交通工具就是一个工友的四轴飞行器，我拿出苹果X电池，装在飞行器，下面挂了四个升降机吊兰，一次装80多个伤员和一个遥控员，半小时从拉萨飞到北京协和医院，医生都感到不可思议，等救完人，遥控员又从北京飞到拉萨把电池还我，我装上电池，还有98的电,2017-12-12 15:39:18,4247,1133,5
位***神,金牌会员,手机是全新的，用了两天，更新了次系统感觉还行，直接从安卓指纹机换成X，差不多一天就习惯用了，电量和安卓用的时间差不多，可能是我的那个安卓机电池老化了吧，时间长点会追评,2018-02-24 17:39:52,8,1,5
没折腾明白,PLUS会员,京东商城值得信赖，京东快递给力，iPhoneX我们公司自己生产的，很赞，质量很好，值得购买。,2017-11-15 18:41:40,70,28,5
R***丶,PLUS会员,用了两天，没发现问题，这么贵的东西，心真是在滴血。屏幕显示效果真的棒，看着舒服，反应也贼快，比7p长，但也窄，细长的屏幕，用惯了7p感觉有点窄了。屏幕贴了膜很丑，很厚，但还是保护起来安心。原价送无线充电器，虽然没大用，但是新鲜，不算亏，就是刚过一天就有200券，还送官方壳。不过我还是选充电器的套装。壳是自营买的45的原厂硅胶，手感滑滑的，不留手汗这点是很满意的，就是不知道跟官方壳有什么区别。屏幕有原彩功能，就是变暖屏，但是我看一段时间会头晕，可能是不适应吧。细腻度比7p好一些，更加柔和。,2018-03-02 01:26:42,2,1,5
如***n,金牌会员,电池续航还可以，颜值，质量好，软件最强。拍照与摄像功能都很强。,2018-03-06 18:45:53,0,0,5
