名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
多***你,PLUS会员,在老家，没网没WIFI，为了评价这个商品，我走了几十公里的山路来到镇上，脚上磨起了许多豆大的水泡，鞋子也开胶了。本来想把家里的苞谷卖掉几十斤，在镇上坐车到城里的网吧来评价的，无奈天公不作美，今年收成不好，种的粮食只够家里吃，所以我只好在镇上的砖窑里打工，挣足路费。从砖窑搬一块砖到拖拉 机上只给一分钱，为了100块的车费，我搬了一万块砖，十个手指头都磨出了鲜血，为了省下车费，我没贴云南白药创可贴，让血液自然凝结。之后拿到搬砖钱，我坐上了从镇上开往城里的汽车。来到网吧，一摸兜里，没有三块钱的上网费了，少搬了*块砖。我只好在大街上四处奔走，守望着那些喝矿泉水的人们，当他们将矿泉水瓶从手中抛出的那一刹那，我就像守门员扑球般扑去了，生怕矿泉水瓶被别人抢去了，你理解我迫不及待的想五星好评的心情么?,2017-12-14 10:21:51,35,5,5
a***3,PLUS会员,iphone初感觉还可以，边框比较圆润，手感很棒，5.5寸终于用到了1080P，视觉效果很好，系统非常流畅，这个不得不承认苹果的系统还是不错的。。。。摄像头，个人使用感觉良好，拍照对焦非常迅速,2017-10-30 23:17:31,6,13,5
多***你,PLUS会员,在老家，没网没WIFI，为了评价这个商品，我走了几十公里的山路来到镇上，脚上磨起了许多豆大的水泡，鞋子也开胶了。本来想把家里的苞谷卖掉几十斤，在镇上坐车到城里的网吧来评价的，无奈天公不作美，今年收成不好，种的粮食只够家里吃，所以我只好在镇上的砖窑里打工，挣足路费。从砖窑搬一块砖到拖拉 机上只给一分钱，为了100块的车费，我搬了一万块砖，十个手指头都磨出了鲜血，为了省下车费，我没贴云南白药创可贴，让血液自然凝结。之后拿到搬砖钱，我坐上了从镇上开往城里的汽车。来到网吧，一摸兜里，没有三块钱的上网费了，少搬了*块砖。我只好在大街上四处奔走，守望着那些喝矿泉水的人们，当他们将矿泉水瓶从手中抛出的那一刹那，我就像守门员扑球般扑去了，生怕矿泉水瓶被别人抢去了，你理解我迫不及待的想五星好评的心情么?,2017-12-14 10:22:26,7,4,5
l***z,PLUS会员,真的挺不错。估计是官翻机。发热的。买个备用机也不用要求太高。,2018-02-15 15:36:00,4,0,5
a***3,PLUS会员,就我拿到手里的感觉，厚度很薄，转角机身圆润，如果不戴套子，这个手机拿手里真的很漂亮，戴了套子会在一定程度上影响美观。如果你非说这个远看像三星那也没什么，总之机器的整体工艺还是很不错的.至于手感其实也很好，感觉很轻很薄，一个手操作是完全没有问题的，放口袋里比5S更占地方了，但是还好还能接受。,2017-11-23 15:12:24,1,1,5
乐***哥,PLUS会员,"常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong custo",2017-12-14 15:17:43,1,0,5
j***k,PLUS会员,一直买这个牌子的商品，一直在用！很好用！购物我相信京东，我一直是京东的支持者，力挺京东，价格全网最便宜， 最保真，服务最好，物流最好，尤其快递小哥送货速度非常快，强哥我相信京东在你的带领下会一直好下去，谢谢京东，谢谢强哥，谢谢！！！,2018-02-22 19:44:36,0,0,5
浩***c,PLUS会员,"穿上宝贝试了，挺好的，大爱.以后还会买这家宝贝
怕不合适又问了客服，推荐也是这个，刚好，态度好哦
大小刚刚好 挺喜欢的 不错，宝贝质量还可以，满分
还不错，要比想像中好多了，质量不过还可以，好评的。
很不错，朋友很满意，客服服务态度非常好，非常满意。
朋友说很喜欢 又帮朋友买了两件 质量好 服务好。卖家好
摸着很舒服穿着很合适，卖家发货速度也很快，态度也很好！
宝贝很好看，质量很好，料不错，物流也很快。不错值
很不错，穿起来很舒服。颜色也好看，很喜欢，不错的满分。
料不错款式简单好看，有需要的朋友赶紧下手吧，很好的
宝贝和图片上的一样，质量很好，非常合适，总体满意
大小正好，颜色很正，是我喜欢的类型，穿起来很耀眼哦",2017-11-01 07:42:55,1,3,5
龙***3,PLUS会员,终于买到了心仪的苹果六了。起来系统特别流畅啊，就是这个操作安全系统。的确应该可以煮饭吧，相比安卓的人来说，安卓应该给六七分。那是他注册那个爱哭的那个账号。确实比较费劲。i love you。我还是挺喜欢苹果的。,2018-01-31 19:06:53,1,0,5
极***狂,金牌会员,非常幸运又买了个好东西官网查了一下，技术支持3个月，保到明年2月22日，型号M开头，百度搜索了一下机子是零售新机，用了一下反应灵敏，不足的就是有些买家提过的home键左边稍微按一下就有吱吱响声，摇摇手机会发出沙沙声。前三个月买了个6sp 就没有这个现象，6sp是京东自营的，用到现在没发现任何问题。,2018-02-22 10:42:07,0,0,5
时***你,PLUS会员,"经过我的亲身体验，这家店信誉是相当地不错。宝贝的质量更像钻石一般。太感谢了！
不要以为信誉低的卖家货质量不好。我用我的亲身经历告诉大家，掌柜服务态度非常好。商品质量也非常不错。顶你了！
呵呵。商品这么快就到了",2018-02-18 14:48:08,0,0,5
j***d,PLUS会员,经典好用，经典好用，就是物流太垃圾了。,2018-02-09 11:11:43,1,1,5
莫***蓠,PLUS会员,非常好，很好用。物流也很快，赞。,2018-01-31 10:41:04,1,0,5
j***b,PLUS会员,手机系统非常流畅，电池续航能力强，外观也很漂亮，物流和服务都很棒！,2018-02-24 22:39:23,0,0,5
w***1,PLUS会员,手机是正版的，画面清晰，操作流畅，很不错，喜欢。,2018-02-24 16:45:35,0,0,5
会***6,PLUS会员,收到了，画面很流畅，包装很好，发货速度也很快，真的超值，太满意了,2017-11-24 16:09:20,1,0,5
h***3,PLUS会员,目前我家都买几个这手机了，不好的话还会买么？,2018-02-09 16:19:45,0,0,5
p***0,PLUS会员,发货超级快，质量没的说非常好,2018-02-10 13:12:33,1,0,5
H***5,PLUS会员,很漂亮，够我用了，就刷微博，微信，拍照，很好，性价比高，不卡，物流很快 给妈妈买的，手机昨天就收到了，体验了一天，效果非常棒，查了序列号也是刚激活，是正版行货，非常满意,2017-12-15 15:29:36,1,0,5
宇***1,PLUS会员,手机非常好，是正品。,2017-12-10 00:23:00,1,0,5
z***3,PLUS会员,外观还可以，运行速度感觉还是有点慢了，做一个备用机还可以。,2018-03-02 14:52:53,0,0,5
彭***2,钻石会员,手机收到了，物流速度很快，手机原封无拆除痕迹，未激活，用起来也没有问题。,2018-03-04 11:03:56,0,0,5
一***u,PLUS会员[试用],现在买啊很实惠，运行很快不卡，很漂亮，手感不错，价格也合适，非常满意！,2018-02-05 10:42:23,0,0,5
j***c,银牌会员,服务方面可以，有问必答，用段时间在作追评,2018-02-11 13:09:52,0,0,5
j***n,PLUS会员,再买这个苹果手机之前，我用的一直都是安卓手机，这次终于可以买一台苹果手机用了，很开心，卖家发货速度很快。,2018-02-10 10:55:52,0,0,5
j***u,PLUS会员,"经过我的亲身体验，这家店信誉是相当地不错。宝贝的质量更像钻石一般。太感谢了！
不要以为信誉低的卖家货质量不好。我用我的亲身经历告诉大家，掌柜服务态度非常好。商品质量也非常不错。顶你了！
呵呵。商品这么快就到了",2018-02-18 14:41:24,0,0,5
貂***哦,银牌会员,整体来说都很好！！用得还顺手女朋友还喜欢！！不过就是能送个套最好了！！自己买套不合适,2018-02-12 00:02:42,1,0,5
j***b,PLUS会员,收到手机了，特意使用了一段时间后，才评论的，运行流畅，非常满意。,2018-03-06 16:39:11,0,0,5
j***m,PLUS会员,性价比现在来说还是不错的，朋友看到我买了，嚷嚷着也要买一个，今天收到了，很喜欢,2017-11-21 15:13:43,1,0,5
a***2,PLUS会员,在京东购物物流超给力，质量杠杠的，价格又便宜，值得购买。,2018-02-24 12:04:53,0,0,5
j***w,钻石会员,"京东商城购物物流给力！质量上乘性价比高,！客服满意！值得推荐给大家购买！",2018-02-26 12:26:39,0,0,5
着***裙,PLUS会员,挺好的，现在还值这么多钱，很保值呀。使用效果还行。,2018-02-09 14:26:09,0,0,5
d***梅,PLUS会员,物流很快很给力，帮朋友购买的的挺好的,2018-02-05 10:44:27,0,0,5
_***轻,PLUS会员,价格实惠，质量不错，非常满意,2018-02-26 23:55:38,0,0,5
大***白,银牌会员,用着还不错，充电特别快，反应快，总体来说还可以,2018-03-01 14:13:05,0,0,5
h***n,金牌会员,不错，虽然苹果的激活是麻烦点。现在还没激活。,2018-02-20 17:47:19,0,0,5
无***8,银牌会员,放在手机盒旁边的两个空口袋，始终没搞明白。,2018-03-04 22:38:30,0,1,5
溪***小,PLUS会员,发货还算快，买完涨价了,2018-02-27 16:55:24,0,0,5
b***5,PLUS会员,好，很好，真的很好，不错呀,2018-01-06 19:54:53,0,0,5
爱***买,PLUS会员,给爸爸买的手机非常好用，值得购买，虽然现在有点落后了，但是老年人用还是非常可以的，很值得购买，感觉再用两年也不落伍。,2018-02-07 00:13:28,0,0,5
j***8,银牌会员,左下角，右下角，音量键附近按压有咯吱咯吱响声，申请退换货，两天未回复，正在申请纠纷单，，网购需谨慎，，，，,2018-02-21 11:20:10,0,0,5
6***兰,PLUS会员,首先非常感谢京东这个平台给我如此美好的购物体验，拿到手机用了好几天了，就说说我最真实的体验。1:样子特别美，爱不释手，让人留恋。2:拍照成像特别好，双摄人像都能拍出来我想要的效果，对于够用党的我很满足了。3:系统很流畅，指纹秒解，打开软件速度也特别快，应用切换丝毫不卡。,2017-11-30 21:34:54,1,2,5
你***贼,PLUS会员,感觉重量有点轻 总体还是挺满意的  用两天看看再说。但是为什么要20字,2018-02-22 21:32:42,0,0,5
1***E,PLUS会员,收到手机了，特意使用了一段时间后，才评论的，运行流畅，非常满意。,2018-02-26 22:03:28,0,0,5
w***建,银牌会员,给爸爸买的手机，没要三天就到货了，物流很给力，手机爸爸也很喜欢，一次很不错的购物。,2018-02-28 16:22:44,0,0,5
h***1,PLUS会员,质量很好,2018-01-12 12:00:06,1,0,5
毛***4,PLUS会员,不错，商品物美价廉，到货快，质量也不错，很值得赞一下，好,2018-03-05 08:22:04,0,0,5
j***p,PLUS会员,京东的货物都不错，非常好，感谢京东，祝京东越来越好，手机好用,2018-02-04 18:31:34,0,0,5
