名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
李***亖,钻石会员,"手机还可以?本人玩1000多把联盟，坑了900多局，精通各种辱骂队友方式。卖队友达三万个，熟练掌握抢人头时机。玩英雄尸体躺过召唤师峡谷每个角落，练成极限送人头方法一千余种。拥有各种挂机理由800多个。你们再装比，把你们区的最强王者全坑成青铜五。本人文能挂机喷队友，武能越塔送人头. 进可孤身一挑五，退可坐等二十投. 前能飞脚救残敌，后能放墙堵队友. 静则百年不见人，动则千里送超神.英勇闪现送一血， 卖起队友不回头. 顺风浪，逆风投，问君能有几多愁，五人四坑二十投。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
　　　　　",2017-06-28 15:38:24,422,78,5
七***级,PLUS会员,质量很好 绝对是原封国行正品 还送了钢化玻璃保护膜和支架 很满意 赞！！！,2017-08-16 13:56:33,30,7,5
j***o,PLUS会员,一直信任京东，618大促期间买的，给家人也买了一个，用了很多手机，苹果的就是比较流畅。小哥服务很好。物流也很快。,2017-06-28 17:42:26,49,13,5
j***b,PLUS会员,6没有锁屏呼叫Siri的功能和3D按压！touch！逗Siri不是很方便，只能充电时可以呼的了，不过充电谁没事呼呢！？手机充电最好不要用是最明智的选择！美观和速度都很快，性价比超高！我是买来做配机打电话用，使用方便，手感好！不过太大，不好打电话抽出插进的！跟不顺手！太大了！怕拿不住点了就心疼了！很不错！32g！够用了！总结以下！希望你们投其所好！喜欢就上！不要纠结哦,2017-11-27 19:24:04,4,1,5
j***a,PLUS会员,帮同事买的，看着没问题，同事出差了，只有等她回来自己拆开看了,2017-10-28 17:50:53,2,1,5
一***d,PLUS会员,"用了一段时间才来评价，手机确定是正品国行，已经在官网查询过了，没有问题，一年的保修。手机自带iOS10.2用起来体验虽然没有6s,7好，但是也没有外界所说的那么卡顿了，满足日常使用是没有问题的。手机实际内存27GB左右也足够用了，性价比感觉还行吧，手机目前用起来没有发现问题。",2017-06-28 10:25:45,24,7,5
l***狂,PLUS会员,"常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience. ！",2017-11-20 12:43:36,0,0,5
j***7,金牌会员,手机非常好，商家发货太慢，超级慢，快递速度可以。,2017-12-10 17:55:20,0,0,5
j***5,金牌会员,京东买的产品没的说是正品支持京东,2017-12-10 09:39:19,1,2,5
木***式,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2017-12-19 09:27:08,0,0,5
请***达,PLUS会员,京东送货很好，手机是正品苹果，真的太好了，一直买不起苹果，终于等到六降价了，太开心了，以后我也是土豪了，这样就能和有钱人一起玩儿了，要不然真的很孤单。每次看到朋友们拿着苹果都默默地自卑,2017-06-16 18:20:39,34,25,5
马***公,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配
送等各方面都是做的非常好的。送货及时，配送员也非常的
热情，有时候不方便收件的时候，也安排时间另行配送。同
时京东商城在售后管理上也非常好的，以解客户忧患，排除
万难。给予我们非常好的购物体验。Thank you very much
for the excellent service provided by Jingdong mall,
and it is very good to do in warehouse management,
logistics,distribution and SO on.Delivery in a timely
manner,distribution staff is also very enthusiastic,and
sometimes inconvenient to receive the time,but also
arranged for time to be delivered.At the same time in
the mall management Jingdong  加油啊",2017-12-08 00:01:57,0,0,5
F***e,钻石会员,很好。帮朋友买的。很满意。价格便宜,2017-11-29 14:24:43,0,1,5
小***哭,PLUS会员,"几年前逛京东还不是那么的信任京东，现在信赖
首选京东，默默哒一直看着它一年一年发展的越
来越好，心里也在为京东发展壮大而加油打气。
为什么我喜欢京东购物，因为可以当天买自己喜
欢的商品，明天就可以到达客户的家中，为什么
我所有的评价都相同，因为在京东买的东西太多
太多，商品积累的太多没有评价，最佩服的，还是
京东物流，有时晚上11点前动动手指，购买的商
品，第二天上午就送到单位或者家里，还可以刷
卡付款。自营的商品挺有保证，售后，有问题打专
属客服热线。客服很赞，一句话的事儿，直接上门
取件退，上门更换新商品，家电有价保，一个月退
货，半年换货，实体店儿弱爆了，根本没有竞争力
与京东相提并论, 比老家的商铺街上的价格省了
一大截票子哈，宝宝平时基本不逛街，在家卢言
问
东商城就能买到合意的超值商品，有些明显
市还划算，而且还一模一样的吃喝生活用品哟、
小宝贝们快来选购吧! 既省钱，又节省时间、个过
支持信誉商家京东",2017-12-10 00:47:26,0,0,5
