名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
醉***年,金牌会员,买之前纠结了好久，一直在纠结是要买果7还是要买vivo，后来发现还是喜欢果7多一点，所以就狠狠心的买了。在收到手机之前，一直在期待着，总是不自觉的要看下物流速度，总算是在2天之内拿到了，太开心了。这家店很不错?，服务态度也很好，发货速度和物流速度也是超快的。而且还有那么多的小赠品。,2017-09-04 20:34:47,5,9,5
啵***常,钻石会员,手机收到了 感觉还是蛮不错的，虽然有点小插曲不过总体来说还是不错的跑分虽然没有那么高感觉自己喜欢就好了总体来说满意 图片给你们参考一下 喜欢而还在犹豫的小伙感觉抓紧时间下单吧,2017-06-12 11:31:38,37,22,5
j***a,银牌会员,我的到了，非常完美，我啥也不会说，总之不错，是国行正品果7,2017-11-09 22:14:17,7,1,5
1***p,金牌会员,两天就到了，是正版国行的手机  出乎意料的好   还送了礼品,2016-11-13 13:57:31,100,51,5
j***q,银牌会员,新松联旗舰店，国行正品，一直以来都在关注新松联旗舰店。发货的速度也很快。一天就到了。快递是顺丰的。送的礼物也很好。价格公正。用了十几天了，很不错。神一样的速度。下次一定还在新松联买手机。祝新松联旗舰手机店。生意兴隆，,2016-12-08 21:47:47,94,24,5
z***a,金牌会员,发货很快，快递也给力！亮黑色的质地像钢琴漆，看着很有档次。手机用着不错！暂时没有发现问题。送给男朋友的，他很开心哦！,2016-12-09 18:16:32,14,29,5
S***n,金牌会员,是真货 已经激活了 这是在京东买的第三个iphone…,2017-11-16 11:52:19,0,2,5
c***c,钻石会员,现在用的三星s7e 因为右边屏幕裂了一条缝，身为强迫症的我买了7，结果发现，除了系统，一无是处。屏幕不是2k的，各种不适应，总感觉有噪点，相机也就那样。哎！还是用s7e吧！真是失望！是不是正品还不知道，等以后再验证吧！,2017-02-23 21:03:52,86,24,3
j***0,银牌会员,我有苹果6现在有苹果7,2017-03-22 22:08:21,42,26,5
婧***珊,PLUS会员,水果机还行  便宜点就好了！京东物流有小插曲！,2017-11-22 09:05:28,2,0,5
流***南,金牌会员,质量没有任何问题，网上验证显示是真机，用了一段时间才评价的，给个好评！！,2017-12-08 19:43:32,1,0,5
a***g,银牌会员,6月8号买10号下午收到，领券折，扣价4.4.5.1，算是可以接受范围，可惜618更加少了150块，心塞啊。今天才有空做评论，使用了接近两周，手感，流畅度不用质疑，正版，虽然是32G ，对于我来说装完所需软件还有18G，平时拍拍照什么的，128太大了，感觉苹果就是欺负人，不出64G了。配件那个垃，圾，哎，真不想说，略过吧，手机壳，保护膜，后盖贴都是另外买的，接近100块了，送的那些真是街边货都不如，希望能用3年吧，话说，我的旧5S用了3年终于退役了。,2017-06-23 23:52:42,15,0,4
