名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***h,PLUS会员,包装不错！用个气垫膜包装挺好的！送货也快！全新机！,2017-11-05 22:03:27,24,20,5
枫***南,银牌会员,用了两天感觉，蛮不错的，反正我是觉得很顺畅，没有点卡顿，就是发货速度太快了！我双休都没有休息好就跑回来拿手机！一大早上的,2017-12-26 10:56:56,5,1,5
不***龍,PLUS会员,明显二次封装，划痕在手机盒上，而不是在外塑上。有摔的痕迹。算了。做活动2999元买的，还能要求咋滴吗？,2017-11-14 08:25:08,33,37,3
j***e,银牌会员,用了快一个月了，手机反应很快，查了是正品，可以放心购买,2017-11-29 19:50:02,51,9,5
j***y,钻石会员,所有东西都在这里啦，总而言之，还可以吧，有时候用起来觉得很慢一样，可能是网速不好。用一段时间再来评论吧。快递小哥服务很好的哦。憨厚的快递员。点赞。,2017-04-24 20:42:14,172,51,5
Y***2,金牌会员,很好，激活了官网查询是正品和注册ID正常，质保一年，用起来很流畅。各种数据都正常。没看出来有啥毛病。在派件的时候遇到了特别情况，介意店家打包装的时候不要把产品信息这在外面，派件的快递员看到了容易在搞鬼。先是莫名其妙的手机就签收了，马上追问快递员及商家，快递员说输错手机号码了。然后告诉我手机放在公司前台后面的柜子(旁边两米就是蜂巢)，快递员一会说丰巢柜坏了，一会说满了，本人严厉要求放置蜂巢才作罢。我想问快递员什么东西应该放蜂巢，什么东西不用放蜂巢你不懂吗？你这样反复倒腾为哪般？,2017-06-23 13:11:25,68,19,5
肥***丶,银牌会员,买了两台，我一台男朋友一台。很正版,2018-03-04 00:43:14,0,1,5
j***d,银牌会员,等了两天才到，打开看是正品。用一段时间再评论。,2018-01-23 15:32:45,5,3,5
雯哥哥1985,金牌会员,包装都挺好的，很结实很细心，赠送钢化膜和保护套很实用，不错！是全新未开封国行，三码都可以对的上，令我惊讶的是，生产日期就是到货当天！系统是最新10.3！真的腻害了，3月28生产的，保修一年查过了，不错！用着都还不错。玫瑰金骚气，就是重量有点沉，感觉提了大砖头似的！192 克啊，厚度也增加不少！不过电池很耐用！刚拿到都是100%的电，是正品！,2017-05-07 18:03:54,98,34,5
l***7,金牌会员,"1.首先看它外包装的那个上面的那些气孔，是不是整齐的？
2.然后再看他的那个腰线，还有四个角的那个封口。
3.根据根据那个包装盒后面的IMEI码打电话到官网去查询是不是全新未开封未激活的
4.这3个都没有什么问题的话，就可以拆开那个包装膜了
5.材料包装之后，然后检查，手机的外观接口屏幕是不是就是有人用过的痕迹，然后就是，就是包在手机外面的那一层包装膜也要看一下
6.然后猜猜看那个就是手机卡卡脱了，然后看一下他的那个码，那个手机外包装的号码是不是对上了还有说明书后面那个码
7.最后鸡最后开机，不要进行任何的下一步操作然后点开那个右下角有个感叹号，那里就可以看到它的imei码。
8.在跟之前的，四个前面看到那几个imei码心比对，是不是全部对得上
9.然后最终激活请确认完之后放心使用。",2017-05-01 10:29:45,406,11,5
