名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
时***6,PLUS会员,是正品，没有问题，没有激活过，颜色非常的漂亮，这是，iPhone7plus，里边我认为颜色最好看的一个，非常的有中国特色。卖家的服务和价格都没的说，电子发票已经领了。,2017-10-29 22:25:27,70,25,5
A***9,银牌会员,首先查了，是正品，不是翻新机，一点毛病都没有，。手机非常喜欢，的确用惯了苹果手机，别的都不想用。非常适合爱美的女生。,2017-10-31 21:44:37,29,18,5
丨***天,银牌会员,用着不错，去查了，是当天激活的，不是翻新机,2017-09-26 20:28:43,34,14,5
j***3,钻石会员,占时没有什么问题，外包装完整机器是全新的。颜色非常喜欢，系统反应速度很快！自从6开始有了5.5寸屏开始一直用苹果主要是自带系统内附带app少，这点比较喜欢。,2017-05-06 11:30:37,152,43,5
寒***野,PLUS会员,好大好帅气。送给女朋友的礼物。小家伙很开心。苹果官网查询了，正品机，值得购买！,2017-11-05 20:38:30,20,5,5
狮***8,PLUS会员,第一次买苹果，觉得还不错，应该是正品，有电子发票，很方便。,2017-08-07 20:37:10,57,11,5
土***5,金牌会员,收到宝贝确定不是翻新机就激活了 已经用了一星期多了  手感不错反应快   价格也合适 相比别家便宜了不少   很满意,2018-01-08 16:23:45,1,1,5
j***s,PLUS会员,确实是正品，到官网可以注册激活，价格很实在，运行速度很快，拍照也特别清楚,2018-01-04 09:41:09,0,0,5
j***l,PLUS会员,"因为苹果售后必须要发票（纸质/电子都有效），所以选择京东，但是京东直营店没货，急要的话贵100也算了。所以选择新松联。一开始比较担心，朋友在质疑、网上也在传京东卖翻新机，因为对自己的检测手段足够自信，所以勇敢地买，好好的检测，最终发现是正品无误（发票初步从代码看也是真的）检测办法提供其他小伙伴（按顺序）：1.拨打苹果400官方售后，查Imei是否激活（能查到型号，说明是苹果生产的无误，未激活情况下查不到保修期的，说明是全新未激活无误）2.再检查发票，保证以后售后无忧，发票可以查代码、号码，都能正确输入基本没问题。3.最后再激活手机（注意，别一拿到手就激活，否则无法退换），激活后再拨打400查询保修时间，激活时间和一年有效期限。
总结：3个步骤都都没毛病，这台机子就不会有什么大问题了，除非人家拆你包装换你配件，这个从技术角度非大神是很难察觉，不过都是小事，当然也可以投诉，但反正，手机没问题才是最重要的，希望对大家有用。",2017-08-05 11:19:23,201,18,5
小刚刚是小狗,金牌会员,用了一段时间了。还不错，没有什么问题。对京东挺放心的,2018-01-20 13:15:51,0,0,5
