名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***3,PLUS会员,手机系 真货，感觉这次的7没有了以前苹果的产品的级数，主要现在各品牌手机都差不多，没有了苹果，我还是喜欢华为，这家店还可以指客服和产品,2016-12-02 20:14:11,268,85,5
你***1,银牌会员,在京东双十一购买的苹果7亮黑色！一直出差在外，到今天才来评价！我一直是果粉，从iphone4开始就一直使用苹果手机！用了有六七个年头了，喜欢iPhone强大的操作系统，比安卓强多了！在京东第二次买手机，对京东的产品口碑还是很不错的，服务也没话说，买的手机相信也是正品！体验了10天还行，老婆快生日了，考虑京东上再购个果X送她！支持京东！,2017-12-02 09:54:12,6,7,5
p***1,PLUS会员,"非常的亮哈,苹果7顺畅多了，好用
比别家店还优惠一些
比较之后选择了",2017-12-27 19:18:06,5,1,5
问***6,银牌会员,我从拆包装到激活都拍了几张照片，总体感觉还不错，用序列号查了保修余时，还有一年，保修刚好一年。证明是新机。但送的东西确实不敢恭维，先给好评，用一段时间再来追评。,2017-06-12 10:31:29,48,20,5
c***S,PLUS会员,机子还好是正品但更新系统后摄像头闪光灯打不开,2016-11-28 11:42:04,179,41,5
啵***蓝,金牌会员,帮室友买的，手机挺好用的,2017-10-31 16:30:41,15,4,5
来***咯,金牌会员,是全新未激活的！买的时候纠结了半天买7还是买8最后还是选择了7！不过很好也很喜欢！快递也很快！,2017-11-22 17:33:50,9,4,5
s***G,银牌会员,看起来没啥我问题，看了看序列号，是正品，刚好你开机到明年的这个开机时间1年，也就是保质期你多久用他就多久开始保,2017-11-01 00:49:52,8,3,5
w***9,PLUS会员,不错，确实漂亮。相信京东相信苹果。这是我在京东上面购买的第8个苹果了，正品保障你值得拥有！买来送美女的！,2017-12-16 11:18:29,3,2,5
T***7,金牌会员,手机收到 是正品 希望一直好用下去,2017-03-31 17:30:19,29,5,5
j***1,金牌会员,手机挺好的，用了两周来评价，没任何问题,2016-11-17 10:36:42,100,41,5
D***g,钻石会员,物流送货快，包装很好，手机是正品，很流畅，送给爱人的双十一礼物,2017-11-16 20:38:54,2,2,5
j***q,银牌会员,正版的新机子   今天刚到  目前还不错  没啥问题  后期在看吧,2017-12-16 20:22:22,1,1,5
