名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
康***7,银牌会员,在这买的手机，拿回来就一直这样。买回来去手机店看了，说是硬件问题。很惆怅。,2017-11-23 18:44:48,261,53,5
邓***4,PLUS会员,手机是正品，全新未开封，下次介绍同学朋友过来购买,2017-07-31 18:51:14,36,43,5
g***6,PLUS会员,质量不错的，很满意的一次购物！！,2017-06-12 08:56:45,37,25,5
j***h,PLUS会员,给老公买的，看着还可以,2018-01-18 22:04:31,5,4,5
A***e,PLUS会员,正品没问题，不过没有想象的快，买完第二天降价60块，不过也不玩游戏，就这就很好，主要是想换个系统用用,2017-11-17 20:48:40,10,4,4
J***L,PLUS会员,质量不错?物流速度快，客服态度好。,2017-12-28 22:02:05,0,0,5
江***8,钻石会员,"手机是正品.用了几天,也挺好的",2018-01-20 08:42:41,0,3,5
忧***重,PLUS会员,苹果手机，很大牌，名副其实，不过时，超级实惠的价格，京东的东西好，速度力，用起来很舒服，是想要的东西，速度想当的快，京东物流快，质量好，以后就一直在这里买东西了，京东，点赞赞,2017-06-17 01:00:52,64,16,5
陈***5,PLUS会员,很喜欢这个手机是正品，也是原装的，反应很快，而且商家送了小赠品，喜欢,2017-06-12 11:33:40,15,7,5
s***4,银牌会员,正品！客服很耐心！收到货有几天了！才来评论！物有所值,2017-07-22 05:35:06,15,6,5
j***p,PLUS会员,全新手机，用了几天来评价，运行流畅，买这个手机主要是和汽车carpaly联机，效果不错，导航，听音乐，打电话，提高开车安全糸数，用了几天非常好。,2017-12-21 20:33:33,0,0,5
华***猫,PLUS会员,":这代的外观实在感觉不怎么样，屏幕虽然大了，但是后背做的略丑，以前带套是为了保护，现在带套是为了遮丑了,做工外观:做工还是很不错的，苹果的一贯水准，但是外观说实在的就有些难看了，尤其是金色的，背后那俩白条实在是太显眼了，摄像头的话，真机倒是没有照片里那么难看，突出一点点,配置性能:配置一般般吧，主要是系统好，万年的1G运行内存也该升级升级了,系统流畅度:流畅度还好，就是8.1的系统不怎么好用，好些软件也还没适配好，弄得现在各种小毛病，不是显示有问题就是经常闪退,拍照效果:没有光学防抖效果也很不错了，对焦很快，成片率高，基本随手一拍也都能用。而且最近大减价，太划算了哈哈哈。。",2017-08-23 09:19:36,7,1,5
j***u,银牌会员,手机是正品，原装的，反应灵敏！上几张图大家看看吧！用几天再来评价,2017-04-27 14:16:20,62,17,5
大***3,银牌会员,还可以，用一天没问题。,2017-05-31 10:48:31,9,10,5
龙***茶,银牌会员,官网显示是全新机，配件也仔细检查了，应该是全新正品，送的膜壳质量一般，不过过渡一下也不错，价格确实挺公道。但是拿回来第一天用微信就卡，而且还死机了一次，重启就好了，不知道以后还会不会出现别的毛病。店家是好店家，iPhone已经不是以前那个完美的iPhone了。,2017-04-21 21:01:19,35,8,5
j***a,PLUS会员,好用的苹果手机！下次还来购买！,2017-08-07 09:55:52,4,2,5
j***p,PLUS会员,很满意的一次购物，服务态度超级好，还会再来的！,2017-06-17 13:10:28,6,7,5
j***b,银牌会员,非常好，全新的，很满意，快递三四天才到，还是满意的，其他的用了看，还有赠品,2017-09-05 08:23:47,2,7,5
我***厚,PLUS会员,OK，完全没问题，激活前后都查了序列号，比激活当天晚一天，这个很正常，数据线耳机上有英文，充电器里面有序列号，东西实惠还送壳膜，全五分好评！推荐,2017-06-13 08:57:07,6,5,5
o***端,银牌会员,已经开始用了，苹果第一代都好几年了，一直用着没毛病，就是内存量太小，还这款可以轻松上网下载拍照了，8月8号活动卷买的还是觉得价格便宜，在这里的专卖店要贵小1千的，不敢直视而且没有样机看说是不出品了？这款6是全新的可以买的，最好配个专业点的壳子，送的东西都不太好临时用下，感觉还能降价现在买就提前用了，总之还满意啦！！,2017-08-19 17:51:37,2,1,4
2***我,PLUS会员,发货速度很快，晚上下单，第二天上午就可以收到了，快递速度很好。手机也用了一段时间，流畅不卡机。苹果手机这个价格买到，很划算，太给力。卖家还赠送了膜和手机壳，很负责，必须要支持，给5分。,2017-08-26 23:19:37,1,0,5
j***d,银牌会员,?是给老爸买的，下单的第二天就收到了，特意用了几天才来评价，手机使用很流畅，官网上查了是正品，卖家服务态度很好，物流发货速度也很快，还送了点实用的小礼品，物有所值了。,2018-02-09 07:17:02,0,0,5
走***远,钻石会员,手机还没到手就降价了，当天比京自营还要贵，客服也不退差价，一幅爱咋咋地感觉，准备退了重新买！拆了手机放在旁边，但是被猪一样的队友坑了给激活了。真是难过哭死算了。,2017-04-28 19:57:22,37,1,5
j***7,银牌会员,怀着不安的心情等着顺丰快递，早上九点左右到手了！然后打开的每个步骤都拍了照片，生怕是翻新机，后来直接百度验证真假，我老公也是搜索苹果官网。一系列流程下来可以证明确实是正品！手机手机盒没打开过，其他东西也是新的原装正品。这是我个人感觉不代表其他。下次有需要会再联系！,2017-04-01 18:09:28,45,18,5
j***f,PLUS会员,拿着试了试 是正品，速度比6s慢一点，像素不是很高，没有抬起亮屏功能不太美，不过现在够用，比一般的安卓机还是流畅性好，暂时没什么问题,2017-10-28 20:22:22,2,1,5
我***1,金牌会员,今天刚收到，速度就是快，是全新未拆封，查了一下应该是正品，自己用了半小时才激活好！感觉质量还行，就是看看后续质量怎样了！期待中！！！！,2017-11-28 18:59:35,2,0,5
小***死,PLUS会员,是全新的，不是自营但是价格更低，保证全新未激活就非常好。赞,2017-06-15 07:30:52,7,1,5
燕***段,金牌会员,包装完好，查了一下激活日期，也是对的，是正品。一直信赖京东，从没有失望。价格便宜，喜欢的亲可以下手。。。,2017-06-23 07:27:17,2,1,5
j***e,金牌会员,已收到宝贝 谢谢店家 包装狠好 没有一点凹陷破损 手机运行速度很快 有什么问题随后追加,2017-08-03 00:18:28,2,0,5
l***7,PLUS会员,手机运行快，手感不错，值得购买。,2017-06-13 12:09:55,5,1,5
马***荣,PLUS会员,第三方手机也是很难得，这么实惠，就是不知道朋友那边用的也怎么样,2017-06-09 22:37:53,2,1,5
年***年,金牌会员,快递有点失望   ，    不过手机还可以      ，很满意。,2017-11-18 23:38:32,0,0,5
c***3,PLUS会员,已经好多次帮衬京东买手机了，他家的货是正品。,2017-08-13 07:12:33,0,0,5
j***3,PLUS会员,手机没有问题，配件赠品发票齐全。发的顺丰，杭州发货。就是现在apple ID注册有问题，手机端注册会提示建议iTunes技术人员，最后电脑端绑定银行卡才弄好。整体购物体验没有问题，点个赞。,2017-08-10 17:49:36,3,2,5
潇***哥,金牌会员,东西是正品售后去验证了一下，苹果6，对于我不打游戏的人来说已经够用了，和朋友的6s对比了一下没发现什么区别，拍的相片很不错，值得购买！,2017-05-27 21:07:14,5,3,5
