名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
誓***蓝,金牌会员,这是我买的第一部苹果手机，我自己不打算用，是给爸爸买的，买的时候正在显示做活动，当时是2380元，我以为已经是很便宜了，当天晚上就下单了，结果第二天一早还在做活动，价格已经是2364了，我就搞不懂了，手机的价格变化如此快吗？手机显示的是京东快递，第一天物流信息完全没有变化，我是上海的，不是偏远地区的。好了，先说手机，因为是第一部苹果手机，我又不太会，开机的时候硬是要插卡才能正常使用，后来让我注册ID，我注册好了终于正常显示菜单了，想着下载个微信吧，又要我注册ID，好吧，我其实有点烦了，下载的时候真的很慢，特别是下载之后安装比起安卓系统慢很多，不过开启APP的时候还是不错的，手机外观没有问题，至少我看不出来。就是手机中间的home键，实在用不习惯，不好按，可能自己已经用惯了安卓的虚拟键，感觉苹果的按不下来，按的时候还不定时触发siri和后台程序，我不知道这两个是怎么切换的，我想关后台程序长按home键总是触发siri，我有点抓狂了。本来我是对苹果手机很期待的，结果到手后发现有点不太想买苹果7了。但是安卓手机又实在是容易卡，我真是很矛盾啊,2017-10-23 18:08:42,18,23,2
落***兔,PLUS会员,"喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience",2018-02-02 14:55:21,0,0,5
i***y,钻石会员,"京东自营，苹果出品，国行正品，双十一活动叠劵满减后不到五千，比港版官网还便宜，不用预购、不用交关税，还有流量卡送，省心省力省钱，京东下单不到一天送达，物品新全，包装完好无刮损，试用一次激活，操作变化不大，无线充电功能暂时用不着，形状和6S基本一致，外观有些许变化，比6S重点，背面是挺漂亮的，相片声音效果和6S差不多，个人用PP助手备份还原，成功将6S数据导入Ip8,比电脑itunes备份还原快多了,暂时操作流畅，未有不良反应，电池确实比6S耐用一点未见有发烫现象，待试用一段时间后追评，支持国行，五星好评！",2018-01-20 16:28:51,0,0,5
j***k,PLUS会员,一直买这个牌子的商品，一直在用！很好用！购物我相信京东，我一直是京东的支持者，力挺京东，价格全网最便宜， 最保真，服务最好，物流最好，尤其快递小哥送货速度非常快，强哥我相信京东在你的带领下会一直好下去，谢谢京东，谢谢强哥，谢谢！！！,2018-02-27 15:23:08,0,0,5
j***k,PLUS会员,一直买这个牌子的商品，一直在用！很好用！购物我相信京东，我一直是京东的支持者，力挺京东，价格全网最便宜， 最保真，服务最好，物流最好，尤其快递小哥送货速度非常快，强哥我相信京东在你的带领下会一直好下去，谢谢京东，谢谢强哥，谢谢！！！,2018-02-02 00:59:47,0,0,5
j***1,银牌会员,呵呵。。。。真的只能呵呵了！物流很快，手机真的非常卡！不知道是不是买到翻新机了，刚刚一直在搞ID，搞了快一个小时，为什么呢，因为它卡，进行不了下一步，急死人了，问客服，客服说可能是苹果服务器问题，还不敢跟老公说买了翻新机，因为他本身就不同意我在网上买手机，我说我同事买的都是好的，我肯定不会那么背，果不其然，刚到手就一肚子火，真不如去实体店，只能说贪便宜吃大亏，下载个qq，还不如我以前用了两年多的1000块钱的手机呢，还是无线网都这么慢，要是自己的网，是不是只能打电话，其他都干不了了？后面有什么问题在追评，哎,2017-12-05 19:58:58,0,1,2
春临小桥,钻石会员,发货快，京东物流也值得称赞！一直信赖京东！手机是正品！购物选京东，我的选择！,2018-03-08 08:32:58,0,0,5
j***9,PLUS会员,产品可以，服务很好！全新国行,2018-02-11 04:27:42,0,0,5
m***1,PLUS会员,这次帮朋友买的，朋友说好好用呢，运行速度很快不卡！手感好好呢，颜色很正！很喜欢呢,2018-01-31 12:36:25,1,0,5
jd_116956713,银牌会员,大家注意：拆封后不能退换货。手机是全新的没问题，但是这家店的手机有一个通病，就是右下方或者右上方连接不密实，用手挤压有明显的松动，这个不能退，只能将就用了。双十二当天2306，现在不过几天就降了五十元左右。还是买京东自营的吧，价格贵点，目前是2299，但是买的放心啊。,2017-12-14 22:42:43,10,6,1
