名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
为***4,金牌会员,双十一特价买的比平日便宜了100元，这是我在这家店铺买的第四部手机了，老板服务热情有什么不满意的都能及时解决，京东商城的发货速度更是没得说、那是一个快?永远支持京东,2017-11-12 15:10:21,32,28,5
j***z,钻石会员,玩王者荣耀不卡，会发热。分辨率好低。声音不小。外观漂亮，指纹也很快。电池好像不怎么耐用，还不到3000毫安。手感不错，给老爸买的。希望能用的久一点。大小也合适。以下图片是和我的苹果六对比的，出了清晰度。其他差不多。,2018-03-06 18:42:44,3,0,5
j***o,银牌会员,老婆非常喜欢，今天买来送给老婆，,2017-11-04 16:32:33,61,16,5
j***e,银牌会员,"二次購買，oppo品牌無得頂，?值得信賴，這次送了自拍桿看上去也不錯。現在喜歡上京東購物，快遞員有禮物，服務好。
上圖給大家分享?",2018-03-09 13:02:48,1,0,5
7***m,金牌会员,昨天才下的订单，今天下午下午就送到手里啦，快递员真给力，到手之后老婆挺喜欢的，买手机上京东没错,2016-12-13 21:26:31,32,15,5
请***扰,金牌会员,京东速度刚刚快，昨天定今天收到货，正在测试中，不错哦,2018-03-04 14:42:06,2,0,5
j***3,钻石会员,手机帮同事买的，很喜欢，对一个50岁的人来说运行内存已经足够了！还送了蓝牙影响！音质也不错！,2018-03-07 11:09:37,0,0,5
c***9,PLUS会员,很好用，很愉快的一次购物，老婆很喜欢,2017-07-05 05:22:26,5,1,5
j***3,银牌会员,手机很不错呦，很好，下次继续买，支持,2017-07-21 13:41:29,4,0,5
麦***e,PLUS会员,第一次买OPPO手机，手机外观漂亮，不厚重，颜色好看，是我想要的颜色，手机屏幕居然已经贴膜了，太惊讶了，打开系统发现常用软件都有，真是贴心a，装了那么多APP还有20多G没错，不错不错。试了拍照，像素还好，就是不太喜欢有点自带美颜的感觉，拍风景的时候还是希望真实点的好看，音质很纯净，个人觉得这手机的最大音量要是能再高一点就好，这个是买给老爸用的，工作的时候比较吵担心听不到铃声，屏幕分辨率还是很给力，色彩鲜艳而且画质清晰，计划年后换个OPPO最高级款试试。送了手机壳和收纳包，哈哈，赞??,2018-01-20 23:13:13,2,2,5
j***l,银牌会员,超快的速度就到手了，开机也满快的，放歌的音质不错，像素也挺好的，目前就试了这几个，在观察一段时间再来告诉大家,2018-03-04 12:27:02,2,0,5
小***人,钻石会员,还可以吧，颜值不错就是配置不高，给别人买的，如果自己用的话这个价位不是买小米5x，配图好看不老铁们,2017-11-09 18:23:19,10,0,5
浱***漾,金牌会员,黑色经典，超级好看,2018-03-09 14:58:01,0,0,5
j***n,银牌会员,一直觉得京东的货质量和售后是不错的，没想到这次买的手机频频出现问题！手机买了一个月，先是震动器坏了不震动，返回售后维修了一个多星期，回来用了没几天发现相机不聚焦！最让人气氛的是，出了问题找售后比找爹都难！给个破电话一直是语音提示，连个人工语音都没有！费死劲了！还总是让返修，麻烦不说，关键是耽误正常使用啊，难道我买了新手机就是为了修手机玩儿的吗！总结就是产品质量太差！售后太费劲，不知道这个售后是方便我们客户还是方便京东……,2017-11-16 22:09:10,31,8,1
j***8,铜牌会员,"凌晨拍的晚上就到了 超級速度快噢
就1000塊錢的東西 也就這樣啦 
因為工作關係隨便買個接電話用 
第一次在京东上遇到態度這麼惡劣的派送員 讓人心情很不爽
 其他都還不錯的 手機就是耳機的聲音比較差",2018-03-07 18:56:54,1,0,5
W***3,PLUS会员,第一次买OPPO牌子的手机，虽是5.2英寸手感很不错，先给个好评。,2018-03-06 17:33:53,0,0,5
K***乐,金牌会员,手机好用，己经是第三次购买了，不过这次购买不是送蓝牙音响，送一个布袋，起不到作用，我还以为送蓝牙音响，结果送一个小小布袋，很失望,2018-03-06 09:54:27,0,0,5
j***s,铜牌会员,再也不在京东买东西了，欺骗消费者，买手机送蓝牙耳机和包，结果蓝牙耳机没货需要等几天，但是我下单的时候填的地址是旅游的酒店，临时居住，我问客服等到蓝牙耳机发货的时候我就离开酒店了，需要更改地址，应该怎么办，客服告诉我直接取消订单重新下单就可以了，我重申了一遍是赠品，客服还是说取消了重新下单，见截图，结果我取消订单了没办法重新下单，就问客服，结果客服说是1个工作日电话回访，我等了3天也没接到回访电话，现在客服直接不回应了，也不说话，京东，太让人失望了，,2017-07-16 20:55:32,210,33,1
