名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
牛B哦,PLUS会员,手机好快就收到了，速度啊！正品手机，质量不错，包装完好无损，还有送蓝牙音箱，大小合适，老婆特别喜欢，操作流畅，看电影，玩游戏都没有任何问题，特别喜欢照相，像素高，拍出来的光感特别好。就看电池怎么样了，使用后在说。,2017-12-02 04:06:39,37,20,5
糖***半,银牌会员,手机到货包装以及快递员服务都不错！手玩特了一个星期再来评价，现在我来具体说说这手机！手机是正品，指纹识别很灵纹，手机一碰就解锁大概0.1-0.2秒。手机像素是不错的，本人不爱自拍就不详细了解说了。手机电池方面一般般，带闪充满电1.5-2.0小时吧，我尝试过玩游戏3个小时，看视频2个小时，微信聊天等等2个小时，手机不离手电量可以坚持7个人小时吧！手机玩游戏方面，我玩王者过程中，手机出现过卡的现象也试过手机信号满格自动断网卡的现象。玩游戏反应灵敏度总体来说真的一般般。总结一下我的说法吧！这部手机推荐喜欢拍照偶尔玩游戏的朋友入手。如果仅仅买来玩游戏的朋友不建议购买哦,2018-01-07 17:50:38,11,16,5
郝***5,金牌会员,设计美观，挺好，试了一下相机，挺好，好评,2018-03-05 12:57:58,1,1,5
我难过了睡来陪,钻石会员,首先那谢谢店家和快递小哥了，然后这个手机嗯是我，就是昨天订的，然后今天中午就到了，快递挺快的，真的。然后快递到手了就好打开那个包装看了嗯确实是原装正品的vivo x9，让店家送了很多东西然后就说一个小音箱还有一个就是运动手臂袋，这款手机的那只运行是4G +64G的，嗯支持全网通也就是嗯中国移动4G网络联通还有电信4G网络都支持的嗯包装盒子外面都是那种原包装并且所述的附加就是耳机了充电器拉都是原装的，嗯这个手机是支持的那个闪充的，充电器的电源电压是5V 2A的，简直是羊头是双手挺清楚的后置相投是单摄，并且具有那个动态照片那个功能。手机刚到了一个星期暂时没有出现什么问题，这还有店家也送了一张流量卡但是现在没有用需要在那个网上实名认证然后嫌麻烦就没用还是要谢谢店家了加载附件中他也送了两个手机壳儿和一个塑质钢化膜。最后的嗯祝店家生意兴隆，生意越做越火。,2017-09-16 08:46:49,109,137,5
萍***7,银牌会员,感觉手机不错，用了两天，充电速度很快，还是比较耐用电池，解锁速度感觉比我的苹果6还快，支持国产，快递很给力,2018-03-02 19:14:10,1,0,5
你***吗,PLUS会员,只能用四个字来描述，物超所值，真心好用，而且机子也很好看，本来还纠结5.5寸的屏好大，回来拿着实物还可以啊，单手也可以操作的，第一次用vivo的机子，这个系统，这个风格以及分辨率各种都是我喜欢的，不错不错，又一次很满意的京购，啊，对，京东的这个快递真心佩服了，村里都能次日达，厉害！最后一张照片是用vivo拍的，怎样，清晰吧，而且有木有感觉就买个手机送了好多东西啊，我好稀饭?还有一点也挺好，就是机子打开就有高清贴膜，可以直接使用，嗯嗯，人性化，不错不错，赞一个！绝对值得购买！,2017-10-24 19:09:20,448,9,5
李***语,金牌会员,超级喜欢小v好萌 。音响音质很棒，说说手机，第一次用vivo 不是很习惯，屏幕灵敏度没有苹果高，速度没有苹果快，但是拍照真的胜过十个苹果，指纹解锁很快，手机很容易发热，简单听个音乐发个微信手机就很热，屏幕分辨率很好，很清晰，用了三天，暂时还没出现卡顿现象，赠品都超级棒，希望国产手机以后越做越好。微信来消息屏幕不亮，只有声音，这个很不习惯，手机声音有点小，来电没有闪光灯，嘈杂的地方听不到电话响 ，手机充电很快，但是掉电也很快，比苹果电视掉电快。看图片，三分钟掉了2个电，总体来说还算满意吧，vivo加油 。,2017-08-19 08:58:30,225,141,5
j***军,金牌会员,现在用的还不错，往后再追加,2018-03-09 12:13:18,0,0,5
超***7,金牌会员,情人节给老婆买的，老婆特别满意，很喜欢的，功能强大，照相非常清晰，赞赞赞！,2018-03-06 22:32:45,0,0,5
e***1,PLUS会员,一直是喜欢苹果设备，不过现在完全改观了，以后就买你了。感觉苹果除了系统稍微好一些外，x9s plus从功能和硬件上完美超越iPhone8，各种细节优化都是适合中国人的习惯，大大点赞，希望国产手机越来越好。,2017-10-07 14:37:05,87,34,5
