名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***g,银牌会员,京东物流这速度是杠杠滴，手机比我预想的好，拿回来就把卡放进去，整体效果不错！很愉快的一次网购。,2017-11-13 19:39:38,28,15,5
宫***子,钻石会员,手机全新正品，在京东买东西没遇到二手的，已经买了很多东西的路过，华硕主板，还有电源，以及固态硬盘都是自营，说二手的估计是开箱不想要了找的借口。,2017-10-28 04:02:13,31,15,5
A***-,金牌会员,手感不错  画面也还可以  外观听还蛮炫酷的,2017-09-12 23:01:50,50,26,5
姬***轩,PLUS会员,最满意：作为最新的旗舰机型，肯定是有进步空间的，所以很纠结，不过还是忍不住下手了，作为一部近4500机型，可选择行很多，vivo xplay6定价确实超出一些，但是作为曾经步步高品牌音乐手机，音质这个比同类好，照相功能很多，满足日常拍摄。最不满意：手机里面的图片视频没有隐私保护，哪怕设置了软件锁， 但是另外再下载个视频软件查看本地， 都能找得到这些图片视频，不过也没说影响。做工外观：手机外形很漂亮，简直太棒了，曲面屏效果完美，无黑点配置性能：音质效果更是棒棒哒，电池电量还可以，满足我的要求，基本上使用一天是没有问题。系统流畅度：用了一天就已经爱不释手了，用着非常流畅，系统流畅，真的很流畅，上网速度快。拍照效果：双虚化摄像简直好的没话说，双摄像头配虚化功能，拍摄照片效果极好，尤其是夜景模式，晚上拍出来的照片非常干净！如果能整合到自动模式里，自动开启的话，会更加省心其它描述：从第一部手机开始就是用的VIVO的，一直用到现在这一部，刚开始还在犹豫到底是买x9还是买这款，现在看来是选对了，早上收到手机晚上去吃美食，听说，美食与新手机更配哦,2017-05-28 21:27:03,113,115,5
j***i,银牌会员,手机非常不错，还没放卡，非常满意，不知道用一段时间会不会卡顿。尤其得感谢快递小哥，我家住七楼，还是没电梯的那种，以前用京东，都是小哥爬到七楼，感觉心里挺不好意思，自己下楼去拿吧，正好扔垃圾，没想到刚下楼四楼，就碰到小哥又给送上来了，还帮我把垃圾捎下去了。什么工作都不容易，快递小哥辛苦了。,2018-03-09 11:20:58,0,0,5
j***8,银牌会员,就是送的包包有点小瑕疵，其他的都还好，充电中，还没开始用，,2017-08-29 16:57:19,26,16,5
j***0,PLUS会员,用了一个月才来评价，用着不错，电池能用一天没问题，照相比较好。计步器好像有时候失灵。屏幕很容易沾灰。总体不错。,2017-10-10 20:14:52,29,15,5
地狱神探007,PLUS会员,反应快，内存大，非常满意的一次购物，赠品也多，双十一只花了我3488元就到手了！,2017-11-11 20:55:06,25,57,5
挥***1,PLUS会员,黑色太粘指纹就退了,2017-09-20 14:57:50,23,4,5
a***i,银牌会员,手机挺好的  这是我在京东上买的第四台手机了,2018-02-21 08:54:10,0,0,5
徐***城,金牌会员,昨天收到的手感还不错挺好的,2017-12-14 18:04:57,4,1,5
1***a,金牌会员,才到，激活正在试用。过段时间继续追评论,2018-03-08 21:14:03,0,0,5
张***帅,银牌会员,我是收到货用了四天才来评论的。收到货就各种验证了一下，是正品，包装和外观都完好，没有拆封或者使用过的痕迹，毕竟自营店，京东还是靠谱。总体来说还挺不错，外观好看，第一次用vivo的手机也是第一次用曲面屏手机，外观真心好看，有种屏幕里的内容要从屏幕里跑出来的感觉。外观可以看我发的照片，不过是晚上拍的还安了送的手机套，想更了解外观什么样可以上网找那种画面拍摄得比较好的测评视频了解。然后就是vivo的这个手机系统了，毕竟是模仿的苹果的风格，看还是好看的，直到我买的这个时候，这款手机也勉强算得上是新款式吧，裙子系统还是很流畅的，屏幕时钟挺好看，锁屏双击屏幕就亮屏很实用哦。电池续航不错，我试了下，锁屏放着，中途接了几个电话听了会歌各种设置了下，80％的电坚持了两天两夜，我估计不打游戏，正常看小说刷网页听歌接打电话等，坚持个一天半应该没问题，也就是说续航中规中矩吧。再说充电，135分钟从0充满，比不得oppo r9s，不过这个手机的电池容量更大，上了4000，写在智能机很少见了，上网查了下，vivo的快充在所有的快充里表现并不冒尖，这点我个人能接受，就当买了个没有快充的手机吧。送的手环还不错。,2017-12-26 22:27:20,3,1,5
j***f,银牌会员,"嗯，从苹果转过来的。到现在差不多用了两周了，校车上听着歌，阳光明媚的天，好喜欢这个手机呀。
本来是打算买华为p10的，不经意的看到曲面屏的xplay便被吸引了，真的好好看呀，大概女生都是颜控。。。。查了查参数之类的感觉总体还不错，越看越想要。。。学生狗终于下了决心，，京东白条六期免息。。。
第一次到手的手机，电池貌似有些问题，申请了换新机，京东上门取件真的是超划算，很快换了新机，电池可以撑一天，基本上早上充满电，带去实验室呆一天晚上回来宿舍还剩很多，系统很流畅，不卡顿，果然6g运存还是很牛逼的，对女生来说系统不卡顿，拍照好看基本上就很完美了。
嗯，意外的惊喜是没想到vivo的拍照真的是完爆苹果，无论是夜间成像的降噪处理，还是逆光下的曝光处理，以及人像美容优化，都堪称完美，目前用了两周，从颜值到系统到各种功能，无可挑剔。",2018-03-09 14:08:57,0,0,5
1***号,银牌会员,给老婆买的，老婆很喜欢！手机不错,2017-11-06 18:54:01,12,1,5
j***恋,金牌会员,昨天晚上收到立马打开查看外观没有发现异常情况和商品明显损缺现象！包装比较满质量综合方面待使用一段时间再来做评价打分。发现问题我会及时联系京东希望不要有太多不如意的地方。,2017-12-14 12:25:07,9,2,5
d***8,PLUS会员,物流很快，第二次购买vivo品牌，支持国产。不过相对于差不多四千价位的手机在功能上没有特别，觉得还是挺贵的。,2017-08-01 16:10:02,19,24,5
一***季,钻石会员,"vivo的老用户了，上个手机是xshot。用了3年多，现在也没问题，硬件问题需要更新了。。看到play6，去年刚给家里人买的play5,到现在用着还可以。。。选择理由：
1.之前一直用这个牌子，感觉还可以，质量稳定。820cpu,6g ddr4运存，目前还算ok的配置。。。
2.照相功能也不弱，毕竟双摄.现在流行嘛23333
对比叉烧，调色上和功能都有所增强。。感觉还不错
只是没有1.7的光圈。。有点退步了
3.重点来了？！HIFI，当时买叉烧并不是主要因为照相功能，而是hifi,233333!叉烧属于那种调音很耐听的风格，没有过多渲染，解析到位，低频下潜深，弹性好，中频没有过去音色渲染，，声场略小，调音很自然的高素质机器，买之前也对比过xplay3，只能说调音略有不同，素质不差上下。下面是play6和叉烧对比，play6声音开场就要比叉烧大一圈，这是优势，解析也更到位，中频也有了渲染，低频量也增大了很多，有了整体上的提升。不知道为什么，总是感觉味道叉烧比没有叉烧原味清淡耐听。或许是习惯了叉烧的味道。。这代9038比早期4398在解析和声场方面都有了不小的进步，加上3颗运放的帮助。",2017-08-18 08:52:11,64,34,5
冬***_,金牌会员,视觉效果非常棒，游戏画面太好看咯！太好了,2017-12-13 21:42:23,5,0,5
牤***好,PLUS会员,vivo真心很帅，是我喜欢的款式！非常好用,2017-12-27 17:08:32,0,1,5
w***3,银牌会员,手感不错用着很流畅,2018-03-09 20:56:59,0,0,5
C***4,银牌会员,更好用，不卡，外观很漂亮,2018-01-08 17:07:10,0,2,5
我***风,钻石会员,关注了很久终于看到xplay6在京东618活动优惠入手64G版本的，用了两天，屏幕的显色质量饱和艳丽正确，照相质量也是满意随手就可照出好片，音乐表现力在HiFi模式下比我两年前的MX4PRO强在推力更足却不失细腻，细节可闻，指纹超快手感好很快习惯，就是耗电一天一充跑不了，还是很值得入手的，准备给老爸用，他喜欢照相。,2017-06-10 01:00:45,22,11,5
7***y,钻石会员,活动买的，满4000减400元，64G的，还行，价格是有一点贵了，如果在3000元左右的话，会卖的好，支持京东物流，,2017-07-26 18:08:16,21,19,5
j***f,PLUS会员,vivo手机非常不错。国产机赞。vivo以后多生产好手机。好产品。,2017-05-23 22:07:53,40,16,5
K***哥,钻石会员,没毛病。速度快。只是买的时候没显示缺货。都等了两三天才到。说是从外地分拨。,2018-01-05 12:07:38,1,2,5
E***1,金牌会员,先说好的，音质是没得说！音场大，层次分明！再就脸部解锁秒杀全城，指纹解锁就更不用说了！感觉电池没我之前的x5max s那么耐用！其他优缺点以后发现再评！我的发票没给我！正在处理中,2018-01-18 16:22:28,0,4,5
壹***久,PLUS会员,手机十月一就到了，快递小哥没的说送货快服务态度又好。之所以过了几天才发评价，是因为想亲身感受一下，这款手机总体来说不错，反应快，低调不张扬。在地下室打王者一点都不卡，好多功能正在摸索当中。我一直想买这款就是有点小贵。,2017-10-10 14:02:30,4,2,5
夹***a,银牌会员,很好看，运行很快，电量很耐用，拍照超赞，音质也很好，以前用索尼的，可能是牌子不同吧，vivo手机的设置或者手势操作方向什么的都跟索尼不太一样，要慢慢适应才行~买了一台手机，到手的可是一大箱，送了双肩包、小音箱和5000毫安的充电宝，感觉都很不错呢~O(∩_∩)O,2017-06-15 21:49:02,10,1,5
z***1,银牌会员,京东自营的就是好，手机反应很快，比对象的x9快多了，而且手机音质啊手感啊都很好，还送了小礼物质量很好感觉比店里的质量还要好?很喜欢很喜欢很喜欢?重要的事情说三遍。,2017-11-24 20:17:56,3,1,5
j***q,银牌会员,手感很好！外观很喜欢，还有曲面侧屏，照相很满意,2017-11-14 16:59:27,13,2,5
