名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***e,铜牌会员,今天早上下的单 今天下午就收到了货，发货速度快，服务态度更好，快递人员也很热情，手机款式也挺好看，非常喜欢，给赞,2016-10-21 22:08:52,144,22,5
q***j,PLUS会员,很不错的哟已经用第二个了,2018-02-23 11:50:54,0,0,5
1***p,银牌会员,还是不错的，物流太给力了，昨晚下单今天都收到了,2018-01-20 14:36:57,0,0,5
9***6,金牌会员,手机非常适用，妈妈用，刚刚好,2018-01-17 19:18:41,1,0,5
陈***5,银牌会员,我6月25日在京东上买的黑色的Y55，收到后发现一个移动SIM可以识别，但是就是不能用，SIM卡在之前的手机和别人手机上都行，拨打VIVO的客服，说是让升级，我买到之后就查看版本升级了，然后客服又说了一大堆的废话，说是让我去维修点检查，我在京东买手机就是为了方便，他们的售后为什么不能上门来修，我上班哪有时间去，之后客服一直在说些没用的废话，完全就是在敷衍我，真后悔没记住工号当时应该投诉，找VIVO售后没戏，之后我又找京东的客服申请换货处理，经过一系列复杂的沟通，反正我是怀疑京东售后的理解能力，最后在联系不到我的未识别的SIM卡手机号之后我主动联系客服，之后他们拨打的我的另一个手机号，再经过一系列的复杂沟通后，居然给我改成了退货处理，我查看售后进度时发现了售后一个叫王淑妃在我不知情的情况下改了，于是就打客服要求更改，客服说是留言按换货处理，当京东售后周五来取件还是按得退货处理，我当时说你下星期再来取件吧， 那取件售后叫谢大命，说是什么这种情况没有办法换货，不可能给我换货处理，只能退货再送来一个新的，天真的我真想打人，当时还没退钱我就信了，结果就给退钱了，然后就当没发生这事？下面还有。。。。,2017-07-04 18:54:37,64,16,1
b***7,银牌会员,非常满意谢谢送的自拍杆,2017-10-17 07:18:26,3,0,5
用***e,银牌会员,买的时候之前是说送很多赠品的，可是送货到门的时候，一个东西都没送。之前在那些评论里面还说赠送充电宝。还有自拍杆，结果很多东西都没送。唉！,2018-01-06 14:58:35,0,1,5
L***华,金牌会员,刚开机，还没深了解，应该不错。使用当中在补发后续心得。,2017-06-04 11:38:49,6,1,5
f***x,钻石会员,京东还是相当给力滴……第二天稳妥妥送到！质量也行，还有优惠券，不错，一年一度的双11，奋站，剁手。,2016-11-12 12:39:07,9,2,5
j***g,银牌会员,非常好用，比想象中还要好，物流也非常快，下次还要光顾,2017-01-18 20:03:40,3,1,5
jd_151637ail,金牌会员,绝对是正品，十分的满意，比在实体店买的还放心！本来还忐忑的心，现在绝对只是兴奋！买手机还会在京东买！放心！谢谢李师傅的送达！,2016-11-19 14:21:24,7,0,5
李***3,PLUS会员,性价比超高的一款手机，运行速度挺好，送的存储卡扩展内存，正常使用完全够用，要是像素能再高点那就完美了。,2016-11-23 20:34:37,5,0,5
张***S,PLUS会员,手机比照片上的好看，还可以，主要是颜值高，老婆喜欢！,2017-07-16 10:58:31,1,1,5
李***g,铜牌会员,送给妈妈的，很不错呢，妈妈很喜欢，手感可以，用起来也不错，vivo我家很多人在用，哈哈，果断好评,2018-03-01 22:47:27,0,0,5
j***s,铜牌会员,很满意，手感很好，很轻便，像素很高，我一直喜欢vivo这是我的第三部，它的音质很好，这次还有礼物赠送太棒了！物流很快当天就到货了，以后还会支持vivo.,2016-10-20 17:20:31,5,11,5
香***3,金牌会员,支持国产，给孩子买的这款vivo很不错，价格不高，电池挺耐用，手机颜色也适合小女孩，里面硅胶手机壳和钢化膜都有，很贴心，虽然内存不大，但是对于小孩子来说也可以了，孩子很喜欢,2018-01-29 18:22:40,0,0,5
H***郭,PLUS会员,这是今年买的第二部，还不错质量还行吧，比较轻巧。可以推荐，老人家比较适合，使用也比较方便。看下能用多久，,2017-10-05 20:48:59,1,0,5
j***g,银牌会员,京东一如既往，值得信赖，一次买了两个，客服维风服务态度很好,2017-12-24 16:51:42,0,0,5
余***4,银牌会员,不错，挺好用的，反应快好使,2018-01-02 22:22:52,0,0,5
懑***爺,金牌会员,手机不错，一般打电话上网够用了，玩大型游戏肯定不行，实在的机型，信赖vivo!,2017-06-04 09:32:00,3,1,5
j***p,PLUS会员,开始是给妈妈买的，后来考虑到年纪大了怕看不清楚字体，就重新买了。现在自己用，也很好用,2018-02-01 12:19:47,0,0,5
汪***才,金牌会员,手机很好  用得很流畅  买给妈妈用的  说挺好的    正品   赞……  ……  ……,2018-01-31 11:49:38,0,0,5
j***翼,PLUS会员,玫瑰金特别适合女生，轻，薄，亮，相素清晰。,2018-02-23 08:28:50,0,0,5
y***7,银牌会员,这是购买的第三部vivo手机了，很不错比较满意的一比购物,2018-02-24 17:22:41,0,0,5
j***2,银牌会员,宝贝收到了，差不多24小时就收到货了，也挺好用,2018-02-13 10:37:35,0,0,5
j***9,铜牌会员,给妈妈买的，真心不错，感谢送的小礼品,2018-01-01 20:15:56,0,0,5
飘***4,银牌会员,昨天下的单，今天上午就收到货了，发货迅速快。快递人员服务态度很好，人很热情。手机轻薄，运行速度快，性价比高。卖家还送了一个自拍杆。,2018-03-06 11:10:27,0,0,5
1***8,金牌会员,收到了包装完美，给弟弟买的买的26号买的27号中午快递小哥冒着大雪就送来了，京东就是这么快给力，大家值得信赖,2018-01-28 15:59:31,0,0,5
s***0,银牌会员,拿回来就用上了，声音什么的都不错，图片也是用这个手机拍的，还不错吧,2018-01-31 16:32:51,1,0,5
jd155990gfs,金牌会员,手机收到了，看着真的不错啊，感觉像苹果，嘿嘿可以购买。,2017-01-23 19:26:03,1,0,5
S***5,PLUS会员,看着不错，老妈挺喜欢的，先用用往后在追加评论,2017-12-25 22:39:20,0,0,5
j***z,铜牌会员,手机已收到，还没有用，用了再评赠品未到,2018-03-02 13:24:53,0,0,5
j***b,银牌会员,手机很好，希望妈妈喜欢！快递速度飞的一样,2018-01-26 18:29:37,0,0,5
j***n,银牌会员,好用，实惠，照相清晰，建议购买！,2018-01-07 22:03:32,0,0,5
j***j,银牌会员,给婆婆买的，还挺好用的，至少婆婆高兴的不得了,2017-04-23 08:58:43,1,0,5
似***悠,钻石会员,工作电话用了一个月还行,2017-12-30 11:02:29,0,0,5
