名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
r***e,PLUS会员,非常不错，指纹和面部解锁非常快，比想象的好，就是黑色的机器外壳有银边，我以为是全黑的，算是美中不足，不过整体还是非常棒,2018-01-13 10:09:28,35,33,5
关***g,铜牌会员,手机性能不错，特别喜欢vivo这个牌子的手机就是觉得这个耗电有点快像素不错刚刚送到的时候有60的电中午玩了一下游戏玩游戏很流畅不错,2018-02-28 22:17:03,1,6,5
j***0,PLUS会员,感觉上拖下拖的时候有重影出现，我之前用的x7和现在的x20都没出现过这种情况啊！屏幕的分辨率也一般！再换和手感都还不错！一般般吧，如果是年轻人用建议y79如果预算够的话可以直接上x20,2018-02-03 00:34:02,10,1,5
X***影,铜牌会员,"测试了一下手机是正品，玩王者荣耀，节奏大师一点也不卡，物流也是真心快，辛苦快递小哥咯，手机速度与手机美观也是杠杠的，支持VIVO,希望越做越好！！！",2018-02-12 13:10:47,6,4,5
j***i,银牌会员,第一次在京东买手机，游戏运行好好，值得入手，全五星,2018-03-04 13:56:08,0,1,5
是***达,铜牌会员,手机看着还可以，给妈妈买的。又能指纹解锁又能人脸识别，很好！,2018-03-01 22:49:58,1,0,5
j***t,银牌会员,快递到的很快  这是我第一次买vivo手机 感觉手机外型很好看  运行很顺畅  电也挺耐用的  很满意,2018-02-25 16:51:01,3,1,5
雷***9,金牌会员,用了两天了，感觉还不错，颜值挺高，送了蓝牙音箱，就是价位有点高?,2018-01-30 10:38:43,2,2,5
冰***器,铜牌会员,商品不错，就是后壳不是金属的，手感不如x6A的手感，总体效果不错,2018-02-28 12:34:58,1,0,5
j***p,铜牌会员,手机昨天到的，总体还不错,2018-01-06 09:57:54,4,1,5
j***l,银牌会员,给老婆买的，老婆很喜欢，手机不错,2018-03-01 21:12:56,0,0,5
j***f,PLUS会员,快递狠快！手机运行速度不错。简单易操作。手机比较薄，老婆很喜欢！,2018-02-27 21:18:10,0,4,5
j***2,银牌会员,京东的诚信好到没话说，次日到就真的是次日到，手机很不错，很喜欢，送的小V也是不错，vivo的音质我一直都是很相信的,2018-01-22 19:12:39,8,3,5
j***6,PLUS会员,手机真的很好用 支持过产 像素好棒,2018-01-06 09:04:59,5,3,5
j***y,银牌会员,手机拿回来用了三四天过来评论的。说实话像素还不错，面部解锁挺喜欢的。vivo手机听音乐音质也很好。以为是裸机提前在**上买了钢化膜和手机壳，谁知道手机拿过来贴的妥妥的。嗯~感觉还不错。电池刚买回来还挺禁用的。早上七点多醒一直不停的在床上手机看小说到中午，下午刷一两个小时抖音，接着看小说，再看一集几十分钟的无挑。反正电池挺禁欲。目前为止。,2018-02-10 21:47:34,2,1,5
W***O,铜牌会员,手机用着很不错，速度很快，用了半个月才来评论的，过年回家掉在地上，不小心踩到都没有点问题，质量很好没得说的，物流很快，老板服务态度很贴心，还有蓝牙音箱送。,2018-02-20 09:15:49,3,0,5
j***t,铜牌会员,很漂亮！手感特别好！害的我都想要了！本来给我爸爸买的！！！很薄！可惜就一个赠品！算了！只要手机好用就可以了?,2018-02-06 19:34:54,1,1,5
律***f,金牌会员,我一直用的都是这个牌子，反应很快，造型也好，里面自带的应用程序也很少，很清爽，全家人都用vivo,2018-02-25 21:47:26,1,0,5
j***s,铜牌会员,手机很棒很薄，用起来也很流畅，性能也很好，外观也很漂亮，第一次买超乎想象的满意。真的很棒，建议购买,2018-02-25 15:52:57,0,2,5
j***0,钻石会员,手机挺好的，这个价位算是物有所值了，京东送货快，期待质量好，不卡…,2018-03-06 11:32:47,0,0,5
虚***悠,金牌会员,机子很好用，和实体店的一样，很喜欢，这个是买的第二个了,2018-02-11 13:06:32,1,1,5
j***f,银牌会员,昨天到的，用着还不错，京东的质量还是有保障的用着还不错,2018-01-30 09:25:45,1,0,5
D***爷,金牌会员,手机没得说，就是快递太**慢了说好二十号到的结果二十三号才到,2018-02-24 20:13:34,0,0,5
阿***g,铜牌会员,刚到就打开了用了，手机不错，运行也很快，后期用时间长在评价,2018-03-05 20:26:01,0,0,5
痞子武5,金牌会员,"不错清晰  家里都用vivo
所有电器都是在京东买的
值得",2018-03-04 11:00:29,0,0,5
萌***7,银牌会员,手机反应很快 触屏很舒服 手机很轻 拿起来很舒服 指纹面部识别都很好 就是看视频的时候不会全屏 没关系 全面屏都这样 推荐购买 妈妈很喜欢 内存够用 赠品蓝牙音箱很实用 好用,2018-01-08 21:57:09,7,3,5
m***t,金牌会员,好手机，家人很喜欢！屏幕很大，运行也流畅！好评！,2018-03-04 08:35:43,0,0,5
j***b,银牌会员,拍照可以，不发热，打游戏可以，内存可以,2018-03-07 09:55:05,0,0,5
岳***柱,银牌会员,东西是很好的，我用了10天了，拍照清楚,2018-02-17 04:24:00,0,0,5
诚***郑,银牌会员,看着不错，晚上刚用，还不知道怎么样？,2018-02-27 00:17:53,0,0,5
j***h,铜牌会员,手机很好没有卡顿的现象，像素也很好,2018-03-01 22:03:55,0,0,5
大***8,银牌会员,刚刚到手，外观看着挺好,2018-01-30 14:42:18,1,0,5
V***天,钻石会员,除了分辨率  没挑的,2018-03-05 14:39:49,0,0,5
j***k,银牌会员,还可以吧，暂时用着了,2018-01-28 14:56:05,4,3,5
j***f,铜牌会员,不错，没失望,2018-03-01 17:58:41,0,0,5
wen1885839,金牌会员,已经第二次买了，很不错的一款手机，反应速度很快，下次需要还继续购买，自营的物流没的说。,2018-03-04 12:41:20,0,0,5
书***遥,PLUS会员,买的备用的 还可以 还不错?,2017-12-22 11:42:06,39,17,5
王***旋,铜牌会员,送了音响很好，跑分就这么多，暂时用着觉得还可以，不是闪充快充，电池没有我想的那么经用，第三张图像素就是这样，内存我一开机就只剩下十几个g而且并没有36 g，用着还好吧，一般。,2017-12-25 10:30:24,7,1,3
q***o,金牌会员,手机很好用，屏幕显示很清晰，十分惊艳，系统流畅 大小刚合适，好,2018-01-01 19:38:38,2,0,5
r***c,银牌会员,反应挺快的，看着样子不看看，节日送给老妈，,2018-03-08 10:16:57,0,0,5
j***k,铜牌会员,昨天下的单，今天就到了。嘻嘻！,2018-03-05 13:13:26,1,0,5
快***资,金牌会员,给老爸买的  反应速度很快  感觉还不错   大小拿着刚刚好  还赠了自拍杆  不错，值得推荐,2018-02-25 12:38:38,0,0,5
呆***空,金牌会员,"经济实惠 就数他了  颜值绝对没问题  用一段再追评吧 
给老婆的情人节礼物  666",2018-02-08 17:39:12,1,0,5
j***6,银牌会员,京东物流就是给力，昨天中午下的单，今天到手。还没试机，待追评。,2018-02-26 15:51:23,0,0,5
z***景,银牌会员,买了好几款的vivo手机了，一直信赖的品牌，超好用，外观又漂亮……,2018-02-25 15:35:29,0,0,5
你***v,银牌会员,像素还好，手机不错，屏幕够长，用惯了x9s感觉屏幕有点窄，值得购买，值得购买！我们家全用vivo。物流赶上春节下单7天才到，还是给了5分，毕竟平时还不错，值得理解！,2018-02-22 09:28:21,1,0,5
l***9,PLUS会员,好。觉得不错。对得起这个价，,2018-03-05 18:08:49,0,0,5
西***宁,钻石会员,快递很快！没想到一千多的手机这么好用，很惊喜！手机行业真的很成熟了。各方面配置也很实用，该有的都有，正常人用没问题，关键是便宜，画面特别清晰，拍照画面也很清楚。其实没必要花那五千多八千多买那么好，一千多的手机已经足够了。,2018-03-05 14:32:49,0,0,5
j***k,银牌会员,手机不错，买给老婆的，她很喜欢！！！,2018-02-28 09:40:14,0,0,5
8***民,PLUS会员,手机太惊颜了，还带原装膜、壳。,2018-01-07 18:30:16,3,2,5
命运绝仙,银牌会员,给妈妈买的手机，之前一直很喜欢vivo手机，奈何成了米粉，试了一下很好，全屏手机也是潮流的选择，妈妈一定会喜欢的，还送了蓝牙音响，2018我也成为V粉!支持vivo!,2018-01-28 17:06:36,3,2,5
L***4,银牌会员,手机很不错，有些评论里的照片没有实际的好看，?,2018-02-25 17:24:56,0,0,5
于***7,PLUS会员,帮别人买的喜欢这一款用着感觉很好屏大不追求性能玩个开心消消乐就好了，快递给力,2018-03-06 16:19:10,0,0,5
f***a,金牌会员,商品收到，质量没问题，一直用vivo品牌的手机这是第三部，外观好看，电池续航时间长，值得信赖,2018-03-09 10:50:26,0,0,5
我***物,PLUS会员,昨天下单今天就收到手机了，打开手机外观漂亮，像数清晰，其他功能等使用一段时间再评价，很不错的一次购物，相信京东,2018-01-30 19:07:14,1,2,5
c***6,PLUS会员,挺好用的，电池也耐用，挺值喜欢，就是活动力度不是太大,2018-03-04 17:08:02,0,0,5
d***4,银牌会员,"手机收到、发货迅速,物流快,上午下单,下午收到.买给家里人用,试用中…",2018-03-01 20:17:24,0,1,5
j***8,PLUS会员,送货速度快，质量保证，手机运行速度快，电池耐用！,2018-03-01 10:37:16,0,0,5
j***c,铜牌会员,昨天下的单，今天上午就到了。宝贝很喜欢，服务态度很好以后就京东了,2018-03-06 21:56:13,0,0,5
h***h,铜牌会员,买给妈妈买的，自己用的是x9plus，一直支持vivo的手机，很好用，就是x系列跟y系列的有一定的差别，但是老妈就是玩玩微信玩玩小游戏也是够了的，老妈拿到爱不释手，支持vivo,2018-02-27 23:12:11,1,0,5
j***q,银牌会员,送的自拍杆很好,2018-02-25 14:03:48,0,0,4
