名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
A***6,银牌会员,首先京东快递哥真的很给力，我中午吃饭没有接到电话，后来到了下午五点在门口等我许久，说是要亲自给我  向哪位快递员说声谢谢。然后就是京东物流飞快，当时以为是空运过来的。手机特意使用了将近二月，唯一可惜就是耗电太快，很是喜欢vivo系统没有什么广告 音质很好 外观漂亮 老婆很喜欢 全面屏真美 手机稍微偏大了一点 这手机怎么玩就是不发热,2018-03-04 22:34:11,1,1,5
x***圈,银牌会员,货己收到，没有商城所说的有5.99寸屏幕,2018-02-05 13:23:22,9,14,5
j***d,银牌会员,手机15下单，16号到货，马上开了一下，是全新的，没用过得，运行很快，屏幕也好，功能很强大，京东快递物流也给力，后续在追加评论。,2017-11-16 23:16:01,31,29,5
D***0,PLUS会员,到货很及时，东西也很不错，中国这两年技术提升很快，这手机我感觉不比苹果差，以后我会支持国货的，加油vivo，加油步步高！,2017-11-14 14:53:01,45,50,5
j***c,银牌会员,用上了，很不错的手机，刚出x20的时候就买了一部，送人了。我手比较小拿这个刚刚好，挺喜欢的。,2017-12-10 18:18:32,6,3,5
笑***鸟,PLUS会员,不错，一直信赖步步高，反应迅速！↖(^ω^)↗！物流真快，京东赞一个?,2018-03-06 21:36:52,0,0,5
l***3,银牌会员,说句实话！我个人觉的这次购物不是很好！总感觉手机卡顿！第一次直接跟我来个进程无响应！,2018-02-26 09:54:04,2,0,5
j***2,PLUS会员,不错挺好用！送老爸的过年礼！,2018-01-30 15:12:54,3,0,5
i***w,PLUS会员,全面屏手机。真的很好用。谁用谁知道！,2018-02-14 13:52:50,1,0,5
j***r,银牌会员,试用中，暂不评论,2017-11-27 12:26:24,6,1,5
l158*****797,金牌会员,心里很暖，因为收到货后的两个小时客服给打过来电话问收到货没有，真的挺好！,2018-01-30 20:58:28,2,0,5
一***快,PLUS会员,买给家里人用的外观比较适合女性，4G运行也很快，64G内存完全够用。非常棒，点个赞。,2018-02-06 12:13:25,7,1,5
j***t,银牌会员,收到货了，上午买的，下午就收到货了，物流给力，试了试，挺好用手机，反应快，不卡，好用。后期在追评,2018-03-06 17:36:48,0,0,5
j***o,PLUS会员,电池续航还可以，充电也速度还可以，屏幕效果还好吧，分辨率不是很好，还是挺喜欢的，和男朋友一人一部，我们挑选了好久了，挺喜欢的,2018-02-17 21:45:46,4,1,5
Toby6666,PLUS会员,收到以后测试了一下，像素真的很好，电池的消耗也不快，扫码扫脸都非常快，很不错。,2018-01-27 19:23:41,2,0,5
j***p,银牌会员,就是一个好，反应快，上网玩游戏超快，以前用的是oppo，感觉没有这vivo好使，推介想买的朋友们别再犹豫了。,2018-01-21 20:36:28,4,2,5
j***n,金牌会员,手机送来的很快，打开用了下，特别流畅，跟描述的一样，玩游戏不带卡顿的，特爽。,2018-02-22 21:44:28,0,1,5
乐***九,金牌会员,京东快递就是快，服务态度很好，当天就能拿到货了，送的东西挺多的。手机运行很快，不卡，系统很流畅。颜值很高。值得入手,2018-01-29 16:37:50,1,1,5
j***r,金牌会员,给我姐买的，感觉还不错，逆光特别清晰。。高大上！,2018-01-29 19:59:57,1,0,5
J***r,银牌会员,给老公买的  他说非常满意,2018-01-25 22:37:21,1,0,5
j***8,银牌会员,很不错，就是电用得有点快,2018-02-15 20:33:51,0,0,5
j***q,银牌会员,手机很可以，不错用了十天，总统可以，物流也很快,2018-02-18 15:52:14,2,0,5
百***行,钻石会员,中午收到了货，这是帮亲戚买的手机，她拿到手机后很喜欢，立即自拍了起来，像素还不错，比同价钱的手机像素要好太多了。,2018-02-11 13:00:47,1,0,5
大寇先生,金牌会员,手感舒适，操作简单，停满意的,2018-02-11 21:24:38,0,1,5
1***p,金牌会员,很喜欢，之前自己买了款vivo的手机，现在给家人买的这款，很好用，用起来一点不卡顿，希望一直这么好用就好了,2018-02-27 15:31:44,1,0,5
y***0,金牌会员,手机挺好的，比苹果都好用，物流也很快！京东值得信赖！,2018-02-12 06:58:48,1,0,5
j***c,银牌会员,手机已收到，挺好用的，快递也很快，相信京东，值得信赖。,2018-03-02 23:29:04,0,0,5
小***9,银牌会员,屏幕大小正好，特别清晰，运行速度很快，功能强大，拍照清晰，孩子用真好,2018-03-04 09:29:37,1,0,5
j***w,银牌会员,京东的速度非常满意，刚收到手机，还没试！试完再评，先点个赞！,2018-02-28 14:28:39,1,0,5
2***g,PLUS会员,给媳妇买的，媳妇很喜欢，全面屏的感觉就是不一样。4+64速度很有感觉，两千多元升级换代合适选择。,2018-01-06 10:03:38,2,1,5
j***7,银牌会员,很满意，物流半天就送到了，手机用心也很流畅，主要是这个和y75比cpu号还有后壳是金属材质的，屏也够大。,2018-02-27 18:03:48,1,2,5
jd_185856nvn,银牌会员,还可以吧！挺好用的，早就想买了。,2018-01-29 21:58:57,2,0,5
j***俊,金牌会员,挺好的，当天拿到货，京东就是不一样，已经多次在上面买了，以往如继的好，36个赞，还送了赠品，也不错,2018-02-27 22:18:40,0,0,5
唯***f,钻石会员,手机颜色真的很好看给点个赞！一直信赖京东的速度。还有礼品盒。今天到还没有开始使用，希望朋友喜欢！,2018-02-14 19:52:03,0,0,5
j***c,金牌会员,不错不错多次购买了下次继续,2017-11-24 18:00:04,3,0,5
财***熙,银牌会员,手机很好，屏幕大，速度快，,2018-03-06 09:36:28,0,0,5
j***b,金牌会员,不错的选择，样子很美,2018-02-27 09:50:25,0,0,5
j***n,金牌会员,全屏，看视频玩游戏很给力，速度也很快，也轻薄，这已是买的第三个ⅤlVO了，质量没的说!京东物流也给力，头天下午下单今早就送到了，赞,2018-02-24 12:27:10,0,1,5
为***-,PLUS会员,很好看，现在很少手机还能扩张内存卡步步高手机设计的很实用，双卡双待还可以放内存卡，真方便,2018-02-15 09:38:11,1,0,5
聪***哥,金牌会员,目前来看，各方面都还不错，不知道后面会不会有卡的现象,2018-02-22 16:25:22,0,0,5
一***梦,银牌会员,用了一段时间了才来评价，都忘了手机不错挺好用的，白条挺方便的，以后还会用白条付款，就是白条的钱不多,2018-03-01 21:30:08,1,0,5
仁***德,PLUS会员,像素很高拍出的照片很好看，使用上很流畅，价格合理，功能足够用，赠品也不错,2018-02-11 01:52:59,0,0,5
