名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
恶***n,PLUS会员,第一批抢到了，第二天就到了。和v9一样，就是你要的快，像素不说了绝对的棒，拍出的效果一流不吹不雷。可以和苹果拼。系统970绝对没错。其它没什么好说，性价比可以说数一数二,2017-12-07 02:11:04,6,4,5
此***悔,银牌会员,转来转去～      今天才到我手上～       到货前一天我出差了    又让人给我寄到其它地方        就一句话      我不挑     我感觉非常完美      不错     值得了,2017-12-19 12:42:55,0,0,5
jd_あ少年＝頹廢ザ,银牌会员,用了一天才过来评价，确实非常好用，像素这一块属实没毛病，电池也很耐用。再就是系统970不卡顿我很喜欢。  刚上手还在体验中用过一段时间之后再来追加评价,2017-12-21 13:52:33,1,1,5
j***d,金牌会员,用了两天电池续航给力 外观漂亮 屏幕还好没有哪么差 指纹解锁快 其它的还在摸索中 以后在来评论 用以前的mates拍的 没那么清晰,2017-12-14 15:51:09,1,0,5
j***f,银牌会员,非常好用，外观很美，除了摄像头微凸，像素很高，适合女生用，我买的是合约机，不支持七天无理由退换，友友们，买的时候要看清！,2017-12-19 19:19:02,0,1,5
缘***s,PLUS会员,因为是新机确实挺好用的，运行也流畅，待用过一段时间后再来追加评价。,2017-12-18 15:16:56,1,0,5
j***w,PLUS会员,很有质感！速度速度速度,2017-12-08 17:29:23,1,0,5
q***0,银牌会员,首先说一下大家关注的斜纹的问题！！！在白色背景下15厘米左右是可以看到有斜纹的  不过要非常仔细的看才能看到  个人觉得无所谓可以接受    下面是电池的问题  本人中度使用不怎么玩游戏  大概可以用一天半左右  那些一天就抱个手机都不放下的   可以等微型核反应堆出来了在买  照片方面稍微有点失望  不过我不怎么拍照无所谓了                   总体来说非常的奈斯,2018-01-01 18:09:14,3,0,5
超***般,PLUS会员,"使用了荣耀V10一周，在这个过程中，从没出现过卡顿的问题，也没有刻意去清理后台和垃圾，V10给我的感受就是打开软件几乎是秒开，而且续航上没有担心过没电问题，使用过程非常省心。
一部手机不仅仅是性能的堆砌和外观的改变，而是对用户使用中的方便快捷，荣耀V10的人工AI智能笔者感受更多的是来自科技的关怀，而这才是用户最需要的，也是作为智能手机该有的。",2018-01-10 19:59:40,1,0,5
齐***福,PLUS会员,用了很多天了，还是可以的。有一个缺点，不知道别人有没有点某些app的时候，会变成换页而不是进入的app。屏幕太灵敏了。至于网上所说的斜纹拖影什么的没有。,2018-03-04 17:30:34,0,0,5
快***天,PLUS会员,非常不错，手机反应特别快，物流特别快，送老婆的，她非常喜欢，就是大了点，有一点要吐槽，屏幕分辨率不够，有明显的颗粒感，显像不够细腻。如果把屏幕改进了就完美了。,2017-12-30 23:43:15,0,0,5
c***o,PLUS会员,双十二下单预订版，到二十号都是无货状态，期间又抢购过四轮，一直都不给安排发货，真的不能理解，于是在二十号果断取消原订单，重新购入移动合约版，二十一号上午就收到了！首先就是升级，屏幕斜纹是有，但正常使用感觉不到，眼睛离屏幕很近才能看到，其它就不多说了，值得够买！,2017-12-22 15:22:09,0,1,5
c***7,银牌会员,好东西，苹果转华为，直接把苹果7丢在家里，爸爸妈妈也在用华为，以后也要支持国产机,2018-02-18 18:05:39,3,1,5
w***c,PLUS会员,看还不错，还没用，用了在平价,2018-01-27 18:49:20,1,0,5
y***1,PLUS会员,使用很流畅，正在慢慢熟悉，外观漂亮，就是摄像头太突出了点，邮寄的外面包装盒居然是红米4，还以为寄错了,2018-01-29 20:20:36,4,0,5
j***s,钻石会员,总的来说还是不错的，屏幕真的和mate10比不了，续航和流畅度还不错！,2017-12-11 18:00:35,3,1,5
京***河,金牌会员,外形跟自己想象的差不多，喜欢。赠了个自拍杆！后续用用再说。,2018-03-03 21:38:01,2,0,5
飘***然,PLUS会员,为什么每个商品评价都一样？因为在京东买的东西太多太多了，导致累计了很多很多的晒单评价未填写，所以我统一用这一条评论内容。！为啥在京东买东西？因为今天买明天就到了！我为什么每个商品评价都一样？因为在京东买的东西太多太多了，导致累计了很多很多的晒单评价未填写，所以我统一用这一条评论内容。,2018-01-05 07:20:42,1,0,5
刹***釖,金牌会员,"这手机的续航是我用过的续航能力最强的，中度使用从早
上八点到晚上十点还有差不多一半的电，真心给力，充电的话，如果原装充电器，差不多一个小时就能充满，屏幕够大，也没有网上说的那些什么颗粒，斜屏之类的。外观的话现在手机基本都带套，戴上了摄像头也就没那么突兀了，总之，一句话，值得购买的用心产品。",2018-02-05 09:16:02,0,0,5
j***r,PLUS会员,还行，以为是大屏幕手机。没想到很小，单手就能拿，性价比不太高。拍照比较好。华为UI是出了名的丑，充电也没那么快。没有耳机送。拍照有景深，背景虚化,2018-01-01 09:12:28,0,0,5
l***h,企业会员,很快的手机，指纹 头像解锁快速方便，从坚持了数年的小六转到V10，有一种一飞冲天的感觉。不过手机自带一个透明塑料软壳，感觉有点low，其实并不必要，尤其对黑色机身来说，简直不忍直视，感觉是种浪费。京东物流好快，上午下单，傍晚就收到了，赞。,2018-03-08 20:26:00,0,0,5
我***仔,PLUS会员,手机还不错，挺快就是屏幕分辨率差点，做工不太好充电线借口耳机接口做工都不好，盒子也不高端。,2018-01-04 12:11:53,1,1,5
l***w,PLUS会员,昨晚下单今天上午收货，物流太快，系统升级完成，运行速度快，不足的地方就是摄像头突出来。,2017-12-16 11:34:43,2,0,5
没***释,金牌会员,手机可以，手机盒里还有手机壳不错，不过这屏幕还真是有点差，感觉质量没有我上个手机华为荣耀v8质量好，就这样,2017-12-30 13:05:05,0,0,5
j***i,PLUS会员,很好的。网购平台就那么几个。有竞争才有动力。每次买电器电子产品母婴类东西都要货比三家，哈，好像已经不止三家了。挺满意的，物流快，价格美丽，不用担心质量问题。毕竟流量那么大，一般情况下不会出现买到临期货的现象,2017-12-25 11:01:28,0,0,5
Y***9,PLUS会员,很好的。网购平台就那么几个。有竞争才有动力。每次买电器电子产品母婴类东西都要货比三家，哈，好像已经不止三家了。挺满意的，物流快，价格美丽，不用担心质量问题。毕竟流量那么大，一般情况下不会出现买到临期货的现象,2017-12-25 10:52:14,0,2,5
亢***子,银牌会员,真的不错，第一次在京东买手机，电子产品一直在京东购物，购物体验棒棒哒，没二话！,2017-12-16 20:25:01,2,0,5
孤***丶,银牌会员,手机收到了，确实漂亮。摄像头完全就是猪鼻子嘛。哈哈哈，,2017-12-15 12:37:58,3,0,5
l***0,PLUS会员,手机用了一个多月，非常不错！,2018-01-25 09:12:35,1,0,5
独***7,银牌会员,手机握感，外观都不错，没有失望。人脸识别，指纹，速度都是没有顿挫，秒解。还送了一个自拍杆。就是不知道用久了会不会卡。京东的速度真不是吹的，头天下午三点拍，第二天中午就到了。,2018-02-27 15:44:48,0,0,5
当***g,PLUS会员,手机总得来说还不错，挺流畅，脸部识别还行，挺快，但有时也会识别不了。指纹解锁挺快，识别的也很好，有点汉也可以。手握感不如米6，摄像头突出是最大的败笔。,2017-12-21 19:55:08,2,1,5
爱***家,银牌会员,黑色的超乎想象的漂亮！手机很修长，但是没有特别的长啊！和之前的荣耀v9相比，屏幕窄了2mm的样子，长度长了2MM的样子，反正就是几乎一样大。非常适合单手操作了~,2018-02-06 09:02:56,1,0,5
鎮***仙,金牌会员,用了一段时间很给力?,2018-01-23 12:06:15,2,0,5
j***b,银牌会员,荣耀V10不负所望，AI系统确实便利很多，8.0系统越加人性化，6GB内存，剩余内存3GB左右，程序多开后，剩余2.4GB左右。照相功能未见有智能识别场景。,2018-02-25 11:55:59,0,0,5
河***涵,PLUS会员,很棒，手感不错。。。。。。。。。,2017-12-09 09:45:00,0,1,5
R***o,PLUS会员,成都地区没货可以选最下面的电信移动联通的买手机省话费，手机是现货。但要多出电话卡的钱，移动1分钱，联通10元，电信39元。其他地区没试过不清楚。,2017-12-31 12:04:06,0,0,5
逆***大,银牌会员,货到了，非常好，用一段时间再来细说,2017-12-20 13:49:48,1,1,5
