名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***?,金牌会员,真的很不错啊，质感，运行速度，喜欢，而且性价比很高，支持华为HUAWEI。很好很好，赞赞赞。内存够大，完美。,2017-10-19 20:43:54,6,4,5
快***你,PLUS会员,这个人脸识别就是快,2018-03-02 00:14:18,0,0,5
r***j,铜牌会员,没耳机线！没刚化膜，没有拼多多的服务好，大家别上当,2018-01-27 19:32:57,2,2,5
沙***2,钻石会员,用了几天，对于不玩游戏我足够了，上一个荣耀7，用了一年半用着有点卡，希望能用久一些不卡，华为的老用户了,2017-11-02 10:22:35,0,2,5
z***6,PLUS会员,/又一次舒心的京东购物，此款手机真的太太漂亮了，全面屏，拿在手里很舒服。,2017-10-31 07:31:31,0,0,5
c***1,钻石会员,手机拿着手感不错，运行内存也够用，屏幕很灵敏,2017-11-26 08:26:06,0,0,5
j***k,铜牌会员,物流速度快，货真价实，性能优越，酷似赛过苹果手机，正常使用完全没问题吧，遗憾的是就是不带保护膜,2018-01-30 20:21:09,0,1,5
z***j,钻石会员,很好，用过才知道好，有点大慢慢适用,2018-02-06 20:27:56,0,0,5
云上_漫步_,银牌会员,不错哦！给老爸买的，体验感很棒！完全是新时代的产品！与之前的荣耀4X比强多了！也能和我的mate9相媲美了！赞???,2017-11-08 22:18:32,5,0,5
瑶***贝,银牌会员,非常满意的一次购物 服务态度好 发货速度很快！手机性价比高 使用系统流畅！,2018-03-09 13:51:20,0,0,5
俊***3,银牌会员,手机很好，就是是裸机，钢化膜都木有，去买也没买到，不过还是很喜欢,2017-10-31 17:44:43,1,2,5
致年华V,钻石会员,蓝色的非常漂亮   性价比超高,2017-11-02 11:59:46,1,0,5
做***白,PLUS会员,手机不错第三张图片是个mate9的对比，这次不太顺利的购物经历，30号买的搞的1号才出库今天才到，找过客服有争吵，还好手机不错，很喜欢，全面屏的手机偏瘦。。。,2018-01-02 15:21:02,0,0,5
j***7,钻石会员,"买了就后悔了，也不是说这款不好，有款性价比更高的华为nova2。
言归正传评价下这款手机，屏幕特大，屏幕比苹果6S整机还大，运行速度超快；缺点是后置摄像头凸出太多，易磕碰，拍照成像效果不好，伪1200万像素。",2017-10-23 18:33:14,5,4,5
j***c,银牌会员,造型非常好，手感也非常好，华为品牌值得拥有,2017-12-08 15:50:57,0,0,5
e***9,钻石会员,信任京东 一直都是,2018-03-02 15:25:57,0,0,5
m***I,银牌会员,圣诞活动，没看到说要送的东西，连个膜都没有，真心不知道说啥，这手里太裸了，期待说送的东西,2017-12-27 20:51:26,0,0,5
jd_相约四季,金牌会员,非常满意，简直就是我的最爱，钟爱大华为。可是没有保护膜，略微有点遗憾。有就更完美了。,2017-11-14 14:41:46,0,0,5
j***u,PLUS会员,支持国产的，手机自身也质量好性价比高，还有什么理由不支持的。,2017-11-27 14:09:16,1,0,5
我***奥,银牌会员,真漂亮啊 不枉费半夜2点半抢到手机 京东速度就是快,2017-10-18 16:12:10,3,3,5
j***h,银牌会员,手机质感不错，外观也挺好，快递速度也很快，本来预计五号到货，没想到快递小哥四号晚上给我送来了，总之很满意,2018-02-06 17:34:12,0,0,5
朱***7,PLUS会员,京东快递真得太快了隔天收到太喜欢京东购物了,2017-11-29 01:01:44,0,0,5
j***y,金牌会员,昨天刚刚收到货，试一下还是可以的，就是送话费哪里还不太懂，等用了一段时间好用再继续好评,2018-02-04 09:32:35,1,0,5
j***t,银牌会员,感觉像大家说的一样白色的屏空隙大 可能黑色的好点吧 但黑色又不好看 目前手机还没出什么问题,2018-02-26 21:34:30,0,0,5
n***8,PLUS会员,"东西特别好，物美价廉。
快递也特别快
你常满意的一次网购，下次还来",2018-01-18 08:48:46,0,0,5
j***o,PLUS会员,支持国产手机，确实很好用?,2017-11-03 09:30:37,0,0,5
j***y,铜牌会员,买来正在用，触感不错，快递小哥服务也很周到，很愉快的一次购物,2018-02-04 16:07:21,0,0,5
v***d,PLUS会员,手机用着还可以，给老人用的,2018-01-10 13:40:34,1,0,5
诚***店,银牌会员,很好用今天中午快递哥送来了我就用上了很好。,2018-02-11 22:08:46,0,0,5
j***g,金牌会员,买了两台，运行的非常好，完美，也不贵,2018-03-07 08:19:55,0,0,5
