名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
130*****123_p,金牌会员,第一感觉；快。从用了3年的MX5到现在的v10，手机换代的速快了。。店家服务挺好的，发货及时，顺丰的话。。春运期间可以理解。本想这一加5t，但是v10的颜值?图都是mx5拍的，拿了台荣耀9对比了下大小，大家也可以多点关注店铺，趁着活动我果断下手的，美滋滋?手机方面，我就不多说了，华为没有让我失望，就希望系统可以做得更加自定义一些，毕竟我是从flyme过来的?总而言之，这次剁手很合理?希望店家可以一直那么优秀，快新的一年继续生意兴隆！,2018-02-11 12:48:13,0,0,5
j***6,银牌会员,华为在10月份发布的麒麟970旗舰机华为mate10和本月份发布的性价比神机荣耀V10直接预装基于安卓8.0优化的EMUI8.0，我认为还是很好的，很快，处理器也挺快的，打游戏没有卡顿，除了摄像头有点突出，手感也好，像素也高。挺好的，推荐购买，京东快递也快，挺满意的服务，我买的的是黑色，我朋友的蓝色，都好看，蓝色骚气点，自己驾驭不住,2018-03-08 12:50:12,0,0,5
j***x,银牌会员,原包装没有拆开的，非常满意。留言了很久了，年前打算买，过年没有物流，拖到现在才买上。速度挺快的，智能识别也不错。重要的是喜欢这个款式，黑色经典，屏幕又大。玩了几个小时消耗的电量也非常小。买来一套配件都有，拿在手上也非常有手感。这个价位也非常不错了，还有赠品,2018-03-07 08:46:14,0,2,5
不***脸,金牌会员,手机刚收到就迫不及待的开机感觉速度很快，跑分17万分左右，画面很清晰，拍照功能也比较方便画质很好很强大；6GB的运行内存足够用了，运行速度很快，手机手感不错，黑色款看起来很舒服，拿到手里很有质感，还送了蓝牙耳机和移动电源，很满意的一次购物。,2018-02-13 11:10:27,0,2,5
aEAEgPjRBXsg,银牌会员,没等手指放在home键上呢，面部解锁已经完毕了，物流快，手机速度快，调戏了一下手机 闭眼睛手机是不会解锁的，可以语音找到手机更智能更贴心，充电器功率22w超级快充。上一个手机就是华为,2018-02-08 15:16:21,1,2,5
j***0,金牌会员,"听网上说这个手机评价不错，所以就买一部用用，荣耀v10,麒麟970处理器，寒武纪人工智能npu，希望能带给我不一般的体验，屏幕很大，全面屏观感相当不错，给个五星好评，支持一下国产。",2018-03-02 10:18:36,0,0,5
j***d,金牌会员,用了一段时间，感觉手机非常好用，容量打不说，运行内存也很打，刚玩一盘绝地求生就吃鸡了，感觉非常棒，还没有试试王者荣耀什么感觉，等我打完再来追加评论吧，一直对华为手机有好感，以后也会用下去,2018-02-26 16:21:04,0,0,5
记***y,金牌会员,外观十分亮眼，春节期间物流速度也很快，荣耀v10开启软件速度可以，加上华为自己的系统优化，使用起来很舒服，重要的是本人十分喜欢正面指纹，ai自拍功能还在摸索中，商家送的赠品不错。,2018-02-08 16:24:02,0,0,5
蝶***歌,金牌会员,外观漂亮，拿起来非常高端大气上档次支持国产，荣耀是非常好用，电池也是，非常的好嗯，各项应用打开下载也是非常的流畅,2018-02-25 19:33:02,1,0,5
吕雅婷881,金牌会员,挑了好多款华为机、最爱华为机，终于挑选了这款手机、电池续航不错，玩了一天王者和吃鸡都不卡顿、音质不错，画面清晰充电速度也不错?，拿在手里舒适感不错、单手完全可以掌握，收货速度也快、比较喜欢黑色的质感，摄像头是凸出的、必须需要手机壳，安卓的系统现在也非常强大、手势分屏、截屏、非常方便、比苹果机强大、而且智能语音系统不错，闲着可以和小e聊会天，据说小e强大到可以帮忙打王者，本人没有试过、但网上有个视频非常火、总的不错选择。,2018-03-05 16:08:34,0,0,5
陌***妮,银牌会员,之前感觉oppo美观，买了oppo用久了才发现性能远远不急华为，思来想去决定买台v10。京东问题手机没有第二天到，不过不影响手机的使用。打开包裹里面送了个充电宝和小支架，很贴心。手机运行速度很快，很满意，操作方式也很多，第三天就来评论了，我还有待研究才能弄明白这手机怎么用。好评，荣耀值得信赖。,2018-03-06 08:04:23,0,0,5
j***e,银牌会员,"荣耀V10是荣耀旗下一款智能手机，采用5.99英寸分辨率为2160*1080的显示屏，处理器方面搭载麒麟970芯片，于2017年11月28日发布。
我在三月五日在本店购买，于8日收到该机
当初选中了好几款该价的手机。后因本手机性能强悍，店家服务态度好，另外有京东的物流还有精美礼物！
收到后万分激动！
希望店家能够多多赚钱！",2018-03-08 14:28:46,2,0,5
j***c,银牌会员,商品跟我买的是一样的手机挺好的，用了一天了手机反应挺快的，人脸解锁挺好的。快递挺快的。待机续航能力也挺不错的。店家服务也很好，也送了配件了。下次需要的话再次来光顾,2018-02-10 11:39:10,1,0,5
j***s,银牌会员,荣耀V10是非常值得买的。首先麒麟970是安卓顶级处理器。鲁大师排名第一位，就是海思死敌安兔兔跑分也是顶级的。在AI智能化方面更是领先。其次，麒麟970处理器只能用UFS2.1和DDR4X，保证质量是顶级的。特别是闪存方面，V10随机读写是业界最强大的！顺序读写速度主要是拷贝大数据文件等需求才有用点，然而我们日常并不常用。而诸如应用启动与切换等操作，是我们每天都会接触的，比如用微信，微博，拍照片，打开图片库等这些操作对手机随机读写速度的要求非常高。只有随机读写速度够快，体验才会更加流畅自如。所以随机读写速度才是手机闪存能力最核心指标！照相好，华为双镜头业界领先，这次是1.8大光圈，更是厉害。这是最重要的，V10是国内唯一上安卓8.0的互联网手机，其他公司因为实力跟不上，没有上。安卓8.0体验好太多，没有安卓8.0的，已经跟不上潮流了。,2018-03-01 15:02:25,0,0,5
j***3,金牌会员,华为荣耀v10是一部很惊艳的手机，去年的时候一直有关注这款手机，店里面有活动，过完年果断下手了，脸部识别很快，安安兔跑分二十万，鲁大师跑分16万，使用ufs2.1，不用担心中奖门问题，大家放心购买,2018-03-02 20:14:58,0,0,5
j***面,金牌会员,"1.操作系统采用EMUl8.0比较智能，体验一下还不错，CPU采用麒麟970，八核**智核i7处理器，玩游戏非常流畅，也是我选择的主要原因。
2.屏幕尽寸5.99英寸全面屏，看视频，玩游戏视觉很好，18:9修长机身，好看更易握。
3.后置摄像头1600万像素(彩色)+2000万(黑白)像素，多种功能选择，拍照效果很好。
4.3750mAh大电池容量，出差不用带充电宝了。
5.店家赠品一件没收到，希望后补。",2018-02-06 08:47:07,3,0,5
w***4,金牌会员,服务态度好！包装结实！保护的很好！手机超赞速度很快，反应很灵敏，支持国货，超赞！手感，很好，当时觉得是否太大了？结果买过来一试，刚刚好，国货当自强，还是国货好！店主人很好，问什么答什么答疑解惑，很有耐心，值得推荐，全五分！买手机，还选这一家！,2018-02-09 16:22:42,1,0,5
超***蕉,银牌会员,"荣耀v10性能不错，只不过因为home键离下面太近，玩游戏时手心的肉有时要按到，使得回到主页，比如说我玩新出的QQ飞车，偶尔跑着好好的就会预到这种事情。整体很棒收货大概2天半还是比较远 收到玩了感觉特喜欢谢谢卖家
其次说一下建议:希望息屏后抬起亮屏可以不要这么敏感，或希望解锁屏幕之后，一些应用的应用锁可以不要单单只能指纹打开，手机人脸识别可以识别正在用的人判断是不是机主，如果判断不是或者不确定再让我使用指纹打开应用",2018-02-10 20:58:52,1,0,5
颜***丶,银牌会员,华为荣耀v10，第一印象是华为自主研发的麒麟970芯片，使用几天后，人工智能给我感觉是手机服务更加贴近身边，很周到；屏幕分辨率给人耳目一新的感觉，虽说不是全面屏概念机那种惊艳，但也是很美。正面指纹和耳机接口也很加分。关于手机屏幕问题有很多，我自己使用后没有问题，之前看评论，看论坛也是说屏幕问题。我只想说，谁用谁体会，毕竟华为公司不是小公司，不能说手机产品差到你不敢去买的地步，总体满意，很好！,2018-02-11 17:39:56,1,0,5
