名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
将***9,PLUS会员,表情还是得啊昂不错的，产品还是非常不错的，用起来比较快的，可以，京东的售后也是不错的，确实想京东产品的样子，质量很好的，以后还会来京东的购买，谢谢京东，谢谢??！非常感谢！,2018-03-01 08:05:12,1,0,5
明暁汐,PLUS会员,非常好。非常好,2017-11-09 19:29:37,20,19,5
j***k,银牌会员,手机很大方，嗯没美观，漂亮，嗯全屏确实挺好，需要的赶快下手，确实挺好的，太好了，大爱了！老爱它了！以前用的是x7p要是可以便宜一点那就好了！666666666666666找女朋友，送她一个！有愿意的吗？哈哈,2017-11-02 19:48:08,124,95,5
刘一超131*****332,银牌会员,宝贝收到了，昨晚上下的单，今天上午就收到了，速度超快，我老婆一定很喜欢，快递哥也很热情，他走的时候还说一星期包换，。京东信的过。一百个赞。,2017-10-31 13:22:18,69,26,5
微***我,PLUS会员,vivo第二次买，价钱比较高但是手机好总用，用了几天来的运行速度快比苹果好总，坚决不用国外的货，支持国产的,2017-11-07 21:45:56,64,65,5
w***2,PLUS会员,手机收到了，刚收到就拆开用了，用了一下午感觉电还是挺耐用的，等再用两天再看看怎么样，给好评吧！,2017-11-18 21:37:35,27,16,5
金***7,金牌会员,这个屏幕，太喜欢了，比我想象中的要大很多，而且面部解锁超级快的，亲测有效，特别棒！！外形也很好看，总之各方面都很满意，用几天看看怎么样再来追评吧！,2017-11-05 15:54:46,8,6,5
j***h,金牌会员,挺好，手感舒适，就是贵的很,2017-11-22 17:40:24,33,15,5
久***心,金牌会员,第一次用vivo这么大的手机，拿着还不习惯，就感觉屏幕，好清晰啊！很多功能我的好好研究！内存很大，够我用了！电池续航很给力，充电也快，相机像素高，拍照清晰，打王者荣耀真给力，可见系统优化的很好，音质也不错，听歌非常棒。就是左下脚有点瑕疵不知道出厂是不是这样，好像没合死一样，其他都满意。,2017-11-10 16:09:18,16,18,5
南***旦,PLUS会员,"优点:拍照功能还算不错；屏下指纹很拉风，也很方便，识别精度高，面部识别很迅速。
缺点:这个价位只用了660处理器，4G内存，emmc的储存，硬件配置甚至比不上1600多的360n6。
总之，为了尝鲜，亏点也值得。?",2018-02-03 09:42:00,31,23,5
矢语,银牌会员,手机很好用，很流畅，快递也超快，早上下单下午就到了，手机颜值很高超棒，也不厚，拿手里轻轻的，给个赞,2017-12-02 07:41:44,12,2,5
偶***宜,PLUS会员[试用],漂亮！拍照确实可以，真的是逆光也清晰！苹果系统用惯了，总认为安卓的会不会比较麻烦，操作了一下，真的是没什么区别，反应很灵敏，而且功能很强大，微信的小程序也可以放在桌面，非常方便！物流相当给力，头天晚上十点多下的单，第二天中午送到！赞一个！包装确实是走心了，让我甚至有了买椟还珠的冲动?，只是明信片没什么用处。,2018-03-01 09:24:27,0,0,5
生活丶太逼人,金牌会员,宝贝很好，屏幕清晰，系统很流畅。没毛病。快递有点慢，快黑天了才送到，不过服务态度很好。给力,2017-10-29 19:42:04,9,1,5
q***8,金牌会员,屏下指纹+面部很好用 外观很有质感,2018-02-04 09:49:39,15,6,5
j***3,银牌会员,非常棒，反应快，送礼物也喜欢,2018-01-29 08:49:58,1,0,5
筱***哒,金牌会员,昨天夜里买的 今天下午就送到了 物流特别给力 回来也特别喜欢 要是在送个钢化膜就棒棒哒了,2017-10-31 17:13:20,21,8,5
一粒砂子,金牌会员,屏幕大，是希望的大小。要用的APP全部安装完毕，运行流畅。3900MA电池比较耐用，屏幕常亮情况下，基本用一个白天没有问题。出厂已贴的保护膜完全够用，送的透明塑料手机套一般，可以根据自己喜欢再买一个。唯一的遗憾就是屏幕像素相对HTC不是那么高，用手机相机给屏幕拍照会有些许条纹闪烁，能接受范围。本人一直是HTC忠实用户，从最早的多普达到后来的HTC，前后用了四五部HTC，不过现在HTC手机逐渐退出手机市场。VIVO个人感觉是安卓机里比较好的一款，值得推荐。五星好评。,2018-01-30 01:13:30,5,1,5
j***b,银牌会员,手机很不错，反应快，设置的好，大屏，用着越来越喜欢它了。爱死他了。,2017-11-12 23:18:09,20,11,5
M***o,金牌会员,由于买了华为P10（已退）玩王者出现卡顿，所以刚收到货就尝试了王者，37%电，玩了3个钟，还有6%的电，不卡顿。挺好，屏幕够大，看电视很爽。爱看电视和王者的朋友，这款手机是不错的选择。,2017-11-20 15:29:31,48,16,5
中***光,银牌会员,这是我买的第三台VIVO手机：VIVO手机质量真的好得很，前两台还没有坏，选择了X20P，就是看中全面屏大屏、分辨率、外观，终于买到了我喜欢的黑色和128G大内存。我这台手机生产日期是2017年12月22日，我于2017年12月29日上午9点多下单，当天下午5点多就收到了，原厂未开封，还送了礼品明星盒，用了一个晚上，各方面都特别满意，没有发现任何故障。昨晚11点睡觉时电量是95%，早上6点起床时电量是94%，看起来电池算耐用。用段时间再来追评。,2017-12-30 12:22:02,14,7,5
良***限,PLUS会员,不错不错，一直喜欢的品牌！支持国货！,2018-02-02 09:56:22,1,1,5
j***a,银牌会员,东西收到了，还不错挺满意的，包装鲜艳靓丽，非常漂亮，这是第一次用vivi手机，不知道质量怎么样呢，运行速度快不快。,2018-02-24 11:45:44,4,0,5
大劳生,PLUS会员,玩了个把小时 简单说下感受 物流点赞 早上十点开卖下午就收到了 1月28日出厂的机器 系统顺畅 轻薄 操作易上手 屏幕指纹解锁很酷炫(只能在指定区域 不用膜手感极佳)面部解锁也方便 双卡双待全网通网速够信号强 手机壳有质感 暂时发现的缺点就是不抬下手机黑屏时手放感应区是解不了锁的 要等小蓝点显现手放上去才会炸开[偷笑],2018-02-01 21:36:20,17,14,5
