名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
w***0,PLUS会员,开售前全款预约，预约前到门店体验一下，很不错，老婆也觉得很好，比现在用的某米的手机好用，而且全款预约还送很多东西，真机昨晚拿到了，黑色很好看，机器做工很好，轻薄有质感，还有我觉得很喜欢的是系统，很人性化，人性化功能很多，用了以后，真的很顺手，系统有点像苹果那是真的，但是只要好用，管他的，这样一想，难怪ov的手机能卖这么好，到店里去一体验感觉就是好，有些人老说低配高价，但是我感觉比那种堆硬件系统体验一般的机器强多了，因为你总手机用的最多的是系统，又不是直接用CPU，送的鹿晗礼盒，里面一个收纳包，一个双接口16G的U盘，一个移动电源飞毛腿的，还有一张阳澄湖大闸蟹卡，很不错，老婆还喜欢。建议有兴趣的可以到实体店体验一下。屏幕很不错，全面屏，但是这个也就是个宣传点，也就这样，特别说一下我很喜欢的一个功能，导航键能隐藏，使用上划手势实现按键功能，充分发挥全面屏的作用，屏幕下面没有黑条，很好。,2017-10-01 08:55:46,202,156,5
演***士,PLUS会员,1:拍照 拍照非常好，真的是逆光也清晰，甩我的苹果和ipa几条街，老婆非常喜欢，拍的她非常漂亮！（送的自拍杆也是非常贴心）这点站在国内手机的顶尖了  2: 音乐 HiFi音质也是非常的棒，外放加耳机音质都是可以的 （也是主打年轻人时尚音乐手机）  3: 系统流畅程度  骁龙660处理器，八核   4加128G内存 系统非常流畅 人面识别 6.01全面屏 手机颜值非常高 （黑金版尤为漂亮）当然比起顶级旗舰机处理器和4G运行内存稍显不足 打王者荣耀这样的大型游戏稍微有点点会卡顿下，整体流畅度还是很棒！一直纠结要不要买王者荣耀版本（6G运行内存）贵100块，最后还是觉得局限性有点大，以后不玩王者荣耀了呢，所以最后选择了黑金旗舰版 4 总结: 整体手机综合指数都是非常棒，就是性价比这块有点不足，价格还是挺贵！但只要你喜欢拍照，喜欢听歌 喜欢全面大屏幕 想尝试面部解锁 ！那就不需要考虑了，可以出手！128G内存够你折腾所有的东西！旗舰黑金版 你值得拥有,2017-12-20 16:47:56,8,11,5
LyeoYeon,PLUS会员,第一次买国产手机，用了5天后感受，屏幕真心大，机身挺薄，就是后置的指纹键略丑，系统语言太少了，小语种输入法要另装，也没有个好用的应用，只能将就着用用触宝，但是输中文又不方便，输入法换来换去，麻烦...为了咱天朝机的国际化建议系统预装多国语言！！翻*后居然可以用google play store 太惊喜，应用都下齐了哈哈，运行也比较流畅，就是某些应用不能双击回顶部有点儿不方便，像素也还可以吧，音质一般，个人觉得还是某果的音质是最好的，总之很喜欢啦(??ω-)～♥”,2017-10-05 10:55:50,53,48,5
保***1,钻石会员,说实话，没有想过vivo x20的真机外形设计上如此的惊艳，黑中带金（及黑金），简约有型，可以说是一种低调奢华的美学设计，个人感觉是X系列中最美的一款了，甚至是目前市面上全面屏中最美的一款了，符合当下俊男美女对手机外形苛刻的要求；另外，通过一个月的上手体验，这块全面屏的屏幕综合素质挺高的，色彩上表现的艳丽但不缺真实色调，拍照方面也不错，特别是逆光拍照上很好的控制曝光度，表现力不错；还有人机UI交互体验方面跟过去的相比，还是有很大的提升的，前脸取消传统实体按键，靠全手势操作，势必会引领未来的趋势，总体来讲，这款手机体验舒适度还是挺高的！小小遗憾的是，希望屏下的指纹识别/解锁技术能够早日实现，如果加大运行内存，加到6G那就更完美了，不会因为运行内存紧凑而检查后台或去杀后台。后续如何，再做补充！（注:以上内容是本人的真实感受，仅供参考，希望能够为大家选择爱机提供一定的帮助）。,2017-11-16 05:54:00,23,9,5
狂***年,钻石会员,刚到手，外观非常漂亮，试玩了下还行，具体要等正式用了以后在评价！屏幕蛮清晰！还有就是现在什么才是真正的全面屏啊？我搞不清爽了！具体评价以后试玩再追加！,2017-09-30 17:50:47,167,180,5
t***e,钻石会员,送货极速，包装精致，双卡双待机，双流量，通话ok，用了5天，不发热，不卡吨，完美运行！没有乱七八糟多余的app。 能增加其他语言的输入法就更Nice了~界面很好看，大屏幕，机身薄且轻。虽然没有像三星LG功能多，但该有的功能都有，用着很方便。附带的产品也非常好，没想到会这么精致，自拍杆手柄手感特别好，移动电源设计简单时尚，带着会很方便。赠送的小包和U盘也很好。 总体非常满意！,2017-10-05 16:31:40,21,20,5
badbabyjue,PLUS会员,手机很惊艳，拿到手觉得比图片看上去的还好，手感好，质感也好，超薄，速度很快。色彩也很好。玩了局王者荣耀，很好，大屏就是视感好啊！京东快递永远那么给力，昨天上午下单，今天上午到货，什么都不耽误啊。,2017-11-01 10:52:06,21,15,5
杨***生,金牌会员,总的来说还可以，王者荣耀高频率模式很流畅，比我之前用的好很多，电池一般般够用，音质不错尤其是带上耳机。,2017-09-30 22:07:31,15,19,5
j***5,银牌会员,不得不说 京东的物流很强的特别是送货的工作小哥 有货就发一下午他就给我送了两次而不是 让我等给送货的小哥点赞 在说一下手机 电池怎么说呢 上午收到 充满电 一直在玩 王者荣耀 不卡 其他的都挺流畅 发热一般 总体对手机满意 就是不知道后面会不会有问题  充电宝 感觉太小不过是超薄的 挺好看的 哪个螃蟹卷子 感觉不会用 不知道有啥用 鹿晗的盒子也没啥用 不过包装很精致 还有哪个U盘还是第一次看见呢  用处对我来说没啥用 耳机 感觉低音效果没有 我哪个苹果的耳机给力 不过也是很棒很棒的哦 送的手机保护套 感觉不好看 好了就这样！,2017-10-01 16:36:11,23,4,5
柳***8,金牌会员,天空和海洋的颜色，很美的一款蓝色，早就想要了，给妈妈和我一人一部，妈妈拿到新手机笑容绽放的跟花儿一样，以前拿的都是我下放的手机，vivo一直是我的最爱，从x3到x20，把玩了几天，系统流畅，画面清晰，指纹解锁和人脸解锁都非常快，音乐的音质真心??，还送了人形立牌，u盘，化妆包，手环，照片还没到，送的东西收起来了，不能拍照了，还是这部手机颜值高，最主要是海洋蓝好看。,2017-11-14 10:24:50,37,7,5
