名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
l***3,PLUS会员,高清双摄，就是清晰。这个手机的摄像头非常清楚对焦速度非常快。这一个我说买了给我父母用呢，因为，他的老年机现在用起来非常卡了。1+5的这个配置估计可以用个十年不会卡。系统精简流畅配置高，性价比高，系统流氓软件少，关键是流畅。我从首发到现在，一直都在抢，终于功夫不负有心人抢到了，我想要的手机，我想说，我非常高兴，非常开心，非常满足，感谢京东，感谢京东给了我使用我喜欢的手机的机会，支持京东支持刘总,2017-12-18 13:46:19,339,258,5
樂小寶,PLUS会员,"#全面屏 双摄旗舰#首先赞下京东快递，速度给力，3线小县城能次日达，再来因为第一时间没抢到，还有plus会员8点有必购码抢，所以非常幸运能在首发抢到手机，第一时间拿到手非常激动，立刻回办公室拆机，第一次买一加，现在说说包装，这次包装不是用袋子了，用了盒子，这个点赞，不过希望下次能装好点，不知道是出厂物流运输问题还是购物运输问题，手机盒子有个角有点碰损，不过不影响手机，手机目前查看各方面都很满意，没用磕碰，手感很好，送的套子包不住后面双摄，能出个镜头膜或者凸出点套子吗？虽然是男的，不怎么拍照，但是也怕镜头刮花呀，系统不怎么熟悉，需要时间磨合，配置给力，感觉没什么缺点，说外观不好看，像OV，我感觉不重要，买OV的大把人，说明外观可以，我花相同的钱买个高配的多好，本来考虑1+5T和荣耀V10两款，后来看各种评测对比，看v10媒体机王者荣耀团战会跳到27 29帧，立刻pass掉V10,玩不玩是我的事，卡不卡是厂商的事，像手机的耻辱机M1L能玩游戏吗？821+6G的配置玩个王者荣耀都卡出翔来，每次更新论坛一片哀嚎。希望一加的OS越来越好用，增加智能语音助手，还有记得抽中我哦，必购不能选闪充套餐",2017-12-02 18:43:02,559,532,5
z***c,PLUS会员,"7号那天在微信上抢的，我想说我已经抢了三次了么，这次，大发！终于被我抢到了！
看到评价很多人说是从一加3换一加5t的，我一个礼拜前用的还是一加一，要不是手机丢了真的，那个一加一还是很好用好么！就是因为在一代近5年的使用期，让我更加坚定了我对作虎哥的爱。
这里必须给我们京东物流的小哥哥们点个赞，早上10点下单，晚上6点多就到了，而且快递员很耐心，电话打了很多个。
开箱，完美，看到我第一张图了么！这是我买一加一的时候送的微笑指针啊(」゜ロ゜)」还在啊！给时隔好几年的更新来个微笑合影，整个包装干脆利落，又很简介大发，就是不理解放手机的那个红色的倒模，都可以精确到做红色的手机壳了，这次还有贴纸和手机套，可惜手机套摄像头严重突出，而且还容易占东西Q_Q，果然一份价钱一分货啊，又而且把IMEI码贴在手机背后真的真的！好吃藕哦( •?_•? )，
手机指纹解锁很灵光，我觉得秒杀IFENG8之前的所有手机，相机的话，emmm( ˙?˙ )，色彩是还可以啦，但是放大之后的效果……噪点！实在！太多了?( ?? )? ，一加超市的软件包可以再全一些，这个价格真的很实在了！！",2017-12-11 00:00:25,183,190,5
l***8,银牌会员,好评，第一次购买一加手机，之前用的用苹果手机！感觉挺好用的，价格却是苹果三星旗舰机的一半！这点挺赞的！购买一加手机之前也有想过买360n6 pro但是对比一下还是加多一千元买一加5T，性价比很高！外观和工艺挺好的，但是屏幕还是比不上三星苹果的，考虑到价格的话还是比较划算的，毕竟用的是骁龙835处理器！先用着吧，7天后再做追评！,2017-12-17 22:54:14,43,11,5
打***强,PLUS会员,"#全面屏 双摄旗舰#首先赞下京东快递，速度给力，4线小城市能次日达，本来想要红色的，可惜抢的时候看错了时间，这个有点小遗憾。一加5t屏幕大，运行速度快，拍照清晰。本来在1+5T和荣耀V10两款对比选择的，后来看各种评测对比，V10和一加各有千秋，但是如果是玩游戏和拍照的，建议还是使用一加，游戏十分流畅，装东西都很快。在性能方面，一加真心没话说，爽！在人性化方面，我太喜欢3指截图了，这功能赞一个，还有息屏双击两下会亮屏，配合人脸识别，完美刷脸进入手机。比苹果更大，更爽！
最后，如果你还在一加5T和V10中犹豫，通过我这个7天的使用，我建议你买一加5T没错。选择它没错，爽！！！！",2017-12-31 11:45:11,132,100,5
禁***灬,金牌会员,太好用了，比我的6sP还好用，玩王者吃鸡特效全开毫无压力啊，10点开售，果断下单，差点没抢到，好激动啊？哈哈哈哈哈！！要买的小伙伴等5号拼手速哈！本来想买128G版本的，可惜没抢到！有点失落！不过这个已经能完全满足我的游戏需求了！爽歪歪！快递也很给力，昨天中午下单，今天早上就到了！速度没得说！,2017-12-02 21:45:00,200,76,5
心***n,PLUS会员,从发布会就看中这款手机了，今天早上9点钟就打开京东页面开始守候抢购，刚开始没抢到，连续刷了两次抢到了太兴奋了，下午3点就收到手机了，外观性能太强悍了，值得购买把玩一下，心意很久的机器，第一批抢到真的太幸运了。老手机像素差点，希望大家多担待。,2017-12-01 23:29:02,103,42,5
回***8,银牌会员,这款手机买了，立刻应用了，外观挺不错的，就是玩了一会，电池呼呼往下降，这么贵的手机，不应该的，希望有良心产品。看看以后怎么样吧，回头在追加评论～～～,2018-02-09 12:58:43,39,10,5
大***浪,PLUS会员,"人像更漂亮，夜拍更出色。
OnePlus 5T 的拍照更棒了，除了后置 2000 万+1600 万高清双摄，双核对焦。还有双 f/1.7 大光圈，自动 HDR 逆光拍摄，强大的专业模式。更有全新升级的人像模式 2.0 和纯净夜拍。
性能 & 体验

骁龙 835 处理器 + 8GB 大内存。
超强超省电的处理器，超大的内存，超快的双通道闪存，超多的好用功能......拥有如此强劲的OnePlus 5T，在你手里只会凝结成一个字：爽。



网络

更全面的信号覆盖，
更快速的网络连接。
多达 6 模 35 频网络制式，全球主流地区 4G + 网络，出国不用换手机。双卡双待，2 X 2 MIMO 双路 WiFi，信号覆盖更广泛，上网更快。
全面屏

一用上，就会爱上。
全面屏拥有更大的显示面积，更舒适的显示模式，更沉浸的全面屏体验。其充满未来感的显示效果，让你一旦用上它，就离不开它。

全面屏

一用上，就会爱上。
全面屏拥有更大的显示面积，更舒适的显示模式，更沉浸的全面屏体验。其充满未来感的显示效果，让你一旦用上它，就离不开它。",2018-03-06 09:57:32,1,0,5
j***y,银牌会员,"到手了！总体来说体验感觉不错，脸部解锁很快快到你根本看不到锁屏的界面，指纹就不用说了，也是很流弊，手指出汗的时候也可以完美解锁，冲电速度很快，我觉得还不发热这是可能对北方人不好我们没有暖宝宝了?，开个玩笑，玩游戏的话完全不用担心毕竟跑分跑了18万分跟闹着玩是的，手机的外放音质不错声音大,层次分明,音质一流，手机的手感也是相当不错的！到此为止这都是优点，我稍微说一点小事吧，希望后期可以修改一下，比如我们在分屏看电影和微信打字聊天时就容易尴尬了，因为你一打开输入法的时候（横屏时）它会全屏占满这就让人没办法继续看电影，还不如不分屏直接一心聊天好了，这点我不满意如果可以的话最好把输入法在优化一下，这是一点下面说一下这个三大金刚键，原本这个没有问题但是在你打开别的软件时这个区域就变成了一条白带，这点感到不爽，觉得以前的美感都没了，希望这里也优化一下，这就是我5个小时体验的效果，我觉得总体来说不错，毕竟三千大洋啊，下个月又要吃土了?，辛亏值得不然就哭死了?，后续的话有问题再上来报道，没问题就美滋滋，好了不多说了马上就评论字的上限就快到了，我也就不多说了，把这些字都写上就不多说了，写完了。再见",2017-12-14 01:32:27,96,35,5
