名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
湘***岚,钻石会员,用了两天来评价，不错，对得起这价格，系统流畅，色彩，通话质量目前没发现什么问题。就是电池配的小了点，如果能来个3000以上毫安的就完美了。,2018-02-27 23:40:01,0,0,5
j***g,铜牌会员,"我以前用过一款这个手机。感觉各方面都挺好的,是正品,到手自己激活的,相信京东",2018-03-07 13:50:05,0,1,5
阿***踢,钻石会员,手感很好，大小合适，做工精细。功能试用中！,2018-03-02 13:28:41,0,0,5
雨***4,金牌会员,手机性价比高，质量手感也相当的不错，最主要三星的大品牌让人放心!,2018-03-06 17:56:32,0,0,5
j***o,铜牌会员,手机物流还可以，就是，反应和下载速度没有红米note4快,2018-03-05 10:43:04,0,0,5
j***r,PLUS会员,还挺流畅的，就是掉电有点快，而且我怀疑是被退回来的机子，刚打开电量竟然只剩15%，感觉京东在慢慢变垃圾……,2018-02-26 15:55:06,0,0,5
安***祺,PLUS会员,非常满意的三星手机，外观漂亮，屏幕效果清晰，内存足够了。 谢谢！,2018-03-07 09:23:56,0,0,5
x139*****172,PLUS会员,习惯用三星的手机了，感觉还不错，就是耗电有点快。,2018-03-01 17:03:35,0,0,5
j***1,钻石会员,一直都用三星手机，相信京东商城。,2018-03-02 12:33:09,0,0,5
j***e,银牌会员,正在使用，物美价廉。,2018-03-06 14:04:51,0,0,5
j***u,PLUS会员,手机用了一段时间后来评价，用着很舒服，运行流畅没有卡顿现象，玩王者荣耀毫无压力，能够满足日常绝大多数的工作,2018-03-06 09:33:21,0,0,5
w***9,PLUS会员,手感较好，薄，清。运行速度较快，自带软件有部分可以删除。性价比适中。缺点是锁屏时钟显示太难看了。,2018-03-03 19:55:20,0,0,5
安***塘,金牌会员,"三星note5摔坏了，救急买了这个，外观稍小点，感觉小版的note5,很好用啊，京东物流赞一个。",2018-02-28 13:51:00,0,0,5
j***x,银牌会员,拍照功能不错，很清晰，各种功能都不错！美中不足的是电池容量太小！但有快充也算是补偿了吧,2018-03-04 20:07:20,0,0,5
j***8,PLUS会员[试用],玩游戏非常卡，外观还可以，电池续航能力一般，请大家支持国货吧,2018-03-05 21:40:45,0,0,5
泰***品,金牌会员,大品牌可以相信。转了一圈，回头还是三星——黑也没用。强！,2018-03-02 20:37:50,0,0,5
j***r,金牌会员,手机已到手 跟想象中一样 用着手感也很好  先用着看 后期还要追加评价,2018-03-03 07:25:04,0,0,5
1***0,铜牌会员,速度还可以，毕竟价钱在这，主要是给老人使用！功能齐全就好，,2018-03-10 02:15:09,0,0,5
光***佬,PLUS会员,物流的速度非常快，今天下单，今天到。,2018-03-08 10:03:46,0,0,5
中***华,铜牌会员,手机用起来还可以，商家服务不错，快递员态度好，送货及时。,2018-02-26 05:59:10,0,0,5
梦***冯,PLUS会员,应该是正品吧，和我之前买那个差不多,2018-02-26 20:48:15,0,0,5
a***7,金牌会员,"刚用两天充电头就坏了，申请了售后,售后服务，还挺满意的",2018-02-26 16:27:04,0,0,5
