名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***酉,钻石会员,收到宝贝不错喜欢很好非常满意快递速度也很给力做工质量超棒棒哒相信三星支持京东特赞个给满分好评下次继续来光临,2018-01-04 08:45:03,5,12,5
r***n,PLUS会员,它是中端机！它是中端机！它是中端机！外观：向经典致敬，正面一张三星大众脸，后背微缝天线不算好看，也不难看，设计上中规中矩。金属手感很好，全机薄、薄、薄。系统：看来应该是中国团队设计的意志表玩表，很接地气。通知栏的选择与取消可以让许多烦人的APP消息不再显示，智能管理器的加入也可以取带其它第三方复杂繁多的系统优化软件。影像系统与国机表现差不多，光线好的情况成像稳定扎实，HDR开起拍摄有延时，但画质不错。在弱光下其中端定位表现无疑，对焦慢，画面涂抹显明和S7系列相比差距明显（本不可同日而语）。6G内存运行大型游戏毫无压力，流畅，特效显示能满足你最大化娱乐需求。三星这次在HiFi上有了一些追求，初听在解析力上不错，高中频听感调放也还讨耳，低频与三星以往大不同，低频量感明显增加，但质未有提升，低频见长耳机并不好应付，与VIVO相比差太远，当然硬件成本与调教不一样，不可相比。电池功效中度应用一天剩40%还行一般。发热量在这个季节不突出，关键看夏天的表现。总之，它符合你在中端机上所有期望，你的选择没错，它就是中端机。,2016-11-21 18:04:29,31,3,5
人***悴,PLUS会员,它是中端机！它是中端机！它是中端机！外观：向经典致敬，正面一张三星大众脸，后背微缝天线不算好看，也不难看，设计上中规中矩。金属手感很好，全机薄、薄、薄。系统：看来应该是中国团队设计的意志表玩表，很接地气。通知栏的选择与取消可以让许多烦人的APP消息不再显示，智能管理器的加入也可以取带其它第三方复杂繁多的系统优化软件。影像系统与国机表现差不多，光线好的情况成像稳定扎实，HDR开起拍摄有延时，但画质不错。在弱光下其中端定位表现无疑，对焦慢，画面涂抹显明和S7系列相比差距明显（本不可同日而语）。6G内存运行大型游戏毫无压力，流畅，特效显示能满足你最大化娱乐需求。三星这次在HiFi上有了一些追求，初听在解析力上不错，高中频听感调放也还讨耳，低频与三星以往大不同，低频量感明显增加，但质未有提升，低频见长耳机并不好应付，与VIVO相比差太远，当然硬件成本与调教不一样，不可相比。电池功效中度应用一天剩40%还行一般。发热量在这个季节不突出，关键看夏天的表现。总之，它符合你在中端机上所有期望，你的选择没错，它就是中端机。,2018-02-07 22:34:07,8,3,5
阿***e,钻石会员,那些说这手机什么wifi断流的，什么指纹解锁不灵的，通通打脸吧！如果真心想买一个性价比比较好的手机，这个，真的是很好的选择，刚刚说那两个问题根本不存在，而且手机又大又薄，真的很霸气！,2017-10-25 13:12:36,108,90,5
孙三龙,金牌会员,我用三星手机从2009年到现在一直在用，首先感谢三星的手机人机互动这么强，目前没有那个手机能比拟的，就是想你所想，然后最大限度的帮助你，我买了这款c9por，是一款中端机，从屏幕大小，以及清晰度和像素我觉都很不错，甩国产手机几条街，再到心脏处理器，6G运行，强大的处理器，保证玩游不卡，再说了我也不玩游戏，指纹识别也不错，但是手指不能有水，否则就识别不了，还有就是68级防水，绝对好使，我喝水不小心把手机打湿了，手机完好无损，再到音质听起来很舒服，也很清晰，手感吗挺好，如果不买手机壳可能有点太滑，我用了近一个月在评价，为什么国产手机买的这么火，我觉给国人洗脑，用强大的广告以及亲民的价格，在国内国外立足了脚了，不得不得说国产手机最近几年很争气，从研发，到市场的推广，以及后期的客服做的很不错，但是呢，如果你对手机不太懂，我建议看了我的帖子，希望对你有帮助，我很爱国，但是呢我不得不承认三星手机做的很好，值得国内手机去学习和追赶，三星手机唯一一点不好的是，市场缩水过快，希望三星手机越做越好！,2018-03-09 20:55:32,0,0,5
幸***了,金牌会员,屏幕看着还可以，挺大一台手机，买给女朋友给她一个惊喜，果断升级安卓7.1.1就不知道电耐不耐用，偷偷下个绝地求生看看6g运存效果如何，手动滑稽,2018-02-09 19:23:46,13,13,5
尛***湧,PLUS会员,手机挺大旳，很喜欢，一直喜欢三星手机，京东物流就是快，手机值得购买！,2018-03-09 13:09:36,0,0,5
雷***m,钻石会员,挺薄的一款手机，拿到手还没有使用，感觉还不错，不过快递包装应该被拆了，不是原来的包装，又用京东的红色胶带把之前原包装划开的地方粘住了。看到手机没被拆开也就没说什么,2018-03-08 23:13:12,0,0,5
j***o,PLUS会员,必须表扬一下京东自营的服务，手机换了两次，前两次都有点小问题，售后跟进比较及时，服务非常好。,2018-03-08 13:48:57,0,0,5
袁***2,金牌会员,还可以！我很满意,2018-03-06 15:32:14,0,0,5
j***b,银牌会员,这个价位的手机算是良心手机，物美价廉，值得拥有。,2018-01-27 18:59:12,17,11,5
j***购,钻石会员,送老婆的情人节礼物。她说还可以,2017-02-19 16:48:30,2,0,4
水***品,PLUS会员,不错的手机，外观漂亮大气，而且很薄。三星很良心，TF卡槽不占用手机卡卡槽，赶快下单买张大TF卡，哈哈，存储顿时翻倍。屏幕佳，触摸灵敏反应快，文件路径清晰高效，垃圾程序不多。推荐购买，现在价格也算合适。,2018-03-06 15:17:28,0,0,5
j***g,PLUS会员,还可以，过段时间再评价！,2017-06-02 22:30:40,5,0,5
1***p,PLUS会员,好，好用外观漂亮设计美观手感好京东商城继续发扬，值得赞,2018-02-27 19:47:04,1,0,5
8***Z,银牌会员,在全面屏的年代。还是喜欢三星的典型按键布局。看着贴吧里各种闪屏问题。无奈实在喜欢就收了。手机未拆封是正品。京东的速度还是可以的。但是一定要说一下包装。很多人吐槽纸箱子里没放充气膜。现在手机盒子外面弄个京东塑料袋就给邮来了。京东是到底有多缺这点包装成本啊。,2018-03-07 17:51:08,1,0,5
粉***鱼,PLUS会员,非常不错的手机，功能强大，拍照清晰，运行速度快。,2018-03-06 09:22:45,0,0,5
泛***上,PLUS会员,已经是买的第三部了，这手机挺好用的，手机挺大，内存也够用，运行非常流畅，就是晚上拍照似乎有点不太清楚，介意大手机放裤兜里不舒服的请绕行，价格也非常的优惠，好评！！！,2018-03-06 21:05:19,0,0,5
小***8,钻石会员,包装很好，是未拆封的。全金属机身，手感非常好，机身超薄，大屏细边框。速度不错，但有时也会卡。电池虽然是4000毫安，但是正常使用基本1-2天吧，开了省电模式后，时间会长一点。照相效果光线充足时不错，光线不好时噪点太多。里面预装软件太多，好多很少会用到，又不可以卸载，占据运行内存和储存空间。满分100分的话，我打85分。,2018-03-09 14:08:21,0,0,5
j***4,PLUS会员,京东快递在乡下一样快，第2天就收到了，很喜欢这个手机，很薄，颜色也很好看。。。,2018-03-09 17:16:59,0,0,5
j***c,银牌会员,挺好的，性价比很高，像素也可以，运行速度也不错～买来给老公的，也就是跑网约车，说是转挺快的！电池也不好考量，因为我老公跑车，肯定耗电量大，一直有移动电源备着～一天下来，有时候也不会关机，总体平均下来，就是一天充一次～充满！这大致就是我家的用后感觉～～最后一张图片，是用这个9拍的！,2018-03-08 18:41:30,0,0,5
小***红,PLUS会员,对比了才买的，性价比还可以。晚上拍的第二天就到了，很喜欢京东物流，超快。,2018-03-06 21:07:32,0,0,5
王***丶,PLUS会员,手机非常不错噢，颜值很高，活动后1999，这个价格很赞,2018-03-09 17:34:45,0,2,5
l***g,PLUS会员,手机各方面都是挺好用的，之前说的指纹问题也不存在了，拍照的话就是某些时间颜色有些失真。,2018-03-04 13:12:51,0,0,5
爱***仔,PLUS会员,这个商品总体来说非常不错，无论是价格还是品质，都是首屈一指的，特别的，快递非常给力，推荐大家购买！,2018-02-17 12:05:12,2,1,5
t***t,银牌会员,主要是喜欢屏幕高清非常大气，但是使用感没有vivo那种方便顺手，感觉6G内存没想的快还不如以前用的vivo顺手。性价比比人家高很多,2018-03-06 15:23:37,0,0,5
我***头,金牌会员,挺不错的，三星的品质一直都是顶级的，我给老婆买的，她特别喜欢……,2017-03-07 19:22:08,1,0,5
吃***1,钻石会员,手机收到了，之前看朋友用的感觉很漂亮也很好用，今天收到还是被惊艳到了，颜色很漂亮，外观也很时尚，运行特别流畅，支持京东,2018-03-06 08:54:11,0,0,5
一***嘞,PLUS会员,这手机真的很好用～贼流畅。。。,2018-03-06 11:14:23,0,0,5
j***5,PLUS会员[试用],屏幕基本上够用，指纹解锁还算灵敏，三星用习惯了，上部也是三星6寸的，很好,2018-03-04 23:50:48,1,0,5
真***手,PLUS会员,挺大气，性价比很高，又涨价了！,2018-03-02 14:58:23,4,0,5
J***8,银牌会员,刚刚  才到货得   感觉还是非常不错得  看看了  就是指纹有点不适应  慢慢来,2018-03-07 22:35:40,0,0,5
s***j,PLUS会员,手机确实非常完美，不愧是大品牌，大小合适，运行速度超快，没有卡顿，另外京东物流一如既往的快，非常感谢快递小哥。,2018-03-09 07:04:32,0,0,5
j***亮,PLUS会员,好喜欢这个手机，颜色拍照都不错，用起来也流畅,2018-03-09 17:16:54,0,0,5
j***j,注册会员,手机非常漂亮 运行流畅 发货速度 好评,2018-03-08 14:22:35,0,0,5
Q***q,银牌会员,东西收到了，刚开始用，还不错,2018-03-05 15:08:59,1,0,5
L***y,PLUS会员,"优点：物廉价美，全面屏，外观还行，系统流畅，玩什么都不卡，大型游戏也不在话下，王者，飞车，cf随便玩，系统很好不像别人说的那样烂，不发热，电池超级耐用，重度一天，中度两天，轻度三四天，目前千元机续航最强没有之一喜欢续航的小盆友，这个绝对让你满意，自带贴膜音质很好
缺点：屏幕显示效果一般，侧面看漏光现象，不过不影响使用毕竟价格已经非常低，拍照你懂的一般般，还是价格便宜，性价比非常高所以缺点也就不说了，也没什么大问题。
总结：买了很多东西，京东商城都是正品行货，快递亲切友好负责任，售后服务也很周到，祝京东商城越来越强大，是一部值得够买的手机，续航强大这是重点",2018-03-07 15:57:22,0,0,5
M***弟,银牌会员,屏幕还可以。电池也蛮好。值得入手,2018-03-07 05:12:20,0,0,5
狂***个,钻石会员,手机外观漂亮，使用方便。京东的送货员太牛逼，离送货地址200米整整等了几小时，打电话给说有急事要出门，可不可以先送，快递员这个理由那个理由的。只想说京东的快递服务能不能变好点，多数都是打电话通知我是京东快递在楼下，下来拿，真是无语了，再这样下去，我不会来京东消费了。,2018-03-08 15:04:12,0,0,5
真***士,银牌会员,宝贝已经到手，对外观、手感和速度媳妇都很满意。给京东及物流五星好评。,2018-02-25 17:43:09,0,0,5
永***桑,银牌会员,用的很流畅很舒服，像素很清楚，打游戏很流畅不会有顿卡，稳定不掉帧。,2018-03-08 10:34:12,0,0,5
磊***蕾,金牌会员,宝贝已收到，很不错的东西。非常喜欢！物流很快，支持京东！,2018-02-18 10:14:27,1,0,5
J***d,PLUS会员,手机用着不错，解锁挺快的，屏幕是真心大；不过相机就很一般了。拍照效果不好，颜色失真。,2018-03-05 18:39:46,1,0,5
j***x,PLUS会员,本来不喜欢粉色，刚买完就来了香槟色，不过拿到觉得也还好，反正有壳啦，用着还行。,2018-03-07 07:30:41,0,0,5
3***1,PLUS会员,首先是机身超薄，手感很好。其次是价格，这个价格可以买到6寸大屏，6G运行内存+64G储存，实话说很实在了。三星屏幕不亏是行业领头者之一,2018-03-07 14:31:01,0,0,5
j***人,PLUS会员,很娘不适合我，所以又卖了哈哈，性价比高，三星价格也开始降了,2018-03-09 00:53:02,0,0,5
j***6,PLUS会员,京东的货品物美价廉，包装无破损，很不错，值得购买。,2018-03-07 14:20:28,0,0,5
K***8,PLUS会员,蔷薇粉，听也觉得高端大气上档次，低调奢华有内涵,2018-03-08 00:21:54,0,0,5
f***S,银牌会员,这配送速度??。快递小哥给力步行爬了6层。谢谢快递小哥辛苦了！,2018-03-08 20:44:51,0,0,5
j***3,金牌会员,手机非常好?，我买来是用于做直播用，很好用,2018-03-08 13:03:11,2,2,5
l***7,PLUS会员,很不错的机子，时尚潮流，内存大，运行时间快，这个价格相对来说性价比耶很高了，后续继续评价！,2018-03-09 12:39:51,0,0,5
m***g,PLUS会员,总体感觉不错，和手上现有的s7来对比，屏幕大了，但没s7细腻，摄像头像素指标比s7高，但拍照没s7清晰，也有可能是屏幕显示的关系。操作起来有时会卡顿。,2018-03-07 11:58:12,0,0,5
迷糊老张,金牌会员,手感好，大屏，有扩展槽，有收音机，值得拥有。,2018-03-07 15:26:01,0,0,5
