名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
徳洲,金牌会员,物流很快，手机开机的时候很震撼，运行也很快，随便开二十几个后台，这个屏幕简直爱不释手，太棒了！,2018-03-06 11:23:00,0,4,5
j***2,PLUS会员,手机非常棒，开机的时候特别震撼，屏挺大的，跟我以前用的s7edge一样，s8屏比真的大很好,2017-10-10 19:07:35,272,165,5
j***o,金牌会员,昨天买的，中午到了。很喜欢。看着上档次。有和苹果8的对比图。充电感觉慢。后续追评。观察了一周，喜欢的可以入手,2017-10-26 14:53:06,20,3,5
j***x,PLUS会员,"很大，视觉冲击力很强。双十二的时候2600买个s7e退了,电池尿崩，发热，阴阳屏，数据断流，触摸漂移，感觉就是翻新的。这个s8+一点没以上的毛病，边框也不咯手，电子产品买新不买旧。个人觉得除了4g运存偏小外无明显缺点，可以入手",2017-12-01 16:37:03,45,9,5
s***a,PLUS会员,第一次买三星手机，外观好看手感也好刚刚体验一下还是不错的的嘛！看看能不能用得久一点，同时也希望下一部手机还是三星,2018-03-04 19:09:49,0,1,5
陶***y,金牌会员,12期免息的活动还不错  帮同事撸了一部  三星的产品做工还是不错的  屏占比很高   看惯了千篇一律的iPhone  搞个三星也不错  不知道万一炸了  同事会不会打我,2018-03-06 05:36:17,0,0,5
野***驰,银牌会员,一到手就高潮了，这块屏幕确实无敌，颜值绝对秒杀2017任何手机，爱疯X我也摸过，比这个差远了感觉。目前用了一个礼拜，系统各方面感觉良好，挺流畅，拍照啥的都不错，不多说了，有问题的下面留言我回复。,2017-12-20 21:41:08,30,26,5
4***6,PLUS会员,作为一个六七年老苹果。买这手机纯属新鲜。然而拿到手之后就惊艳了！第一，这屏幕，堪称地表最强，秒杀苹果三条街有没有，搭配曲屏，效果疯狂。第二摄像头，我觉得那些靠美图生活的妹子们要痛恨这手机了，完美屏幕加上这摄像头，没有什么东西能看不清了，加上惊艳的色彩效果，拍景简直了。第三音效，都没试过耳机我就很满足了，柔和清晰的音效，听说这耳机还是高科技，估计用上效果会更不错。第四外观，这估计是大部分买家第一选择的理由，说实话背面有点丑，不过这正面的高颜值，反正谁会去看屁股。缺点么，当然运行跟苹果还是有差距的，用久了估计会偏卡，反正现在大家用手机也就两年，我觉的省点用用也就够了，最后就是谁也不知道的问题了，到底什么时候炸呢，随便吧，最多一块大腿肉。总评来说还是很满足，基本上秒杀苹果,2017-06-25 11:41:49,1244,525,5
j***r,PLUS会员,赞，S5退休使用S8+，五星好评,2018-02-02 15:27:18,9,1,5
3***9,PLUS会员,做了很久的思想斗争才拍了这个视频，还真的是防水，手机就不描述了相信想买的你们比谁都清楚，只说一点绝对的正品全新未拆封，快递那是相当的快,2017-12-10 16:14:37,131,31,5
老***号,钻石会员,第一眼看到亮瞎了我的双眼，太惊艳了，这才是真正意义上的四曲面全面屏，值得你拥有（我不是优乐美）,2017-11-04 19:16:52,10,3,5
丶***叔,PLUS会员[试用],手感极佳 讲真一点都不输水果 屏幕还更胜一筹 系统目前很流畅 4G运存系统占用2.2G有点伤之外其他满分,2018-02-23 16:13:01,4,0,5
京***粉,金牌会员,感觉可以，过几天在评论，不敢多说话，怕喷子，希望卖家也屏蔽下喷子！,2017-11-02 17:11:04,7,9,5
爱***o,金牌会员,"买来送给老爸的，很不错，颜值超级高
反应超级快，超级不错 新增bixby功能",2018-01-19 22:38:50,3,2,5
他***鱼,金牌会员,男朋友很喜欢！非常满意！特别高大上的一部手机！只是还不太会用，慢慢琢磨，五星好评！,2018-03-07 14:12:07,0,0,5
jd_155555yaa,银牌会员,各方面都还行，三星一直没让我失望过,2018-02-21 11:13:00,7,5,5
z***n,PLUS会员,"1.首先，手感真的不错，全面屏+曲屏，颜值很高，大屏幕，颜色非常逼真，A屏牛
2.虹膜解锁很不错，相对会慢一些，但是很不错，指纹解锁还没有用，有些不方便，面部解锁还没有使用
3.系统很不错，很流畅，不知道升级8之后，效果怎么样，期待着
4.大家关心的电池还可以，重度使用一天还可以坚持，充电发热还可以，能接受
5.bixby，不得不说，真强大，真牛X，真智能，可以秒杀市面上其他的人工智能，非常不错
6.还在使用中，继续体验中",2017-12-14 20:51:10,6,0,5
梁***开,金牌会员,手机收到了！很漂亮，颜值高！秒杀苹果，非常喜欢！,2018-01-11 07:54:40,2,1,5
j***a,金牌会员,用了一个多月快两个月了再来评价还不错，电不是很耐用，一天一充,2017-08-25 20:47:11,5,0,5
a***8,金牌会员,很好很漂亮,2017-11-18 19:59:19,2,1,5
G***_,钻石会员,以前基本没有认真评价过，不知道浪费了多少积分，听说评价超过100字可以送积分，这个福利真是不错，妥妥的每条都来100字评价下，这是第N次来超市购物了，光是一个国庆就买了五次，是有多爱啊，东西便宜，质量好，食物新鲜，买的放心，用的放心，感觉买的都上瘾了，超市真是有毒，买买买的根本停不下来，还有翻牌游戏，每次都能翻到特特特实惠的，你说过不过瘾！夏威夷果真的是好好吃，还能炒菜，超赞！以前基本没有认真评价过，不知道浪费了多少积分，听说评价超过100字可以送积分，这个福利真是不错，妥妥的每条都来100字评价下，这是第N次来超市购物了，光是一个国庆就买了五次，是有多爱啊，东西便宜，以前基本没有认真评价过，不知道浪费了多少积分，听说评价超过100字可以送积分，这个福利真是不错，妥妥的每条都来100字评价下，这是第N次来超市购物了，光是一个国庆就买了五次，是有多爱啊，东西便宜，以前基本没有认真评价过，不知道浪费了多少积分，听说评价超过100字可以送积分，这个福利真是不错，妥妥的每条都来100字评价下，这是第N次来超市购物了，光是一个国庆就买了五次，是有多爱啊，东西便宜，,2018-03-05 18:12:04,0,0,5
天空中的白熊,PLUS会员,送货速度超级快，屏幕真的惊艳，送的软膜不太好贴，买的钢化膜还在路上，开机后第一时间升级系统~继续搞机~(*≧▽≦),2017-05-24 18:56:56,1,0,5
一***颜,PLUS会员,手机太漂亮了，送给媳妇儿的礼物，第一次买三星，好多功能需要摸索，全视曲面屏果然不是吹了，屏占比非常高，手感真的很舒服，宽度刚好一只手可以用，媳妇儿手小还是不行，去体验过黑色，感觉粉色比黑色好看多了，送的无线充电器还没有用，手机先玩顺了再来试试，还有好大一盒零食，可把媳妇儿乐坏了。,2018-02-05 22:54:19,1,0,5
狙***r,金牌会员,冲着外观来的，确实惊艳，看正面的时候开始会误以为是背面，拿在手里像一块光滑的石头，系统上一般吧，中规中矩，拍照不错，硬件方面最大的问题就是指纹识别，与华为比较的话一是慢，二是位置很难受，但幸好有面部识别，光照强度一般的情况下解锁还是挺快的，但是，但是，但是，手机是真的漂亮啊，一点小缺点在颜值面前已经可以忽略了（对我来说），最后，怕碎屏的朋友可以贴一个曲面钢化膜，贴上之后其实很难发现已经贴了膜的,2017-10-06 11:09:19,1,0,5
j***?,金牌会员,用了半个多月目前感觉还可以 续航一天一冲差不多，玩游戏王者荣耀目前没发现卡顿，指纹解锁位置略尴尬经常摸错，新机这点比较满意，后期再追评，图片乱发的,2018-03-07 08:37:22,0,0,5
