名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
ooooadomen,金牌会员,手机手感非常棒，开中文语言略有卡顿感。掉电速度飞快，一般只能用一上午或者一下午，就只剩30％了。所以续航是硬伤。拍照功能非常强，不接受反驳，比iphone7的夜景好。然后各种贴心的app也十分的有趣。听过bixby要出中文版的了，不知道上手怎么样。反正现在左边的按键就和废物一样。反正这款手机值5000块吧。如果真有钱可以上x。emmm，最近把屏幕给划了，我才用3个星期啊啊啊啊，心疼我自己。前三张为vivo x7拍摄，后3张为S8。,2017-11-26 10:16:25,141,85,5
庆***8,PLUS会员,"很棒，比我想象的漂亮！就是感觉安卓机的通病还是存在！从外观来说，最强悍，最漂亮的安卓旗舰一点不为过！屏幕是这个手机的灵魂，屏占比一流，显示细腻！                                                         
开机速度很慢，设置太过繁琐，预装应用太多！我个人还是喜欢比较纯净的系统带来强悍的体验！。。                                                  
送的礼品我很喜欢，无线充电杠杠的，科技带来美好体验！自拍杆质量也很不错，这才是业界良心！                                                      
手机开孔这么多还能做到如此的防水防尘，也是了不起的很，充电速度也很快，希望后期的续航能给力一些！                                         
最后说说耳机音质，确实不错！但要是无线的就很好了，至少一下就身高了手机的档次！。。。",2017-08-17 15:46:58,40,17,5
邀***风,金牌会员,很不错的机子！屏幕惊艳！好多功能不会用！慢慢摸索中从苹果阵营转过来的！八都出了还不支持双卡双待果然放弃选择三星S8！送的无线充电器是白色的，有点小遗憾想要个黑色，屏幕充电时老是会自动点亮！这个怎么破？,2017-10-11 15:05:08,32,10,5
放***_,钻石会员,很惊艳，尤其是那块屏幕，颜值爆表科技感十足，在说说不足之处吧1.如果普通版6g运行内存，皇帝版8g运行内存那就完美了，2.虹膜和脸部识别不能同时开启，有点遗憾，不然就不用指纹了，因为虹膜阳光直射下不能用，脸部晚上不能用，如果同时开启刚好互补，3.也是最重要的一点，要是虚拟按键有隐藏键的话那就完美了，既能体现高屏占比的美感，又实用，希望以后能更新一个，像华为一样的虚拟按键隐藏键，4指纹解锁相比华为有点慢，而且要装个手机都要覆盖上去，刚好指纹解锁的位置有点尴尬所以很别扭，，其他各方面简直完美！无可挑剔！唯一要挑的话只能挑它是个三星，，要是华为那就更完美了！,2017-06-21 10:13:34,67,24,5
少***水,银牌会员,非常漂亮的一台手机，一直想买的，趁着双十一入手了。三星的工艺真的是行内顶尖的，非常棒！,2017-11-12 20:22:10,82,8,5
StarVirus,金牌会员,超级棒 这手机 是我见过最漂亮的手机了 也挺流畅的 虽然单摄像头 但照片质量挺高的 bixby真的厉害能与第三方应用交互 无线快充不算快 2个小时应该充个80到90 不过因为双面玻璃的缘故 超容易沾指纹 变油 还有续航不怎么理想 屏幕耗电比其它手机大些 不过考虑到这块屏幕这么好 这也可以接受,2018-01-08 19:04:58,144,119,5
天***阴,钻石会员,"手机买回来看上去还是挺美的，但没有想象中的那么惊艳，不知是不是开箱视频看多了！
看视频两边是有黑边的，强行全屏画面只是被拉长！
手机单手使用还是有些吃力！虹膜识别在室内识别即使带眼镜也挺快的，室外费点功夫。
整体感觉还是很不错的，手机背面真的很容易收集指纹。",2018-03-02 22:24:20,2,0,5
飞***8,金牌会员,"京东快递满分，，，三星S8满分，，，
1：机器5号购买，6号早上收到，快递这方面没话说。。。
2：机器外观和屏幕，很牛逼，这点还是可以认可的。系统方面速度很快，功能齐全
3：测试了虹膜技术，设置的时候，需要睁大眼睛， 但手机开锁的时候，却不需要，这点需要改进，另外解锁手机的时候，速度很快，，指纹解锁和面部识别没测试， 
4：屏幕很鲜艳，，机器是冷屏，没有红屏，属于运气一部分，，拍照效果感很强，至少不比其他手机差，，
5：音质上带来不小提升，和AKG合作，搭配的耳机音质确实不错，对比以往的三星，强很多
6：赠送屏幕碎屏保，，这点做的很好，如果万一屏幕摔爆，500块可以在售后换屏幕，要是在外面更换，少说1500-2000，，，我要吐槽一点，机器买的时候，只有无线充赠送，而且还是老款的，，也没有大礼包，没有打印机等等，，，，
7：游戏这方面没测试过，因为我没玩游戏，这个就不说了，，电池有点不耐用，3000毫安，同时打开几个软件，耗电很快，机器有点发热，（打开软件之前，用了某安全卫士清理了后台）
8：包装里面有标配了一个OTG转换头，迁移数据这点很方面，，
总结，手机好看好用，后面应该还有其他活动吧，如果不在乎这些赠品，可以直接下单，，",2017-06-28 16:48:48,994,860,5
邵***禹,银牌会员,昨晚下单今天就到了，物流满分，手机检查外观没问题然后开机，检查屏幕什么的都没问题，看评价里说系统卡顿发热严重我没觉得，电池还可以毕竟才3000毫安，玩了一局王者荣耀稳定60桢，这让我很惊讶，确实是个好手机?，我没有看错你，喜欢,2018-02-28 20:31:46,3,1,5
y***1,金牌会员,物流很给力，晚上下单头天就到了！京东快递就是给力。之前买手机都是选择性价比高的机子，这次买S8实在是被颜值和黑科技吸引。用了半天机子体会如下:外观确实漂亮颜值没得说，屏幕太漂亮了。玻璃机身比金属机身要漂亮多了就是台沾指纹。配置性能就不说了5000的机子都是顶配。吐槽的就是指纹识别确实不好用够不着太鸡肋，还有就是摄像头哪里摇晃起来会有晃荡声音，看网上说是光学防抖的晃动。总之感觉很不舒服，几千块的机子有这个瑕疵太难受。系统自带三星软件确实太多了，三星的系统都说是负优化，s8现在用着还流畅没什么卡顿不知道以后时间久了会不会卡，感觉是没上一部一加5流畅。另外手机卡槽确实太次了，不知道为什么要设计成塑料卡槽太脆弱了，用点力就报废了，塑料卡槽怎么感觉都跟些机子不配。心率检测作用不大。缺点不算多优点还是不少，拍照确实给力！最喜欢曲屏跑马灯和虹膜黑科技，屏幕看着太舒服了，喜欢bixby，太智能好玩了。系统符合国人的习惯。总之还是非常不错的。5000的价位是偏高了点，但颜值爆表和黑科技多多还是对对得起s8高端机的身份的。,2018-01-16 00:11:02,4,1,5
h***y,金牌会员,15号支付的定金，22号零点付完尾款，然后烦躁地等了两天，最后找24号晚上拆分订单先把手机送过来了，对这次发货服务不太满意。但手机拿到之后很惊艳，第一次用三星产品，做工确实很好。小8很有小家碧玉的感觉，因为屏幕比例更狭长，手机宽度比一般的5.5寸手机更苗条更高，大概接近16:9尺寸5.0寸手机的感觉，背面很顺滑，边缘圆角处理得很顺滑，手感超好，单手操作很方便，当然个人觉得手机还是太滑了，礼盒早点到用上手机壳就好了（我的手也大，之前习惯了5.5寸握感）建议比较习惯16:9比例5.5寸屏幕手机的兄弟选择大8。背面烟晶灰款式很帅，图2没拍出来，实际颜色偏深一些且有浅浅的紫色，总之很漂亮。手机使用很流畅，硬件摆在这，不过初次开机设置比较多，很多询问权限，得有些耐心。想要续航好的话用自带的智能管理器设置好通知自启动等等东西。bixby本地支持还未上线，所以直接把左滑bixby界面关掉了。正常使用足够一天，重度使用包括玩游戏就不够一天了，这个自己考量，觉得不够就买大8咯。更多用法等等可以上三星s8吧自己学习，以上个人体验仅供参考。最后表示不接受道德绑架谢谢。,2017-05-27 11:56:28,62,32,5
x***4,钻石会员,一直用的苹果6s，自s8发布就被全视曲面屏吸引了，手机优点来说，一是外观漂亮，设计手感非常好，二是Super AMOLED色域宽，效果好，再看6s的屏幕感觉颜色都很暗淡，三是系统运行速度和苹果几乎没差别，四是前后摄像头拍摄效果确实不错，五是手机信号和wifi信号好，至少比6s强太多了，再加上835的处理器，防水防尘，5688的价格觉得还是物有所值的。再说说不足，一是18.5:9的屏幕感觉还是有些过于修长，看着还有点不太习惯，二是背部指纹识别位置不习惯，有时候会找不到，三是屏幕也出现了偏红的情况，调了色之后有所改善，还能接受，四是系统设置个人觉得做的有些混乱且复杂，其实还能再优化，系统默认app图标不好看，五是手机放SIM卡的卡槽居然是塑料的，而且插上之后边缘会有一点点突起，不是很平，这是细节问题了，还有屏幕和边框缝隙稍大，不过插不进A4纸，另外玻璃材质背面是严重的指纹收集器，还有自带的AKG耳机音和苹果自带耳机感觉音质差不多，仔细听有些许提高吧，不过耳机材质不错，手机充电速度上比苹果快多了，总的来说s8确实不错，尤其是设计上，感觉苹果的设计开始乏力了，也希望国产手机能再加把劲。,2017-06-01 14:18:26,15,7,5
搞***涵,钻石会员,"【先说一句，我家有五台华为手机，还买过小米魅族OPPO，论爱国你算个啥？我2011年买华为手机的时候你还不一定知道华为是啥。谁叫你家华为p10闪存混用，买个手机都看运气，让人怎么支持？你自己愿意被坑管的着别人？下面是对手机的评价:】
看惯了S8这块屏幕，再回到别的手机真有点不适应…前后对称曲面玻璃的设计，手感相当好…
雾屿蓝的蓝比荣耀8要浅一点，但能反射出多种色泽，白天在阳光下有时颜色看上去很浅，晚上在灯光下则像深灰或深蓝色，挺有意思的… ??
性能上其实没发挥好，毕竟有三星的负优化在，偶尔会卡顿。拍照不用说了肯定好…
三星UI虽然一直比不上国产，但这次做的还行，主要功能都有，虽然有的功能做得还不够到位、有的界面比如桌面图标和通知栏有些丑。如果flyme可以打100分，那么三星可以打70分。总之肯定是个好手机，算是当前最好的安卓手机，也比iPhone7plus舒服多了。",2017-06-10 15:20:57,82,65,5
就***吧,银牌会员,别的我功能不知道   但是就这个功能我十分的喜欢,2017-12-20 19:41:38,281,25,5
那***的,PLUS会员,很好，只是目前所有全面屏中颜值最高的，看中很久了，考虑双十一能有优惠，结果和平时也没啥区别。机子很不错，虽然后盖容易粘指纹，配置也是可以的，中度用户吧，不怎么玩游戏，后续看看，随时来补充,2017-11-11 19:56:08,14,4,5
岚***飙,钻石会员,买S8这部手机，我是到实体店体验过的，第一次见到它就有种想得到它的冲动，颜值方面给我耳目一新的感觉，手感也不错，系统上面来说，因为我换手机很频繁，从C5到C5 PRO再到S8，三星这几款一出来我就第一手到货，所以说系统方面我觉得有所提升，玩了几天才来评价的，虹膜解锁和面部解锁在晚上基本不好用，还有在太阳很大中午的时候也不好用，不知道大伙有没有这种情况，但对我们经常骑车的人来说这个很方便，三星创新这点确实想得更远，以后解锁的方向应该是往这主面发展了。缺点方面就是续航方面，没怎么玩基本要一天一充，大伙有这种体会吗？总体还是不错的，是我想要的产品，还是那句话科技无国界！,2017-05-27 08:52:20,23,9,5
给***戈,钻石会员,好就一个字，只是不敢下水。。。。,2018-01-21 12:46:24,28,12,5
零***度,钻石会员,提前预约的，23号就收到货了！特意用了半月才来评价，手感一流，不懂什么跑分，什么秒开，高占屏比的曲面屏是我选择它的唯一理由，摄像功能有点微单的意境了，之前一直苹果，所以S8指纹识别在后面多少有些不习惯。虹膜识别没怎么用，感觉还不如指纹开的快，双卡双待但不支持双电信卡。侧屏的来电跑马灯很有意思。系统方面实话实说流畅度不如IOS，第一次用三星，常有人说三星越用越卡，不知真假。6月6号开始支持上海公交卡，NFC刷卡很方便。总体感觉满意。以上使用体验，仅供参考！,2017-06-08 08:48:20,58,16,5
h***d,PLUS会员,"高二第一部手机使用的是三星C128，使用了3年，直板彩屏30和弦；大二那年更换了nokia E71；工作第二年更换为nokia 925；工作第五年更换为华为P9，顺便入了个blackberry 950；工作第六年更换为又回归三星，入了s8，到目前为止，没有使用过苹果。
    我只是一名普通的公民，自己挣钱花钱，买自己想要的东西，自己开心就好，抛开其他因素。从塞班到黑莓系统，从wp到换为EMUI，自己并没有研究太深，仅仅停留在自己使用阶段，我觉得各个系统都有自己的优势和不足，没有必要拿谁去比较谁，也没有必要去听从哪些人的指指点点，要有大胆尝试新鲜事物的勇气，不要畏惧。
    s8在外观上面第一眼就深深的吸引住眼球，周围的人都建议我买什么苹果，苹果，这里不想说他们的建议有什么问题，或者不可取，自己想去尝试，那就去买！因为都是基于安卓，在使用上，和EMUI差别不是太大，几天都能熟悉操作和设置。
    手机是功能性设备，需要自己去慢慢折腾，暂时在使用过程中没有发现问题，我的s8是蓝色的生产日期是今年10月份，各种验证都没有发现问题！后面有问题再进行追评。",2017-11-17 10:53:34,35,2,5
y***6,银牌会员,前一天晚上九点多下单，第二天上午十点就到了，到货很快，包装也完整，正在使用，回头来追评,2017-12-16 19:40:37,24,2,5
j***m,金牌会员,给女朋友买的，自己用的已经用了大半年了，流畅不卡顿，设计感强，直接退掉苹果的坑，三星的体验还是很不错的。,2018-02-05 12:35:05,55,28,5
迎***熊,PLUS会员,很不错，用用看，纯新的，很骚气,2017-10-06 19:55:20,11,5,5
w***求,银牌会员,"手机挺好，没有什么问题，但是碎屏险
没有了，感觉一下子差了。在3月1号买的手机还是冲动了，因为S9出来了，早之等一下，等s9出来买s9了，*家买s8可以考虑一下吧",2018-03-08 18:13:32,1,0,5
x***d,钻石会员,挣扎好久终于买了，一激动错买成黑的了，有点别扭…超级颜值担当！太好看了！不过真说真心话没我的华为荣耀8操作起来方便，可能还没用惯。 太费电，晚饭后充满电现在60%了，希望用的住别卡…,2018-02-23 23:34:50,3,2,5
j***8,银牌会员,说实话，由于爆炸事件和萨德问题原本很排斥三星，但用了太多年的苹果，想换个新鲜，其他安卓机又看不上；所以在纠结了几天后果断下单，用了一个多月整体感觉还不错，拿出去都说手机外形不错，挺骚气的；,2017-12-20 17:02:21,3,3,5
j***1,银牌会员,颜值很高，适合单手操作，。系统很流畅，屏幕很棒，耗电量一般，基本一天一冲。手小不喜欢宽板的选S8没错，,2018-01-27 12:11:38,8,0,5
J***w,PLUS会员,手机之前在实体店看过，当时就觉得好看，回来就毅然决然的预订了，确实好看，但是跑马灯只能在亮屏时有，希望后期软件更新，iPhone6正式宣布退役,2017-05-25 11:12:36,12,14,5
