名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***6,金牌会员,首先说明之前购买一个别的品牌退了，这个是第四个努比亚手机看着百分之93的评价真心犹豫很久不知道为什么这个现在做成这样子，但是到手后换是觉得非常不错就这个显示屏不如我这个z11的效果好相机颜色正没有偏色，更好体验大家可以试试没有那么差支持，,2017-12-08 13:56:30,32,5,5
静***6,金牌会员,不错的一步手机，看视频，看图吧，这个价位很好的手机了，运行6G，相当不错,2018-01-09 14:09:48,29,19,5
j***0,PLUS会员,"买了努比亚好几台机了！从小牛3开始，小牛3是努比亚的经典之作！后面是Z9max！Z11mini！Z11！Z17 128g!老婆喜欢小屏就再买了z17mini..
试用了一天说说感受！说实话我也喜欢小屏，手感好！外观不错！
屏幕自带护眼功能（偏黄的利害有的人说是偏红！）确实有图！当然有各人偏好！
系统方面我个人觉的不如魅族做的用心！说实话本想买个魅族note6不过外观不好看所以就放弃了！女人都是外貌协会的！
其它发热个人觉得还好！续航没认真测，到时再追加！
希望努比亚能在系统方便再下点功夫！优化！毕竟客户体验才是第一位，而不是堆硬件！",2017-10-27 13:14:36,40,31,5
厉***精,金牌会员,10号实付1699入手红色6+64版本，次日优惠活动更改凑单可得一6一9好价（手机1799，活动1818-180，可凑单商品低至一元），本想要求补差无奈红色缺货，第三天少量补货同时赠送耳机，联系客服答曰活动变更不符合补差价要求。因已经贴膜使用且没有备用机就没有退货重新下单。不料人算不如天算，手机在正常使用第六天待机情况下反复重启半小时，随后卡在beyourself页面，尝试音量下+电源重启仍无法开关机，直至电量耗尽。中途联系客服询问换机，答曰红色本地仓库无货，手机需要先寄回进行检测再处理，无奈只得取消换货申请退货。虽然这个手机出现如此不愉快，但瑕不掩瑜，再次下单黑色同款。之前购买的红色到货时外层塑封就已经破损，包装内盒有挤压导致手机边缘有几处轻微划痕，相机保护膜错位，放数据线的塑料托盘本来是粘在纸盒上的也掉下来了，但是没有使用痕迹，不清楚是运输过程导致的还是其他用户开封后无理由退货的。再次入手的黑色就是完美品相，可是在屏幕右侧边缘有封口胶痕迹，问号脸？我iPhone和小米都使用五年以上，这次换手机主要因为6sp不能双卡，目标使用两年，三千以内主要看了小米6，zuk edge和坚果pro，倾向于尺寸小颜值高意外发现这款手机，不打游戏不喜自拍,2017-08-17 16:19:58,75,35,5
T***里,银牌会员,我想想，买来一个多月了吧，帮我爸买的，看着他一路用起来这手机还真不咋地。不管我爸为什么要买这个手机，实际上就是对它有期待/好感/试试/便宜等等等理由，反正随便吧，所以打分低是因为达不到当初买手机的预期。其实，看配置挺好的，以这个价钱来说，但实际上，，，，电掉得快，才开机一个小时就掉了20%电量，而这期间我只是清了一下手机不需要的软件；拍照并没有说的那么好；WiFi出现过断片【就是开了WiFi结果手机顶部连WiFi图标都不显示，只能重新开机】；指纹解锁一开始就比华为小米【都用过】手机迟钝一点点，想着也没啥吧，但却越用越不好，到现在我爸还说指纹什么情况，好像用不了一样，当然只是好像，还能用，只是要解好几次吧；这四点只是我作为手机小白一个最只观也最明显的缺点。哦，还有快递有点暴力，不仅外面的袋子磨破，连里面的手机盒都磨损，看着就心塞，，，，就这样吧，也不想多说啥了。,2018-02-03 00:17:57,3,1,3
D***-,金牌会员,努比亚手机还是不错的，就是降得太厉害。这样对老客户来说太难受了，抓不住老客户的心。就没有回头客，一次性产业终究不瘟不火，嗯，体验也不是很好，还有就是努比亚手机这个系统啊，简直就是不行啊，你说为什么新手机用新系统老是机就用老系统也不更新，还搁燕这样做好咯，感觉就是太不对了，你看人家小米都给适配。你这样的话，你这样就你没什么可买性了，你说现在的手机都买系统是吧？你看你现在你的努比亚。我一定要把这个系统啊，**做的好一点儿，你这样不能区别对待，你这样对老客户也太上心了，你这样抓不住用户是不对的。因为目标照做太太本人到了，真的。我这是最后一次支持努比亚了，你在这生中怎样，我觉得我不像话了。后两张是拍照效果！,2018-01-12 13:21:29,23,35,5
成***月,金牌会员,"该款手机在同价位品牌机对比上，参数的性价比算是最好的！反应目前来说比较灵敏，迅速，有待时间验证！做工也比较精细！
再来说说不足:
1.拍照像素设置到4K噪点都还是很高，我的华为荣耀6PLUS800万像素都比这款成像质量好。
在办公室和同事的努比亚Z11mini同比拍照对比，成像质量没有Z11mini好！有图做对比（左边黑色是Z11mini,右边是Z17mini）。
2.同比在零下28度严寒情况下。在长时间息屏状态下指纹解锁的反应时间没有Z11mini灵敏。当然，比苹  果在这样的情况下就是关机了！
综上所述！吐槽目前就发现这两点！但是整体来说一分价钱一分货，这款手机还是对得起这个价位的！个人觉得要是手机成像质量有Z11mini好就很完美了！来几张照片大家看看效果！
个人观点，不喜勿喷！",2018-01-29 12:05:52,9,2,5
z***5,PLUS会员,手机收到了，给老婆买的。用了一会儿，随便说说。1.样子颜色都大众化，和360、6S差不多，当时以为这个金不同于其他的，结果失望了。2、手机轻、薄、小巧，比较适合女孩子。3.照相比较好，大家可以对比一下。4.系统还是可以的。,2017-11-02 19:15:32,27,7,5
j***0,铜牌会员,"这手机，发过来时开机没电，我还以为坏了，充了两小时电，充满了一夜起来剩八十了，电池真心不好用，必竞一分钱一分货，包装丑陋，就个这，没耳机，坑了才，

我觉得相比其他千元机也是挺好的了，配件自己买吧，PP会员也不送一个，没*",2018-01-03 15:00:07,24,17,5
H***-,银牌会员,感觉这个手机真的非常好哎，之前还在犹豫不知道到底要买什么，后来看z17mini降价后就果断入手，结果果然没有让我失望。入手后感觉手机很轻，香槟金的颜色也感觉非常好看，另外运行速度也是非常快的。缺点的话我认为有两个，一个给手机一个给京东，手机的话那就是64个G的内存能用的却只有51个，感觉有点小；京东的话就是包装也太差劲了！直接就一个纸盒子就给发过来了…怎么说这也是个一千多块的东西啊，摔坏了怎么办！不过幸好是没摔坏，我自己检查了一下，也并没有什么磕碰的痕迹。最后点名表扬一下京东的快递小哥，下着大雪给我送上楼，让我很感动。总之，这次购物，值！！,2018-01-28 12:37:02,3,0,5
