名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
b***b,PLUS会员,比在实体店便宜很多，东西是正品，春节期间一天到货，很满意。,2018-02-12 13:55:48,0,1,5
1***p,PLUS会员,不错顺便说下视频的毛球头饰在我爱我家516家买的,2017-11-13 18:02:41,1,0,5
e***8,金牌会员,不错，华为手机绝差不过国外手机！支持国货！,2017-08-27 14:17:27,8,3,5
人***j,金牌会员,外观可以，手感不错，价格波动有点不好，一下子1199一下子1099，一下子1299，其他还没有什么问题，还有送的卡,2018-03-02 08:55:25,0,0,5
j***9,PLUS会员,半夜下的单，京东秒杀外加一张40优惠券，1059入手，差不多是最低价了吧！买给老爸用的，外观做工精致，屏幕粘合紧密，滑动灵活，色彩鲜艳，分辨率非常高，就是显示的字体较小，在设置里调到最大也差不多，不知道是不是屏幕分辨率高的原因？照相也比较清晰，希望老爸喜欢！,2018-03-05 09:28:17,0,1,5
J***G,PLUS会员,暂时没发现什么问题，就是黑边框太粗了，内存将将够用…优点是，625、价格合适、拍照？结合这个价格来说，7x本来是第一选择，但是这么老的机器还卖7x的价，我想可能有我们看不到的成本吧，所以选择了这款,2018-02-03 21:57:19,1,0,5
哈***子,金牌会员,给老爸买的，他很满意。华为的产品质量没的说，做工精致。唯一的缺点就是大黑边，不过老爸喜欢就好啦。以前价格有点高，现在入手性价比蛮高的。京东的物流快快快，快递依旧给力。,2017-12-30 19:35:11,0,0,5
j***4,金牌会员,华为手机借得信赖，刚拿到手，好漂亮，手感也好！一如继往的支持京东，物流超快，给五星评价！！！,2017-08-13 00:45:37,4,1,5
j***p,钻石会员,手机不错，屏幕分辨率很高，很清晰，反应也相当快，,2018-01-16 10:51:45,1,0,5
j***c,金牌会员,支持华为，质量前端，十分喜欢。,2018-03-04 15:34:40,1,0,5
j***g,银牌会员,物流很快   用了两天  很好用,2017-11-14 10:58:24,1,0,5
j***e,铜牌会员,我在江门市区工作，晚上九点下的单第二天早上十点就收到货了，物流快，手机很漂亮没有黑边，用了一个星期才来评价，电池上网从早上八点到十点还剩70格电，挺好的，分辨率比p9还要高，影视频同苹果简直没分别，物超所值吖，嘻嘻,2018-03-06 22:53:15,0,0,5
小***i,钻石会员,物流送货快，老公用着还满意，各方面暂时还可以。,2018-02-08 17:07:40,0,0,5
y***t,PLUS会员,包装完整，老人用着满意,2018-03-05 20:09:45,0,0,5
j***f,银牌会员,手机收到了 用了一天再评论 还算比较满意的,2018-02-06 10:03:05,0,0,5
幽***6,钻石会员,手机看起来不错，使用后再做评价,2018-01-18 12:22:35,1,0,5
z***-,铜牌会员,目前没有什么问题，手感什么的都不错，比较灵活，屏幕很喜欢，内存也够用，给老妈用的，她很喜欢。如果有什么不合适会及时联系客服的，客服态度也不错，就是唯一的不足点，分期付款！不同的人率费都不一样！！！我跟我男朋友的不同账号差别好大好大，不开心。我也不知道现在多少字了。我写的也都是实话，供参考。不知道标点符号算不算字数，第一次写评论，并且是这么多字的。奥，忘记说了，快递很给力，上午十一点拍的，下午两点多就到了。,2018-01-27 20:43:49,0,0,5
阳***1,钻石会员,很好值得推荐京东商城值得信赖,2018-01-05 22:06:09,0,0,5
Y158*****670,金牌会员,宝贝收到了，用了再来评价,2018-01-30 13:24:52,0,0,5
j***丽,银牌会员,手机包装有点意外，外面就一个袋子也是醉了，京东专门物流还不给送上楼，理由竟是怕车上的件丢了，我就想知道那你还干什么快递！现金付还不是很乐意，理由竟是她还得去存钱，那就直接说不能现金付得了呗，反正是很不开心！,2018-03-05 20:41:47,0,0,5
露***1,钻石会员,外观设计不错，屏幕很大，使用起来非常流畅！总体来说，还是非常不错的！,2018-02-22 17:31:36,0,0,5
j***x,金牌会员,不错，买给老爸用的，外观漂亮，上网速度快，拍照也不错?，非常满意。,2018-01-11 09:04:24,0,0,5
0***p,银牌会员,物品包装完好，物流也可以，还没开始用，用后再来追加评价。,2018-03-07 20:50:41,0,0,5
j***2,钻石会员,物流超级快，昨天下单，今天上午就用上了，很好用！,2018-01-12 19:28:38,1,0,5
x***7,PLUS会员,买给家里老人的，1249元到手，老妈玩小游戏速度和色彩都不错，她很满意！,2017-12-30 17:55:25,0,0,5
j***6,PLUS会员,性价比高，多次在京东华为旗舰店买手机了，非常不错！,2017-12-17 19:43:40,0,0,5
s***6,银牌会员,都是在京东上买东西，手机很好用，物流也很快。服务好,2018-01-11 16:52:59,0,0,5
神***团,金牌会员,好评，非常好用，运行畅快，京东物流给力，赞一个,2018-01-04 21:56:36,0,0,5
j***8,钻石会员,手机质量不错?帮我老爸买的反应很快,2018-01-02 19:01:39,0,0,5
j***1,金牌会员,最郁闷的一次购物，同城快递尽然要10天才收到货，而且是不停的投诉，客服一直敷衍，收不到还不退款，态度还差，实在无奈下，打了12315消协的电话，还是有效果的，当天就有客服承诺会及时解决，第二天终于收到货了，不过心情也差到极点，以前一直很相信京东，我还是金牌会员，现在开始估计我也不太会在京东消费了，太令人失望了，还的感谢12315的协助，遇到麻烦的朋友可以试试这个电话，真的很好用～,2018-03-08 20:42:18,0,0,5
i***女,银牌会员,手感好，系统好用，国产良心机,2017-12-20 11:53:51,1,0,5
j***6,钻石会员,手机很好外表漂亮用起来流畅不卡,2017-10-05 16:10:24,1,0,5
f***7,银牌会员,像素差，屏幕两边黑条太宽了，反应迟钝，包装很差，  盒子好脏， 上面黏黏的 同样价格差不多 ，你咋就那么差。,2018-03-04 18:40:23,1,0,5
y***3,金牌会员,非常满意，手机屏幕很大，手机做的很薄，手感好，运行速度非常快，非常流畅，拍照也很清脆，电池给力，续航力很强。支持华为手机。,2018-02-01 20:49:53,0,0,5
d***3,PLUS会员,一直喜欢华为品牌的手机，大品牌就是值得信赖，家里人使用的都是华为，支持国货，性价比高。,2018-02-14 20:39:56,0,0,5
j***n,PLUS会员,很好用哈。。。,2018-02-26 21:35:20,0,0,5
c***天,金牌会员,大赞都很好，物流非常非常非常快，中午下单下午就到了 买给老爸用的自己都喜欢了，下次自己买手机优先考虑华为,2018-01-11 13:11:41,0,0,5
田***6,银牌会员,京东真是快，包装盒完好，手机外型不错，正在下载，以后再追加评论吧，只是要求发票没有收到,2018-03-05 11:10:54,0,0,5
大***丰,PLUS会员,屏幕很赞，达到中高端机的水准，系统回来可以升级到5.0不错的,2018-03-04 19:52:37,0,0,5
