名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
w***8,金牌会员,效果不错，这个价位也就这样了吧，感觉不错,2018-03-09 09:21:53,0,0,5
云***瑶,PLUS会员,一款被低估的手机，屏幕素质、音质和拍照当之无愧千元机里的翘楚，当然我收藏了主要是因为在电信展厅看到的真机非常漂亮大气。单手握持感非常好，白色是最合适女同胞用的颜色，外观看起来很有档次的说。,2017-05-08 08:55:46,67,36,5
T***刺,银牌会员,帮妈妈朋友挑的，她喜欢华为。外观清新大方，正面看起来很苗条修长，有种当年P6、P7的气质。屏幕对比度很高，效果好。相机的功能好用。性能方面在这个价位一般般，骁龙617的性能居然比更早两年的麒麟925还弱不少，果然买千元机还不如买前代旗舰。但是她喜欢就好。,2017-07-15 23:05:47,27,2,5
马齐音,钻石会员,手机以我六百多的成交价来说，性价比非常高，与华为P9高度相似的外观，可以说华为百元机中是最漂亮的，手机流畅度也很棒，如果不玩游戏，日常应用满意度都不错，音质非常棒，音质和拍照都完胜自家某耀6X，电池重度用户基本可以一天一冲，普通轻松两天。,2018-02-19 10:44:31,3,1,5
小***c,银牌会员,不错，上手感觉很好，反应也快，这手机我喜欢，华为产品值得信赖！,2018-03-08 21:14:03,0,0,5
望***建,钻石会员,超级顺畅，性价比超高。买给外婆用的，新春礼真棒。爱家上京东。爱国用华为,2018-02-09 18:15:27,5,5,5
海***学,银牌会员,超级喜欢，已经是第二次买啦，第一次在店里买的，第二次在网上买的，在网上买的便宜了100块，好开心的嘞???,2018-02-27 15:28:58,4,0,5
小***狼,钻石会员,感觉还可以，也就是值这个价吧，毕竟才699，也就是一般的千元机，拿来做备用机的，很一般！,2018-01-03 21:10:27,7,1,5
j***1,铜牌会员,挺好用的，客服态度超级好！！！,2017-10-02 12:33:20,2,1,5
j***b,金牌会员,一直都用的华为的手机，超好用，支持国货！值得购买！,2017-01-28 22:34:32,12,0,5
j***i,钻石会员,挺好，非常结实，够硬，挺沉，俩卡，能上网，能打电话,2017-10-09 17:33:08,7,1,5
j***s,铜牌会员,给妈妈买的，还挺好的，但也确实容易发热，,2018-02-25 21:29:29,4,1,5
九***舞,金牌会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2016-10-20 22:39:21,3,0,5
A***n,银牌会员,音质还不错，指纹解锁有点慢要用力点，包装是京东的包装，整体来说还ok。,2017-06-13 15:19:37,3,2,5
a***g,金牌会员,"1.手机轻薄，大小适中,
2.电池续航尚可，对于轻中度玩家1到3天足矣，重度玩家再大的容量也是一天n冲,
3.外放效果真心不错，音质饱满，无破音，这点比p9强多了,
4.系统优化做的一般，目前的版本是b170，至少某些流氓app不会强制自启,
5.后置摄像头拍照对焦快，手抖的话拍出来的依旧很虚。",2016-09-18 13:19:07,8,2,5
g***f,PLUS会员,对比p9，使用2天感受：一是CPU，全网通的高通与海思955相比，流畅度，稳定性和发热情况，都还不错，在可以接受的范围。二是颜值，和p9比大一点厚一点轻一点，不和p9放在一起，完全感觉不出区别。三是拍照。。。那就不能比较，色还原，聚焦速度，功能。。。都有差距，但还可以接受，对拍照者的水平要求要高一点。四是屏幕，作为中端机，g9的屏幕还是不错的，比我原来的一加1操控感稍好些，色域之类的分辨不出来，没有p9那么暖。（说明：照片都是p9拍的）,2016-05-16 23:43:36,6,0,5
y***3,银牌会员,手机超值，作为备用手机足够了,2018-03-07 15:06:43,0,0,5
建***询,PLUS会员,买給老婆用的手机，还可以吧，性价比高！,2017-08-01 14:21:58,7,0,4
