名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
泪***戆,钻石会员,"11月1 号下的单付的款，本以为要15号以后再发货的，已经为了双11购物做好了退款准备，谁知道刚要退款就发现到货了，因为之前在实体店看过样机很喜欢，就留下了。
手机开箱很惊艳，大屏幕，虽然不知道全面屏怎么定义，但是屏幕真的很大，而且2k显示挺好，清晰瑞丽，比我现在用的荣耀9感觉舒服，只是经常自动调节亮度有些不习惯，关了自动调节也有，看网上说是第三方软件内的问题，还需要习惯或者等补丁。
系统很流畅，开软件进游戏都没有卡顿，玩了几把王者荣耀感觉很好，只不过没有高针数开关，画面感觉稍微差点。以前用荣耀9出现的屏幕反应迟钝，玩游戏断触和断流问题都没有出现，用着很舒服。
机器自带贴膜和保护套，当然是低端品，手感一般，还是自己投入点换好的吧。
手机的拍照功能很不错，之前实体店里体验过夜拍，很清晰，补光效果很好，拿到机器后又体验了几张，快门特别快，抓拍很好用，随便抬手就是一张，很方便。
机器自带一个半入耳式耳机挺好，但是音质一般，可能是听惯了入耳式的，这个总感觉欠着意思。耳机口开在手机上面也感觉很不喜欢，通常手机都是头朝下放进裤袋的。手机的外放也挺不错的。",2017-11-10 14:32:58,754,581,5
j***e,金牌会员,京东快递就是快，发货速度快，下单后说10号到货没想到4号就送到手中了，特意用了一个星期再评价，手机很好用速度快，电池很耐用重度使用一天没问题，没打过游戏，拍照效果特好，特别是夜睌拍照，更好，还有智能语音很好用，还有很多功能正在体验中，说实心话比我以前的水果6p好用多了，秒它几条街，一直在京东购物放心，手机绝对正品支持京东信认京东。,2017-12-11 16:07:29,49,23,5
n***s,钻石会员,手机感觉有点宽，适合男孩子，先说优点，1.配置高970处理器绝对厉害?2.照相功能黑夜拍照确实秒杀苹果3.屏幕分辨率可以在不同的场合自动切换，这个很满意4.指纹解锁确实很快，湿手也一样的秒解5.充电相当快，真给力6.电池4000毫安确实很实在，接下来再说下不足之处，1.价格偏贵，4+64 配置， 3899的价格有些贵，2.手机输入法，在微信聊天的时候输入法能占一半多点的屏幕，这个很不爽，还是我自己有这个问题？3.手机外放音乐，音质一般，其它的暂时没发现，总之mate10还是可以购买的，反正也就用个两三年！，设置还是很人性化的，这个必须点赞！估计和这个ai有关系吧！,2017-10-23 22:34:42,1101,805,5
l***a,钻石会员,代表了华为乃至中国手机制造的最高工艺，非常漂亮，背面让人爱不释手，手感细腻，正面反而感觉一般，屏幕上等，黑边小，金属边框也圆润了，我之前用过MATE8，手感不好，这次10上面改善了很多，男的用没什么问题，运行起来很快，而且华为的EIUI也经过多年迭代，成熟很多，我一般用手机都坚持用自带应用，我相信手机工程师在考虑软件优化时，最先考虑的也是系统内部自带的应用，说实话，本来打算买iphoneX的，结果，美国禁售华为，我就不服了，并不是什么爱国的高度，纯属个人厌恶，凭什么美国产品能赚中国的钱，中国产品在美国连销售的资格都没有，产品的好坏先不说，最起码应该有个共同的市场去考验产品，所以，坚决买华为，最早看了MATE10PRO，到朋友们都买了，我就换了M10，用着也挺好，值得推荐,2018-02-07 12:49:30,27,5,5
果果兵1,PLUS会员,操作流畅性：机子非常强悍，速度到了极致，比我手上的苹果还快，拍照96分，华为越做越好了，续航能力十分给力，970针对960的弱点进行了优化加强，性能发挥得更好，手机功能很全面，一机走天涯不再是梦想！~。手机盒子可以当镜子,2017-11-13 14:59:39,77,52,5
B***m,PLUS会员,1.6的光圈太厉害了，吊打Note8和iPhone 8Plus！京东速度太快了！没抢到亮黑的6+128G，这个很气！,2017-10-21 17:10:12,208,133,5
2***m,PLUS会员,终于等到mate10了，双十一零点下单，到23号才收到，真是难熬啊！开箱第一眼感觉手机特别漂亮，屏幕没有了大黑边，超窄边框，手机反应速度快，再也不用担心内存不足了，拍照特别清晰，指纹秒识别，大赞！,2017-11-23 22:19:46,127,66,5
唔***坏,金牌会员,华为，mate系列，一直是我所喜欢的手机，这次终于买到了，无论手机做工还是系统，都是国产最好的，拍照也是，虽然是很贵?，但是还算没有失望，真的华为手机又便宜过吗?，盒子里面有耳机和硅胶套评价晒单能抽中我吗？我就是这么肤浅的哦,2017-10-26 16:30:24,14,2,5
s***5,PLUS会员,"20号晚上拍到的，今天下午刚收到。感觉第一个字快，好用。特别要赞一下指纹键的多功能，识指纹快到离谱，多功能只需霸气一扫即可获得。相机对比手中的7plus，要相素高且优化效果好。对比s8不仅是屏幕大，而且使用方便。强调一遍，不是托，大家没有拿到手机的勿喷，很快你们的手机也会到的。视频与照片用的是7plus，效果自己看。其它功能摸索中...
对了，特别适合电信卡用户，家里信号差，用7plus经常性无信号，这才转过来用华为的，使用效果很好。",2017-10-23 17:52:53,104,25,5
w***8,钻石会员,之前一直以为11月15号以后发货，没想到今天才26号就收到了。没辜负我20号抢的节奏。手机棒棒的，给孩子玩王者荣耀挺流畅。,2017-10-26 18:31:12,392,230,5
