名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
潇***啼,金牌会员,京东派送非常快，第二天上午就收到。2天使用初步总结，前一部手机也是华为P9plus.MATE10pro包装原封未拆精致大气。拆开后第一眼就看到宝石蓝的手机，非常惊艳；然后就是配件一应俱全。开机各方面设置，把通讯录、短信等同步好，同品牌手机同步很快。和P9plus一样的后置指纹识别很方便。录制指纹容易，解锁非常快，秒开！屏幕完好，默认分辨率显示效果很好。虽然麒麟970功耗降低许多，还有NPU协调器，但电池待机时间和P9plus差不多，正常使用只能一天半。EMUI8系统运行流畅。4G与WIFI上网速度很快，信号也比P9plus好。双摄莱卡大光圈摄像头性能强悍，照片明显比P9plus清晰，特别是在室内或者是夜拍，效果明显。8.音质音量好，外放音量大，耳机的输出音质提升明显。TYPE-C的数据线连接手机非常方便牢固，比P9plus跟紧一些。支持国货！,2017-12-08 02:11:20,503,108,5
黄***阳,PLUS会员,"表达一下此时此刻的心情，买了6次，退了4次，京东买了4次退3次，**买了一次退了！实体店买了一次，今天京东又买了一次，终于在京东上买了一次开箱后暂时如意的，这个屏保带保护膜，有标签的，是1月份新一批次的手机，这一批手机生产质量有所提高，唯一不足的就是打开系统自带的软件，缓冲慢！其实是手机侧面按键略有松动，华为想超越三星，苹果，需要用心做精品！品控上不去，在高端，也会增加退货率！

通话质量，拍照效果，电池续航，系统流畅度，音质，都有待提高，个人对产品要求高，不是说华为不好，而是说出这些。希望华为重视，能做出更好的精品手机！

然后说说京东，5399的手机，一个气泡袋装着，就这样，盒子还有磕的痕迹，这是物流多暴力！希望京东物流对待客户购买的商品，包装如果，最起码保证遇到磕碰情况，产品能不受损！

现在两部mate10 Pro用一段时间，看看在追评！1080的屏，希望下一代mate的手机用感情2k的屏，作为华为高端机用1080的屏，就相当于一个水桶，缺一块儿，装不满水！高度有了，还需要品质继续完善！2K屏幕看久了，初次看mate10PRO特别别扭，眼晕！看习惯就好了！",2018-01-16 12:56:22,128,56,4
j***1,金牌会员,京东派送非常快，第二天上午就收到。2天使用初步总结，前一部手机也是华为P9plus.MATE10pro包装原封未拆精致大气。拆开后第一眼就看到宝石蓝的手机，非常惊艳；然后就是配件一应俱全。开机各方面设置，把通讯录、短信等同步好，同品牌手机同步很快。和P9plus一样的后置指纹识别很方便。录制指纹容易，解锁非常快，秒开！屏幕完好，默认分辨率显示效果很好。虽然麒麟970功耗降低许多，还有NPU协调器，但电池待机时间和P9plus差不多，正常使用只能一天半。EMUI8系统运行流畅。4G与WIFI上网速度很快，信号也比P9plus好。双摄莱卡大光圈摄像头性能强悍，照片明显比P9plus清晰，特别是在室内或者是夜拍，效果明显。8.音质音量好，外放音量大，耳机的输出音质提升明显。TYPE-C的数据线连接手机非常方便牢固，比P9plus跟紧一些。支持国货！,2017-11-19 14:44:13,255,182,5
l***y,PLUS会员,很幸运抢到宝石蓝，关注这机子好久了。用了两天，目前非常喜欢，没有发现不好和有问题的地方,2017-11-20 01:29:46,115,33,5
一***白,PLUS会员,因为在实体店看过真机比图片漂亮，但线下加价严重一直在官网和京东上抢购，京东标准版64G的比较好抢但是觉得内存不够用，第三天直接锁定了宝蓝128G的，京东发货速度特别快，收到货试了下，外观真的太漂亮了，用起来很流畅，尤其是超级快充特别棒，双4G信号特别好，莱卡相机还没有真正的玩起来，慢慢研究，比较难抢，但确实超值，国产机的顶峰之作，愿华为越来越好，加油！,2017-11-20 21:39:22,124,26,5
z***0,PLUS会员,"苹果转成华为安卓机，使用15天体验
 看图",2017-12-15 00:39:36,677,122,5
j***春,PLUS会员,之前用的mate8，用了两年，没什么大问题，不小心掉了，现在入手这个先试着用下看看，对华为还是比较信任的，各项功能待使用后再追评,2018-01-04 12:53:31,19,3,5
N***C,钻石会员,上市之前就关注了，抢了几天终于抢到，上手质感不错，比想象的薄,2017-11-18 19:52:26,50,9,5
l***0,钻石会员,很棒，我抢到的时候最后一部了，搭配碎屏险，一直想买一部华为的手机，这次终于抢到了！运行速度快，王者荣耀和拍照无压力！！！可惜mate10高帧率模式还没开放,2017-11-22 13:29:11,83,22,5
j***态,钻石会员,全面屏，双摄头，俨然已成主流，在note8和mate10pro之间考虑了一下，结果毫无疑问，就选华为了，至于什么面部解锁虹膜解锁啥的基本没看，觉得用处不大，手机么，最多两年就得换，要面子要速度就直接上爱疯叉，要低调要内涵就上mate10pro。抢了两天，第一天抢了个宝石蓝的，到手后左看右看实在爱不起来，退了后第二天再抢，终于抢到银钻灰，还是银钻灰好看，就是背面简直是指纹收集器啊，不喜欢带套子，影响手感，浪费设计师的设计用心，使用几天再来追评使用感受,2017-11-27 14:16:13,146,81,5
