名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
t***i,钻石会员,昨晚准时支付尾款，今晚一早就收到了！之前只看过白色的样机，感觉外观一般般！今天收到黑色，太有质感了，超级好看，比白色好看不止一点点！造工也很好，比P9有了很大的进步！系统无敌流畅，因为我之前已经玩过mate9，对华为这代的系统体验不错！拍照就更不用说了，莱卡认证，无损放大两倍，比水果机出来的照片效果更好！5.1的屏幕大小适合，单手把握毫无压力，特别适合喜欢单手操作的人，我现在用的6p感觉屏幕太大，单手体验不好！电池的耐久性现在还不能体验，不过相信华为得技术，应该不成问题。就是送的胶膜手感不好，和玻璃膜比差远了，只能去另外换一张玻璃膜，这个华为应该改进下，出厂应该直接赠送玻璃膜。送的手机套也中规中矩吧，暂时使用起来没有任何问题，完美！,2017-03-25 15:05:30,1007,314,5
W***k,PLUS会员,●指纹解锁非常方便，锁屏后解锁太快了，基本是手指一碰就结锁了。我之前的手机没有指纹解锁都要输入密码才行。●可能是因为最新系统的缘故（安卓7，EMUI5），一些软件要手动打开权限才能正常使用。比如说打开黑屏闪退（需要设置成信任软件）整体运行流畅。●手机自带的软件都还不错。+手机管家（和疼讯合作的）杀进程流量监控等都好用。+音乐播放器（和疼讯合作）和qq音乐界面基本一样，不用单独下载音乐播放器。+华为健康的计步器很好用，锁屏界面可以实时看到计步数。还下载了一些运动的视频。●我之前荣耀6充电器是2A的，这个只有1A。但是充电速度没有想象中那么慢，还可以。●音响试了一下，操作很方便。,2017-04-11 22:57:36,577,286,5
j***1,PLUS会员,从5s换到p10速度不是一般的快，一整天用足矣，永久了会看自己的5s，不由得惊叹，屏幕这么小字体这么小，当初我是怎么过来的～莱卡不会用～5s永久了，对相机的使用技能都退化了,2017-11-01 08:45:47,80,26,5
AI你一天一口一个,金牌会员,华为p 10真正的国产旗舰，已入手非常不错，年度旗舰，强烈推荐，给媳妇的，媳妇非常喜欢~手机屏幕大小刚好女孩子拿着。。。特别顺手。推荐推荐,2017-11-19 08:01:45,39,8,5
曼***啡,金牌会员,首先要说京东从你下订单到出货、再快递到你手上，那速度没说的，快递小哥王同学(好像是姓王)更是第一时间送过来，赞一个！再说HUAWEIP10无以伦比的惊艳，要的黑色，个人看法比金色好看，绿色不敢恭维，蓝色更炫，可惜没货，刚开始用，目前全是优点，技术性缺点说实话，也说不上来，总之京东棒棒哒！华为棒棒哒！希望一但发生什么问题售后也是棒棒哒！,2017-04-09 12:39:12,368,136,5
宛***少,钻石会员,"昨天才开始用，谈下我的感受:
本来要买水果7，特价5099抢到个，收到一看是双网通立马退货，双网通果7信号不好，全网通128G果7又一直断货，后来一想马上果8出来了，先凑合买个华为p10用一年吧，就0点抢了个
1.外观可以，接近苹果，P10这个尺寸正好(果7太小plus又太大)
2.检查一看果然有网友评论的关机键 音量键松动，做工差果7一大截，不过不影响使用
3.Android7.0系统流畅，希望一年不卡顿，感觉有点难，这硬件装上OS系统就完美了
4.其它功能都还好，莱卡相机我试了感觉一般吧，男的不喜欢拍照也不会手机看视频，这手机就是很均衡，各方面都不错，也没有很强的地方，基本用用完全够了，就是一款使用手机，我给8分，如果真能500天不卡那我给8.8分，
总结:这手机除了时间长Android系统会卡外没别的缺点 值得推荐",2017-04-13 21:09:38,5307,851,5
上***了,钻石会员,一如既往惯性好评。就是容易沾油。外观漂亮，镜头没惊艳到我啦。用后追评。,2017-11-16 18:35:38,17,5,5
树***猪,金牌会员,特别好，刚拿到机器下午就去拍了好多照片，特别完美，堪比单反，华为为啥能秒天秒地秒空气，还是实力，自己看拍摄效果就知道了，然后安装游戏的时候，真的是，两秒一个app，两秒一个app，真的是厉害。这次买对了,2017-03-25 21:17:39,470,419,5
冬***逝,金牌会员,8月产的机器一等奖，果7拍的将就看看吧。首先是钻雕工艺对于只喜欢黑色机型的我特意买了钻雕蓝，确实惊艳，反光很漂亮有立体的光泽，手感优越，不易手滑。唯一美中不足的是钻雕工艺和边框过度的太强硬，缺乏整体感。其次屏幕中规中矩，与I7比还有差距，更别说S8，但已属上乘。虚拟按键指纹识别的反映速度太快了，息屏解锁带来的打开速度秒了I7几条街，而且指纹识别的精度比I7高，I7在手指有水或汗的情况下基本识别不出来。虚拟按键与I7的虚拟按键的按压对比，还是做的不如I7，经常会误触、深按和触碰会操作不当。莱卡双摄的画质没得说，摄像头画质偏暖，色彩还原个人觉得不及I7，拍摄的照片比I7看来起要艳丽很多。黑暗环境下噪点处理的还是不错的。最后麒麟960+UFS2.1+安卓7.0的EMUI，系统流畅性没得说，当然你得买到UFS2.1，不过从7月产的机器中越来越的开出一等奖，希望华为管理好供应链，不要让花粉失望。最后支持一下华为，手机做工上乘，外观惊艳，续航给力，系统流畅！,2017-08-23 23:16:22,352,100,5
f***g,PLUS会员,再一次被中国制造所震撼，再一次被大国工匠所折腰；P10系列采用金属一体成型设计，机身融入更多曲线元素，拥有钻雕金、曜石黑、玫瑰金和陶瓷白等多个配色。特别值得一提的是，华为联合权威色彩研究机构PANTONE为该机新增了“草木绿”和“钻雕蓝”两大色彩版本，“钻雕”是继P9上陶瓷白镀层工艺后的又一独创工艺，突显出华为在手机工艺上的创新和领先。作为一个国际性的品牌，华为是近些年在全球高端市场最为（或许是唯一）成功的国产厂商。当我们抛去“国产品牌”的偏见后，或许更能理解华为高端产品的定价策略，一家全球前三的知名手机厂商，高端旗舰顶配版卖5千以上（iPhone 7 Plus 32GB官方售价**元，**GB售**元），至少在逻辑上没毛病。快递小哥超级给力，在订购的第二天就让我拿到了心仪的手机，谢谢！,2017-03-27 09:12:59,512,409,5
j***j,银牌会员,手机造型完美，挺好看的，我喜欢这款黑色的。系统流畅，目前没有出现卡的现象。照相功能也不错，清晰，自带人像模式。整体来说，这款手机不错。要说缺点那就是手机屏幕容易留指纹印。,2017-04-12 14:16:36,179,56,5
