名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
微***迹,金牌会员,给女朋友买的，打开之后拿着手机，这个手感真的还不错，非常舒服，后盖拿在手上不糙，比较光滑，还有自带的钢化膜，不过比手机屏幕小了些，如果合适的话就是最好的了，华为的系统还是挺好的，用荣耀8习惯了，剩下的就等使用一段时间再来看看,2017-11-15 19:59:00,15,8,5
潜***杰,PLUS会员,一直都是用华为的手机，华为的手环，华为的家电，什么都是用华为的，华为，真的很好，华为不仅仅是世界500强，更是对客户的用心，华为这方面做得不错，其实我会，我是华为的副总裁,2017-09-28 21:39:47,28,5,5
芝***0,银牌会员,怎么说呢？很满意，第一次用华为手机大一的时候在实体店买的荣耀3C，当时感觉用着很好。大二时双11在网上看到了冰川白的荣耀7i，不知道出于什么心态，觉得很适合自己，就买了下来，当时1300万的像素真的超棒，用华为时间长了也就习惯了。现在我家四口都用的华为，华为的几个系列几乎都用过，有种特别的情怀在里面。一开始初次接触模拟键觉得不好用，现在几年下来，觉得可隐身的虚拟键很好。大学三年下来，身边的同学都在用ov手机，尝试了各种手机，我觉得还是我大华为最好。像素不是最高的，但是是最清晰的；屏幕不是最大的，却是最舒服；功能或许不是最多的，但有的功能却很实在。华为手机记录了我大学三年的点滴。其实今天买的华为Nova2的玫瑰金在没收货之前我是不满意的，因为我最最喜欢的草木绿从初售到现在河南地区一直没货。有一点失望，但收到玫瑰金手机后，觉得也很棒。虽然依旧有不足，但依旧喜欢。华为加油。希望河南地区能快点有草木绿。华为Nova2是华为的新机型，初次体验觉得很棒，不足还没发现，用用在评价。希望官方快有草木绿。不要让我这个花粉失望，继续加油做手机。虽然包装简陋，但依旧感谢京东的快递小哥真诚的服务态度。,2017-06-22 22:06:30,279,84,5
霸***爷,银牌会员,快递很给力！上午下单！下午就到了！做工很给力精巧，用了几天出现了一次卡顿！其余都中规中矩！充电速度很快！不看视频不玩游戏电池还是很给力！买手机时给客服发了几个问题都没有回！这个很差！所以下单时要看清楚是不是自己要买的配置！有问题再追加！,2018-03-09 09:06:21,0,0,5
z***1,PLUS会员,"手感颜值俱佳！
前几天一直在纠结挑选手机！因为我不喜欢大屏的，去年到现在一直在用小米5s顶配板，但是用了几个月就越来越卡了。所以我才想到更换，看了华为的几款5.2寸的机型，觉得还是偏大，又考虑了Nova第一代，发现处理器骄龙625比较低端，接着又犹豫，直到16号发货Nova2，看了好些朋友的评价后，17号今天我才入手。收到后进行了试用，觉得很不错，外观手感也和苹果67比较接近。这是我买的最贵的一台国产手机，以前的小米5s才2299。
其他的以后再来追评吧！",2018-01-03 15:14:44,1,2,5
M***晨,银牌会员,草木绿的颜色可以说是没有什么色差的，拿到手后觉得非常满意，手机薄薄的，拿起来手感不错，屏幕大小刚刚好，值得一提的是，京东发货非常的快，晚上下单，第二天上午就到了，效率非常高，华为的手机一直在用，也是老牌子了，值得信赖，在国产手机里属于佼佼者，会一直支持的，另外觉得草木绿这个颜色真的很特别，喜欢的亲可以放心下单，我觉得不会失望，以前买的华为手机摔几次仍然用的很好，可见华为的品质确实值得信赖，又是京东自营的，有保障。,2017-06-28 11:57:12,36,4,5
西***柜,钻石会员,很好很好，给爸爸买的。希望喜欢。,2018-02-10 14:39:32,1,1,5
r***2,金牌会员,优惠很划算.减了200多.感觉真机颜色要比图片好.大小正好.物有所值.比苹果6稍大一点点.手感很好,2018-03-08 19:59:37,0,0,5
陪君舞,金牌会员,11.30华为品牌日给媳妇买的，作为生日礼物，比平时便宜400，非常实惠，收到时候，打开被经验到了，还送了手机壳，贴了钢化膜，必须赞一个，支持国产！,2017-12-03 20:26:19,15,2,5
M***想,金牌会员,刚上手感觉挺好用的！快递小哥老给力了 那么大的雨给我送过来了！,2017-06-18 08:07:46,12,0,5
M***M,PLUS会员[试用],颜值十分之高啊！新机子流畅度十分好，电池续航也是十分好。基本上没有什么毛病，不过是买来给妈妈用的，所以对性能没多大要求，但总体来说性能不错，年轻人的需求也是可以满足的吧。拍照的效果也是跟官方宣传的无异，拍人拍物画质效果都让人满意。华为品牌真的好体贴，做出性价比如此高的产品，希望品牌发展越来越好！！,2017-10-28 12:33:47,8,3,5
j***l,PLUS会员,上午定的下午就到了，照相特别的清晰，速度很快的，不错哦,2018-03-07 17:46:28,0,0,5
n***多,PLUS会员[试用],挺好的 挺轻的 比较适合爸妈用,2018-03-01 11:46:45,1,0,5
j***d,银牌会员,买来送给妈妈的。外观好看且流畅。妈妈很喜欢,2018-03-06 17:00:36,0,0,5
q***9,金牌会员,心水了好久，终于到手了，不发热，充电快,2018-03-09 21:41:47,0,0,5
l***o,金牌会员,手机非常漂亮，比照片还好。四周一圈圆润光滑，手感非常好。送的手机壳属于硬壳，喜欢软壳的朋友所以有必要再买一个。音乐功放效果很不错！相机还没怎么玩，之后再评价。界面，配套软件，等等，比前几年进步许多。华为的体验就是好。,2018-03-08 23:22:46,0,0,5
蓝***丽,钻石会员,"刚收到，看起来还不错呢，想着黑色经典不易过时，但是有点后悔买黑色呢，因为很容易有指纹呢！好在收到时已经贴了前膜，送了透明壳，但是这样一来，原本有点分量的手机就更有分量了，还是要自己买薄壳。
说明书过于简单，自行百度了这款手机的一些运用方法，发现有的确实霸气，挥手拍照，截屏，录屏这些都很棒，当然，还需要继续研究！系统一来就让我更新，这是什么意思呢？打算今天完到没电，试试充电如何。",2017-06-27 19:29:38,4,0,5
j***j,PLUS会员,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,2018-03-09 11:37:34,0,0,5
S***6,钻石会员,老婆喜欢，颜色厚薄都比较满意。拍照比较好。,2017-07-21 19:26:25,5,0,5
