名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
大志张,PLUS会员,手机是老婆在实体店看好的，她就是外貌协会。她喜欢这个的颜值，我个人曾经保留意见，对性能我认为可能比不上同价位的荣耀v10.和配置差不多的荣耀9 v9也显得略微性价比差了些，当初下决心买一是因为老婆喜欢她的颜值，二是看中这款手机的四摄，从用几天的感觉看，没有后悔，屏幕看着还不错，照相没细比较，但也应该算是达到预期，6g和4g两个版本我都买了，感觉新机看，没啥差异，跑分也差不多，鉴于现在更换手机在两年内这个趋势，4g更适合些吧。这手机声音音质还不错，超过了手上的荣耀6plus.荣耀6x等等。手机双面玻璃，手感很好的同时带来一个隐患，裸机很滑，刚发这条评论照相的时候还掉地上了，已经掉两次了，媳妇没看见，吓死我了。。。还好人品好，两次都安然无恙。说了这么多，移动电源可得给一个了吧？?,2017-12-16 12:42:39,243,91,5
大志张,PLUS会员,4+64的评价：手机是老婆在实体店看好的，她就是外貌协会。她喜欢这个的颜值，我个人曾经保留意见，对性能我认为可能比不上同价位的荣耀v10.和配置差不多的荣耀9 v9也显得略微性价比差了些，当初下决心买一是因为老婆喜欢她的颜值，二是看中这款手机的四摄，从用几天的感觉看，没有后悔，屏幕看着还不错，照相没细比较，但也应该算是达到预期，6g和4g两个版本我都买了，感觉新机看，没啥差异，跑分也差不多，鉴于现在更换手机在两年内这个趋势，4g更适合些吧。这手机声音音质还不错，超过了手上的荣耀6plus.荣耀6x等等。手机双面玻璃，手感很好的同时带来一个隐患，裸机很滑，刚发这条评论照相的时候还掉地上了，已经掉两次了，媳妇没看见，吓死我了。。。还好人品好，两次都安然无恙。说了这么多，移动电源可得给一个了吧？?补充下，待机并没有想象中那么长，我试机下的NBA.反正应该玩不过四五个小时，可能是我想太多了?。标配里带的耳机不错，看样子值些银子。人脸识别升级完系统后可以用，很好玩，很灵敏，横着拿竖着拿斜着拿倒着拿随你怎么拿，只要是你的老脸就能解锁。又多说了这么多，移动电源这回可以给了吧？字数限制了前置指纹好,2017-12-16 12:56:43,475,142,5
1***1,银牌会员,物流效率，第二天就收到，赞！给老婆买的结婚纪念日礼物，夫人超级喜欢，新手机到手就在办公室被传阅啊，有面子！机器包装很好，如图！赠品质量也很单位，看出诚意了～原厂的硅胶套质量上乘，玻璃背板真耀眼啊，能反射出我帅气你外型，再和我自己用的P9来个合影～?使用感觉后续追评！,2017-12-25 22:47:20,31,4,5
中华人民共和国的涛哥,金牌会员,13号下单18号到手，外观惊艳屏幕清晰拍照一流系统流畅，送的东西也好用，总的来说很满意！这是在京东买的第二部华为手机了，服务和质量一如既往的好！所有等待都是值得的。,2017-12-18 14:18:59,62,22,5
jd256470wgt,银牌会员,昨晚下单，今早就收到啦，快递给力，赠品自拍杆还没到，预计下午送达！第一次买华为手机，之前看了三天，网上比较，实体店也看实物了，主要比较荣耀V10，mate10pro，最后还是看中主打相机功能的nova2S，性价比也好，以前的华为总感觉有些硬朗，这款颜值不错，适合女生用，所以出手啦。不过拍照发现确实白色底的话确实能看到有斜纹哦，希望能改进。总体满意，大爱国货，希望华为越做越精致，以后我就不用换牌子了。还有点小心思，移动电源啥时给啊……期望兑现，新年快乐！,2017-12-30 10:42:25,19,11,5
程***8,银牌会员,开始犹豫了几天本来打算买麒麟970的，不过这个nova2s的颜值太高了，而且麒麟960满足游戏是没问题的，背面玻璃手感超级好不得不说华为品控还是够严格的，没有发现别的毛病，屏幕斜纹没有看到别人说的那样，四摄像头拍照效果也是没谁了。手机出厂就贴膜了还有保护套，太人性化了，耳机子很高端，说实话之前买的荣耀v8就没给我赠耳机子，华为果然厚道，不但带了耳机子，还赠了小音响和自拍杆大爱华为。王者荣耀高帧率那真是纵享丝滑啊，轻轻松松就赢了。下次还是选择咱家华为。,2017-12-17 23:14:05,126,48,5
键***定,银牌会员,首先物流超级快，24 号上午下单提示下午就到货，可惜本人没在单位，只能改到次日到货。到货后拿到手里感觉非常好，大小正合适，撕下保护膜第一感觉就是手里拿了块镜子，是不是镜子图四自己看。手机运行速度非常满意，手机还有使用技巧软件，不会用的可以按照上面来，手机昨天用了一天回到宿舍电量还剩30多，晚上回去把赠品试了一下，感觉也非常杠杠滴！暂时来说这手机值，后续继续跟进评价！忘了最重要的，面部识别非常给力。最后一张是自己弄了个主题！,2017-12-26 14:43:11,30,7,5
j***4,银牌会员,手机收到啦，好激动～～～拿到手里的感觉很棒，尤其是屏特漂亮～很喜欢华为的东西，我之前用也是华为～特别棒～～～大爱～～～～,2017-12-13 16:14:49,80,38,5
J***G,金牌会员,首先说下外观吧 非常漂亮 背部玻璃非常好看而且手感也不错，屏幕黑边控制也不错屏幕圆角设计非常棒。拍照非常清晰 背景虚化到位 前置给力双摄加柔光灯！运行游戏流畅 王者荣耀没有卡顿现象。很值这个价钱！手机刚收还在体验，后续追加使用感受！,2017-12-14 17:35:55,31,4,5
j***c,银牌会员,之前一直用华为的手机，双十二预定的！准备买华为的手机，一眼就看中了这款！手机很大气，看视频、玩游戏什么的很流畅！外观也很喜欢！还送了蓝牙音箱，自拍杆！特别特别喜欢！支持华为！华为越来越好，越来越强！???,2017-12-14 11:55:41,14,5,5
