名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***0,PLUS会员,手机坏了，买来应急用的，用券后1429，我知道买贵了，但是急用啊，京东速度一如既往的快，上午下单下午就到了，入手后手感很好，单手操作完全可以，做工也不错当然比p系列要差一些，反应速度很快内存够大用起来真不错，尤其是应用分身功能太赞了，有两个qq，微信的再也不用两个手机了。,2017-11-07 09:32:22,174,99,5
jd_130202sih,铜牌会员,以前一直都用的其它品牌的手机，这次选择了华为，希望能给我一次好的体验，手机不错，复合我心里的要求，就是新机要更新好几次系统安装包，有点烦！希望系统更新完之后能好给我更好的体验！支持华为！??,2017-12-13 18:45:40,41,10,5
西***条,钻石会员,自从用过两台小米后，就不喜欢了。但是华为已经是第是第五台了，从第一台的麦芒A199，P6，荣耀7和8，从来没想过要换别的牌子！支持国产！PS:网上香槟金颜色和实物有色差,2017-12-02 21:22:59,15,5,5
j***g,银牌会员,用了几天。。性价比超高的一款手机。充电挺快电池很给力。。。华为手机值得购买。。买给我妹妹用的。。。超级好用。。京东快递服务也很好。。物流超级快一天就到了,2017-10-26 17:55:06,17,3,5
葛***2,银牌会员,充电速度可以。就是下载更新好慢。容易热。屏幕大小可以。5寸。64g内存，有54g可用。是正品。1239买的。希望没买贵。没赠品。只有耳机和充电器。快递很快。充电插口挺独特。正反都可以。只不过不通用。QQ微信分身很不错。功能好。手机不卡。全网通，只不过只有卡一4G.,2018-02-21 09:29:08,15,7,5
忘***谁,金牌会员,很适合女孩使用，我是为了玩王者荣耀，也是为了手机卡所以买的手机，很不错哦！运行也很快哦！值得购买哦????,2017-10-09 17:57:03,29,4,5
1***6,钻石会员,一打就升级，先用用看，外观还不错，轻巧薄,2018-02-04 18:14:31,6,0,5
鲍***子,银牌会员,秒杀买的1299看中华为的品质，4+64的内存在这个价位还算不错。由于是新手机电量反应速度都很快，只是没有赠品，壳和贴膜都是自己买的。自带一个耳机。京东速度快第二天就到了。整体好评！,2018-02-04 20:41:30,4,3,5
j***s,银牌会员,宝贝收到了 大小单手握着正好，金属外壳和颜色挺好的，运行挺6的，指纹解锁很快的，很好的产品，祝店家生意兴隆！,2017-08-03 16:59:40,7,3,5
L***Q,PLUS会员,挺快的速度，价格也不错，华为第一次用，有点不习惯，目前用着还不错。,2018-03-09 21:14:10,0,0,5
e***i,PLUS会员,手机买给妈妈用的，外观很漂亮，很喜欢,2018-03-07 15:56:57,0,0,5
4***m,钻石会员,好评，一直相信华为品质...,2018-03-08 20:52:18,0,0,5
s***0,金牌会员,"越来越对华为失望了，还是搞网络的，比乐视的上网速度慢多了，打开网页也有卡顿…还好不贵。凑合用。
打开一般软件可用运存1.7G左右，新机到手可用54G。机器是2017.2月出厂的，真是库存机，也太久了。系统到手B160…机器比较滑，手感偏轻轻，电池一般吧，指纹识别挺灵敏的。希望耐用。
不玩游戏，一般够用，就是内存或者存储卡太垃圾，读取写入太慢了。",2018-03-04 23:19:52,2,2,1
j***c,铜牌会员,昨天下午拍的今天下午到的，手机刚使用以后再评论，京东速度真是可圈可点，挺快的！玫瑰金华为nova手机，1344买贵了吗？,2017-11-12 21:11:29,1,3,5
1***m,PLUS会员,电池续航时间足够，运行速度满意，不卡。存储和内存容量大性价比高。华为手机值得信赖。,2018-03-09 06:35:18,0,0,5
j***4,银牌会员,挺好的，送给女儿的,2018-03-08 20:38:32,0,0,5
j***栋,金牌会员,支持国产，给京东快递点赞，头天晚上定的，第二天上午就拿到单子了，手机很漂亮，外观也好看，撕开标志看绝对的是首次开封，打开里面更是惊艳，这是我的第三个华为，还是很相信华为质量的，技术各方面都在稳步提升，不久肯定将苹果三星之流PK掉的；唯一美中不足的就是没说送个膜，现在市面上还没得，找了好几家才买到一个，但不是很合身！期待附送,2016-10-24 20:03:59,9,0,5
浪***7,钻石会员,很小一手抓，毫无违和感，很轻松,2018-03-09 14:34:37,0,0,5
j***j,铜牌会员,非常好用，支持华为,2018-03-05 19:20:04,0,0,5
有***长,PLUS会员,经常网购，总有大量的包裹收，感觉写评语花掉了我大量的时间和精力！所以在一段时间里，我总是不去评价或者随便写写！但是，我又总是觉得好像有点对不住那些辛苦工作的卖家客服、仓管、老板。于是我写下了一小段话，给我觉得能拿到我五星好评的卖家的宝贝评价里面以示感谢和尊敬！首先，宝贝是性价比很高的，我每次都会先试用再评价的，虽然宝贝不一定是最好的，但在同等的价位里面绝对是表现最棒的。京东的配送绝对是一流的，送货速度快，配送员服务态度好，每样东西都是送货上门。希望京东能再接再厉，做得更大更强，提供更多更好的东西给大家。为京东的商品和服务点赞。,2018-03-06 11:19:15,0,0,5
y***p,银牌会员,京东也开始骗人了，关键是现在还在骗。我1月17号下的单，按流程订单完成后领体验卡，但领不到，19号就跟京东客服联系，叫我等，到2月5号还是领不到，又跟京东客服联系，还叫我等，我怕到30天有效期到领不到扯皮，提前打了招呼，说不会。到2月24日30天的有效期超过跟京东客服联系，也请客服逐级反映不给解决。关键是太多的自营手机品牌、型号还标注着免费领体验卡，但有好多地区已领不到了，也不标注哪些地区能否领到或者赠品赠完为止等说明，京东不再是能让人信赖的京东了，失望！,2018-02-25 17:15:58,19,5,1
我***莱,钻石会员,买给老爸用的，屏幕还是偏小点，适合年轻人用。不过字体调大一点也还可以。整体还是很顺畅，华为的机子一向不错。京东年初五也送货，点个赞！,2018-03-09 11:13:36,0,0,5
j***x,PLUS会员[试用],手机款式不错，手感很好，机身挺薄的！拍照还可以吧，日常一般够用！值得入手,2018-03-07 23:37:08,0,0,5
S***L,金牌会员,很可以，很好的京东。还是京东买电子产品好。买给老爸的。有耳机，有充电器。应该不是翻新机吧,2018-03-06 19:58:06,0,0,5
F***1,金牌会员,"华为的手机质量很好，性价比高，我帮家人和同事买
都推荐华为的手机 ，国产手机强烈推荐华为",2018-03-06 13:25:22,0,0,5
白***-,金牌会员,鉴于我的晒单没有了，我决定再写一遍给广大对这款手机抱有幻想的消费者们，不要买这款手机。因为相信京东，所以买之前没有看过评论，十分后悔。1分只给快递，第一次用华为，才两天手滑摔了下，先是下边缘磨了上边院也被磕到，应该不严重，从磨损程度上看，然后直接导致碎屏掉，头一次看到钢化屏可以掉小的尖锐的玻璃渣，可以扎到手上那种，用手划过破碎的部分感觉可以割破手，请问这么差的玻璃是怎么验收合格的，相比小米，就没见过这样碎的，而499的360摔了上百回就没碎过，敢说你们质量上和设计上没问题吗？你们强调的合格是用来告知的，不是拿来检验的吧。我想这种质量如果给小朋友碰到了怎么办，正如很多声称自己产品没问题的厂家最后也被爆出各种问题一样，我只想说出我的质疑。询问京东客服，一联系不上，二一问三不知，三强调不是京东的责任。询问维修说是自己的工程师所以，外屏坏了，缺要付全屏的价格，大家说合不合理。这款手机与荣耀8差不多时间发布，为何降价这么快，促销活动也是几天就一个样，这中间存在种种可能，不乏让人猜想与质量有关。我询问客服为何评价没有，说要审核1-2天，为何其他平台评价的那么快？还有同样的产品为何总是出现与官网购买差距的问题,2017-09-30 12:04:20,252,97,1
c***8,金牌会员,就是信赖华为，非常满意，隔天就收到，这速度没谁了,2018-03-07 14:03:11,0,0,5
P***0,金牌会员,屏幕大小正好用，速度没的说，很好的产品，相信京东,2018-03-01 10:44:22,0,0,5
jd_137384rpq,银牌会员,太差了，分辨率是1920的但本机鲁大测评显示1778太坑人了。希望大家不要买，有图有真象,2017-10-20 11:24:16,35,12,1
j***g,铜牌会员,今天刚收到货，一看发现居然降价100了！！几个意思？？说好的京东是第二天到货的，结果呢？？第三天中午才到货！第一次上京东买东西，价格、配送速递，让人质疑！！非常失望的第一次体验！,2018-01-07 14:56:02,15,5,1
j***a,银牌会员,手机用几天了挺好的，不玩游戏，待机时间长，屏幕显示细腻，系统流畅，内置软件都可卸载，赞,2018-03-03 06:16:37,1,0,5
j***g,银牌会员,手机手感不错，有质感，屏幕音质都很清晰，老爸很喜欢，物流也很棒，第二天就到货了，棒棒哒,2018-03-07 16:11:42,0,0,5
l***2,PLUS会员,手机收到，质量不错，已经第三个了，华为手机棒棒哒。,2018-03-07 18:06:06,1,0,5
宽***牛,PLUS会员,棒棒的，物流很快，很喜欢，感谢京东！以后继续，哈哈哈啊哈哈,2018-03-06 13:47:25,0,0,5
太***上,钻石会员,很好给老人买的，用起来挺好的声音字体都很大。值得信赖的品牌,2018-03-06 19:18:55,0,0,5
jd_不依不饶,银牌会员,骗谁啊*换了一次还是这13样 ，换你**给我发原来的忽悠老子，第一次从武汉发过来，第二次从郑州发过来那为什么要在武汉停一下   ，直接发到江西来不好吗,2018-02-12 22:16:25,9,11,1
j***x,金牌会员,大小合适，是我想要的，反应快不卡。,2018-03-07 10:52:35,0,0,5
j***0,银牌会员,昨天下单，今天就收到，京东物流依然给力！?  手机挺满意的，唯一缺憾的是打开包装里面没有取卡针，不过我之前用的华为手机有个备用取卡针。,2018-03-09 16:01:45,0,0,5
快***6,金牌会员,华为手机就像京东快递一样。让人放心。手机质量特别好。这款手机屏幕特别好，不像千元机向两三千元的手机。过两天我给小三买一部。哈哈后续追评。,2018-01-26 08:38:25,0,0,5
x***X,银牌会员,我觉得挺好的，完全符合我的要求。我不看视频不玩游戏，只是上上微信购购物看看小说，没看出来手机有啥缺点。相对于我上个移动赠送的荣耀4x来说，这款特好。缺点是屏幕是弧形，贴膜时会有白边。我在网上买个新贴膜，不知道贴上了怎么样。,2018-03-06 20:08:11,0,0,5
j***r,铜牌会员,物流很快第二天就到了。手机比较小巧，特别滑，没有送膜。这款手机屏幕会偏黄，下载应用速度一般。,2018-03-08 16:02:50,0,0,5
j***L,银牌会员,心仪许久了，放在购物车中，京东商城三番五次的降价优惠，终于给我一个难以拒绝价格，果断出手！,2018-03-09 15:17:38,0,0,5
j***2,银牌会员,第一次在网上买电话，感觉很不错的，运行内存四个G的，速度挺快的。京东的速度呀相当给力。,2018-03-06 22:39:52,0,0,5
珊***碓,PLUS会员,手机很好用，触摸屏反应迅速，很光滑，自带的程序还是有点多，用不到的就删掉了。手机克隆很人性，省掉了新装程序的麻烦。相机太棒了，本人喜欢照相，原来那台华为畅玩相机一般，以为华为像机就这样，没抱什么希望，只看重华为整机质量就行。没想到这款手机的像机出奇的棒。很清晰，增加了夜景、流光、延时等功能，更棒了！,2018-03-07 12:24:23,0,0,5
j***宝,PLUS会员,手机手感好，屏幕也小些，适合女孩子用。性价比高！,2018-03-07 22:30:09,0,0,5
y***n,钻石会员,送给妈妈的，画面，音质，手感，流畅度都非常的好。妈妈很喜欢。。。。,2018-03-08 18:58:58,0,0,5
A***5,银牌会员,手机小巧玲珑正好适合我，今天下雨，快递小哥还送过来了，相信京东,2018-03-06 18:23:40,0,0,5
j***m,银牌会员,帮别人买的，没见实物，听说还不错。卡是小卡，行裁，性价比高,2018-03-09 07:11:05,0,0,5
会***9,PLUS会员,帮朋友买的，手机还不错。,2018-03-07 23:02:29,0,0,5
可***3,金牌会员,送给老妈的手机，用着很好，手机一直在京东买,2018-03-07 14:18:37,0,0,5
f***n,铜牌会员,很不错的，给先生买的，先生很满意,2018-03-05 23:02:05,1,0,5
大***子,铜牌会员,买给妈妈用的   感觉还好吧！,2018-03-05 12:53:23,1,0,5
j***8,银牌会员,华为手机品质一如既往的给力，价格也便宜,2018-03-09 15:05:52,0,0,5
j***m,银牌会员,下单第二天到货，速速的，拍照效果不错,2018-03-06 15:10:51,0,0,5
人***5,金牌会员,感觉挺好的手机 老婆用过一个了 赞,2018-03-06 20:11:36,0,0,5
9***子,金牌会员,手机不错，不知道好用多时没出问题？,2018-03-06 15:04:35,0,0,5
j***0,钻石会员,做活动1249元入手的，一直在找5英寸，有调频收音机，背面指纹，高清显示屏，拍照及音响都不错的手机，美中不足的是没5G的wifi，字体没同款*米的大，显示不饱满！清晰度可以，拿到手了，就一路升级到368版本在用，因380版本需3天输1次密码很烦人的。总之，这个价位的性价比还是可以的。,2018-03-09 23:55:53,0,0,5
j***g,银牌会员,手机很不错，外观也很好，手感也很好，但缺了安装手机卡的孔针！请寄一个过来，谢谢！,2018-02-25 08:20:34,3,1,4
千***陌,金牌会员,屏幕清晰 易操作 性价比很高,2018-03-06 16:28:30,0,0,5
Melody冬,钻石会员,帮同事买的，配送快。便宜,2018-03-07 11:07:58,0,0,5
