名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
弯***卿,铜牌会员,特别特别喜欢！买来送妈妈，也没什么太高配置要求，毕竟他就只用来玩微信或者打电话，比我自己的还少女哈哈哈哈,2017-11-23 12:45:37,52,12,5
j***s,铜牌会员,物流很快昨天晚上买的，今天早上就到了，拿到之后觉得还可以，就是按键不太习惯。第一次用华为手机希望能用久一点。外观好看。,2017-12-05 15:44:45,30,16,5
q***9,银牌会员,收到了，用了下还好，也挺不错的，双十一买到的，不到1400，很合适！哈哈哈，总而言之，就是喜欢！,2017-11-15 12:30:54,40,6,5
新***_,银牌会员,收到了，给老婆买的，老婆很喜欢，刚开始使还不知道电量行不行，外观真的不错?自拍杆很好,2017-04-01 20:16:24,139,42,5
j***y,PLUS会员,感受很好，不比我现在的6S差多少，很好用千元价格太棒了支持华为,2018-03-06 14:08:44,0,0,5
j***8,银牌会员,非常漂亮，老婆很喜欢，只是刚拿的手机十几G就没了，麻烦解释一下,2017-11-10 10:25:47,11,8,5
j***4,金牌会员,拍照效果很好，运行也比较快，内存大，送给妈妈的礼物，完美！还送了手机壳,2018-03-06 12:59:45,1,0,5
w***7,银牌会员,手机小巧轻薄，自带钢化膜，外观也很喜欢，支持国产！,2018-03-04 15:51:41,1,0,5
仰***豚,银牌会员,用了大半个月了，感觉挺好的。速度快，不卡，不发烫，电池也耐用，不看电视的话基本上可以管两天，听六个小时的音乐也只耗百分之十的电。拍照挺清晰的，视频影像不像大家说得画质不好，大爱！买的时候没注意只能用迷你卡，去手机店别人帮忙剪卡的，也用的挺好的，不一定要换卡。第三次在京东买手机，第一次买华为产品，京东服务一如既往的好！支持京东，支持华为！,2017-09-04 23:04:41,40,28,5
电***生,银牌会员,我一直用华为手机，女儿之前用小米，半月前给她买了一部新小米，用三天就出现问题了，退货处理半个月～昨天果断下单买华为，华为很靠谱！,2018-02-05 09:56:13,2,4,5
从***你,银牌会员,首先我是华为的死忠粉，之前买了Mate9现在的Nova是推荐给朋友买的，因为是新品很期待。买了用了2天外观是没的说特别漂亮，还送了蓝牙自拍杆，很高大上有木有！！系统很流畅，特别适合女性用有范！祝愿华为！！,2017-04-02 16:38:39,37,11,5
j***3,铜牌会员,到手之前一直很忐忑，不过身边的人都和我说华为好，所以就买了，果然不失望啊，哈哈，好开心，全世界最好的蔡徐坤,2018-03-06 13:23:10,0,0,5
生***稿,PLUS会员[试用],给同学买的，同学说外观非常美，质量杠杠的，续航没问题，最爱是华为！我看图片也觉得很好看，女生就喜欢粉色的吧！,2018-03-09 10:04:35,0,0,5
服***爷,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management",2018-03-08 10:11:52,0,0,5
3***w,铜牌会员,手机还不错吧，头一次用华为感觉有点不习惯！电池挺耐用  颜值高  京东快递真快 其它都挺好！唯一最差差差的地方就是京东客服了，你喊它半天也没点动静！,2018-03-05 12:56:20,1,0,5
l***听,钻石会员,给妈妈买的，还不错，大小还行，后盖是玻璃的，使用还是需要小心点，总体不错。,2018-03-09 14:56:16,0,0,5
混***辕,PLUS会员,物流很好，手机握感很好，拍照效果不错，很满意！,2018-03-07 20:18:20,0,0,5
D***运,金牌会员,手机不错，送给老婆的三八节礼物，她很喜欢,2018-03-08 07:18:42,0,0,5
L***0,银牌会员,终于等到了，这次京东发货怎么这么慢，不是23：00前拍下来，第二天就收到货吗？怎么这次要两天才到货！手机不错，款式是错我的菜，网速也可以！支持国产,2018-03-04 20:20:02,1,0,5
