名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
不***尘,银牌会员,收到后用了三天，总体来说很好。外观特别漂亮，操作流畅，屏幕细腻，游戏性能就不知道了，我不玩游戏。拍照还可以吧，就是对光线暗的地方处理的不太好。总体来说跟预期的一样。,2017-12-26 14:49:19,151,42,5
5***云,钻石会员,拿到手试用了两天，整机手感不错屏幕响应速度流畅，屏幕分辨率较高，待电时间可以，视频游戏没发现发热情况，唯一问题就是自动亮度控制有时乱动。,2017-12-26 19:44:32,31,7,5
由***由,钻石会员,第五部华为手机了，一直用华为的手机，感觉很好用，选来选去结果还是选择华为手机，品质做工没的说，注要是手机很轻很薄，系统流畅，还是最新的emui8.0，比较小巧精致的全面屏手机，好喜欢，是我想要的手机，感谢京东的物流服务很实在很贴心，一直支持京东自营，买手机送货快，服务给力，必须点个赞,2017-12-27 09:16:13,51,37,5
冬***7,PLUS会员,质感非常好，拿着很舒服，快递给力。值得购买,2018-02-13 10:22:25,5,0,5
罗***8,PLUS会员,刚刚开机，下完软件，机子不错，一直用的华为，支持国产，干掉美国??苹果……,2018-01-18 17:22:04,2,1,5
j***a,铜牌会员,个人感觉这款不错的，就是像素真的真的不敢恭维，不过这个价格也就这样了，一切都挺好的就是客服不爱搭理人,2018-03-09 18:23:24,0,0,5
j***8,银牌会员,果断入手，华为就是好，运行畅顺。送给老婆三八节的礼物，喜欢！物流很快，值得好评！,2018-03-07 12:08:37,0,0,5
Serena漫步云端,PLUS会员,给孩子买的，貌似还不错，运行速度也可以,2018-03-06 18:32:06,0,1,5
j***o,银牌会员,一直用华为，看着还不错,2018-03-07 12:55:07,0,0,5
真***注,钻石会员,手机挺漂亮，大小正合适，反应速度快，功能比较全，今天刚拿到手，试用了一个下午和晚上，感觉真不错。推荐大家购买。,2018-02-03 22:36:46,1,0,5
摩***斯,金牌会员,感觉不错，屏幕超大，看起来挺高大上的。一直用的华为，坚持国产不动摇。,2018-03-05 22:56:51,0,0,5
拉***鱼,铜牌会员,先五星好评，整机拿起来很轻，电池轻度使用一下午才用20的电。送给老妈够用了。 还有你们自己贴的钢化膜会起白边吗？,2018-01-31 19:36:25,3,7,5
H***6,钻石会员,手机蛮好看的，窄边框，帮别人买的，希望不会出现质量问题,2018-03-08 16:06:51,0,0,5
j***1,银牌会员,没点赠品！其他不错,2018-03-07 12:22:51,0,0,4
j***h,金牌会员,双摄拍照很清晰，手机款式很满意！希望质量过硬！,2018-03-07 16:20:10,0,0,5
j***e,PLUS会员,先说购机感受吧，大年三十前一天把手机丢了。想想春节抢红包不能没机，就是担心春节物流延迟，特意跑县城去移动营业厅去补办卡和新购机，没想到手机柜台放假了。跑了几个卖场都没有。小的店铺又不愿意买。于是在华为商城上特意查询了一下物流。主页面上显示春节不打烊几个大字，使我欣慰，又特意看了一下物流配送信息，除某某几个地方次日送达外，我们这个地方是隔日送达，想想还行，能在返回之前收到货就行。于是就愉快地下单了。可郁闷的是一直等啊等啊等到初五我返回当日才到我们县城，还没到我们镇，SF啊，我当时已经在火车上了。第二天到上海后马上到华为直营体验店去买，可没现货，要到初八才有。于是想到我们可爱的强哥这里，下午下单，次日送达。次日上午手机收到了。满意，手感很好，不大不小，正好单手可握，之前M8有点大。接着当天才收到节前三十的订单SF快递的信息。直接拒收退货，是华为商城哦。两年了，一部手机还送到。说到这里，不得不说京东物流真给力！！！当初直接选强哥，估计也没这么多事了。给京东点赞！接着说服务，买好第三天，再登录京东无意看到我买的手机领券优惠一百大洋，赶紧联系京东客服妹子，结果愉快地退回100，再给赞?京东！,2018-03-08 22:20:02,0,0,5
j***6,金牌会员,挺不错的，买来备用机，使用频率不很高，电池用两天多，反应速度还可以,2018-03-06 13:30:53,0,0,5
j***笑,银牌会员,第一次买华为手机，拭目以待吧,2018-03-07 19:38:34,0,0,5
叫***景,钻石会员,好用，华为大牌子值得信赖！,2018-01-18 20:01:42,0,0,5
d***d,钻石会员,发货迅速，包装完好，手感轻薄，刚到手试装了几个软件，速度很快，一周后再评。,2018-03-07 13:53:10,1,0,5
玩***式,金牌会员,，，家人第二台了，上手轻巧单手操作方便，，。，,2018-03-07 13:55:02,0,0,5
4***2,银牌会员,这个价位的手机可以了，一般日常使用可以用一天，电池还算耐用，电话多的时候也能用个大半天的时间挺好的，华为系列的下巴还是那么的占地方了,2018-03-06 15:17:08,0,0,5
t***n,PLUS会员,都是用的华为得手机，京东超市确实不错，物流很快！,2018-03-08 12:15:26,0,0,5
江***家,PLUS会员,给老年人买来使用的。全面屏手机，大小比5.5寸的好像还窄一点。但是有点瘦长。握上去，手感挺不错。由于额头和下巴都很小，所以指纹解锁就在背面。反应倒是还行，照相也不错。但是手机上还是有不少华为自带的软件。根本无法删除。才买两三天，现在使用还行。希望不要出问题，退换货和维修很麻烦的。,2018-03-03 10:27:23,1,0,5
j***h,铜牌会员,京东物流速度快！华为手机正牌，就是手机开机时要华为帐号，没有看到。,2018-03-09 12:45:59,0,0,5
小***咪,钻石会员,买给老人家的，轻薄美观，操作方便好上手…刚开始用未发现特别的问题……用后再追加评论,2018-03-02 09:20:10,0,1,5
j***y,铜牌会员,手机还行，运行还可以。4G运行内存实际只有2.7G+，64G内存实际只有53G+，而且里面有很多推荐的软件，但是大部分可以卸载的。5.65英寸的屏，感觉比一般的手机长了点，看着还好吧。支持面部解锁和指纹解锁，但是像素不太好，喜欢拍照的朋友们建议换别款手机。手机包装一般般，只有一个纸盒子，如果下雨，包装可能泡烂，而且上面也没标上易碎贵重物品，取快递那儿态度也不好，有点粗暴，不人性化。对了，这只是一个裸机，手机加充电器和充电线。手机性能得玩几天了才知道。反正吧，包装不太好，快递速度也一般般。,2018-03-08 14:09:17,3,0,5
j***b,金牌会员,手机收到，还没用，看着不错，京东速度就是快，头天晚上买的，第二天上午就送到了，超赞！,2018-03-07 09:00:56,0,0,5
j***a,银牌会员,"首先，衷心地感谢京东华为直营，感谢你们每一位！这是我终身难忘的一次购物，整个过程，错综复杂，真可谓惊心动魄。其次，相信华为，力挺华为，支持华为！我确实不知道该怎样形容这次购物，退货换货，太复杂了……可以告诉大家，再买手机，还来京东买华为！
   千言万语汇成一句话：信赖京东，感谢华为！",2018-03-08 22:22:05,0,0,5
C***西,银牌会员,给二姑又买了一个，质量杠杠的！,2018-03-06 14:24:18,1,1,5
豫***摘,银牌会员,手机还不错，性价比就是高，用了一周之后才来评价，特别满意！华为的品牌一直是我最看好的手机品牌，这次是愉快的购物。京东物流超级快，上午订货下午就到了。,2018-03-07 16:57:20,0,0,5
N***h,金牌会员,几年没有回家过年了，到了家发现妈妈三星Note用了三年，马上下单买了手机，晚上下单居然第二天上午就到，感谢京东，手机很轻薄，妈妈用起来很顺手，目前没有发现什么问题,2018-02-15 23:35:37,2,0,5
