名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
盛***薇,银牌会员,"外观比想象中更好看一点，屏幕够大。
相对于我之前用了三年的魅族来说，屏幕显得更长，外观也更好看，前置摄像头，感觉像素没有那么高，拍出照片来会有点模糊
总体来说还是比较惊艳的。
一个下午系统就熟悉过来了！对于用了三年安卓系统的我来说，突然如果换苹果的话，反而可能不适应，纠结了好久，终于放弃了苹果8和苹果7，购买了这部性价比还比较高的华为
之前一直认为华为的手机只有男生用才适合，现在到手之后发现女生用也蛮好看",2017-11-29 17:54:43,90,36,4
北***1,PLUS会员[试用],手机用了3天，总体感觉还行！打开软件太多的话，偶尔还是有点卡！照像美颜效果不错！电池早上出门到晚上基本还剩20％的电！虽然屏幕比之前的V8大一点，但手机总体尺寸却比原来的小！,2017-10-14 15:01:04,99,22,5
1***6,金牌会员,很喜欢   手机的速度也可以了    又一次不错的一次购物，,2017-10-14 09:49:19,35,7,5
s***i,金牌会员,今天上午快预约结束时才99元预约了，然后10:08分下单，下午18:00送到手机，19:8的比例手机手感不错，女士也可以轻松上手，之后用一段时间再上来评,2017-09-28 20:56:00,134,125,5
y***2,PLUS会员,一次很不错的购物…一直以来都很信任京东购物，一如既往的支持京东！手机非常的流畅，海思的处理器，相信不会太差！对于不玩游戏的人，4G运存＋64G内存，足够日常使用！,2018-03-05 23:54:56,0,0,5
任***8,银牌会员,手机是拿到了  也用了一下但是整体感觉电量不耐用   用几天再来追评吧,2017-10-02 19:34:54,83,18,5
j***-,银牌会员,"手机一直用华为的，真心不错，比苹果性价
比好多了",2017-09-29 10:54:29,84,61,5
d***n,PLUS会员,音质不错，,2017-11-14 09:42:54,19,2,5
j***9,银牌会员,哇，真的喜欢，一直用着苹果…实在是不想用iOS系统了，完美,2018-03-08 14:54:33,0,0,4
j***o,银牌会员,给同事买的，屏幕够大，操作简单,2018-03-09 16:23:37,0,0,5
小***h,银牌会员,手机挺薄的，整体感觉还不错。,2018-03-07 10:42:36,0,0,4
