名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
x***7,PLUS会员,"使用快一月，总结优缺点如下：
优点：①必须赞指纹识别速度，甩苹果几条街，超赞。②双卡双待，不用带两个手机了。③曲面屏很新颖。④莱卡双摄名不虚传。⑤屏幕触控灵敏，跟手不错。⑥充电快，待机长（充满中度使用1.5天）。⑦小功能爱不释手，比如特别的截屏方式，可以遥控大多数电器，熄屏快呼电话，熄屏快拍照片等等，特别是语音助手，我试着给它一大串数字加减，话声刚落，结果秒出，计算器根本达不到这个速度。而且准确无误。⑧国产麒麟芯片不比苹果差，管他几核，是否骁龙，跑分几何，我只知道好用不卡就行，操作系统优化贴心好用。
缺点：①微信指纹支付不行，②双卡不是双4G待机，只能一个4G，一个2G，市面有双4G待机的手机。③曲面屏接近平面，只是有点弧度而已，和三星不能比。④夜间拍照效果不忍直视，像老人手机拍的，白天一些光线不足的地方细节涂抹严重，这是莱卡双摄吗？⑤实事求是的说屏幕灵敏度比不上iPhone。⑥做工还需提升，比如充电口、喇叭开口边缘没有打磨，像是刚下车床的模具。⑧语音助手有时有误开现象，跟人谈话比较尴尬。",2017-08-19 19:19:49,1441,334,5
莫禁莫言,金牌会员,"总述
1：如期收到包裹，外观包装很好，这次已经是在京东购买的第6部手机了，一如既往的信赖。
优点
2、外观及人机工程学：手机到手，把玩了个把个小时，功能正在熟悉中，外观算不上惊艳，手握贴合程度很高，单手操作上手容易，有三种选择模式设置功能键。指纹解锁很快，人机交互界面很舒适，不生硬。
3、从萌发换手机念头到下手购买相距10天左右，不算是冲动消费吧?购买之前也考虑过M10，荣耀9和三星手机SEDE7/8，价位不是主要的考虑因素，侧重于自己对手机的使用需求。如通讯质量保证是第一位的，本人长期在中东地区出差（阿曼、阿联酋、科威特），搭乘飞机时曾经遇到几位华为工程师，中东地区的基站、通讯改进都有华为的身影，为他们的工作和付出点赞。当我到了中东沙漠地带，同行的人携带的不同的手机：果机、三星、小米、华为，在同样的环境下，华为的4G/3G信号最强。往往是满格，其它手机就只有1格。对我来说，这在选购手机的时候是考虑比较多的因素。
4、对我来说，在国外，见到华为和长城很亲切，有图为证。
5、后续使用、经验分享会更新。
改进建议
6、自带程序太多，建议及时更新购机用户的需要，增加市场调研，如增加一些现在的主流APP；",2017-11-13 13:29:38,71,14,5
j***樨,钻石会员,我一直用华为Mate系列，打算送给家人急用，等不到M10上市啦！在和P10比较后最终选了M9 pro，比较适合商务人士，P10外形太像水果机了，又可以连接VR眼镜主要是难以抗拒他的鎏金颜值，都说曲屏没有3星好，但是华为系统强大呀，像素也好，京东还分别送了一个10000毫安充电宝和迷你小耳机，愉快试用中，等待华为的M10笔芯( ??ε?? ),2017-09-30 09:18:50,33,1,5
m***e,钻石会员,本来想买p9，被老公忽悠买了个这个。对我这种对性能基本没啥要求的人来说，内存大拍照好和双卡这几点满足了就ok了。（安卓的指纹支付好多软件不支持）觉得还是小的适合我。附苹果6和华为的拍照效果对比图。很奇怪华为拍照一向很鲜艳为什么这次苹果拍出来天更蓝？光线暗的时候拍照华为秒杀苹果,2017-03-23 13:04:45,325,162,5
江***越,PLUS会员,买了手机还送原厂自带手机壳和手机膜！华为越来越有心,2017-11-29 15:38:19,34,12,5
j***安,钻石会员,2013年7月19号买的三星s4用了4年坏掉了，没办法只有换手机了，618活动的时候买的，价格也不便宜，本来第一天快递师傅送到后都没有签收，直接退了，晚上老婆回家骂我送到了为什么不要，结果第二天又叫快递师傅送回来，希望这个手机也能使用4到5年，毕竟价格和配置在那里，（三星s4我都能用4年，相信华为也可以）说下使用一天晚上的感受吧，5月份生产的手机，用软件测试了几次应该是一等奖一等奖一等奖（重要的事情说三遍）指纹识别秒开很快，三星的2K显示屏很鲜艳，系统很流畅，下载东西飞快，声音外放很大，电池很耐用，毕竟4000毫安，手机外观一般，边框不算很窄。就是手机的上下额头很宽不好看，屏占比不高。拍照和苹果三星还是有不小的差距。其他的使用几天再说。,2017-06-22 09:49:15,284,210,5
P***购,钻石会员,又一款经典之作！用起来很流畅！！！！！,2017-02-14 10:41:35,142,41,5
董***大,银牌会员,很不错的体验，华为是国人的骄傲。本人这段时间有幸赴欧洲旅游，全程只看到我大华为有广告存在。国货当自强！还有相机的像素真的没的说,2017-12-02 13:06:57,57,1,5
j***c,银牌会员,手机不错，从3月15日抢购至今经半个多月过去了，华为手机第一次购买，手机外观漂亮，操作也好，4G信号也特别好，上无线网的速度也特别快，指纹识别精准，手指一放就开，很喜欢，华为没有叫我失望，支持国产。拍了几张咱农村没有艺术感的照片，在夜晚没有灯光情况下能拍星星月亮。,2017-04-01 20:30:17,93,4,5
H***j,钻石会员,很好很满意，支持国产，而且手机质量真的很不错。很满意。信赖京东，京东自营，服务有保障，质量有保障，售后有保障。很满意。,2018-03-08 12:41:48,1,2,5
伺***动,PLUS会员,"终于抢到了，名副其实的高大上，用了两天了，个人体验不错，你值得拥有 。
不过也抢的很疲惫 这款机因为OLED的供货被三星限制，国人还是要努力打造自主的手机零件供应链才够完美。
没抢到加油啊！",2017-03-20 21:52:27,230,132,5
Baal_Huang,钻石会员,"这次对华为实在是有点失望，之前我用的华为Mate7，实在是十分喜欢，耐用经摔，各方面表现都很出色。
优点：
　　外形十分好看，拿在手中也不会太轻，
　　外放的声音很大，音效也很好，
　　拍摄功能强大，对焦速度快，拍出来的照片颜色很舒服，
　　通话质量很不错，操作起来流畅度也很高。

缺点：
　　机器的续航能力很弱，差不多一天需要充2次电，这还是我用的不是很勤快的情况下。
　　拍照清晰度不理想，也可能是个人原因，每次拍完照就喜欢把图片放大一下，不放大还好，这一放大，颗粒感重的让人心焦，甚至还不如我之前用的mate7。
　　最后就是网上盛传的“华为闪存门”，没得说，中招了，满满的恶意。",2017-06-11 22:12:51,25,14,4
枫语桐路2008,PLUS会员,用了两天，整体感觉还不错，系统挺流畅的，反应快，电池续航还可以，照相感觉蛮好的，屏幕稍偏暖色一点点，价格感觉有点小贵，主要是奔着2k屏、双卡双待、微信双开、莱卡镜头去的，还有支持国产大华为，希望能用上一两年吧。,2017-07-12 13:03:42,10,3,5
YST_NO1,钻石会员,国产手机买过最贵的，物有所值。之前一直用的iPhone，但两卡带两手机确实麻烦，本打算买三星S7 edge，但又出了个萨德事件，果断不考虑，虽然用优惠券只需4288。再来说说本机吧，色彩靓丽，电池很给力，运行大型游戏无压力，完全能满足日常需求。大家都支持国货，国货才能自强。,2017-03-20 14:31:08,23,6,5
方***央,PLUS会员,犹犹豫豫，最后还是忍不住下单，机子的身形婀娜，比起当年我三年坏了六个机的三星也不呈多让，流畅度尚可，但和iOS比起来终究是有差距，下了个安兔兔但终究没有跑分，给自己留点恋想，国产手机走到这步不易，但想到国有企业攫利的疯狂其实对华为已没有了太多的好感，这些天来闹的沸沸扬扬的闪存门事件，几经多度辟谣，即便是广告上明明白白的mate9、usf2.1……也未能幸免，小软件的测试结果不知是否准确，当大家都是如此比较的时候，我只想得到一个相仿的数值，然而事竟不如人愿，多次测试的结果相仿，都只有400多，usf2.0无疑，华为是否能给个说法，态度强硬的华为拒绝承认第三方检测软件，好吧，我认，不会退换货，第一次或者也将是最后一次支持国产手机,2017-05-04 13:21:35,598,319,5
梭***崮,钻石会员,京东快递很快，北京发货到这一天就到了，手机也很棒，很好用，经典必出自华为…,2017-03-23 09:44:47,83,17,5
j***脉,PLUS会员,"第一次买高端机，首先，包裹可能简陋了一些，其次，打开包装有些细细的灰尘分布在手机上。

不过这些小问题不会影响我一直以来对华为和荣耀的支持。外观很惊艳。刚拿到手就迫不及待地把玩。然后，有一个小问题，home键似乎不太灵。可能是我手心出汗的缘故 。以后会追加评价的。华为加油！",2017-05-02 16:08:34,15,13,5
叩***陛,金牌会员,使用了一段时间才来评价的，还不错，比17年双十一，双十二便宜多了，速度很快，性价比比苹果高，内存和存储都够用，有送外壳，但是不好，重新买了一个，买了水凝膜，水凝膜不好，有彩色小颗粒，所以就没用，用的原装膜，肯定有人关心电池能用多久，续航比苹果plus强，大概看视频能看8到10小时，这个是买给老婆的生日礼物，还不错的啦,2018-03-09 20:38:13,0,0,5
麻***咪,PLUS会员,手机很漂亮的，非常喜欢，喜欢就买买买,2017-09-27 14:26:25,2,1,5
j***7,PLUS会员,我非常喜欢，非常满意，有我华为再也不用买三星苹果了，华为给力,2017-12-15 08:21:58,16,7,5
j***6,金牌会员,刚刚拿到 刚刚拆开 还没使用 应该不错 至少看着外观很高大上  很不错的选择 京东送货速度也是一级棒 只有京东信得过 给一个大大大大的赞赞赞,2018-03-08 16:08:22,0,0,5
风***动,PLUS会员,买来替换苹果手机的，单卡手机用着太费劲，还得带两个手机，还是国产手机好，双卡双待是标配，mate到手后已经升到安卓8.0，无论外观还是使用体验，都让人无比愉悦，照片有和苹果6s的对比，拍完照片6s就下岗了,2018-02-26 11:52:00,3,1,5
