名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
Bruce_Pg_Hoo,PLUS会员,帮老爸买的，还没拆，等让老爸自己拆。没用过华为的东西，评论挺不错！最主要是老爸点名说想要华为的！品牌强势啊?本来想买Mate，没货！就买了P9。在京东已经买了好多手机了！LG G3 G4 G5还有苹果SE，自己在用G5和SE，老婆在用G4，加上这个华为，这两年光手机就在京东买了5个！还有IPAD和两个笔记本?京东还是值得信赖！,2017-01-03 20:01:04,31,8,5
jd130088uev,银牌会员,终于看到国产手机打败了洋品牌，这是中国的骄傲，这是华为的骄傲。华为P9不愧为大众手机中的顶级制作。尤其是摄像头拍摄的图像质量，更是赞誉有加！其色彩饱和度和色彩颜色比专业相机毫不逊色，尤其是照片暗场的控制更是单镜头相机没办法相比的，大光圈达到惊人的0.95，其虚化效果够专业。好东西都会喜欢！期望更多值得中国企业创造中国的辉煌！,2016-08-30 09:25:59,71,18,5
8***m,钻石会员,"华为三剑客
买了好久了没来评价
后置指纹有的时候觉得蛮好用的
然而当时没买白色是最大的失误
但是还是挺好用的
p8、p9、p10欢聚一堂
然而家里还有mate7、mate8、mate9
贼拉牛逼的一家手机
果粉投华粉
确实做的不错
就是p9的摄像头微距摄影不是很好用
最大照片12m
不如p10的20m
着实不错的
没遇到什么死机啊什么的
就是用的时间长烫的慌",2017-07-15 09:58:19,204,39,5
d***l,PLUS会员,第一次用android手机，感觉非常不错，和iPhone也差不了多少，希望耐用，支持华为，支持Google,2018-02-05 05:57:20,2,2,5
胡***丶,PLUS会员,不说别的我们就说说华为的防水。上次我的华为，掉马里亚纳海沟里了，我以为手机肯定完了，不是进水就是被水压压爆了。结果令我没想到的是，我的华为用徕卡镜头当眼睛，自动开启了手电筒照亮海底，以手机GPS当导航，凭借着金属机身的流线感，靠着手机震动不断划水，竟然又找到了我！麒麟cpu8核处理器散发的温暖，使我拿到我的华为的时候不是冰冷的触感，而是略带温热。这一刻，我真的感受到了祖国的温暖。此生入了大华为，来世还做中国人 接下来说说华为的闪光灯，我下矿现在都不带头灯了，手机一拿出来，整个矿都亮。信号超给力，记得有一次当时我们矿透水踏了，地下6000多米，500多个工友手机都没信号，我拿出我的华为打通了求救电话。而且华为的电池特牛逼，当搜救员工找到我们时，由于塌方，电全断了，他们用绳索吊上去200多人。可是突然发生二次塌方，如果不快点救人，那就全完了。我拆下我华为的电池搭通升降机，当时全矿居然都通电了。升降机轰隆隆的，以前一次拉10个人就不行，用华为电池一次拉了50多个，5分钟就救出了所有人。 等救完人，把电池还我，装上电池还有98%。,2017-06-09 10:12:08,1386,404,5
李***闻,钻石会员,停产了才赶上p9的，p10对比过，还是p9好，经典款必须入手,2017-11-05 13:59:49,31,14,5
鱼***鱼,金牌会员,用了一周才来评论，总得先试试嘛。在我看来，华为P9真的很好。性能玩王者荣耀一点问题都没有，而且手机外观确实漂亮。本来打算买小米6，但我最终还是选了P9，因为它好看，性能虽然比不过小米6，但玩游戏干别的，绰绰有余了。自己更新到5.0系统，很不错。,2017-05-22 09:05:10,21,6,5
a***q,钻石会员,华为p9手机性能不错，拍照很好。运行速度较快。改变了我对国产手机性能的不佳的看法。以后买手机就买国产手机，特别是华为手机。,2017-05-16 18:02:20,41,9,5
琉***1,钻石会员,给父亲买的第二个智能机，第一个也是华为，荣耀系列，用了两年，他很节俭，所以告诉他只有1000多，他拆了包装，还不舍得用。机器很漂亮，手持大小合适，操作起来也很顺畅。双镜头莱卡还沒试用。希望父亲能喜欢。,2016-07-20 21:12:42,20,2,5
慧子_心如止水,金牌会员,华为一直都非常不错！同款手机P9我已经买的第二台，老公一台，妈妈一台，非常不错，可以信赖呦，流畅运行，像素非常好，功能强大，很新颖！棒棒哒～??,2018-01-02 17:59:31,7,5,5
