名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
向***暖,PLUS会员,非常不错，买给母亲的新年礼物。,2018-02-12 17:36:07,7,2,5
t***8,金牌会员,京东次日达，速度真快，哪怕是在老家里也跟城市里一样快。一直用的华为，手机实用。,2018-02-19 17:52:40,3,2,5
j***9,PLUS会员,话说质量非常好，拍照清晰度也还不错，运行速度很快，不知道用长了时间是不是还是这么好。,2018-02-28 18:30:05,0,2,5
E***9,PLUS会员,苹果吃太多不好，一吃国货混身是劲，组合使用一流。速度可以，双卡双待通话还可以。为什么安卓不出小屏机，郁闷，太大撑着。,2018-03-05 17:09:31,0,0,5
z***x,金牌会员,10-23抱着试一试的心态抢的，抢到后还纠结到晚上才付款的，担心联发科的处理器，担心分辨率，作为i6用户，但有两张卡，一直想买一台性价比高的全网通机，使用了两天，十分满意，说说感觉。1，机子主打的大电池和智能全网通，电池真的很耐用，电信卡试过，可以在线随便切换4g网络，大爱；2，华为的系统优化一贯的好，流畅，担心处理器不够的可以放心，我特意下了个狂野飙车8测试，完美运行一点都不卡，还有玩的部落冲突也比之前用的畅玩4x流畅；3，720p的屏幕我觉得完全够用，看着也舒服；4，因为大容量电池的问题，稍厚稍重，不过我觉得可以接受。。。反正好用，建议购买，特别是电信+移动或联通的朋友。。第一次写那么多，因为确实好机子，给想买又担心配置的朋友一个参考。。真正个人用户体会，信不信由你?。。。。ps：也玩部落的可以看图加加一起玩啊,2015-10-25 22:01:40,12,1,5
j***g,银牌会员,华为手机质量不错，快递速度更是超快，以前购物从没有过这么快的速度，下单还不到二十小时，手机已经在手，京东值得信赖。,2016-05-22 15:10:51,1,0,5
刘***君,钻石会员,手机不错，屏幕够清晰，操作方便流畅，金色很漂亮，非常好用！,2016-04-08 19:50:38,3,1,5
l***_,金牌会员,不错哦，到手了马上试了一下，通话效果不错，外观也够大气。另，装手机卡后重启识别。,2018-02-23 23:22:04,0,0,5
y***殇,铜牌会员,电池续航能力超强，外形设计简约大气，给长辈用很是不错，点赞！,2018-02-12 10:47:27,2,0,5
c***菜,金牌会员,目前使用还行，主要是买给老人用的，照相一般，反应还行吧，对得起价钱,2018-02-21 11:28:14,0,1,5
神圣右手,PLUS会员,今天20号就收到货了，没有想象中的慢！速度还可以，因为是预约的。拿到手满期待的，红色的外包装，打开看了手机整体非常不错，手感非常好，特别是后壳~那些纹路摸起来舒服，还有侧边有少于的凹进去这样的设计摸起来非常不错。电池容量也是一个特点4000毫安电池不错~总体性价比高,2015-10-20 16:30:18,1,0,5
岁***歌,金牌会员,给老妈买的，还是比较好用，屏幕大，适合中年人，蛮不错的，值得购买,2018-03-03 08:49:41,0,0,5
l***h,银牌会员,3号下午下的单 5号下午到的，物流还算是可以。手机看起来蛮好看，确实是有其他买家反映的触屏不太灵敏的问题，灵敏度没我现在使用的荣耀6好。之前妈妈用过红米note，体验没这款手机好。总得来说千元机里性价比高，外形漂亮，续航好，触摸屏需要用力一些按，其他方面暂时没发现问题。,2016-02-05 18:42:04,1,1,5
萌***爹,钻石会员,一直信赖华为，质量保证，系统稳定，大企业放心，用过华为手机的都知道！这回推荐给邻居，帮邻居订购，很满意！买国产手机就信赖华为手机,2016-08-26 17:25:27,6,4,5
g***1,PLUS会员,华为的这款机子已经买了好几个了，这次一次买了两个，记得之前买的时候899元，现在只要599元，价格真是太给力了，这款手机最大的优点就是电池，4000MAH，正常使用两天充一次电没问题，配置来讲，要求不高的，像老年人使用足够了，五星好评！！！,2018-02-22 17:40:02,0,0,5
1***a,金牌会员,手机速度，跟现在的手机速度运行是不能比的。相差一大截。老人用用还行。或者作为自己看电影，看视频。一般好手机不敢点的网站链接点点用用还行。作为第二部备用机不错。特别是电池够用。别的就一般了。快递最牛。晚上11点下单第二天上午9点半就到了。,2018-02-21 14:24:39,0,0,5
j***a,银牌会员,快递速度很快，第二天就到了，包装很好没有破损，金色挺好看的，反应很快，不卡，是帮同事买的，同事很喜欢！总的来说很好！,2015-12-21 23:29:22,1,0,5
z***1,PLUS会员[试用],送妈妈的，外观可以，但是感觉有点慢用起来,2018-03-01 22:04:34,0,0,4
j***0,铜牌会员,给母亲买来用的，母亲也没说不好，哈哈，主要看中的电池续航，公司发的手机就是这个，电池确实是好用，母亲平时也不玩游戏，打打电话，上上微信，也就没什么高要求。希望可以耐用一点,2018-02-24 11:32:32,0,0,5
j***3,银牌会员,给老妈买的，功能实用，价格实惠，物流真快啊！,2018-02-13 13:03:33,0,0,5
jd155375zwz,PLUS会员,很期待的手机，手机不错，很喜欢！,2015-10-31 20:52:26,3,0,5
c***n,PLUS会员,"买给父母用的，这个价位的选择其实还是很多，但是因为对华为的好感，还是决定买这款！
使用体会：电池容量大，机身轻，屏幕720P的老年人够用。另外，今天刚开始用感觉连接wifi时间较长，这个后续再观察一下。总体来说一分钱一分货，我用的是荣耀畅玩5C，比这款贵两百，但是屏幕和手感明显上一个档次。",2016-10-04 13:05:03,1,0,5
陈奕菁,PLUS会员,很多人说触摸屏失灵，我没贴膜还好吧，还可以，然后就是屏幕偏暖色，比a4有改进，记得返50哦！！！,2016-02-23 12:14:41,4,0,5
j***4,铜牌会员,跟卖家说的一样。手机很好用。一直都在用华为。很快的一次购物。当天拍，第二天就到了。好评。,2018-02-28 19:07:05,0,0,5
