名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
jd幸福老谢,银牌会员,昨天收到，体验了一下，电池还算可以，挺耐用，充电也够快！后照相也可以接受！手机手感可行！音乐方面比我的酷派c1要好很多，几百块的手机，目前总体来讲还好！晚上下单，早上到，这物流，大赞！,2018-01-10 13:08:24,27,7,5
徐***乐,金牌会员,评价：以下全部与我iphone5s对比。2017年4月6日启用。【续航能力】新机到手约60%电，从第一日9：30至第二日下午一点半耗完电关机，历时1天4小时。电量全部耗完后开始充电，100%充满电刚好1小时58分钟。【Wi-Fi信号】比苹果5s强。【是否能单手操作】不能，大屏幕机，男人的大手都必须得双手才能操作。【指纹键灵敏度】大大优于5s，瞬时开！【音效】外放和配套的耳机播放音质都让我满意，音质圆润浑厚。送的无线耳塞音质失望，只能满足接听电话的低要求，有效距离5米。【赠送的手机壳】套了三天后买了个更高档的软硅胶保护套，拆下原厂商赠送的那个，发现手机与壳子四个角接触紧密的地方有轻微磨损。【卡机】0413忽然卡了5秒左右。【触摸屏灵敏度】准确点字符的前提下，有时点几次都没反应或稍有迟滞，没有苹果机打字反应灵敏。这点水果机完胜【卡机闪退】0413忽然卡了5秒左右。20170602微信闪退，在未安装任何游戏，只新安装了10款常用应用软件情况下，使用两个月后开始出现部分app卡机或闪退现象。,2017-08-19 16:27:54,621,89,5
j***9,PLUS会员,收货很快。京东快递的送货速度没的说。我们一家子好几个人都用的华为手机。华为手机品质值得信赖，信得过。这款手机挺实惠的，给老妈买的。老年人用基本上就已经满足了。手机待机挺好的，就看中了他4100毫安电池。照相还说得过去，毕竟是几百块钱的机子。性价比挺高的，适合老人家用。备用机！,2018-02-01 17:30:32,11,6,5
小***帅,PLUS会员,发货快，镇上走的邮政，赶上双十一要了好几天，手机不错，电池大待机久,2017-11-15 21:30:58,17,9,5
jd_131129ugv,PLUS会员,屏幕显示非常清晰，反应也快，中午收到货的，到下午电池才用了百分之四的电，非常满意，一家人都用华为手机，平板。,2018-02-05 17:45:23,5,0,5
木***7,银牌会员,手机今天收到了，很不错。手机是买给妈妈，已经60多岁了，对比了，红米的那款，还有这款华为的，觉得这款性价比更高一点儿，因为它有指纹解锁，还是3G加16g的，所以就选了这一款，希望能耐用吧。视频显示的是自己下载了个如意桌面后的，华为自带的简易桌面模式对于60多岁的老人来说，还是有点小，所以就在华为商店下载了这个应用，还不错吧,2018-02-08 15:19:07,3,2,5
j***j,银牌会员,手机还行，打游戏不卡，要是要更好的可以买其他贵些的，买的时候说是32g，其实只有16，但3g运行还是有的,2018-03-04 14:08:18,1,0,5
k***3,钻石会员,还未使用！给老妈买的！便宜实惠好用就行！京东速度快质量有保证！就喜欢京东购物,2018-03-08 14:12:37,0,0,5
买***-,PLUS会员,这个价格挺划算的，作为办公备用手机足够了,2018-03-07 09:06:19,0,0,5
菩***5,银牌会员,老人用挺不错的！,2018-03-09 18:18:11,0,0,5
