名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
不***瑜,铜牌会员,买来用了两天才来评论的，很好，手机买的很满意呢，是正品，支持京东，买给妈妈用的，很开心，因为我抢到优惠券了，哈哈！,2017-11-08 17:13:11,173,47,5
随***华,金牌会员,手机刚收到就打开拿着直接就掉地上了，心里一凉完了，还行没事，支持华为不过套装里面的华为黑色壳真不行，也不知道怎么退那个壳，东西还可以挺漂亮的，给老人买的配置还行，应该够用了，求套装怎么退壳,2017-11-18 20:21:39,55,3,5
8***建,钻石会员,关注6s很久了！看到活动价！果断买了！京东自营！物流超快！服务棒棒的！手机和实物一样、特用了几天再评价的！愉快的一次购物！,2017-09-27 22:16:41,144,31,5
zxw寻宝,银牌会员,买第二部了！因为是经典！很薄很轻！可惜不带智能休眠！买了翻盖保护套用不了！这点卖货的不会告诉你的！后面买家应注意！,2017-11-06 09:12:37,139,8,5
j***d,钻石会员,一直信赖华为手机品质，自己现在用的也是华为手机。畅享6S虽是17年产品，可是性能优化，家里老人用没问题。关键是经济实惠。,2018-02-05 16:15:38,17,1,5
雪***庭,PLUS会员,我用的这款，当时一千二三呢，用几个月了，感觉很好用，又给老公买了个。这次便宜了好多。手机更新太快，新款上市，旧的就便宜很多了。,2017-10-28 06:55:03,81,11,5
亚***茄,金牌会员,之前用过，之后买了荣耀9升级8.0后的主题也更新没有之前的好看好用，所以又买回来用回原来买来的主题，一个字，爽！当然我不会那么肤浅只为主题而买，手机的外观，手感，系统的流畅都是我的菜！很喜欢！拿到的手机是完美机！网购我只认京东，其它水深。在京东买东西又快又好，不费心力，非常感谢！！！,2018-01-11 22:00:13,14,2,5
j***u,金牌会员,今天下午收到 反应挺快 就是没安slm卡 因为卡大 还要去减卡  明**完卡在试试什么样 还一起买了钢化膜 手机壳,2017-11-17 21:24:28,33,2,5
j***b,银牌会员,手机今天下午收到了昨天晚上嗯下的单快递小哥，挺快的，也挺负责任的，今天下午没在晚上来又给送来的，谢谢了,2017-10-18 19:07:19,40,1,5
j***c,铜牌会员,"打五星评价是为了让大家看到我这次的吃亏上当，我买东西就喜欢看好评，如果好评有人说东西不好，那就是真的不好了，我买了个华为畅享6s拆开就发现没有原装贴膜，一般去手机店买都有那层保护膜的，然后我又在网上订购了一个华为通用的耳机，在新买的华为畅享6s上却不能用，打电话呢，对方那边是时好时坏，通讯功能差，这还不是大问题，最大的问题是,因为是新手机，我特别爱护，就放在床头被子里，第一天没问题，第二天拿出来一看，手机角居然裂了一条痕，这手机就跟你去手机店换的质量差的屏一样，那么容易裂了，然后就是系统跳出来一行，说这手机285天没有杀毒了。这证明以前杀过毒，也就是别人用过的翻新机，找华为客服呢，除了说抱歉，给你带来了不好的体验，就没其他的了，不帮你解决问题，京东呢，干脆直接把问题丢给华为了，说要我自己拿这个手机去华为的售后网点检测，如果华为承认是翻新机就给我换，我想问问京东，华为都承认了，我还用找你们，直接让华为给我换呀，再说我也不知道华为的售后网点在哪？还得去找，我也没时间去找，就算找到了，你觉得他们会承认吗？这台手机就在我这里，只要拿去检测就能发现问题，反正现在这手机是废了，所以劝大家不要买这款",2017-09-10 00:20:46,879,212,5
小***王,银牌会员,手机用到现在还不到两天，是我妈在用，一个不怎么会用手机的人，还以为是怎么回事，还说7天包退，在这里就是**，想买手机的亲们就睁大眼睛看一下他们的服务态度，质量问题还说是压到的问题，我妈宝贝着呢，怎么可能压到，这不是在推卸责任与问题么！我又不是不能好好说话，找你们还说是我们问题，亏我家多人买这品牌的手机，劝大家买手机去实体店买吧，真的就一次就好，算是裁了，第一次买就这样，倒霉也没这样，一颗星都不想给,2018-03-04 21:13:34,3,3,1
h***i,银牌会员,给我妈妈买的，感觉不错，邻居看到了，也要我替他下单买了一个，物流很快，第二天就到了，上手手感很好，值得买,2018-03-05 17:06:52,1,1,5
z***y,铜牌会员,给快递小哥哥好评，本来买手机是寄在单位去的，因为感冒?发烧没去上班，快递小哥哥给我打电话又给我送到家里来的，小哥哥还特别暖心的问我，感冒是吧，多喝水，冲着小哥哥的颜值和声音，也得给五星好评,2018-02-20 19:29:07,3,1,5
杨***咪,PLUS会员,这个手机很漂亮，也很好用。配的还有一个，充电器，线和壳。,2018-03-06 17:53:39,0,0,5
j***4,PLUS会员,很合适的一款手机，里头的简易风格很适合老人用，而且速度非常的快，早上下单下午就到。,2018-01-26 15:57:39,8,1,5
l***l,PLUS会员,手机很漂亮，银色真的好看，老妈很喜欢，够用了，希望能用一年吧，相信华为，相信京东自营,2018-03-07 11:05:43,0,0,5
