名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
假***2,金牌会员,快递真的很快，先用用看质量如何，会追评的。,2017-11-05 20:59:38,7,1,5
m***4,银牌会员,看着的效果，和手感相当牛，不知道使用久了会有什么，到时在来加评，现在感觉可以，,2018-03-01 18:34:02,0,0,5
j***f,PLUS会员,正在安装中，京东物流真快昨晚下单，今天中午就了。,2018-03-05 11:52:46,0,0,5
g***8,金牌会员,今天收到手机，感觉很好，物流很快，就是少了一个卡针。还没用，但愿手机好用,2018-03-08 16:58:33,0,0,5
小***n,银牌会员,前天晚上下的单，昨天下午两点就收到了，手机开机试了一下很流畅，给妈妈用非常好，不复杂。充电很快，手机壳还没有寄回来，暂且还没有使用，但从网上查了一下，应该是正品吧！后期用过回来追加。,2018-03-06 17:22:21,0,0,5
唠***儿,PLUS会员,拍照效果确实很好，特别清晰，屏幕大小也正好。不错,2018-03-07 09:45:35,0,0,5
清***酒,PLUS会员,很喜欢这个款，手机手感很好，屏幕大，价格便宜！,2018-03-03 13:27:54,0,0,5
z***y,钻石会员,这款手机质量不错，就喜欢在京东买东西，快递超快，为快递员点赞。,2018-03-04 12:25:24,0,0,5
j***6,PLUS会员,老爹喜欢这个合适又不贵的手机，支持华为！,2018-03-07 13:01:21,0,0,5
j***e,金牌会员,帮我姑姑买的，说挺好的，要是能送点礼物就更好，惊喜多多哇,2018-03-04 20:35:25,0,1,5
x***9,PLUS会员,整体感觉不错，手机电池小了点，电量同比4000的机子用电快了太多，一天至少要两充，可能买麦6的会好很多,2018-03-08 09:07:39,0,0,5
筱***沫,银牌会员,家里买了2部了刚上市的时候老公买的2000多，今年看见这么便宜了就赶紧给老爸也买了一部，挺好的玩王者也不卡屏幕也很清晰,2018-03-06 21:35:06,0,0,5
j***w,金牌会员,买给妈妈用的，选了很久还是决定选华为。刚拿到手，不知道质量是否跟实体店一样？期待！,2018-03-02 13:26:22,0,0,5
羊***米,金牌会员,买给妈妈用的，运行速度挺快，屏幕分辨率也不错，做工精细，总体来说性价比很高。,2018-03-05 20:34:36,0,0,5
j***j,银牌会员,给老人买的，挺好的，很喜欢，具体用着怎么样，过段时间在评价。,2018-03-07 09:20:19,0,0,5
f***i,银牌会员,第二次买这款手机，这次主要是给老妈换的。这款手机有很多优点（性价比高，性能稳定等），但一些华为内置软件无法删除或停止的毛病也让我头疼，我不太喜欢没事向我发各种推送还关不掉,2018-03-07 09:05:17,0,0,5
