名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
自***n,钻石会员,正品。性价比很好的一款手机，使用方便，性能稳定。,2018-02-05 23:15:15,4,1,5
A***地,PLUS会员,过年了，给老爸买的。刚收到手机，第一感觉外观漂亮，手感很好，机身超薄，系统操作流畅。我用的就是华为手机，不错大品牌值得信赖。希望老爸能够喜欢。还赠送了立体耳机。京东配送的速度超赞的，临近年关，物流依然良好，配送员态度十分好。,2018-02-02 11:49:41,1,0,5
何***寒,银牌会员,拆了一半想起来拍个照片，中间还留错电话，送货小哥转个弯才找到我，态度好的没话说，手机很漂亮，包装很完整，迫不及待的开机运行了下，非常的流畅没有卡顿，相机的像素也非常的清晰。感觉棒棒的。其他的还没有试用，然后等使用完毕了以后再来补充提交报告吧。然后最后还是要给送货小哥点个赞。目前来说是一次很愉快的购物经历，非常棒，然后以后有手机会继续来这里买。,2017-08-17 11:12:34,78,28,5
佳***奶,PLUS会员,"给老婆买的，对安卓手机没啥研究不知道媳妇为啥就认准这个了，可能是办公室评价较高？总之媳妇满意就是好评啦！
京东快递很赞！沟通不费劲还挺为客户着想的，很棒！",2018-01-04 13:23:07,8,2,5
2***0,金牌会员,老公手机坏了，直接在京东拍的，晚上拍，第二天早上就到了，神速！手机用起来不错，这个颜色也是很美的。,2017-11-23 07:02:54,8,0,5
h***5,金牌会员,新的，包装完整，新品，暂时用着不错，速度也很快，赠品也很好,2017-07-18 00:12:59,5,3,5
0***存,金牌会员,商品收到了，包装完好无损，是我的华为畅享7plus，谢谢快递小哥的快速送货上门，给你点赞，你辛苦了！,2018-03-09 16:58:02,0,0,5
我***宝,银牌会员,京东自营就是牛，昨晚七点多下单，今天一点多收货。不错不错,2018-03-06 15:18:03,0,0,5
y***c,钻石会员,给老爸买的，宝贝做工很不错外观大气，机身薄儿不失厚重的手感，运行反应流畅，值得分享！,2018-03-07 17:24:18,0,0,5
d***0,PLUS会员,给妈妈换了个手机，华为一直是妈妈期待用的，物流也挺快，外观完好无损，运行速度快，操作简单，手机拿着手感特别好。拍照的像素足够妈妈拍着玩的，喜欢的计步器也有，用了几天了，都挺好的。,2018-03-07 07:36:54,0,0,5
家***宝,金牌会员,刚拆开包装就发现手机前后有破损，后盖缝隙有宽有窄，非常像是拆过得，边上做工也很粗糙，本来准备退货的，客服说检测时间，物流运输的时间加起来十天都不止，收到货很快，退货速度却如此慢，售后一点也不好。*距很明显。我买新手机，你给我发有瑕疵的，退货还不能和送货一样次日达。损失都是消费者的。就当倒霉凑合用，以后不会再买了。大家也要谨慎，买到有毛病的就自认倒霉吧。各种耽误你时间，再说用了手机不是很流畅，有卡顿，不如原来2G的速度。图片放大就能看到手机缺口,2017-06-20 15:43:26,69,31,1
y***t,PLUS会员,一如既往的好，满意,2018-03-07 20:52:56,0,0,5
吴***3,银牌会员,速度快，服务好。这款手机真不错，反应快捷，这个价格已经很好了。,2018-03-09 09:23:12,0,0,5
李***呀,PLUS会员,京东东西超级好用    一直都相信京东     物流也超级快   东西包装完好    京东棒棒哒???,2018-03-03 10:18:25,0,0,5
j***w,银牌会员,用了一段时间才评价，还可以，华为老品牌值得信赖,2018-03-06 17:50:02,0,0,5
大***-,PLUS会员,哪样都挺好，就是没有耳机，也没有个自带手机壳。所有配件都得自己买，除了充电器,2018-03-07 16:35:24,0,0,5
京***你,钻石会员,给老人买的，目前一切正常,2018-03-04 11:16:27,1,1,5
j***a,银牌会员,昨天下单今天就拿到货，手感不错，轻便。晚上试了一下相机，感觉还行，蛮清晰的。,2018-03-06 22:23:25,0,0,5
j***b,银牌会员,一次买了俩，续航能力挺强的，力挺国产，春节物流慢能理解，好评！！！,2018-03-08 19:23:25,0,0,5
L***Z,银牌会员,很满意，外观操作都不错，华为忠实粉丝。已经买了四五部了。好用！,2018-03-06 10:33:49,0,0,5
l***8,PLUS会员,还不错，很快的，手机正在用,2018-03-06 12:44:15,0,0,5
j***1,铜牌会员,宝贝收到了！开心等用了再评价,2018-02-28 16:11:52,0,0,5
爱***姐,金牌会员,第二次买这款手机了，很好用，好评。反应快，外观大气简约，极光蓝，特别好看。,2018-03-08 00:07:04,1,0,5
夕***夕,PLUS会员,给爸爸买的，家里很喜欢，没有看到实物，华为的手机没毛病，就是价钱比较起来并不是最低，但为了安全。还是在京东自营买了,2018-02-28 07:03:25,1,0,5
l***3,金牌会员,待机时间长，屏幕显示还不错，送货快，信号稳定,2017-05-22 20:04:34,1,0,5
q***d,钻石会员,这款手机待机时间长，我用的这款手机，这次是帮朋友购买的，我用的不错，给盆友推荐了这款手机。盆友用的反应可以。,2018-03-09 12:46:59,0,0,5
f***y,PLUS会员,觉得非常不错第二次购买，大电池，长续航，就是64G内存小，自己买了个128G的TF卡，,2018-03-09 15:19:50,0,0,5
j***t,金牌会员,上午下的单，下午就收到货了，物流超快！,2018-03-08 18:16:13,0,0,5
囍***生,金牌会员,支持民族品牌 买了这个华为手机真的不好。。。手机反应慢，做工也差，2017年8月12号买的手机 ，发现手机里6月份就有下载信息痕迹，，，真不像新手机。。。。？？？,2017-08-14 11:38:53,57,13,1
吾***网,PLUS会员,第二个了，前一个才3个月，路上被飞车抢了，喜欢这款，所以买同样的,2018-03-07 21:48:24,1,0,5
l***1,金牌会员,手机收到了，满意！几个问题一是没有捅卡针。二是快递员的态度有些不尽人意！也许是货到付款的原故？,2018-03-06 22:06:12,0,0,5
s***9,银牌会员,拍照很清晰，手感也不错，主要是用着也不卡。给老爸买的，老人用着开心就好。下次还会考虑再买的。,2018-03-06 20:22:40,0,0,5
j***p,PLUS会员,送给老爸的生日礼物，不知道好不好用，也不知道用的习惯不，后续再追评吧！,2018-03-06 12:47:01,0,0,5
天***z,金牌会员,好，手机运行也快！,2018-02-26 21:39:02,1,0,5
j***c,PLUS会员,买回来感觉手机挺新的，目前没有发现啥毛病，用一段时间在来来追加。,2018-03-07 08:19:28,0,0,5
