名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***米,PLUS会员,手机用着很给力，运行流畅，外观好看，拍照很清晰，送的东西也都很好，直接用上了,2018-01-25 08:47:59,2,3,5
c***8,PLUS会员,非常好的手机，华为不愧是国产机的顶梁柱，手感很好，全面屏手机视觉感十足。经过多家对比选择这家店，服务很好，很满意的一次购物。,2017-12-14 19:03:48,19,4,5
nanxiaoyi,金牌会员,很好  包装完整  非常喜欢  有需要会再次光顾贵店,2018-01-30 12:31:48,0,0,5
我家女神貌美如花,金牌会员,这个手机真的好漂亮 性能也是一流的 我家媳妇特别特别喜欢 感觉比苹果手机好看多了  支持国产品牌   美中不足就是要是有耳机孔就好了 那样更人性化   手机用的挺舒服的 没有像三星手机那么宽 后面指纹解锁更方便许多 。  必须五颗星 。。。。。,2018-01-08 10:38:08,2,1,5
j***3,银牌会员,从苹果换至华为，本就有些忐忑，但是拿到机子的后，觉得是值得的，支持国货，华为真心不错，mate10pro旗舰版，物超所值！系统棒棒哒！相机棒棒哒！颜值棒棒哒！总之棒棒哒！,2017-12-03 10:23:36,11,2,5
t***a,PLUS会员,物超所值！大爱！配送及时！就是价位降了180元有些低落！不过还早使用啦！自我安慰一下吧！华为新品超赞！支持国货！包装精致！,2017-11-23 23:56:47,9,2,5
xingbin880,金牌会员,刚开始在网上买手机，不太放心，商家非常耐心地回答了我的所有疑问，顺丰速递很快，两天内就到了，手机是原厂全新的，没有激活，已经用了几天了，质量非常好，没什么问题，华为不愧是大品牌，在这家买手机值得放心！,2017-12-10 16:50:43,2,0,5
m***j,钻石会员,华为手机大气很好，顺风物流很快。满意！,2017-12-26 21:54:54,4,0,5
大***晶,钻石会员,果粉变花粉，第一次用国产手机，第一次用安卓系统，双卡自由切换。莱卡相机没的说，功能强大，充电超快。商家态度好，发货快。满意！,2017-12-24 20:52:48,2,1,5
j***v,金牌会员,北京严重缺货！还加价好几百。这家加价合理，还送了钢化膜手机套。起码心理平衡了。不错！,2017-12-14 20:13:13,2,1,5
丶***丶,钻石会员,不错华为的手机就是好，店家服务态度也很好，总体还是比较满意的。,2018-01-18 17:56:13,2,0,5
未***时,PLUS会员,快递非常快，包装完好，钢化膜一般般。,2017-12-11 08:42:27,3,0,5
陈***师,PLUS会员,最近手机出问题了，一直关注mate10Pro，所以趁着这个时候买一台。首先必须强推摩卡金，颜色真的很赞。其次，华为的机子真的民族之光，没得说。身边的人都开始使用华为荣耀了，体感也不错，第一次买华为，希望使用愉快。,2018-03-05 00:06:57,0,0,5
贪***龟,PLUS会员,手机还是可以的，买了顶配，拍照没得说，很好！喜欢指纹在后面，方便！！！不错的，但是价格小贵,2018-02-01 12:53:28,0,1,5
z***4,金牌会员,第一次用华为，4号下的单今天晚上才到，顺丰配送比预期的要慢些，手机是正品看着还行，用段时间在作评价。但是说好的发票呢？,2018-01-08 00:04:00,1,1,3
l***n,钻石会员,华为手机确实好，好用，也很贴心，新机屏幕己贴保护膜。商家服务好，赠品齐全，不需再烦心配件，发货及时，就是京东的物流慢了点。,2018-02-23 21:04:43,0,0,5
