名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
月下追风123,钻石会员,速度很快，信号强，照相清晰，确实是最强的国货，出自华为，出行的必备产品，强?；本想着在双11前能收货，对比过京东所有的第三方卖家，这家价格还算公道，加价不多，虽然商家发货慢了，但还是在接受范围(商家1到3天内发货)，谁叫心仪的手机是抢手货，9号凌晨下单，12发货，15号收到货，与快递员一块验收，无破损。手机确实很好，想要的就赶快了，我的荣耀7你辛苦了，也该休息了，谢谢你?,2017-11-15 14:39:20,8,10,5
j***x,钻石会员,"今天上午刚收到快递，就迫不及待的打开包装。东西和商家的描述一致，包装完好，原厂贴膜，原厂配件；刚开机时不由得惊艳了一番，超高的屏占比，收的非常窄的黑边，前置指纹和3.5mm耳机孔依然保留；机身设计做工都很不错，整体风格(包括刚开机时的默认主题)偏商务硬朗；硬件配置很强大，具体就不赘述了(RAM LPDDR4/ROM 128GB UFS2.1/屏幕2K RGBW)；使用半天，系统流畅、交互良好，一些很贴心的小功能非常不错；相机相比前代提升很大(NPU)，系统优化得不错，简洁流畅智能(尤其是后台权限管理)，使用学习成本低，指纹识别非常快，有一定的生活防水，支持双卡4G待机，4.5G通信(有噱头嫌疑)；说完优点，再谈谈缺点: 1.品控，3.5耳机孔和type c 接口均有毛刺；2.屏幕，拖影、高亮度下色彩暗淡(TFT-LCD通病)；3.外放和音质，逊于iPhone8系、HTC U11系、三星S8系……
总体来看，我认为mate10系 符合旗舰定位，值得购买。这其中，mate10又比mate10pro更具性价比！(毕竟大体配置相同，mate10前置指纹、有TF卡扩展且保留3.5mm耳机孔)",2017-11-30 19:23:09,6,3,5
牛***姨,PLUS会员,"华为mate10配置和做工打平或超过了三星note8和苹果iPhone X,但价钱低了很多，三星note8一贯是三星臃肿的系统，时间长了流畅性减弱，电池小。而苹果iphone X刘海设计真的很丑，电池更小，永远没有内存卡可插，价格贵的离谱不说，要快充还要另外掏5百多元，最无耻。作为世界级的旗舰手机，华为mate10这个价格很合理，出了天生的安卓系统稍微弱于苹果系统外，华为mate10基本上没缺点。总体挺好，国产的大品牌性能出色商务人士首选！缺点：价格有些高，屏幕有点大。总结：总体挺好，就是价格有些贵，国内应该便宜点，国外贵点这样在国际上才能体现出外国进口大品牌的实力和国内亲民的意义！支持国产变得更强大！但是不要忘了初心，当初国人卖肾买iphone6，按美国国内人均收入在美国卖很便宜！现如今国人支持你有了自己的大品牌，但不能再演变为让国人卖肾买mathe10了！相信只要亲民我也会永远支持国产！希望国产崛起！希望能采纳！",2017-11-05 17:09:06,72,18,5
j***b,银牌会员,收到心心念的宝贝，包装很好。后期使用后再做追评，尽情关注！,2017-12-15 15:00:47,5,0,5
李***宗,银牌会员,电话跟想象中一样高大上 很喜欢 也很好用 一段时间后在追加,2017-11-16 11:29:53,3,2,5
逛***吃,金牌会员,物流很快，两天就收到了。第一次用华为的手机，而且也是间隔很多年后又一次用ios以外的系统，开始还是有些不适应，毕竟用惯了苹果的操作方式，而且我都不用plus，太大，单手不好操作。mate10外形很惊艳，尺寸方面属于短粗型的，适合男士。系统十分流畅，就是不知道能不能保持下去。我就是因为用了两年的苹果6实在是太卡了，没办法才换的。先用着看了，实话说苹果手机还确实很保值。照相的效果没得说，不愧是徕卡出品。,2017-11-10 00:27:09,6,5,5
未***舞,PLUS会员,好，手机很好，物流也快，顺丰隔天就到了，老板人很好，手机的问题主要是，太宽了，加个手机壳更宽，这个不能忍受，问题二是太贵了，本身就贵，还要加价 ，其余没什么，然后就是没发票,2017-12-02 06:17:07,0,1,5
淼***淼,PLUS会员,非常漂亮，拿到后，迫不及待的打开，绝对的全新未拆封，配置都有，机子反应很快！下午媳妇回家，让媳妇看看也很喜欢，这个本来买来就是给我媳妇用的，我又给她买了一个红色的外壳，更是漂亮，媳妇很满意，说比以前的机子快的多！而且里面很多新功能，华为的创新真是投入不少！,2017-10-31 14:55:48,4,7,5
聚***诚,金牌会员,刚收到定购的两部Mate10华为手机，还未来得及试机，仅从外观及手感来看就觉得不错！选用华为是我终身的目标。,2017-12-05 13:42:53,0,0,5
H***子,PLUS会员,手机很好，服务太差，11号说好的摩卡，到了18号又说摩卡没货，那好吧，换黑色的，还是没有，建议我换香槟的，，哎。没货早说啊,2017-11-21 09:46:29,2,0,5
我***3,PLUS会员,"1.MATE10包装与METE8一样，原封未拆精致大气。拆开后第一眼就看到亮黑色的手机，非常惊艳；然后就是配件一应俱全。2.开机各方面设置，把通讯录、短信等同步好，感觉默认的石韵主题没有M8的摩卡主题好看清晰，另外的也一般。2.前置指纹识别一开始不习惯，几天后就好了。录制指纹容易，解锁非常快，秒开！把虚拟导航键调出，不习惯HOME键来代替。3.屏幕完好，默认分辨率显示效果好，与8一致。4.虽然麒麟970功耗降低许多，还有NPU协调器，但电池待机时间比8差，中度使用只能一天半，而8能用2天。5.EMUI8系统相比5运行流畅，但所占内存也多，4G基本只有2G可用，相比5后台程序清理很好，保证有2G左右内存可用。6.4G与WIFI上网速度很快，信号也比8好。在地下室联通也有1-2格，而8完全没有信号。7.双摄莱卡大光圈摄像头性能强悍，照片明显比8清晰，特别是在室内或者是夜拍，效果明显。8.音质音量好，外放音量大，耳机的输出音质提升明显。9.TYPE-C的数据线连接手机非常方便牢固，比MICRO-US好太多。快充速度提高明显。10.还是喜欢MATE8的金属拉丝材

?

?

?

?

?",2017-10-29 18:51:14,10,4,5
1***4,PLUS会员,很好，发货快，物流快，手机绝对正品，支持，好评，以后还会继续买。,2017-10-29 15:10:51,6,0,5
L***7,金牌会员,手机不错，物流也很快，送给爸爸的，老人家很喜欢。,2018-01-27 08:28:57,0,0,5
皮***蛋,金牌会员,11月30号在京东没抢到，刚好在这看到，与官网价差不多，就下单了，过了2天就收到了，物流比京东快，手机也是正品，用了几天，感觉都挺好的，音量还不错，手机拍照可玩性大，128G，实际一百多点，可以用很久，机型好看！物色好久了，几年前用过华为的机子，再次使用有很多变化点赞！本来打算入苹果的，但双十一没买到，就考虑了mate10，很少玩游戏，机子还是不错的！,2017-12-05 16:19:27,2,1,5
碧***技,企业会员,手机收到了，特别期待，现刚使用中……,2017-10-31 15:50:28,4,0,5
南***阁,PLUS会员,收到宝贝用了段时间才评价，不用那么急的，慢慢用，慢慢感受，是我喜欢的速度，微信支付吖，原来用的Mate7很卡了，不过对于外貌协会的的我还是比较钟意它，只是有时候扫码支付比较慢，比较慢，感觉像没钱的样儿，尴尬呗?，这款机子拍照比较好，有点大片的感觉，个人建议还是买高配版的吧？咬牙挺挺，多几百大洋，用起来舒坦点速度快，呐呐，个人建议，可以同时挂三个***，一个生活，一个工作，另外一个嘿嘿坑蒙拐骗偷挖抓拉哩，还有个不错的语音功能，开车的时候说，你好小E，带我去按摩，然后直接帮你导航到一红院?～蒙你的！指纹解锁比较好用，是超好用，识别率高高滴，有点水油之类的在手上，也能识别，这个比较好，比Mate7好多了，就是价格有点贵，安了，人生那么多，喜欢就买，不过真的有点贵哦，半坨金不见了，非常好的客服，聊得舒心，快递比较快，这图片我偷人家的，我很老实的，比较懒，拿别的手机拍再传这手机，浪费时间，因为客服服务态度非常好，我才写那么多，基本上上十个字，好好好好好好好好好好就是我网购的经常评价。居然有敏感字，,2017-11-22 15:55:12,2,1,5
H***U,金牌会员,手机边上白色胶质的痕迹   不知道是啥   也擦不掉    卡针的那张纸也太破了   新手机啊   手机到时没啥挑的   就是边上的痕迹擦不掉纠结    求解释,2017-11-06 17:35:01,0,3,5
f***8,银牌会员,终于收到了梦寐以求的mate10了，特意试用了才来评价，手机到手质感非常好，双面玻璃手感也很舒服，看起来就很高大上，自己贴了钢化膜和背膜就更加显得大气了，使用起来非常流畅，颜色画质非常逼真，2K的全面屏看着就很舒服，而且尺寸也比上一代缩小了，双4G的网络用着就是快，电池续航真是杠杠的，卖家态度非常好，也很有耐心，发货物流那都是没说的，卖家还附送了非常实用的赠品，真的很贴心，总之非常愉快和满意的一次购物，强力推荐！！！,2017-10-27 13:31:42,5,3,5
f***u,钻石会员,"非常不错…是正品…昨天下午收到货…上图上图…
包装完好…还有赠送全屏膜和套…原机盒子里也有原装套和已经贴好的膜…
大屏占比相当舒服…华为忠实用户…一步从mate8整体数据迁移到10…使用习惯和app都不用重新安装了…非常不错！…继续支持…
很好的店家…响应快货源正…好评！？
还会来光顾…",2017-12-14 16:15:57,0,1,5
j***4,金牌会员,手机包装比想象中小，很精致。手机质感很好，保护壳贴合，手机还自带了屏幕保护贴，周到。开机后根据指引把旧手机资料都克隆到新手机，方便的很。使用感受没的说，顺畅给力，支持国货！,2017-10-29 11:04:11,3,0,5
j***u,PLUS会员,"华为mate10配置和做工打平或超过了三星note8和苹果iPhone X,但价钱低了很多，三星note8一贯是三星臃肿的系统，时间长了流畅性减弱，电池小。而苹果iphone X刘海设计真的很丑，电池更小，永远没有内存卡可插，价格贵的离谱不说，要快充还要另外掏5百多元，最无耻。作为世界级的旗舰手机，华为mate10这个价格很合理，出了天生的安卓系统稍微弱于苹果系统外，华为mate10基本上没缺点。总体挺好，国产的大品牌性能出色商务人士首选！",2017-11-10 16:31:55,2,0,5
峻***花,PLUS会员,华为手机的老客户了，首发没抢到就在这里订了，果然没让我失望，服务很给力，态度更棒，顺丰一到就迫不及待开拆了，很惊艳，非常大气，手感也很好，试用了两天，没有问题，体验完美，非常推荐来这里买，实惠，服务物流都一流,2017-10-31 20:21:27,1,2,5
w***m,金牌会员,宝贝收到了，打开试了一下，是新机。,2017-12-10 15:05:35,1,0,5
