名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***m,银牌会员,拿到手机后第一感觉就是非常小巧可爱，玫瑰金的颜色也适合年轻女孩子用，这个价位买到64G感觉性价比还是可以，因字迹小不太适合老年人用，总体感觉不错,2017-12-18 20:58:39,2,0,5
j***z,金牌会员,华为手机，一直信赖的手机品牌，这次物流有点慢，包装完好，京东小哥陪着一起拆，试机，卡有点大，换了卡，想着屏保贴上去，一比小了，送的壳太薄，开机以后，预装太多，删了老半天，运行速度可以吧，希望它可以长寿点,2017-10-09 12:08:47,7,2,5
j***t,银牌会员,小巧玲珑，内存大，照相清晰，很实用，超喜欢！,2018-01-12 09:12:46,1,0,5
蓝***崽,铜牌会员,收到货后，看了很好，正好赶上双十一之前收到，免去了等物流的时间，京东快递就是快，就是好。买之前和店家的客服沟通过，服务态度很好，回复速度也快，送了好多实用的东西，不用再买其他配件了，价格也是性价比最高的，谢谢店家的服务，我很满意，这个是买给我父亲的，过年再买一个给我母亲，华为手机很好，中国人用自己的手机，支持国产！,2017-11-11 10:03:36,1,1,5
-***控,银牌会员,手机已经收到，双十一期间物流有点慢，等了好几天。一直都用华为系列的手机，耐用 美观，还高端大气。特别喜欢，给妈妈换的手机 还没告诉她呢 希望妈妈也会喜欢。,2017-11-15 19:20:23,1,1,5
****G,注册会员,刚下单的时候就很期待了，特想物流快一点，嘻嘻真的物流很快，今天就收到手机了，手机不大刚刚好是我喜欢的，手机反应很快也不卡，颜色也好看，自己第一次再网上买手机，手机不错支持，服务态度也好，话不多说物有所值，赞赞赞赞，支持国产继续加油＾０＾~,2017-11-24 18:42:06,2,0,5
J***1,金牌会员,华为手机，一直信赖的手机品牌，包装完好，小巧玲珑，玫瑰金的颜色很适合女生使用，这个价位买到64G的感觉性价比还可以，是全新的手机升级手机系统就升级了三次，目前为止很好用，很满意的一次购物,2018-03-01 19:16:21,0,0,5
j***d,银牌会员,给婆婆买的，很喜欢。反应很快，还有耳机。性价比高，拍照片挺清楚的！不过物流太慢了，春运期间可以理解。,2018-02-11 12:32:59,0,0,5
西***3,银牌会员,总的还可以吧，买的是移动全网款的，后面有中国自动定制机的标志，有些错愕。不满意的是手机自带的软件太多太多，刚买来已经占了十多G，不少还是不能卸载的。另外，送的贴膜不地道，竟然小了一圈，配不上屏幕，物流也慢，没有享用到京东次日达的舒适感。希望手机耐用不卡，这才是最关键的，用段时间再来追评。想想都不容易，还是给好评吧。,2017-11-10 09:11:05,0,0,5
未设置昵称wen君jun,金牌会员,拍照很好，电池可以开启省电模式，值得购买喜欢的朋友可以下单,2018-02-05 09:56:14,0,0,5
h***f,金牌会员,"手机收到了，屏幕很大，挺舒服的。玫瑰金颜色特别适合女孩子。4G+64G完全够用。主要是手机快啊，RAM4G,CPU2GHz.64G怎么都用不完。之前用的MI3感觉握在手里大了点。等会上传一下两台机子的对比照片。送了不少配件，不过我觉得最重要的还是延保一年。共两年。质保一年可以本地维修点，延保要寄回商家。两年够了。比较放心。",2017-10-12 18:50:38,4,0,5
维***Y,银牌会员,刚收到货，从北京送到广州我那里只用了3天多，物流算快。手机保护也很好，手机与图片无太大区别，功能强大，快递员态度也很好，我看着电影，需weicat，他爽快的答应了，我对此非常感谢这位快递员。手机性能不错，照相清晰。,2017-10-05 23:53:25,2,0,5
k***8,PLUS会员,用了很多牌子，华为是其中之一，效果好，京东服务也很好。相信京东！,2017-12-18 09:33:08,2,0,5
j***h,铜牌会员,快递包装得比较严实，没有评论区别的买家提到的盒子被拆过的问题。屏幕还是比较灵敏的，指纹解锁反应也挺快的。后置摄像头比我的iPhone6好太多，分辨率比我上个美图手机好。总的来说，性价比比较高。,2018-03-01 09:27:53,1,0,5
大***驴,钻石会员,"首先屏幕是5寸的，因为我特别选5寸的，方便放进口袋，传几张图给大家看看，的确是真货，从包装到送的赠品很满意，本来就支持国货，所以我要买个手机的时候就选了华为，然后这家是京东里最便宜的，也是我选了这家的理由。
商家很诚信购物界面直接标出了全网通和移动全网通怕消费者误买，这点值得赞。",2017-10-08 11:52:41,2,0,5
m***y,钻石会员,"整体来说，值这个价，做工不错
体验了几个小时，反应速度快，触摸屏很有手感
整个手机看起来干净利索，小巧，完全符合我对手机尺寸的要求，个人不喜欢大屏手机，超过5寸就难以接受，这部手机正好外观都很不错。
这部手机拿到手就眼前一亮，比图片漂亮多了
再说体验，该有的功能也有，该有的配置也算是主流，通话质量很不错，这个很满意。
一直用着华为手机，从没有失望
至于那种说耗电快，像素低，倒没感觉到
总之一句话，用着很满意，",2017-08-21 20:37:57,4,0,5
j***j,银牌会员,中午收到手机，升级了下系统，就过来评价了。手机很好，外观精美，正品行货，店老板把赠品都给了，一件不好，看着很舒心。下次买手机还在这家店买。提前预祝下次合作愉快。,2018-02-10 16:01:23,1,0,5
l***雪,银牌会员,手机收到了，买的移动定制版的，只有一张卡所以无所谓全网通不全网通。手机定制软件都可以卸载，这点还不错。手机开机背后有移动标志，是全新手机升级手机系统就升级了三次。目前来说很好用。屏幕5.0是拿手机还行，看着挺小巧的。软件用得着的都自己更新了。,2017-11-18 22:55:55,0,0,5
q***9,金牌会员,"一、物流超快，尤其是在双十一的档口。
二、商家超细心。包装那叫一个仔细，里三层外三层。
三、小礼品很温馨。手机套、手机钢化膜、联保保修单。
四、关键是手机超赞。迫不及待开箱，查询了序列号，是新机。里面的东西一应俱全，真的很好。",2017-11-19 08:26:33,1,0,5
j***m,铜牌会员,一开始的时候还担心，手机妈妈不会喜欢，由于是春节期间下的单，我很心急，所以和客服小姐姐说，客服小姐姐肯定是个人美心善的人，态度特别好。妈妈也特别喜欢，这款手机不管是外形还是质地，妈妈都很喜欢。很赞。,2018-02-28 18:10:50,0,0,5
ouxiaonuo,金牌会员,妈妈手机不小心掉厕所里了，马上就要过年了，上京东给妈妈选了半天，最后锁定这款手机，真的很不错，买的移动全网，反正妈妈就一个手机号，用着挺好，送亲朋好友的选择，不大不小，妈妈很开心，,2018-02-13 13:08:33,0,0,5
小***啦,银牌会员,"有耳机！有耳机！！有耳机！！！重要的事情说三遍！
现在很多手机都是裸机！这个跟买p9时送的耳机同款！
刚开始在更新系统！物流很快，不过，京东物流一直很666666666666……数据线我觉得是快充。也看了锤子，360选了这个除了这个好看还是因为这个好看。当然价格也实惠。很满意的一次购物。",2018-03-05 13:17:09,0,0,5
随***8,银牌会员,外观很好看，粉粉的，很满意，手机本事就贴好了钢化膜，还送了蓝光钢化膜，试用了一下，性能很好，快递服务也很周到，客服人也很好，我有好多问题都慢慢给我解答，京东上的东西都还不错。,2017-11-05 13:13:30,3,0,5
j***c,银牌会员,手机终于到了打开一看挺漂亮的，就是物流有点漫。我是第一次买的华为牌子，以前是用其他牌子的，不知性能好不好用，但是华为那么大的牌子应该是信得过吧！我是朋友介绍买的华为手机。,2018-03-08 10:33:05,0,0,5
j***残,金牌会员,手机本身很不错，但是商家发的手机...还是上图大家自己看看是全新的还是二手的吧。不明白我是6月27号收到的手机，为什么开机显示是4月5日？系统里面的软件是3月1日的，手机背后有划痕。不过这家店比别处便宜几百块钱，大家自己选择吧。,2017-06-29 16:28:47,17,2,5
云开路,金牌会员,收到货还是很快的，原来以为双十一会很晚才送到，和快递员一起拆开包装，很好，包装严实，没有问题，机器很漂亮，是买给老婆大人的，老婆很喜欢，下次还会买华为的手机，运行很流畅，很满意的一次网购！,2017-11-17 12:08:00,0,0,5
j***q,银牌会员,手机很漂亮，唯一的遗憾是送的贴膜和手机屏幕感觉不配，贴膜太窄，玫瑰金这个颜色很赞，只不过买的时候不知道充电的接头和我现在用的不一样，家里又要多买几根备用了，总体感觉还不错。。,2017-11-14 12:30:14,1,0,5
哈***0,金牌会员,首先，评价一下物流，店铺使用京东配送，发货速度快，京东同城配送也很给力，店铺前一天发货，我第二天就收到，第二，手机收到后真的很惊讶，机身超薄，金属质感，机身有弧度，并且充电线已经改成了最新的type-c，试了一下充电效果，果然是快充，两个小时充满，机器反应速度也比之前用的3G运行内存的顺畅了很多，内存比较大，关键是屏幕显示的清晰度很满意，同等价位的机子相比的话性价比超高，而且要是赶上京东或者店家的活动就更合适，店家还很贴心的送了壳和膜，省去了二次购买的麻烦，赞，总体对这款机子很满意，物有所值,2017-11-05 11:58:45,0,0,5
