名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
小***钻,钻石会员,"检查外观，完美,
开机检查，无暇,
照片检查，尚好,
声音检查，足矣！
给丈母娘买的，只要拍照可以，运行速度较快，内存大点，装照片多点就可以了，除包装外，各色方面都满意。包装有点点简陋，可能是考虑减少材料的浪费吧！",2018-03-01 11:41:40,0,0,5
l***E,银牌会员,手感很好，卖家送的礼物，很有诚信的卖家，手机正在试用中。,2017-10-28 14:02:34,21,10,5
j***k,银牌会员,货刚收到，一直信赖东京，一直都用华为。就是物流稍微有点慢。,2017-11-30 11:20:39,1,0,5
j***8,钻石会员,挺好的，正在试用中!,2018-02-14 19:48:27,0,1,5
j***6,金牌会员,手机收到了，物流很快，服务很好手机很喜欢,2017-12-06 19:37:37,0,0,5
jd甜甜和木头的,银牌会员,首先，快递很满意，速度很快，三天都到了，与上次买手机一个星期不到，很让人满意了！其次，外形很漂亮，媳妇一眼就喜欢上了，买的玫瑰金，很满意！再说说机子的性能！很好，玩王者荣耀一点都不卡，看视频，看新闻也是刷刷的！华为机子，国产机的王者，不亏是民族企业，支持国产，总之，很满意的一次购物！我们现在基本上全家都换华为了，好品质，有保障！,2017-08-25 23:03:35,20,3,5
未***哥,银牌会员,非常好的一次购物，三天到货包装扎实，颜色和大小很适合LP用，LP很喜欢比官网便宜，赠品膜稍微小了点不过不影响使用，没有开封完好的商品！下次还会光顾，希望耐用！,2017-09-11 21:12:44,5,1,5
白***了,PLUS会员,荣耀6用了两年多了，有点卡顿，电池也不行了。看了好多款手机，选了这款，还是觉得华为的性价比很高，做工也不错。店家服务好，手机拿到手上比图片上要好看！手感不错。手机包装很严实！物流也很快！好评吧！我查了资料移动全网通硬件是一样的。可以放心购买！,2018-02-13 08:30:07,0,0,5
jd_159137bxq,金牌会员,这手机很漂亮，首先说是正品，手感很好，五英寸，大小正合手，手机色彩很正很漂亮，我在京东看子很多手机，我老婆一下就选重这款手机了，这家店的老板很好，有什事问他马上就回答你，还有就是还送了很多东西，还有就是京东快悌很快，送货员很好，我很满意的一次网购。,2018-01-27 13:40:41,0,0,5
w***g,钻石会员,东西还不错，外观很漂亮，送给丈母娘的，估计一定会很喜欢，屏幕清晰度很高，色彩也很鲜艳，系统反应速度也很快,2018-02-01 10:17:07,0,0,5
