名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***7,PLUS会员,还是国产的手机用着心安，很喜欢,2018-01-11 19:43:09,0,2,5
不知不愠1977,PLUS会员,一次非常愉快的购物，确定原装未开封的全新手机，卖家的价格是全京东最低的，原本有些担心收到货后十分开心了，卖家送的手机套和屏保质量也很好，非常满意！满分好评,2018-01-16 15:33:40,0,4,5
拓***心,银牌会员,手机还是挺好的，但是商家有点不厚道，你就明说明只有移动版的不就得了，非得说全网通版和移动版随机发货，跟大家玩文字游戏，现在有傻子吗，买的时候我就说了收到的百分之九十九的是移动版，不过对与我来说是一样的，我不用移动卡，我买这个手机用腾讯大王卡上网用，我敢说九月份以后买这手机的没一个全网通的，全网通的贵啊移动版的便宜啊！还随机发，简直是侮辱大家的智商,2017-11-02 20:05:44,48,11,5
jd_138842jpf,银牌会员,手机总体来说很好   老人很喜欢   用后再评,2017-12-07 14:25:49,3,0,5
j***1,PLUS会员,宝贝收到了，质量不错，值得信赖，物流速度快，支持一下京东,2017-12-27 12:40:50,1,1,5
k***3,钻石会员,用了一个星期左右才来评价，非常好的手机，送给妈妈，颜色和大小都很适合。配送速度也很快！包装完整，就是送手机膜咋那么小呢？有点不太理解！,2016-12-04 12:04:42,16,2,5
姚***2,银牌会员,手机性价比高，家人很喜欢，手机速度快，照相清楚，服务也不错，等降价再买个,2018-02-03 10:48:49,0,0,5
冬***青,银牌会员,屏幕5寸我都嫌大了，这个就算比较好的了；物美价廉；才拿到机子、用一段时间再追评吧！,2017-12-14 09:06:18,2,0,5
jd_132465nnv,银牌会员,手机已用了几天，内回等配置与商家描述一样，运行速度快，聊天K歌十分好用，现在评价用的就是它，就无法添图了，总之一句讲晒，这台手机机性价比OK，OK，再OK。,2017-12-20 11:59:27,0,1,5
j***3,银牌会员,支持华为，这款手机物美价廉，内存大运行速度还可以，就是电量用的比较快，电池再大点就好了，总之这手机不错。,2017-12-11 18:43:59,5,0,5
j***f,银牌会员,货收到，手机外观美，和图:片一样。物流快，第二天就收到了。为商家点赞！想问一下，延保一年是如何体现的?另外，此款手机现在的价格是1198元，我才买了4天就相差了15元。按行业规定商家应退给我差价（因是一个月之内）。,2018-01-23 23:55:08,1,0,5
火狐x,金牌会员,已收到货，用着还行手机这个配置说真的有点贵。。就是上手后就有点后悔了，屏幕太小不习惯了。。。,2018-02-24 09:00:31,0,0,5
j***0,钻石会员,目前看挺好，还没用，就是移动定制不太好！,2017-10-15 13:16:31,2,1,5
j***n,银牌会员,很好的卖家，客服服务态度好，给客服点赞，手机大小正合适，像素很好，指纹识别，试用不错，之前一直用华为的。,2018-02-04 09:51:32,1,0,5
郭***7,钻石会员,新款手机，用着不错，指纹解锁，所有的功能和P9一模一样。支持华为,2016-11-03 19:56:46,5,3,5
j***d,钻石会员,手机不错，值得,2018-02-25 12:35:39,0,0,5
a***e,钻石会员,手机到了，用了四天很喜欢，性价比很高，店家服务也不错，发货快态度好。,2017-11-11 11:08:53,3,0,5
l***8,钻石会员,对比自营价格挺优惠，顺风快递，3天收到！唯一不足就是移动定制版！开始试用！各方面还好！,2017-12-24 10:13:15,0,0,5
逸***器,铜牌会员,外观挺漂亮，运行也挺快的，大小合适，手感很合适，就是买成移动版了,2018-01-30 22:52:58,0,0,5
十***尘,金牌会员,屏幕光滑，颜色清新，机子性能好，很好用，我非常喜欢！！！,2018-02-10 18:17:14,0,0,5
