名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
陈***8,银牌会员,一直是华为粉丝，家人都用华为，性价比高，比较薄，屏幕大小合适好用，像素高清，而且还耐摔，又便宜，对于不玩游戏的我来说，一千多的手机可以用三五年没问题。希望华为可以出多几款性价比高，屏幕大小适合单手操作的手机，因为带孩子，方便操作手机。,2018-01-30 11:49:38,0,0,5
j***g,金牌会员,质量没的说，第三部华为手机，一直用的都是华为，物流没拆封，还给你小提示，拆前有没有损坏小标签，超级薄，外观非常漂亮，手机包装，还送了一个耳机，不过买的时候里面就有耳机。服务满星。,2017-06-07 22:46:39,7,0,5
月***歌,银牌会员,怎么说呢？用还是蛮好用的，反应和速度也快，当初刚开始买这个手机的时候，也是经过深思熟虑的，因为那时候看了小米的也看了oppo的，还有苹果的也看了。但是那些价格还是蛮高的，最后在华为的手机中选来选去，刚开始的时候看的是荣耀八的，但是毕竟荣耀87年出来的，所以还是看中了这款华为nova青春版，刚开始的时候还是有点犹豫。生怕这个不是真品的，?现在用得还是蛮好的，但是不知道用一段时间以后会是怎么样，还是蛮信赖华为的咯，毕竟国产的还是国产的，?支持国产货。,2017-09-21 23:00:49,3,1,5
糖***m,银牌会员,凡胎肉眼的我真心不能自动辨认手机真假与否，翻新与否，于是借助了鲁大师，显示真机?买的时候价格比华为官方旗舰店便宜200元左右，因为不是自营店，犹豫了很久，不过最终还是买了，然后没收到货时，手机就下架了，顿时心凉???。用了几天还不错，感谢店家的质量把关，买东西就是要相互信任???送了耳机，软壳，钢化膜，希望手机可以用得久一点???因为漏开发票，店家专门另发快递，这服务也是不错。,2017-09-09 11:35:24,0,0,5
可***铉,PLUS会员,帮小弟买的，颜值可以，是正品，华为外观最大的不足就是指纹后置，有点掉价，其他还可以～,2017-06-20 08:01:46,9,2,5
c***3,金牌会员,贴完膜用到电量耗尽，挺好的。玩游戏《少年三国志》速度挺快没卡顿现象，手机尺寸用起来正合适，不显得笨重（旁边是我用的OPPO是R7手机）。音质也不错，相机像素也足够用。就是赠送的钢化膜贴在屏幕上不是很贴合，有消除不了的缝隙，建议以后赠送其他保护膜。保护套送个有品位的（例如我后配的）！！,2017-06-27 11:36:53,1,1,5
环***新,金牌会员,机子速度还不错，屏幕显示不是很清晰，感觉屏幕小了些，用一段时间看看效果,2018-01-30 15:32:58,0,0,5
k***0,PLUS会员,原装正品，价格合适 性价比很好，蓝色非常漂亮。,2017-12-05 17:21:49,0,0,5
x***9,金牌会员,帮同事买的，很满意，大小刚好，速度快，颜色很雅，喜欢,2018-02-02 09:36:34,0,0,5
叶夜轻尘,铜牌会员,手机很不错哦，物有所值！值得购买，外观也很漂亮,2018-02-18 08:16:53,0,0,5
