名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
w***0,银牌会员,快递比较慢，手机是帮我爸爸买的，觉得性价比非常高。等了4天，手机终于收到了。打开的时候觉得手机很漂亮，这个价格非常适合，而且还是64g的。觉得手机真的没有买错。爸爸也很喜欢。,2017-10-23 19:07:06,5,3,5
E***y,银牌会员,很好，手感很好，机子也不是很厚重。感觉这个价位能买到这么好的手机很值。,2017-11-01 20:47:06,5,2,5
j***a,金牌会员,手机很好，颜色亮，照相清晰，老公很喜欢,2017-11-18 20:00:23,2,0,5
jd_许小微,银牌会员,昨天到的货，买来送夫人的，夫人表示很喜欢，手机真心不错，全新的未拆封，有料有颜值商家服务态度友好，便宜还送礼，下次有需要还会再来，就是从北京发货来广州要好几天，不过不影响夫人使用心情，最重要的是夫人喜欢,2017-09-05 11:43:31,4,5,5
j***i,银牌会员,手机收到了，还可以，外观漂亮，指纹解锁，快速充电，外音也挺好的，挺满意的,2017-10-08 21:26:36,3,0,5
网***起,银牌会员,物流快两天到，手机收到后打开蓝色的很漂亮很喜欢，送了一个自拍杆、支架、后壳质量不错很满意。说实话买的时候心里挺忐忑的毕竟便宜好多…拿到手盒子是未拆封的上官网查了一下是正品。用后再来追评！,2017-09-21 22:57:18,7,1,5
h***8,铜牌会员,在京东看了一段时间，客服介绍了这款，于是跑去实体店看看，款式，大小正好，运行速度，打字反应都很快，关键是处理器不错，就决定买这款了。物流还算快，收到后立马装卡试机，和在实体店一样的。至于以后有没有问题就等过段时间看看了,2018-03-04 09:22:23,0,0,5
j***v,金牌会员,手机很好用，外观大气，屏幕做工精细，开机试用了下，十分流畅，是个不错的机子，一直信赖华为，支持国产，支持国货，这款手机推荐大家购买！真的很不错，自己也选了好久！最终认定这款，好评，五星！,2017-09-20 11:58:20,2,0,5
j***n,银牌会员,"1.物流给力，且物流小哥态度也很好
2.手机外型大气，很薄，手感很好
3.手机运行迅速
4.充电很快，电池电量耐用
5.最值得一提的是耳机的音质，超级立体。且耳机戴的时间长了耳朵也不疼。",2017-09-17 17:03:02,2,1,5
j***f,金牌会员,手机不错，我奶奶说这手机快递不错呀，呀虽然不是京东自营，但是也挺好了，像素不错，销售，千，长得挺好看的，挺薄，大小正好，嗯，亲爱的，即将毕业很高的，性价比也很高手机买的时候什么都没有，就是有个耳机，其他的你怎么没有一张钢化膜呢？不过也就这样了,2017-09-28 09:02:57,2,1,5
j***a,银牌会员,818活动期间买的，比市场价格要便宜了15%之多，买的时候还是有些怀疑怕是水货，收到打开后，哇，很漂亮的手机，大小合适厚度也刚好，选的魅海蓝色很特别，还有赠品，开包装基本确定是正品机器，觉得超值。等使用后再追加评论。,2017-08-23 23:14:15,2,2,5
j***w,铜牌会员,手机很好，耳机很好，手机应该是正品，但是手机盒子特别脏不知道咋回事，手机电池显示是新手机，我也没查是不是翻新机，估计应该是新的吧，手机反应还可以，将就用吧，不到一千四百块钱，我也不玩啥打游戏，好评吧,2018-02-25 16:44:37,0,0,5
