名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
接***人,PLUS会员,品牌手机，华为保时捷，钻石黑，经典时尚，支持国货。,2017-12-26 13:43:40,72,108,5
j***h,PLUS会员,很棒，低调奢华有内涵，值得购买。,2018-01-17 22:02:47,39,8,5
蒋***n,PLUS会员,目前没发现问题，用的感觉还可以,2018-01-03 19:13:49,51,14,5
jd150324qmc,钻石会员,不错，特别好用，支持国货,2018-01-16 12:31:45,29,7,5
j***c,金牌会员,已经收到机子了，京东秒杀的，省了一千块，快递很给力，机子很高大上，老公很喜欢，送给他的元宵节礼物，他很满意,2018-03-01 16:46:02,9,4,5
J***k,金牌会员,发货速度很快，华为手机为国争光！,2018-01-07 11:49:04,37,7,5
l***8,钻石会员,验证过是正品，客服也不错，知道打电话过来核实，满意的购物体验,2018-01-13 20:28:46,24,1,5
大***鼻,PLUS会员,还行，样子还可以，大小合适，手感好！,2018-02-19 19:20:08,5,1,5
桥***6,钻石会员,比较满意，看看不错。,2018-01-26 16:49:40,20,2,5
王***照,PLUS会员,用了两天感觉还不错。之前用过两个8848，但两个手机一样总是有小问题，使我的心里面不断涌现出噱头二字。第二个8848更是卡的没救了，吐槽。粪叉用着还可以但也是不喜欢，后来看到家里人有人在用保时捷，看到后觉得真心好看啊，手感也好（不贴膜不用手机壳）于是就想买一个，实体店买都没有货要不没有权限直到京东上看到顿时就买了，保时捷版就是不一样。,2018-02-27 08:05:11,10,5,5
w***n,PLUS会员,包装很严密，手机大小合适，手感也不错。,2018-02-07 10:54:03,13,2,5
j***s,PLUS会员,手机收到，开箱验货，还没试用，期待好的表现,2018-03-09 14:14:59,0,1,5
S***特,金牌会员,可以可以，整体感觉非常好,2018-03-01 17:30:32,2,3,5
徐***8,企业会员,很好，很亮。,2018-01-02 16:28:32,21,6,5
j***磨,PLUS会员,反应速度很快，在这家店买的第二部手机了，第一部是苹果X,2018-03-07 14:12:05,0,1,5
洋***子,钻石会员,商家承诺，让我先签收！然后补给我降价的差价款，我10999买的，也就是10999-10777-150优惠券，补差价350元。现在，骗我签收！卖家就耍赖！不给了！骗人！态度生硬！投诉！,2018-02-08 10:05:42,6,6,5
s***o,金牌会员,没说的，用的mate9保时捷加价买的，这次平价拿到，啦啦啦,2018-03-03 16:59:46,0,1,5
风中尘1971,PLUS会员,手机不错！以前用苹果习惯了，用这个有个熟悉过程。还是比较满意的，又买了块手表。高大上，人必竞对自己要好一点。,2018-03-07 19:36:24,2,1,5
c***z,PLUS会员,抢不到我就加钱买！东西没拆呢，但是应该不错,2018-02-01 14:25:59,9,2,5
宝***俊,PLUS会员,国产神器，低调的奢华，从膜到壳的细节做得很透彻，现在从苹果转为华为了，厉害了，我的国！,2018-03-07 09:17:41,1,2,5
V***哦,金牌会员,收到很快，服务很好！,2018-01-29 16:43:14,3,5,5
k***u,钻石会员,包装很好，服务不错，京东物流给力，手感不错。,2018-01-30 13:00:37,4,2,5
w***n,钻石会员,"强大华为保时捷,爽歪歪.值得拥有",2018-03-05 10:17:21,0,1,5
z***k,PLUS会员,原封包装，喜欢这种踏实的感觉！很靠谱！对于华为的保时捷系列，的确不错，配置一步到位，使用起来就不用说了，期待新品！,2018-03-07 12:27:01,0,1,5
3***m,PLUS会员,第一次网购如此贵的手机，老担心物流出问题，不过结果还好。,2018-02-12 16:41:51,6,1,5
中***化,钻石会员,在PX和10之间犹豫了很长时间，最终还是选择10，10让我改变了对国产手机的看法，速度，使用的便利，完全和X媲美，国产手机加油,2018-03-07 07:57:48,0,1,5
r***8,金牌会员,买来送礼人的，所以没有拆包装，客服服务也不错，中间因为发票开错了也是极速处理了，下次要买还会来你家的。,2018-02-12 14:48:22,2,3,5
Q***u,金牌会员,一个字，酷,2018-01-30 10:39:10,12,2,5
j***q,金牌会员,华为加油?,2018-02-08 20:57:41,10,1,5
在***部,PLUS会员,说实在的，不错，很好，支持国货！华为加油！,2018-02-10 14:30:17,2,1,5
j***3,金牌会员,看起来非常精美漂亮，屏幕清晰。手握非常合适，操作方便。总之很满意，值得拥有！,2018-03-06 23:31:41,0,1,5
y***2,钻石会员,宝贝非常好，发货快，客服人员也非常有耐心和礼貌，态度很好?,2018-01-29 13:37:00,2,1,5
t***9,PLUS会员,手机非常好用！高大上运行速度快，值得拥有！,2018-02-23 21:18:33,1,1,5
楓***少,钻石会员,收到手机用了一段时间，拿去华为客服那边问了一下，说是正品没问题！,2018-02-05 18:51:41,1,2,5
乄***灬,PLUS会员,价格浮动太大，东西开箱以后感觉不是太干净。,2018-03-04 00:59:24,0,1,5
淯兒,PLUS会员,商品很好看，大气。运行速度很快，很喜欢。,2018-03-06 16:20:22,0,2,5
393407827,金牌会员,机子非常不错，性能稳定，值得购买，卖家很有耐心。,2018-03-07 11:42:43,1,1,5
L***1,钻石会员,手机沉稳大气，低调奢华有内涵!客服耐心周到，有问必答，好评,2018-02-28 17:13:15,0,1,5
