名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
温***雅,银牌会员,对于这个价格，这手机还是可以，其他都还好就是反应有点慢，物流迟到了一天，,2018-01-30 10:41:25,0,0,4
j***o,铜牌会员,收到手机外壳都是刮花，超级不满意。,2018-02-22 12:31:27,0,0,5
l***4,银牌会员,好用，便宜，实惠，第二次购买了，,2018-01-29 08:27:41,0,0,5
加***6,银牌会员,双十一买的正品手机，12号取货，15日剪卡使用，用了三天没有电话接打记录才知道手机没有信号，联系客服去的售后服务体系，被告知撕拆了，这个手机是给老年人买的，每天也没什么电话，只是为了方便视频，可以见到孩子，本身就不怎么会玩这种简单的高科技，就跟别说拆开机器了，最终结果就是我用正价买了个二手货，敢问所有消费者，谁买了手机，拿到就拆开玩吗？华为的经销店就是这么理解的消费者，这中间问题是出在京东还是第三方卖家，反正没人给解决，活该买家倒霉……在此我代表我自己说句心里话，京东这个平台我不信任了，华为这个国货也没有信任可言了，为了一个手机我折腾了三天，几百元真不值当在折腾了，是谁说谎，天打雷劈！谁对谁错，消费者们自己思量！,2017-11-21 18:57:00,8,5,1
j***f,铜牌会员,帮同事买的，同事说手机很好用，他说好用我就放心了，物流很快，很满意的一次购物。,2017-08-01 18:30:00,1,0,5
2***7,钻石会员,大牌子就是好，这是在京东买的第八个华为了。,2018-02-03 22:34:50,0,0,5
迷***-,金牌会员,帮同事买的，还不错正在使用中，后续再评论,2018-03-09 12:43:03,0,0,5
j***3,银牌会员,"物流很愉快
手机以上交老爸满意",2018-02-25 19:59:33,0,0,5
噢***茄,银牌会员,第一次在网店购买手机，看着是全新的，不知道质量好不好反应速快不快,2017-07-13 10:11:21,1,1,5
j***3,铜牌会员,手机挺好，妈妈用的,2018-03-01 13:44:45,0,0,5
天***g,金牌会员,手机今天已收到，开机后挺喜欢的。给家人买的，看到后也很高兴。,2018-02-07 17:47:17,0,0,5
j***e,铜牌会员,还有瑕疵，感觉是二手机一样。怎么找售后？,2018-02-24 22:24:36,0,0,5
