名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
T***g,金牌会员,手机很好用，性价比确实高，支持国产，一直用华为的手机，做得不错，快递比平时慢了，用了2天才寄到。,2018-03-05 19:37:37,0,0,5
S***G,金牌会员,外观中规中矩，有简洁桌面，适合老人使用。其它功能还没试，老人用应该可以了。写评价的目的主要想夸下快递小哥，由于快递送到时不在单位，让小哥放楼下便利店了，结果下午还打电话问我收到货没，真的是网购多年遇到最敬业的快递员。,2018-03-06 21:35:01,0,0,5
伟***9,金牌会员,京东商城的订单快递飞快到，还没拆开应该是很满意，拆了追加好评,2018-03-03 21:46:16,0,0,5
j***m,铜牌会员,手机收到了，不是4 G手机吗？怎么网络是2G3G的,2018-02-27 19:51:56,0,0,5
z***9,银牌会员,给老爸买的，很满意，老爸就喜欢华为这牌子，手机用着不错?,2017-10-10 21:52:09,1,1,5
j***p,PLUS会员,买给老妈用的，挺不错，也不是很重，功能多价格又实在。,2018-03-06 10:52:56,0,0,5
j***缘,金牌会员,一直信赖京东，手机不错，好用，价格实惠，值得拥有。,2018-03-02 18:11:25,0,0,5
m***l,PLUS会员,春节给爷爷买的，用着还挺好的，功能还可以更简单一些,2018-02-28 01:54:35,0,0,5
无***胖,金牌会员,给家里老人买的，不卡，信号音量还可以。,2018-03-06 18:54:24,0,0,5
j***e,铜牌会员,手机很不错，价格也好，京东快递也好！,2018-03-06 15:14:37,0,0,5
g***i,PLUS会员,"商品符合度      5分  

店家服务态度      5分  

物流发货速度      5分  

配送员服务态度      5分",2018-03-05 18:32:07,0,0,5
h***3,PLUS会员,给老爸买的手机，用了一段儿时间，觉得还可以吧，毕竟价格在这里放着！,2018-03-08 11:41:26,0,0,5
跳***s,PLUS会员,还不错，不需要很快，也不需要很多应用，装个老人桌面就可以,2018-03-03 21:08:03,0,0,5
b***n,PLUS会员[试用],给老爸买的，他很喜欢，性价比也比较高，速度也够快！,2018-03-07 11:21:43,0,0,5
威***哥,PLUS会员,用起来效果不错。。很适合中老年人用,2018-03-02 15:50:18,0,0,5
s***i,金牌会员,非常好的手机，给妈妈用，尺寸不大正适合！全新正品！,2018-03-08 11:40:42,0,0,5
无***电,金牌会员,老人用的，说是要学学智能机怎么用，就是还嫌铃声小了,2018-03-02 02:34:18,0,0,5
j***u,金牌会员,手机已送到正在安装升级包，用了以后再评价。,2018-03-02 10:08:53,0,0,5
蓝***鸿,PLUS会员,手机被老人家珍藏去了,2018-03-03 16:16:40,0,0,5
l***5,银牌会员,挺好用的，买给妈妈的，指纹解锁很灵。,2018-03-05 22:03:15,0,0,5
w***9,金牌会员,很满意，用的很顺畅，性价比很高啊,2018-03-03 20:49:39,0,0,5
j***5,铜牌会员,手机很漂亮，跟期待当中的区别不大,2018-03-03 21:13:03,0,0,5
j***2,银牌会员,运行速度稍慢！屏幕灵敏度有点低！,2018-03-02 17:31:43,0,0,5
j***0,金牌会员,此用户未及时评价，系统默认好评。,2018-02-26 17:40:28,0,0,5
