名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
缘萧节,PLUS会员,还好-_-||没有去实体店看的那么惊艳不知道是不是因为灯光原因，里面的包装袋我也是跪了，或许华为都这样的吧！,2017-05-09 08:21:59,35,9,5
摩***哒,金牌会员,手机到手，大小适合，操作方便，,2018-02-04 10:16:26,0,1,5
幸***亿,银牌会员,手机不错，拿在手很舒服，还没开始用，功能应该不错，昨天下午下的单今天中午就到了，京东就是快，价格也便宜，值了，就是送的钢化膜小了一圈，根本就不合身,2018-01-26 11:37:14,0,1,5
陈***8,钻石会员,买给老人用的，不知好不好，试一下了,2018-02-06 15:54:02,0,0,5
l***3,金牌会员,物流好快哦，昨晚十一点左右下的单，现在就收到了。,2017-12-20 12:15:23,0,1,5
j***n,银牌会员,手机给我爸买的，用了几天才来评价的，爸爸很满意字体能调大小，不过声音一般开个震动就可以了。别的没啥了，送的赠品很实用，感觉不错反应挺快的。我也满意，快递很给力。,2017-06-21 13:09:47,64,6,5
lkjuh,钻石会员,首先感谢易到手机专营店的金牌客服，善解人意语气很和善，其次就是出库发货到物流，快递物流太快了，都快赶上京东商城自营店了，中午下单，早上九点钟就被叫醒了，说快递到了，商品是正品行货，运行内存足，拍照也很清晰，赠品也比较实用，最主要是易到手机专营店真的是一家让人满意的网店。,2017-06-06 17:03:22,36,32,5
y***q,钻石会员,支持华为，国产机现在做到这样真心不错，手感好、精致。华为科技较前卫，相信用起来也会很好，希望老父亲能喜欢。顺便说一句：我不是为了赚什么京豆，我是真心觉得手机超赞。几百元的东西想不到不到到手后有一种惊艳的感觉。,2017-09-07 12:01:21,1,3,5
牛***岳,钻石会员,一直支持国产华为手机，值得信赖，机子的确不错,2017-10-07 08:51:59,2,0,5
小***-,铜牌会员,手机发货速度和物流速度超级快，才三天就收到了，给老爸买的，需求不高，只要能打打电话、聊聊微信、玩玩小游戏，爸爸很喜欢，手机手感很好，唯一不足的地方就是不送耳机，老爸最希望有的就是一副耳机了。总体好评吧。,2018-03-01 14:23:56,0,0,5
j***m,铜牌会员,物流还是挺快的，手机暂时还没有发现有什么问题，至于所谓的全网通，因为用的是移动的卡，所以也就没有深度纠结，总体来说还不错!,2017-08-31 19:57:49,6,0,5
j***7,银牌会员,到货以后才知道为什么便宜这么多，原来是移动定制版的，不过手机还行，就是忘了带发票，联系客服说三天内给发来,2017-06-18 20:02:23,5,8,5
小***不,银牌会员,质量好，价格便宜，值得购买。,2017-05-18 09:16:22,6,2,5
j***o,银牌会员,东西很好通话声音很清晰,2017-10-23 12:06:32,0,0,5
邓***喂,银牌会员,手机收到了，可以的，正好用的也是移动，好评！没得说。就是送的钢化膜，还没贴就碎了。,2017-08-20 18:08:10,6,1,5
小***森,金牌会员,手机是全新的，配置不错，玩了一下王者荣耀，很流畅，另外送的手机壳还有钢化膜也不错。,2017-07-27 17:53:12,0,0,5
j***波,钻石会员,名牌，不错，5.o合适给老婆用0K,2018-01-08 21:15:45,0,0,5
z***4,银牌会员,我不想评价是因为这手机质量真是太差，退货还没个着落，退三阻四的，真是对京东无语了,2018-02-05 21:27:46,0,0,5
F***w,银牌会员,宝贝已收到，美观，超薄。是自己喜欢的款。且价格比手机店，很理想的购物，宝贝很喜欢，值得推荐，给好评,2017-07-02 22:06:48,2,4,5
你***7,银牌会员,漂亮，喜欢，一直支持华为，国产只有华为好，可惜这款手机不是快充。,2017-09-15 21:26:30,1,0,5
j***u,金牌会员,用了2天才评价，首选顺丰快递真是顺风来的，手机是全新的，打开验货和快递员说谢谢后直接营业厅，升4G卡投入使用，反应快捷，电池耐用一切应用老好了。满意满意京东购物超欢喜。,2017-06-29 21:54:29,2,0,5
j***1,金牌会员,手机很漂亮，字体可以调大，买给老人用很合适，像素也够用了，好评,2018-02-03 11:41:13,1,0,5
咖***房,金牌会员,第二次买他们家的手机，同款手机，赠品不变，品质不变,2017-08-12 15:24:34,0,2,5
